time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,466.000000,2437.000000,39.000000,0.000000,3539.000000,2507.000000,3225.000000,69.000000,0.000000
0.000,467.000000,2504.000000,47.000000,0.000000,3579.000000,2606.000000,3209.000000,67.000000,5.000000
0.000,468.000000,2275.000000,36.000000,0.000000,3474.000000,2228.000000,3155.000000,59.000000,0.000000
0.000,469.000000,3603.000000,76.000000,0.000000,4095.000000,4095.000000,3756.000000,68.000000,45.000000
0.000,470.000000,3657.000000,88.000000,0.000000,3993.000000,3950.000000,1749.000000,0.000000,0.000000
0.000,471.000000,3771.000000,91.000000,0.000000,4095.000000,4095.000000,2045.000000,0.000000,0.000000
0.000,472.000000,3830.000000,88.000000,0.000000,4095.000000,4095.000000,2385.000000,3.000000,0.000000
0.000,473.000000,3737.000000,80.000000,0.000000,4095.000000,4011.000000,827.000000,0.000000,0.000000
0.000,474.000000,3748.000000,73.000000,0.000000,3063.000000,4095.000000,756.000000,0.000000,0.000000
0.000,475.000000,2042.000000,33.000000,0.000000,2793.000000,1680.000000,2707.000000,49.000000,0.000000
0.000,476.000000,3629.000000,91.000000,0.000000,3928.000000,3937.000000,1874.000000,5.000000,0.000000
0.000,477.000000,2295.000000,33.000000,0.000000,3179.000000,2240.000000,2938.000000,52.000000,0.000000
0.000,478.000000,2587.000000,44.000000,0.000000,2521.000000,2323.000000,3063.000000,89.000000,2.000000
0.000,479.000000,2147.000000,36.000000,0.000000,3484.000000,1947.000000,1433.000000,16.000000,2.000000
0.000,480.000000,2135.000000,35.000000,0.000000,3477.000000,1904.000000,1395.000000,13.000000,4.000000
0.000,481.000000,2293.000000,36.000000,0.000000,3473.000000,2331.000000,2457.000000,43.000000,40.000000
0.000,482.000000,2261.000000,31.000000,0.000000,3432.000000,2179.000000,3003.000000,53.000000,5.000000
0.000,483.000000,2340.000000,43.000000,0.000000,3479.000000,2304.000000,3147.000000,61.000000,0.000000
0.000,484.000000,2352.000000,29.000000,0.000000,3490.000000,2313.000000,3220.000000,60.000000,1495.000000
0.000,485.000000,2418.000000,50.000000,0.000000,3523.000000,2320.000000,3207.000000,62.000000,1871.000000
0.000,486.000000,2489.000000,39.000000,0.000000,3499.000000,2583.000000,3440.000000,73.000000,2112.000000
0.000,487.000000,2536.000000,51.000000,0.000000,3590.000000,2697.000000,3448.000000,76.000000,2247.000000
0.000,488.000000,2507.000000,36.000000,0.000000,3540.000000,2615.000000,3413.000000,72.000000,2145.000000
0.000,489.000000,2327.000000,28.000000,0.000000,3509.000000,2264.000000,3268.000000,67.000000,1887.000000
0.000,490.000000,2316.000000,37.000000,5.000000,3486.000000,2277.000000,3472.000000,71.000000,2013.000000
0.000,491.000000,2469.000000,47.000000,0.000000,3496.000000,2560.000000,3578.000000,75.000000,2279.000000
0.000,492.000000,2137.000000,30.000000,0.000000,3530.000000,2013.000000,1886.000000,21.000000,1904.000000
0.000,493.000000,1863.000000,33.000000,0.000000,3449.000000,1604.000000,1879.000000,24.000000,1370.000000
0.000,494.000000,1959.000000,33.000000,0.000000,3437.000000,1731.000000,1851.000000,29.000000,1609.000000
0.000,495.000000,1815.000000,20.000000,0.000000,3431.000000,1543.000000,1876.000000,21.000000,1417.000000
0.000,496.000000,1881.000000,23.000000,0.000000,3373.000000,1551.000000,1847.000000,31.000000,1425.000000
