time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,3969.000000,2171.000000,33.000000,0.000000,2892.000000,2649.000000,1177.000000,0.000000,475.000000
0.000,3970.000000,2184.000000,33.000000,0.000000,2903.000000,2731.000000,1149.000000,0.000000,323.000000
0.000,3971.000000,2156.000000,47.000000,0.000000,2853.000000,2688.000000,1191.000000,0.000000,448.000000
0.000,3972.000000,2229.000000,23.000000,0.000000,2875.000000,2651.000000,1127.000000,0.000000,471.000000
0.000,3973.000000,2216.000000,36.000000,0.000000,2895.000000,2695.000000,1131.000000,0.000000,523.000000
0.000,3974.000000,3449.000000,87.000000,4.000000,3377.000000,3150.000000,213.000000,0.000000,70.000000
0.000,3975.000000,3541.000000,77.000000,0.000000,3385.000000,3193.000000,144.000000,0.000000,89.000000
0.000,3976.000000,3607.000000,79.000000,0.000000,3416.000000,3244.000000,155.000000,0.000000,37.000000
0.000,3977.000000,3675.000000,70.000000,0.000000,3502.000000,3336.000000,165.000000,0.000000,89.000000
0.000,3978.000000,3128.000000,74.000000,0.000000,3173.000000,3004.000000,471.000000,0.000000,137.000000
0.000,3979.000000,2223.000000,33.000000,0.000000,2875.000000,2642.000000,1148.000000,0.000000,519.000000
0.000,3980.000000,2193.000000,43.000000,0.000000,2892.000000,2660.000000,1150.000000,0.000000,460.000000
0.000,3981.000000,2151.000000,35.000000,0.000000,2856.000000,2658.000000,1193.000000,0.000000,391.000000
0.000,3982.000000,2211.000000,33.000000,0.000000,2900.000000,2680.000000,1100.000000,0.000000,505.000000
0.000,3983.000000,2207.000000,45.000000,0.000000,2855.000000,2680.000000,1157.000000,0.000000,398.000000
0.000,3984.000000,2224.000000,33.000000,0.000000,2955.000000,2713.000000,1173.000000,0.000000,444.000000
0.000,3985.000000,2197.000000,51.000000,0.000000,2857.000000,2676.000000,1136.000000,0.000000,371.000000
0.000,3986.000000,2239.000000,21.000000,0.000000,2911.000000,2671.000000,1067.000000,0.000000,408.000000
0.000,3987.000000,2220.000000,33.000000,0.000000,2911.000000,2662.000000,1086.000000,0.000000,379.000000
0.000,3988.000000,2201.000000,33.000000,0.000000,2899.000000,2685.000000,1145.000000,0.000000,407.000000
0.000,3989.000000,2169.000000,49.000000,0.000000,2859.000000,2652.000000,1173.000000,0.000000,537.000000
0.000,3990.000000,2215.000000,28.000000,0.000000,2912.000000,2669.000000,1184.000000,0.000000,457.000000
0.000,3991.000000,2190.000000,45.000000,0.000000,2879.000000,2664.000000,1166.000000,0.000000,388.000000
0.000,3992.000000,2129.000000,43.000000,0.000000,2861.000000,2655.000000,1239.000000,0.000000,435.000000
