time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,0.958697,1.000000,1.000000,1.000000,1.000000,0.951220,0.891543,0.924135
0.000,0.000000,0.545142,0.643806,0.000000,0.000000,0.000000,0.329986,0.243192,0.654392
0.000,1.000000,0.973524,1.000000,1.000000,1.000000,1.000000,0.957676,0.914477,0.924135
0.000,0.000000,0.530845,0.637693,0.000000,0.000000,0.000000,0.342539,0.301481,0.649512
0.000,1.000000,0.965316,1.000000,1.000000,0.952137,1.000000,0.949785,0.880076,0.946761
0.000,0.000000,0.535346,0.623339,0.043223,0.000000,0.000000,0.352224,0.284281,0.648625
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969871,0.943622,0.981366
0.000,0.000000,0.544083,0.633971,0.000000,0.000000,0.000000,0.341463,0.481128,0.650843
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.972023,0.957955,0.969831
0.000,0.000000,0.536140,0.639553,0.000000,0.000000,0.000000,0.346485,0.278548,0.617125
0.000,1.000000,0.990998,1.000000,1.000000,1.000000,1.000000,0.960545,0.908266,0.927240
0.000,0.000000,0.532168,0.633174,0.000000,0.000000,0.000000,0.322812,0.227903,0.613132
0.000,1.000000,0.997882,1.000000,1.000000,1.000000,1.000000,0.959828,0.905399,0.948980
0.000,0.000000,0.538787,0.636364,0.000000,0.000000,0.000000,0.330703,0.300526,0.625555
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.876923,0.980990,0.941233,0.947649
0.000,0.000000,0.547789,0.638224,0.000000,0.000000,0.000000,0.331420,0.236503,0.606921
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.962697,0.910177,0.942325
0.000,0.000000,0.542229,0.637959,0.000000,0.000000,0.000000,0.345409,0.299092,0.645075
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.965567,0.923555,0.973824
0.000,0.000000,0.532433,0.634237,0.000000,0.000000,0.011966,0.322812,0.290970,0.601154
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960545,0.905399,0.945430
0.000,0.000000,0.539317,0.637959,0.000000,0.000000,0.000000,0.331420,0.428571,0.604259
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.978479,0.934066,0.968500
0.000,0.000000,0.537464,0.637427,0.000000,0.000000,0.000000,0.326758,0.229814,0.610470
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.962339,0.958911,0.957853
0.000,0.000000,0.534286,0.637427,0.000000,0.000000,0.000000,0.312052,0.450549,0.596273
0.000,1.000000,1.000000,1.000000,0.958242,1.000000,1.000000,0.972023,0.919732,0.979148
0.000,0.000000,0.538523,0.627858,0.000000,0.000000,0.000000,0.348278,0.278548,0.638864
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.979555,0.948399,0.980479
0.000,0.000000,0.533227,0.632908,0.000000,0.000000,0.000000,0.294118,0.278548,0.631766
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.982800,1.000000
0.000,0.000000,0.520254,0.620415,0.000000,0.000000,0.000000,0.376614,0.282370,0.576309
0.000,0.000000,0.222928,0.395534,0.005861,0.000000,0.000000,0.252511,0.059723,0.180568
0.000,0.007082,0.043156,0.069644,0.000000,0.000000,0.000000,0.163558,0.046823,0.113576
0.000,1.000000,0.617951,0.559277,1.000000,1.000000,1.000000,0.901722,1.000000,0.791482
0.000,0.000000,0.224782,0.368687,0.000000,0.000000,0.000000,0.148494,0.013856,0.135759
0.000,0.033211,0.043156,0.076023,0.030037,0.025397,0.017338,0.161406,0.049212,0.093611
0.000,0.000000,0.198835,0.352738,0.000000,0.000000,0.000000,0.192253,0.013856,0.155723
0.000,0.000000,0.041567,0.059011,0.000488,0.000000,0.000000,0.166428,0.058767,0.111358
0.000,0.000000,0.071750,0.092238,0.005861,0.000000,0.000000,0.222023,0.059723,0.173026
0.000,0.000000,0.077045,0.100744,0.000000,0.000000,0.000000,0.239957,0.061634,0.173026
0.000,0.000000,0.074398,0.097023,0.000000,0.000000,0.000000,0.248924,0.050645,0.176131
0.000,0.000000,0.075986,0.101010,0.000000,0.000000,0.000000,0.243185,0.053989,0.172138
0.000,0.000000,0.072544,0.097289,0.000000,0.000000,0.000000,0.234218,0.048256,0.171695
0.000,0.000244,0.077045,0.100744,0.000000,0.000000,0.000000,0.240316,0.060678,0.173026
0.000,0.000488,0.072809,0.096491,0.000000,0.000000,0.000000,0.233142,0.050167,0.173026
0.000,0.000000,0.075457,0.098618,0.000000,0.000000,0.000000,0.238881,0.047778,0.170364
0.000,0.000000,0.072280,0.097289,0.000000,0.000000,0.000000,0.235294,0.053989,0.169033
0.000,0.000000,0.076516,0.099947,0.000000,0.000000,0.000000,0.240674,0.052078,0.168146
0.000,0.000000,0.072544,0.096757,0.000000,0.000000,0.000000,0.233501,0.048256,0.168146
0.000,0.000000,0.075192,0.100478,0.009524,0.000000,0.000000,0.237805,0.053034,0.170364
0.000,0.000000,0.071750,0.097289,0.000488,0.000000,0.000000,0.231707,0.048734,0.168146
0.000,0.000000,0.075986,0.099947,0.000000,0.000000,0.000000,0.237805,0.059723,0.170364
0.000,0.000000,0.072544,0.097289,0.000000,0.001465,0.000000,0.234577,0.053034,0.168589
0.000,0.002686,0.075457,0.100744,0.000000,0.000000,0.000000,0.240674,0.054467,0.169920
0.000,0.000488,0.070691,0.096757,0.000000,0.000000,0.000000,0.226686,0.052078,0.170364
0.000,0.000000,0.075457,0.100478,0.001954,0.000000,0.000000,0.241392,0.052556,0.169476
0.000,0.000000,0.000265,0.010101,0.000000,0.000000,0.000000,0.137016,0.000000,0.000000
0.000,0.087668,0.037331,0.011696,0.080830,0.066178,0.071551,0.190818,0.058767,0.089175
0.000,0.000000,0.041038,0.036683,0.000000,0.000000,0.000000,0.210187,0.040612,0.090062
0.000,0.021490,0.043685,0.034024,0.066422,0.004884,0.027106,0.220947,0.053989,0.098492
0.000,0.000000,0.015621,0.008240,0.000000,0.000000,0.000000,0.147776,0.023889,0.053239
0.000,0.041270,0.037861,0.024189,0.048107,0.032479,0.042002,0.185796,0.053989,0.091393
0.000,0.000000,0.011385,0.006380,0.000000,0.000000,0.000000,0.133429,0.023889,0.049689
0.000,0.030037,0.047127,0.042531,0.028816,0.037118,0.016117,0.205165,0.064023,0.101154
0.000,0.000000,0.015091,0.011696,0.000000,0.003663,0.000000,0.185438,0.030100,0.053239
0.000,0.001465,0.063013,0.065391,0.000000,0.000000,0.000000,0.228838,0.055901,0.150399
0.000,0.000000,0.066720,0.090643,0.000000,0.000000,0.000000,0.240316,0.049212,0.168589
0.000,0.000000,0.073868,0.096491,0.000000,0.000000,0.000000,0.254663,0.049689,0.169476
0.000,0.000000,0.070426,0.095428,0.004396,0.000000,0.004151,0.261119,0.046823,0.165040
0.000,0.000000,0.039449,0.040138,0.001709,0.004396,0.000000,0.195839,0.046345,0.087400
0.000,0.000000,0.029124,0.036151,0.000000,0.000000,0.000000,0.164993,0.036789,0.085182
0.000,0.013431,0.048981,0.043328,0.023687,0.022222,0.023443,0.195122,0.055901,0.105590
0.000,0.036874,0.032301,0.036151,0.000000,0.000000,0.000000,0.152798,0.035356,0.086069
0.000,0.005372,0.067249,0.080808,0.002442,0.000000,0.000000,0.216643,0.047301,0.146406
0.000,0.025153,0.067514,0.089314,0.000000,0.000000,0.000000,0.218077,0.049212,0.165927
0.000,0.008059,0.073339,0.090909,0.009524,0.000244,0.003907,0.059541,0.049212,0.147294
0.000,0.000000,0.066984,0.094099,0.000000,0.000000,0.000000,0.000000,0.052078,0.164153
0.000,0.000000,0.074662,0.097820,0.002930,0.000000,0.000000,0.087518,0.048734,0.168589
0.000,0.000000,0.065925,0.092504,0.000000,0.028083,0.000000,0.191535,0.048256,0.150843
0.000,0.002930,0.061689,0.074694,0.004396,0.000000,0.000000,0.163558,0.046345,0.115350
0.000,0.000000,0.041567,0.053163,0.000000,0.000000,0.001221,0.157102,0.034400,0.095386
