time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.034450,0.120117,0.000000,0.001010,0.000000,0.842940,0.087579,0.168923
0.000,0.000000,0.037295,0.120700,0.000000,0.000000,0.000000,0.843469,0.097310,0.170005
0.000,0.000000,0.037927,0.120991,0.000000,0.000000,0.000000,0.847700,0.090441,0.171088
0.000,0.000000,0.036030,0.120408,0.000000,0.000000,0.000000,0.846113,0.080137,0.168381
0.000,0.000000,0.034766,0.120408,0.000000,0.000000,0.000696,0.862507,0.084717,0.171088
0.000,0.000000,0.027813,0.120991,0.000000,0.000000,0.000000,0.079852,0.025186,0.157011
0.000,0.000000,0.036030,0.116327,0.000000,0.000000,0.000000,0.000000,0.017172,0.166757
0.000,0.000000,0.036030,0.110787,0.000000,0.000000,0.000000,0.084347,0.021752,0.166215
0.000,0.000000,0.023388,0.033528,0.000000,0.000000,0.007658,0.040984,0.013738,0.054142
0.000,0.000000,0.010746,0.017493,0.000000,0.000000,0.000000,0.105764,0.004579,0.033568
0.000,0.000000,0.033502,0.049563,0.000000,0.000000,0.000000,0.097039,0.024041,0.105577
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037811,0.001145,0.010287
0.000,0.000000,0.020860,0.023324,0.000000,0.000000,0.000000,0.047594,0.024041,0.059556
0.000,0.000000,0.011694,0.034985,0.000000,0.000000,0.000000,0.061872,0.000000,0.038982
0.000,0.000000,0.032870,0.075802,0.000000,0.001347,0.000000,0.094659,0.032055,0.151597
0.000,0.000000,0.025601,0.063848,0.000000,0.000000,0.000000,0.080116,0.024041,0.125068
0.000,0.000000,0.013274,0.059184,0.000000,0.000000,0.000696,0.065045,0.022896,0.085544
0.000,0.000000,0.018331,0.070262,0.000000,0.000000,0.000000,0.075093,0.026331,0.121278
0.000,0.000000,0.010746,0.072886,0.000000,0.002358,0.000000,0.076150,0.016600,0.124526
0.000,0.006301,0.018963,0.081050,0.000000,0.000000,0.000000,0.083818,0.022896,0.162426
0.000,0.003000,0.020228,0.078717,0.005389,0.000000,0.000000,0.085140,0.023469,0.162967
0.000,0.000000,0.018963,0.078134,0.000000,0.000000,0.000000,0.084611,0.023469,0.163508
0.000,0.000000,0.022756,0.078134,0.000000,0.000000,0.000000,0.090693,0.020607,0.161884
0.000,0.002100,0.018963,0.078134,0.000000,0.000000,0.000000,0.098361,0.025186,0.153763
0.000,0.000000,0.022440,0.078717,0.000000,0.002695,0.006265,0.083025,0.023469,0.129940
0.000,0.000000,0.018963,0.094169,0.000000,0.000000,0.000000,0.094923,0.021752,0.144559
0.000,0.005101,0.021808,0.096210,0.000000,0.000000,0.000000,0.088842,0.028620,0.138062
0.000,0.000000,0.020860,0.100000,0.000000,0.000000,0.000000,0.091222,0.020607,0.157553
0.000,0.000000,0.017699,0.098834,0.000000,0.000000,0.000000,0.090428,0.029765,0.159177
0.000,0.000000,0.018015,0.102041,0.001347,0.000000,0.000000,0.085405,0.022896,0.158094
0.000,0.007501,0.018963,0.105539,0.000000,0.000000,0.000000,0.084876,0.028048,0.163508
0.000,0.000000,0.016751,0.103207,0.000000,0.000000,0.000000,0.087255,0.030338,0.165674
0.000,0.000000,0.020860,0.103790,0.000000,0.000000,0.000000,0.086198,0.029765,0.161884
0.000,0.003600,0.018331,0.102332,0.000000,0.000000,0.000000,0.090693,0.022324,0.165674
0.000,0.000000,0.016435,0.102624,0.000000,0.000000,0.006961,0.089106,0.029765,0.161343
0.000,0.000000,0.022756,0.103790,0.000000,0.000000,0.000000,0.090957,0.032055,0.161343
0.000,0.000000,0.017067,0.104373,0.000000,0.000000,0.000000,0.089900,0.033200,0.161343
0.000,0.000000,0.020544,0.104373,0.000000,0.000000,0.003133,0.090428,0.024041,0.162426
0.000,0.000000,0.024336,0.105539,0.000000,0.000000,0.000000,0.105500,0.024041,0.167840
0.000,0.000000,0.031922,0.103790,0.000000,0.000000,0.000000,0.101534,0.022896,0.156470
0.000,0.000000,0.034450,0.102332,0.000000,0.000000,0.025409,0.105764,0.032055,0.154846
0.000,0.000000,0.039823,0.099708,0.000000,0.000000,0.000000,0.095188,0.023469,0.155387
0.000,0.000000,0.039823,0.099708,0.000000,0.008420,0.000696,0.094923,0.027476,0.153221
0.000,0.000000,0.041087,0.100583,0.002695,0.000000,0.003133,0.099947,0.019462,0.161343
0.000,0.000000,0.038559,0.091837,0.000000,0.000000,0.000000,0.104178,0.025186,0.163508
