time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,0.569840,0.682054,1.000000,1.000000,0.335364,0.649261,0.108782,0.430668
0.000,0.168010,0.652021,0.729036,0.141392,0.094505,0.294237,0.441872,0.474221,0.766700
0.000,0.974847,0.537836,0.647091,1.000000,1.000000,0.316578,0.615271,0.107649,0.351721
0.000,0.173138,0.661513,0.733406,0.162149,0.133089,0.298299,0.445813,0.487252,0.818320
0.000,0.983394,0.554380,0.674679,1.000000,1.000000,0.332318,0.610837,0.097450,0.446862
0.000,0.210989,0.660700,0.733952,0.183639,0.178022,0.299315,0.451724,0.483286,0.771255
0.000,0.925275,0.530784,0.646545,0.975336,0.995360,0.314801,0.614286,0.104249,0.377024
0.000,0.260562,0.666395,0.742693,0.195116,0.232967,0.302361,0.453695,0.409065,0.775304
0.000,0.799756,0.522918,0.638077,0.939927,0.927717,0.307438,0.601478,0.104249,0.382591
0.000,0.245177,0.678058,0.740508,0.221490,0.198535,0.308708,0.469458,0.642493,0.822368
0.000,0.833455,0.510985,0.628517,0.896703,0.869597,0.297284,0.549261,0.101983,0.385628
0.000,0.262027,0.680228,0.741328,0.232967,0.217582,0.317593,0.505419,0.471955,0.829960
0.000,0.838828,0.503390,0.634526,0.846642,0.871306,0.281036,0.566995,0.091785,0.358806
0.000,0.268376,0.690806,0.756624,0.236386,0.230281,0.400102,0.495567,0.543909,0.780870
0.000,0.764591,0.499051,0.615952,0.819048,0.817338,0.282051,0.516256,0.097450,0.351721
0.000,0.292308,0.693247,0.757990,0.257143,0.259829,0.319624,0.516749,0.540510,0.782389
0.000,0.748962,0.501763,0.625512,0.767521,0.807570,0.288906,0.538916,0.099717,0.359818
0.000,0.301587,0.695688,0.768369,0.257143,0.260073,0.390962,0.531034,0.535977,0.786943
0.000,0.713797,0.481692,0.608850,0.754335,0.770452,0.532622,0.540394,0.093484,0.354251
0.000,0.315995,0.700841,0.762906,0.292796,0.264469,0.372937,0.524631,0.507649,0.788968
0.000,0.664469,0.484676,0.605026,0.709158,0.717705,0.654481,0.525616,0.091218,0.357287
0.000,0.315263,0.703011,0.758536,0.270818,0.269353,0.272404,0.458128,0.488385,0.783401
0.000,0.668864,0.512341,0.648730,0.730647,0.723565,0.800203,0.573892,0.092351,0.436741
0.000,0.314774,0.709520,0.772193,0.287912,0.232967,0.273927,0.533005,0.468555,0.783401
0.000,0.663004,0.513426,0.646545,0.702076,0.742369,0.751714,0.566010,0.091785,0.440283
0.000,0.339683,0.717928,0.778203,0.306471,0.306960,0.303884,0.554187,0.523513,0.796053
0.000,0.639805,0.502305,0.643267,0.681563,0.690354,0.741305,0.533498,0.085552,0.436235
0.000,0.352381,0.697586,0.778749,0.266911,0.316484,0.322163,0.542857,0.501983,0.799089
0.000,0.631746,0.486574,0.635619,0.665690,0.671795,0.718203,0.527586,0.089518,0.421559
0.000,0.371917,0.688636,0.773832,0.337729,0.296947,0.334349,0.550739,0.454958,0.798077
0.000,0.579976,0.427719,0.609943,0.623199,0.637607,0.602437,0.473892,0.082720,0.377024
0.000,0.384615,0.717114,0.786943,0.354579,0.337241,0.354659,0.566010,0.481020,0.855263
0.000,0.591209,0.457825,0.614313,0.607814,0.623932,0.472455,0.483744,0.081586,0.400304
0.000,0.413919,0.709520,0.788582,0.392430,0.358242,0.401625,0.579803,0.777337,0.851721
0.000,0.100366,0.339843,0.517072,0.073504,0.051526,0.047474,0.157143,0.015864,0.371457
0.000,0.016606,0.103065,0.340344,0.000977,0.000000,0.099518,0.196059,0.027195,0.158401
0.000,0.000000,0.092758,0.219612,0.009035,0.000488,0.040619,0.184729,0.033428,0.131073
0.000,0.000000,0.092758,0.141491,0.023687,0.000000,0.006347,0.182266,0.023229,0.140688
0.000,0.004884,0.098183,0.118274,0.004396,0.000000,0.031226,0.188177,0.026629,0.147267
0.000,0.000244,0.097098,0.117454,0.000000,0.000000,0.016248,0.217241,0.026629,0.155364
0.000,0.000000,0.092487,0.110079,0.000000,0.000000,0.014471,0.261084,0.027762,0.159413
0.000,0.000000,0.096827,0.113084,0.000000,0.001954,0.024626,0.244828,0.035127,0.155364
0.000,0.060806,0.060212,0.018301,0.055433,0.062515,0.050013,0.057635,0.031728,0.042510
0.000,0.000000,0.608354,0.730128,0.000000,0.000000,0.165270,0.546305,0.498584,0.801619
0.000,0.447863,0.331977,0.633980,0.535043,0.498168,0.335364,0.490148,0.065722,0.366397
0.000,0.007570,0.096555,0.256487,0.008547,0.000000,0.022087,0.163054,0.035127,0.138158
0.000,0.017338,0.065094,0.074023,0.023443,0.018803,0.022595,0.053695,0.021530,0.032389
0.000,0.492552,0.731760,0.817536,0.454457,0.448352,0.465093,0.695567,0.664023,0.820344
0.000,0.486691,0.453485,0.617591,0.504762,0.530647,0.534907,0.449754,0.082720,0.434717
0.000,0.511111,0.740982,0.822453,0.483272,0.445421,0.500127,0.692118,0.589235,0.819838
0.000,0.478632,0.459452,0.630702,0.469841,0.495971,0.516629,0.451724,0.078187,0.431680
0.000,0.512576,0.744779,0.819995,0.492552,0.484249,0.501396,0.692118,0.606232,0.824393
0.000,0.442491,0.466504,0.625785,0.447131,0.467155,0.486672,0.447783,0.084986,0.417004
0.000,0.408303,0.770816,0.840208,0.388523,0.386813,0.382584,0.694581,0.664589,0.827429
0.000,0.458120,0.483862,0.617864,0.463248,0.488645,0.511043,0.454680,0.069122,0.436741
0.000,0.455189,0.784920,0.842120,0.349451,0.432479,0.440975,0.698522,0.639093,0.726721
0.000,0.408303,0.468402,0.614313,0.433700,0.439316,0.474232,0.432020,0.077620,0.419028
