time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.636635,0.667399,0.000000,0.000000,0.000000,0.171296,0.375549,0.744804
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989352,0.993730,0.990762
0.000,0.000000,0.632564,0.670085,0.000000,0.000000,0.000000,0.186574,0.337931,0.707852
0.000,1.000000,0.985346,1.000000,1.000000,1.000000,1.000000,0.978704,0.994984,0.998268
0.000,0.000000,0.631750,0.667888,0.000000,0.000000,0.000000,0.179630,0.383072,0.752309
0.000,1.000000,0.973406,1.000000,1.000000,1.000000,1.000000,0.983333,1.000000,1.000000
0.000,0.000000,0.636906,0.671306,0.000000,0.000000,0.000000,0.182407,0.602508,0.757506
0.000,1.000000,0.997286,1.000000,1.000000,1.000000,1.000000,1.000000,0.989969,0.970554
0.000,0.000000,0.639349,0.670330,0.000000,0.000000,0.000000,0.183333,0.532288,0.704388
0.000,1.000000,0.964993,1.000000,1.000000,1.000000,1.000000,0.964815,0.951724,0.931871
0.000,0.000000,0.644505,0.671795,0.000000,0.000000,0.000000,0.179630,0.346708,0.714203
0.000,1.000000,0.970421,1.000000,1.000000,1.000000,1.000000,0.966667,0.931661,0.971132
0.000,0.000000,0.644233,0.677656,0.000000,0.000000,0.000000,0.171759,0.300313,0.709584
0.000,1.000000,0.956038,1.000000,1.000000,1.000000,1.000000,0.951852,0.936677,0.934180
0.000,0.000000,0.638535,0.677656,0.000000,0.000000,0.000000,0.197685,0.314107,0.774249
0.000,1.000000,0.949254,0.987302,1.000000,1.000000,1.000000,0.962963,0.936677,0.939954
0.000,0.010501,0.641791,0.670818,0.000000,0.000000,0.000000,0.172222,0.426959,0.706120
0.000,1.000000,0.932157,0.983150,1.000000,1.000000,1.000000,0.945370,0.890282,0.920323
0.000,0.000000,0.632836,0.668864,0.000000,0.000000,0.000000,0.192130,0.306583,0.725173
0.000,1.000000,0.932157,0.976557,1.000000,1.000000,1.000000,0.959259,0.898433,0.918591
0.000,0.000000,0.646133,0.669109,0.006105,0.000000,0.000000,0.192593,0.313480,0.720554
0.000,1.000000,0.929172,0.978755,1.000000,1.000000,1.000000,0.953241,0.907210,0.909353
0.000,0.000000,0.644505,0.677167,0.000000,0.039316,0.000000,0.197685,0.304075,0.618938
0.000,1.000000,0.957395,0.988767,1.000000,1.000000,1.000000,0.975926,0.956113,0.929561
0.000,0.000000,0.651018,0.679609,0.001465,0.000000,0.000000,0.196296,0.321630,0.734411
0.000,1.000000,0.931343,0.962637,1.000000,1.000000,1.000000,0.959259,0.906583,0.908199
0.000,0.000000,0.649118,0.677167,0.000000,0.000000,0.000000,0.201389,0.415674,0.725173
0.000,1.000000,0.922931,0.966545,1.000000,1.000000,1.000000,0.933333,0.894044,0.889723
0.000,0.000000,0.643962,0.678877,0.000000,0.000000,0.038828,0.186111,0.410031,0.723441
0.000,1.000000,0.930258,0.973138,1.000000,1.000000,1.000000,0.945370,0.892163,0.916859
0.000,0.000000,0.647218,0.678632,0.000000,0.000000,0.000000,0.192593,0.617555,0.730947
0.000,1.000000,0.919132,0.982173,1.000000,1.000000,1.000000,0.942593,0.917868,0.889723
0.000,0.000000,0.649118,0.672772,0.000000,0.000000,0.000000,0.195833,0.457053,0.617783
0.000,1.000000,0.905020,0.946764,1.000000,1.000000,1.000000,0.943519,0.865831,0.885681
0.000,0.000000,0.647761,0.679121,0.000000,0.000000,0.000000,0.190278,0.418182,0.727483
0.000,1.000000,0.917503,0.951648,1.000000,1.000000,1.000000,0.921759,0.857053,0.870670
0.000,0.000000,0.652374,0.683516,0.000000,0.000000,0.000000,0.290741,0.444514,0.790416
0.000,0.108181,0.463229,0.593651,0.143346,0.065201,0.079365,0.301389,0.034483,0.286374
0.000,0.000488,0.137585,0.270085,0.000000,0.000000,0.000000,0.108333,0.023197,0.030600
0.000,0.000000,0.132972,0.137973,0.005617,0.015629,0.004884,0.064352,0.021944,0.042148
0.000,0.000000,0.120488,0.122344,0.000000,0.000000,0.000000,0.060648,0.000000,0.015012
0.000,0.004884,0.128901,0.114042,0.000977,0.000733,0.000000,0.079630,0.024451,0.035219
0.000,0.001221,0.118589,0.130891,0.000000,0.000000,0.000000,0.092593,0.016301,0.050808
0.000,0.009035,0.125102,0.132845,0.002442,0.011477,0.001221,0.071759,0.035110,0.054273
0.000,0.000000,0.093623,0.114286,0.000000,0.000000,0.085714,0.000000,0.003762,0.000000
0.000,0.001465,0.111262,0.146276,0.009035,0.000000,0.000000,0.092593,0.033229,0.116628
0.000,0.000000,0.000000,0.117460,0.000000,0.000000,0.000000,0.064815,0.031975,0.095266
0.000,0.000488,0.000000,0.111600,0.000000,0.001954,0.000000,0.137500,0.031975,0.115473
0.000,0.000000,0.000000,0.099634,0.000000,0.002686,0.000000,0.091667,0.028840,0.114319
0.000,0.006838,0.000000,0.121856,0.000000,0.000000,0.000000,0.105556,0.031975,0.118360
0.000,0.000000,0.000000,0.133089,0.000000,0.033944,0.000000,0.076852,0.033229,0.120092
0.000,0.000000,0.000000,0.128205,0.000000,0.000000,0.000000,0.091204,0.040752,0.119515
0.000,0.000000,0.000000,0.118193,0.000000,0.000000,0.000000,0.076852,0.026332,0.120670
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.092593,0.040752,0.124134
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064815,0.028213,0.120670
0.000,0.000000,0.090366,0.083272,0.000000,0.000000,0.000000,0.102778,0.042006,0.120092
0.000,0.000000,0.113161,0.129670,0.000000,0.000000,0.000000,0.062963,0.031975,0.121247
0.000,0.000000,0.064586,0.133578,0.000000,0.000000,0.000000,0.086574,0.031975,0.120092
0.000,0.000000,0.119132,0.141880,0.000000,0.000000,0.000000,0.093519,0.035110,0.122402
0.000,0.000000,0.130258,0.151404,0.000000,0.000000,0.000000,0.231019,0.032602,0.123557
