time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.918079,0.980097,0.000000,0.000000,0.000000,0.096552,0.327465,0.824074
0.000,0.000000,0.152542,0.388766,0.000000,0.000000,0.000000,0.087356,0.169014,0.125926
0.000,1.000000,0.381921,0.571429,1.000000,1.000000,1.000000,0.771264,0.485915,0.296296
0.000,0.000000,0.096610,0.083149,0.000000,0.000000,0.000000,0.100000,0.239437,0.165741
0.000,0.198394,0.163277,0.115878,0.192746,0.215242,0.108902,0.408046,0.387324,0.269444
0.000,0.000000,0.048588,0.024768,0.000000,0.000000,0.000000,0.071264,0.077465,0.047222
0.000,0.158257,0.159322,0.112782,0.150259,0.175077,0.137311,0.379310,0.355634,0.260185
0.000,0.000000,0.083616,0.044228,0.017617,0.000000,0.000000,0.082759,0.140845,0.086111
0.000,0.313073,0.184181,0.113667,0.224870,0.235839,0.190341,0.420690,0.355634,0.263889
0.000,0.000000,0.027119,0.022114,0.000000,0.000000,0.000000,0.049425,0.070423,0.033333
0.000,0.090596,0.152542,0.109244,0.000000,0.039135,0.068182,0.314943,0.352113,0.250926
0.000,0.000000,0.061017,0.034940,0.000000,0.000000,0.057765,0.059770,0.063380,0.062963
0.000,0.293578,0.172881,0.110571,0.351295,0.221421,0.218750,0.547126,0.376761,0.252778
0.000,0.000000,0.021469,0.020787,0.000000,0.000000,0.000000,0.039080,0.021127,0.020370
0.000,0.235092,0.158192,0.118089,0.073575,0.173018,0.143939,0.396552,0.345070,0.260185
0.000,0.000000,0.046328,0.043344,0.000000,0.000000,0.000000,0.075862,0.063380,0.051852
0.000,0.161697,0.158757,0.118532,0.180311,0.155510,0.127841,0.403448,0.422535,0.250926
0.000,0.000000,0.044068,0.031402,0.000000,0.000000,0.000000,0.058621,0.070423,0.049074
0.000,0.719037,0.209040,0.133569,0.695337,0.630278,0.586174,0.818391,0.387324,0.262037
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.879587,0.209040,0.119858,0.743005,0.707518,0.703598,1.000000,0.369718,0.252778
0.000,0.000000,0.019209,0.011499,0.000000,0.000000,0.000000,0.039080,0.042254,0.023148
0.000,0.198394,0.135593,0.091995,0.222798,0.159629,0.302083,0.458621,0.338028,0.250926
0.000,0.000000,0.075706,0.064573,0.003109,0.000000,0.000000,0.091954,0.144366,0.104630
0.000,0.012615,0.109040,0.082264,0.012435,0.006179,0.008523,0.234483,0.267606,0.175000
0.000,0.000000,0.124294,0.106148,0.000000,0.000000,0.000000,0.144828,0.271127,0.196296
0.000,0.000000,0.143503,0.118089,0.008290,0.000000,0.028409,0.251724,0.271127,0.207407
0.000,0.000000,0.085876,0.074303,0.000000,0.000000,0.000000,0.091954,0.140845,0.103704
0.000,0.034404,0.151412,0.120301,0.022798,0.049434,0.017045,0.300000,0.281690,0.228704
0.000,0.000000,0.205650,0.199027,0.000000,0.000000,0.000000,0.183908,0.330986,0.374074
0.000,0.029817,0.155932,0.124724,0.053886,0.022657,0.137311,0.296552,0.316901,0.225000
0.000,0.000000,0.110734,0.089341,0.000000,0.000000,0.000000,0.121839,0.161972,0.140741
0.000,0.000000,0.155367,0.128262,0.000000,0.012358,0.000947,0.270115,0.323944,0.236111
0.000,0.000000,0.050847,0.038479,0.000000,0.000000,0.000000,0.202299,0.073944,0.056481
0.000,0.137615,0.124294,0.079611,0.077720,0.021627,0.113636,0.434483,0.408451,0.239815
0.000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.935632,1.000000,1.000000
0.000,0.037844,0.380791,0.559487,0.034197,0.020597,0.023674,0.510345,0.408451,0.275926
0.000,0.000000,0.057627,0.130031,0.000000,0.000000,0.000000,0.236782,0.021127,0.076852
0.000,0.002294,0.233898,0.199469,0.000000,0.000000,0.116477,0.618391,0.366197,0.389815
0.000,0.000000,0.224859,0.220257,0.000000,0.006179,0.000000,0.655172,0.373239,0.391667
0.000,0.020642,0.225424,0.199912,0.010363,0.057673,0.017992,0.731034,0.387324,0.338889
0.000,0.000000,0.216949,0.209642,0.000000,0.000000,0.000000,0.673563,0.330986,0.350926
0.000,0.010321,0.253672,0.233525,0.000000,0.056643,0.018939,0.921839,0.376761,0.395370
0.000,0.000000,0.167797,0.167183,0.000000,0.000000,0.000000,0.775862,0.211268,0.259259
0.000,0.006881,0.224859,0.193277,0.005181,0.000000,0.015152,0.813793,0.348592,0.326852
0.000,0.000000,0.176271,0.164529,0.000000,0.000000,0.000000,0.614943,0.257042,0.258333
0.000,0.002294,0.173446,0.142415,0.052850,0.057673,0.000000,0.475862,0.299296,0.232407
0.000,0.000000,0.103390,0.078726,0.006218,0.000000,0.000000,0.268966,0.232394,0.137963
0.000,0.009174,0.155932,0.105263,0.000000,0.004119,0.000000,0.357471,0.295775,0.206481
0.000,0.000000,0.190960,0.148165,0.000000,0.000000,0.000000,0.455172,0.327465,0.309259
0.000,0.000000,0.216949,0.164087,0.000000,0.000000,0.001894,0.512644,0.390845,0.280556
0.000,0.000000,0.218079,0.193720,0.000000,0.000000,0.000000,0.549425,0.345070,0.339815
0.000,0.008028,0.188136,0.147280,0.031088,0.182286,0.000000,0.504598,0.274648,0.229630
0.000,0.002294,0.196610,0.170721,0.000000,0.000000,0.004735,0.551724,0.302817,0.325000
0.000,0.005734,0.153672,0.117647,0.021762,0.000000,0.000000,0.445977,0.281690,0.195370
0.000,0.000000,0.081356,0.061035,0.000000,0.000000,0.000000,0.256322,0.176056,0.111111
0.000,0.000000,0.140113,0.105263,0.000000,0.028836,0.015152,0.348276,0.253521,0.187963
0.000,0.005734,0.118644,0.093322,0.000000,0.000000,0.000000,0.312644,0.306338,0.193519
0.000,0.000000,0.133333,0.107032,0.000000,0.000000,0.000000,0.335632,0.271127,0.180556
0.000,0.000000,0.147458,0.125166,0.000000,0.000000,0.000000,0.382759,0.257042,0.226852
0.000,0.001147,0.170621,0.159222,0.002073,0.000000,0.000000,0.457471,0.323944,0.280556
0.000,0.029817,0.169492,0.169394,0.002073,0.000000,0.000000,0.485057,0.323944,0.278704
0.000,0.000000,0.211299,0.216718,0.000000,0.000000,0.000000,0.601149,0.345070,0.348148
0.000,0.000000,0.214689,0.220257,0.000000,0.000000,0.000000,0.595402,0.401408,0.358333
0.000,0.000000,0.222599,0.238832,0.007254,0.003090,0.091856,0.648276,0.316901,0.377778
0.000,0.004587,0.212994,0.231756,0.000000,0.011329,0.000000,0.651724,0.323944,0.389815
0.000,0.000000,0.223729,0.238832,0.000000,0.000000,0.001894,0.664368,0.352113,0.393519
0.000,0.000000,0.211299,0.231314,0.000000,0.000000,0.060606,0.664368,0.338028,0.395370
0.000,0.000000,0.222034,0.237948,0.000000,0.000000,0.000000,0.688506,0.330986,0.392593
0.000,0.024083,0.210169,0.232640,0.000000,0.000000,0.000000,0.662069,0.376761,0.394444
0.000,0.000000,0.227119,0.234410,0.000000,0.000000,0.000000,0.687356,0.330986,0.392593
0.000,0.000000,0.118644,0.109244,0.000000,0.000000,0.000000,0.425287,0.242958,0.175000
0.000,0.000000,0.113559,0.084034,0.000000,0.002060,0.000000,0.389655,0.239437,0.166667
0.000,0.000000,0.159322,0.130473,0.000000,0.000000,0.000000,0.420690,0.345070,0.296296
0.000,0.000000,0.122034,0.089783,0.165803,0.000000,0.000000,0.344828,0.288732,0.176852
0.000,0.000000,0.084181,0.051305,0.000000,0.000000,0.000000,0.228736,0.116197,0.096296
0.000,0.168578,0.135593,0.097302,0.088083,0.078270,0.091856,0.349425,0.338028,0.207407
0.000,0.000000,0.074576,0.056612,0.000000,0.000000,0.000000,0.237931,0.098592,0.105556
0.000,0.000000,0.127119,0.100840,0.051813,0.003090,0.000000,0.324138,0.242958,0.179630
0.000,0.000000,0.083616,0.061920,0.000000,0.000000,0.000000,0.251724,0.260563,0.136111
0.000,0.000000,0.142373,0.107917,0.005181,0.000000,0.000000,0.388506,0.299296,0.194444
0.000,0.010321,0.210169,0.211411,0.000000,0.000000,0.000000,0.600000,0.394366,0.395370
0.045,0.000000,0.223729,0.232640,0.034197,0.000000,0.000000,0.664368,0.366197,0.400926
0.095,0.000000,0.219774,0.230871,0.000000,0.000000,0.000000,0.688506,0.387324,0.395370
0.195,0.000000,0.189831,0.171605,0.000000,0.000000,0.000000,0.522989,0.323944,0.275000
0.195,0.000000,0.133333,0.116320,0.000000,0.000000,0.000000,0.372414,0.235915,0.174074
0.245,0.000000,0.158757,0.121185,0.000000,0.000000,0.000000,0.403448,0.267606,0.217593
0.295,0.000000,0.121469,0.099956,0.000000,0.000000,0.000000,0.313793,0.260563,0.170370
0.345,0.000000,0.107345,0.099956,0.000000,0.017508,0.000000,0.327586,0.264085,0.166667
0.395,0.000000,0.099435,0.080495,0.000000,0.004119,0.000000,0.308046,0.190141,0.158333
0.445,0.000000,0.100000,0.070323,0.000000,0.000000,0.000000,0.290805,0.295775,0.151852
0.495,0.014908,0.066667,0.041575,0.000000,0.000000,0.000000,0.218391,0.225352,0.104630
0.545,0.010321,0.138983,0.114993,0.000000,0.000000,0.015152,0.403448,0.228873,0.199074
0.595,0.004587,0.061017,0.044228,0.000000,0.001030,0.000000,0.202299,0.207746,0.101852
0.645,0.000000,0.082486,0.058824,0.000000,0.000000,0.000000,0.258621,0.200704,0.119444
0.695,0.003440,0.142373,0.118974,0.000000,0.000000,0.000000,0.388506,0.274648,0.254630
0.745,0.037844,0.108475,0.075188,0.071503,0.001030,0.089962,0.312644,0.281690,0.148148
0.795,0.000000,0.126554,0.113667,0.000000,0.000000,0.000000,0.482759,0.242958,0.178704
0.845,0.000000,0.083616,0.057497,0.066321,0.000000,0.000000,0.245977,0.228873,0.112037
0.895,0.000000,0.094915,0.071207,0.000000,0.000000,0.000000,0.251724,0.246479,0.147222
0.945,0.027523,0.111864,0.086687,0.006218,0.000000,0.023674,0.319540,0.288732,0.178704
0.995,0.000000,0.101130,0.091995,0.000000,0.000000,0.000000,0.316092,0.274648,0.173148
1.045,0.000000,0.146328,0.130473,0.010363,0.000000,0.000000,0.434483,0.299296,0.230556
1.095,0.000000,0.170621,0.172490,0.000000,0.000000,0.000000,0.527586,0.316901,0.284259
1.145,0.000000,0.212429,0.206546,0.000000,0.000000,0.000000,0.596552,0.345070,0.337963
1.195,0.000000,0.194915,0.204334,0.003109,0.010299,0.000000,0.587356,0.316901,0.328704
1.245,0.000000,0.208475,0.222468,0.018653,0.000000,0.000000,0.622989,0.390845,0.337963
1.295,0.000000,0.179661,0.185759,0.000000,0.009269,0.000000,0.526437,0.352113,0.285185
1.345,0.000000,0.174011,0.161875,0.000000,0.029866,0.011364,0.474713,0.309859,0.266667
1.395,0.000000,0.161582,0.163644,0.000000,0.000000,0.000000,0.457471,0.309859,0.251852
1.445,0.000000,0.183051,0.164529,0.000000,0.000000,0.000000,0.467816,0.309859,0.263889
1.495,0.000000,0.150282,0.137107,0.000000,0.000000,0.000000,0.409195,0.302817,0.230556
1.545,0.000000,0.161582,0.142415,0.000000,0.000000,0.000000,0.457471,0.327465,0.241667
1.595,0.000000,0.155367,0.144184,0.000000,0.000000,0.000000,0.429885,0.288732,0.254630
1.645,0.000000,0.162712,0.146838,0.000000,0.000000,0.000000,0.443678,0.362676,0.240741
1.695,0.000000,0.131073,0.130031,0.000000,0.010299,0.000000,0.402299,0.267606,0.215741
1.745,0.000000,0.153672,0.131800,0.000000,0.000000,0.049242,0.406897,0.281690,0.212037
1.795,0.255734,0.124294,0.125608,0.000000,0.000000,0.000000,0.386207,0.299296,0.210185
1.845,0.000000,0.153672,0.129589,0.000000,0.000000,0.000000,0.413793,0.274648,0.225000
1.895,0.000000,0.131073,0.120301,0.002073,0.000000,0.000000,0.372414,0.330986,0.208333
1.945,0.010321,0.150282,0.105263,0.207254,0.044284,0.000000,0.348276,0.288732,0.180556
1.995,0.000000,0.112994,0.099071,0.000000,0.000000,0.000000,0.320690,0.253521,0.175000
2.045,0.000000,0.122599,0.104379,0.020725,0.020597,0.000000,0.332184,0.253521,0.174074
2.095,0.034404,0.111864,0.089783,0.004145,0.000000,0.000000,0.313793,0.274648,0.173148
2.145,0.002294,0.127684,0.098187,0.000000,0.000000,0.192235,0.328736,0.302817,0.175000
2.195,0.000000,0.102825,0.091110,0.000000,0.083419,0.000000,0.310345,0.309859,0.169444
2.245,0.136468,0.118644,0.099071,0.000000,0.007209,0.000000,0.328736,0.242958,0.167593
2.295,0.000000,0.131073,0.113667,0.000000,0.000000,0.000000,0.365517,0.264085,0.210185
2.345,0.018349,0.168927,0.156126,0.040415,0.000000,0.004735,0.459770,0.338028,0.260185
2.395,0.034404,0.162712,0.162318,0.000000,0.000000,0.000000,0.452874,0.355634,0.262037
2.445,0.000000,0.166102,0.160548,0.000000,0.000000,0.000000,0.462069,0.323944,0.259259
2.495,0.000000,0.159322,0.157895,0.000000,0.000000,0.000000,0.443678,0.327465,0.256481
2.545,0.009174,0.159322,0.154799,0.000000,0.000000,0.000000,0.485057,0.306338,0.248148
2.595,0.000000,0.146893,0.151703,0.000000,0.000000,0.082386,0.439080,0.281690,0.250926
2.645,0.000000,0.166102,0.160106,0.000000,0.002060,0.000000,0.467816,0.309859,0.252778
2.695,0.000000,0.154237,0.158337,0.005181,0.000000,0.000000,0.449425,0.288732,0.254630
2.745,0.000000,0.159887,0.160106,0.000000,0.000000,0.000000,0.457471,0.352113,0.255556
2.795,0.000000,0.155932,0.163644,0.000000,0.000000,0.000000,0.452874,0.338028,0.262963
2.845,0.000000,0.172881,0.165414,0.000000,0.000000,0.000000,0.462069,0.334507,0.263889
2.895,0.000000,0.160452,0.165414,0.000000,0.000000,0.037879,0.480460,0.316901,0.282407
2.945,0.000000,0.162712,0.168952,0.000000,0.000000,0.000947,0.478161,0.309859,0.266667
2.995,0.028670,0.153672,0.149491,0.016580,0.000000,0.000000,0.445977,0.302817,0.257407
3.045,0.000000,0.154802,0.144626,0.000000,0.000000,0.000000,0.452874,0.292254,0.238889
