time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.095929,0.112920,0.000000,0.000000,0.000759,0.211128,0.069909,0.138013
0.000,0.000000,0.110036,0.121926,0.000000,0.005975,0.000000,0.249238,0.052685,0.145152
0.000,0.000000,0.088271,0.100450,0.007613,0.000000,0.000000,0.185213,0.058764,0.118977
0.000,0.000000,0.101975,0.110842,0.000000,0.000000,0.000000,0.211890,0.046606,0.129090
0.000,0.000000,0.080613,0.097679,0.000381,0.000000,0.000000,0.194360,0.054711,0.116597
0.000,0.000000,0.098751,0.108763,0.000000,0.005975,0.000000,0.217988,0.046606,0.120761
0.000,0.000000,0.072551,0.085902,0.022459,0.005975,0.000000,0.176067,0.057751,0.099941
0.000,0.000000,0.075776,0.081053,0.000000,0.000000,0.000000,0.175305,0.038501,0.097561
0.000,0.000000,0.071745,0.085210,0.002284,0.004854,0.000000,0.180640,0.046606,0.103510
0.000,0.000000,0.116485,0.133703,0.000000,0.000000,0.000000,0.262957,0.055724,0.183224
0.000,0.000000,0.111649,0.139938,0.000000,0.000000,0.000000,0.288110,0.063830,0.189173
0.000,0.000000,0.122934,0.149290,0.000000,0.000000,0.000000,0.303354,0.056738,0.190363
0.000,0.000000,0.109230,0.144787,0.000000,0.001867,0.000000,0.286585,0.062817,0.190363
0.000,0.000000,0.122934,0.153446,0.000000,0.000000,0.000000,0.300305,0.079027,0.191553
0.000,0.000000,0.110842,0.144787,0.000000,0.000000,0.000000,0.285061,0.066869,0.188578
0.000,0.000000,0.117291,0.153100,0.000000,0.000000,0.000000,0.297256,0.054711,0.188578
0.000,0.000000,0.108021,0.144787,0.000000,0.000000,0.000000,0.292683,0.086120,0.188578
0.000,0.000000,0.120516,0.152407,0.000000,0.000000,0.000000,0.312500,0.078014,0.193337
0.000,0.000000,0.113261,0.146519,0.000000,0.000000,0.000000,0.309451,0.080041,0.186199
0.000,0.000000,0.124547,0.154486,0.000000,0.000000,0.000000,0.320122,0.059777,0.190363
0.000,0.000000,0.112052,0.145480,0.000000,0.000000,0.000000,0.304116,0.066869,0.188578
0.000,0.000000,0.122934,0.154486,0.000000,0.000000,0.001898,0.314024,0.058764,0.189173
0.000,0.000000,0.114470,0.143748,0.000000,0.000000,0.000000,0.297256,0.071935,0.189768
0.000,0.000000,0.124950,0.154486,0.000000,0.000000,0.000000,0.298780,0.056738,0.188578
0.000,0.000000,0.114067,0.141323,0.000000,0.000000,0.000000,0.292683,0.079027,0.192742
0.000,0.000000,0.120516,0.155871,0.000000,0.000000,0.000000,0.298018,0.077001,0.191553
0.000,0.000000,0.112052,0.146865,0.000000,0.000000,0.000000,0.297256,0.066869,0.189173
0.000,0.000000,0.119710,0.153100,0.000000,0.000000,0.000000,0.317073,0.072948,0.189173
0.000,0.000000,0.106409,0.140630,0.000000,0.000000,0.000000,0.312500,0.074975,0.189173
0.000,0.007825,0.122128,0.154486,0.000000,0.000000,0.000000,0.312500,0.070922,0.188578
0.000,0.000000,0.110842,0.146172,0.000000,0.003361,0.000000,0.314787,0.077001,0.187983
0.000,0.000000,0.120516,0.153100,0.000000,0.000000,0.000000,0.320122,0.057751,0.190958
0.000,0.000000,0.110842,0.146172,0.000000,0.000000,0.000000,0.310976,0.079027,0.190363
0.000,0.000000,0.122128,0.153446,0.000000,0.000000,0.000000,0.318598,0.059777,0.190363
0.000,0.000000,0.115276,0.145826,0.000000,0.000000,0.000000,0.310976,0.059777,0.187388
0.000,0.000000,0.122934,0.153793,0.000000,0.000000,0.007593,0.317073,0.078014,0.193337
0.000,0.000000,0.111245,0.144787,0.000000,0.000000,0.000000,0.306402,0.066869,0.192742
0.000,0.000000,0.121322,0.153100,0.000000,0.000000,0.000000,0.314024,0.066869,0.187983
0.000,0.000000,0.113261,0.140630,0.000000,0.000000,0.000000,0.283537,0.055724,0.174896
0.000,0.000000,0.116485,0.144787,0.000000,0.000000,0.000000,0.292683,0.047619,0.171327
0.000,0.031690,0.057235,0.069276,0.030834,0.026139,0.010251,0.253049,0.081054,0.080309
0.000,0.000000,0.072954,0.084517,0.000000,0.000000,0.000000,0.230183,0.024316,0.098156
0.000,0.000000,0.064490,0.074125,0.007994,0.000000,0.000000,0.190549,0.067882,0.098751
0.000,0.000000,0.116485,0.133703,0.000000,0.000000,0.000000,0.314024,0.065856,0.176681
0.000,0.000000,0.109230,0.140630,0.000000,0.000000,0.000000,0.333841,0.059777,0.189768
0.000,0.000000,0.119710,0.151715,0.001903,0.000000,0.000000,0.349848,0.074975,0.188578
0.000,0.012911,0.091495,0.098026,0.001523,0.000000,0.006074,0.213415,0.072948,0.125521
0.000,0.000000,0.089077,0.095601,0.000000,0.000000,0.000000,0.209604,0.050659,0.126710
0.000,0.000000,0.103587,0.134396,0.000000,0.000000,0.000000,0.314024,0.064843,0.189173
0.000,0.002739,0.076179,0.096294,0.001523,0.000000,0.000000,0.196646,0.040527,0.088043
0.000,0.107199,0.083434,0.090059,0.078036,0.076176,0.077069,0.199695,0.064843,0.100535
0.000,0.001565,0.066505,0.078975,0.000000,0.000373,0.000000,0.154726,0.052685,0.088638
0.000,0.001174,0.070536,0.081053,0.000761,0.001120,0.004176,0.166159,0.062817,0.098156
0.000,0.000000,0.101169,0.108763,0.000000,0.000000,0.000000,0.241616,0.056738,0.157049
0.000,0.890063,0.170496,0.124697,0.890369,0.896191,0.936598,0.394817,0.137791,0.073171
0.000,0.675274,1.000000,1.000000,0.598021,0.569455,0.568337,1.000000,1.000000,1.000000
0.000,0.915493,0.381701,0.493246,0.870955,0.853996,0.891800,0.385671,0.143870,0.106484
0.000,0.000000,0.091898,0.144787,0.000000,0.000000,0.000000,0.173780,0.024316,0.114813
0.000,0.278951,0.435711,0.488396,0.273696,0.256161,0.212984,0.381098,0.098278,0.387864
0.000,0.000000,0.064893,0.072740,0.000000,0.000000,0.000000,0.131860,0.038501,0.113623
0.000,1.000000,0.179766,0.109456,1.000000,1.000000,1.000000,0.375000,0.143870,0.080309
0.000,0.548905,0.956066,0.974714,0.494480,0.494025,0.459757,0.961890,0.883485,0.989887
0.000,0.252347,0.086659,0.180811,0.240579,0.243839,0.247912,0.127287,0.081054,0.069601
0.000,0.000000,0.035873,0.031867,0.000000,0.000000,0.000000,0.057927,0.000000,0.065437
0.000,0.057903,0.051995,0.046761,0.060906,0.062360,0.053531,0.121951,0.066869,0.080904
0.000,0.000000,0.075776,0.074818,0.000000,0.000000,0.000000,0.161585,0.062817,0.107674
0.000,0.000000,0.068118,0.067544,0.000000,0.000000,0.000000,0.141768,0.052685,0.098751
0.000,0.000000,0.126965,0.138206,0.000000,0.000000,0.000000,0.317073,0.075988,0.193932
0.000,0.000000,0.116888,0.142709,0.000000,0.000000,0.000000,0.323933,0.074975,0.198691
0.000,0.000000,0.076179,0.084170,0.000000,0.000000,0.000000,0.178354,0.048632,0.110054
0.000,0.027778,0.045546,0.035331,0.039589,0.045930,0.036826,0.084604,0.077001,0.066627
0.000,0.000000,0.072148,0.072740,0.000000,0.009335,0.000000,0.128049,0.032421,0.086258
0.000,0.000000,0.067715,0.064427,0.003426,0.000000,0.000000,0.125000,0.054711,0.089233
0.000,0.000000,0.093511,0.095601,0.000000,0.000000,0.000000,0.187500,0.074975,0.136228
0.000,0.000000,0.113261,0.134396,0.000000,0.000000,0.000000,0.268293,0.059777,0.193337
0.000,0.059468,0.114067,0.133010,0.009136,0.000000,0.000000,0.240854,0.048632,0.152290
0.000,0.001565,0.088271,0.101489,0.007994,0.002240,0.011010,0.219512,0.043566,0.113028
0.000,0.000000,0.075373,0.081746,0.000000,0.000000,0.000000,0.184451,0.038501,0.088043
0.000,0.000391,0.051189,0.053343,0.000000,0.005228,0.000000,0.108994,0.040527,0.070791
0.000,0.001956,0.064087,0.064427,0.000000,0.000000,0.000759,0.128049,0.040527,0.080904
0.000,0.000000,0.094720,0.091444,0.000000,0.001494,0.006074,0.205793,0.054711,0.147531
0.000,0.000000,0.122531,0.135088,0.000000,0.000000,0.033789,0.294207,0.058764,0.176086
0.044,0.000000,0.118501,0.139245,0.000000,0.002240,0.118451,0.294970,0.066869,0.179060
0.094,0.000000,0.122934,0.143401,0.000000,0.000000,0.055809,0.301067,0.060790,0.169542
0.144,0.003130,0.094720,0.104260,0.009517,0.005975,0.094153,0.224848,0.063830,0.134444
0.194,0.000000,0.097138,0.103914,0.000000,0.000000,0.165907,0.221037,0.053698,0.136823
0.244,0.000000,0.114067,0.135088,0.006852,0.000000,0.186409,0.263720,0.066869,0.186794
0.294,0.000000,0.107618,0.128161,0.000000,0.000000,0.182612,0.245427,0.056738,0.147531
0.344,0.000000,0.113261,0.137167,0.000000,0.000000,0.188686,0.236280,0.059777,0.176086
0.394,0.000000,0.122531,0.146519,0.000000,0.000000,0.153759,0.333841,0.080041,0.191553
0.444,0.000000,0.116082,0.146519,0.000000,0.000000,0.147684,0.329268,0.068896,0.186199
0.494,0.000000,0.115679,0.132317,0.009136,0.000000,0.000000,0.278963,0.084093,0.164783
0.544,0.003130,0.038694,0.037409,0.000000,0.003734,0.012528,0.085366,0.050659,0.057704
0.594,0.000000,0.074164,0.077589,0.000000,0.000000,0.000000,0.164634,0.043566,0.098751
0.644,0.000000,0.116485,0.131278,0.000000,0.000000,0.000000,0.301829,0.068896,0.191553
0.694,0.000000,0.122128,0.146519,0.000000,0.000000,0.000380,0.326220,0.066869,0.193932
0.744,0.000000,0.117291,0.146172,0.000000,0.000000,0.000000,0.342988,0.066869,0.196907
0.794,0.000000,0.122531,0.151022,0.000000,0.000000,0.000000,0.346037,0.057751,0.195122
0.844,0.000000,0.118904,0.147558,0.000000,0.000000,0.000000,0.340701,0.064843,0.196907
0.894,0.000000,0.123337,0.152407,0.000000,0.000000,0.159074,0.355183,0.057751,0.196312
0.944,0.000000,0.120516,0.147904,0.000000,0.000000,0.003417,0.342988,0.070922,0.193337
0.994,0.000000,0.123740,0.152407,0.000000,0.000000,0.118831,0.347561,0.056738,0.196312
1.044,0.000000,0.117291,0.147558,0.000000,0.000000,0.206910,0.351372,0.056738,0.197501
1.094,0.000000,0.122934,0.149290,0.000000,0.000000,0.044799,0.346037,0.064843,0.195122
1.144,0.000000,0.119307,0.148251,0.000000,0.000000,0.000000,0.342988,0.075988,0.196312
1.194,0.000000,0.122128,0.151022,0.000000,0.000000,0.000000,0.340701,0.068896,0.196312
1.244,0.000000,0.120516,0.147558,0.005710,0.000000,0.000000,0.340701,0.062817,0.195717
1.294,0.000000,0.124547,0.146172,0.000000,0.000000,0.001139,0.338415,0.054711,0.196312
1.344,0.000000,0.115679,0.140630,0.000000,0.000000,0.003797,0.309451,0.059777,0.167757
1.394,0.000000,0.089077,0.111881,0.000000,0.000000,0.000000,0.213415,0.046606,0.111838
1.444,0.000000,0.052801,0.057846,0.000000,0.000000,0.000000,0.121189,0.052685,0.073766
