time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.004038,0.062939,0.115668,0.000977,0.000000,0.002198,0.179816,0.008238,0.042424
0.000,0.004038,0.048114,0.051817,0.000000,0.000000,0.023443,0.091710,0.001831,0.000000
0.000,0.114084,0.182055,0.113212,0.102320,0.104762,0.106227,0.230276,0.019680,0.102098
0.000,0.051237,0.072822,0.063605,0.037363,0.042247,0.032479,0.120945,0.011899,0.017716
0.000,0.061333,0.143823,0.106827,0.048107,0.048596,0.046886,0.166199,0.016476,0.098368
0.000,0.033569,0.065280,0.062623,0.038584,0.041758,0.035897,0.102924,0.014645,0.017716
0.000,0.038617,0.109493,0.105108,0.024908,0.028327,0.052503,0.106928,0.019680,0.096970
0.000,0.037607,0.059558,0.057957,0.014408,0.066667,0.023443,0.078895,0.010069,0.013520
0.000,0.038364,0.111573,0.106827,0.033944,0.031990,0.033944,0.121346,0.019222,0.099301
0.000,0.027511,0.060078,0.058939,0.027106,0.027350,0.037363,0.092511,0.014188,0.013520
0.000,0.026754,0.159948,0.106827,0.062271,0.057387,0.058608,0.162996,0.012357,0.100233
0.000,0.011863,0.054616,0.058939,0.018559,0.013187,0.031258,0.077293,0.009153,0.011655
0.000,0.043665,0.094928,0.106827,0.044689,0.023199,0.021245,0.109331,0.013272,0.096037
0.000,0.036598,0.056957,0.060904,0.041026,0.019536,0.070330,0.090108,0.008238,0.011655
0.000,0.050732,0.096489,0.108301,0.028571,0.025153,0.026129,0.110933,0.016476,0.097902
0.000,0.020949,0.055917,0.059676,0.025153,0.011477,0.012454,0.074489,0.010069,0.011655
0.000,0.034326,0.093888,0.108301,0.029060,0.027106,0.035409,0.122147,0.016476,0.096503
0.000,0.043665,0.060078,0.060658,0.024420,0.021734,0.027839,0.094113,0.014188,0.008858
0.000,0.060071,0.127178,0.107318,0.050061,0.046642,0.046154,0.156187,0.014188,0.100699
0.000,0.017920,0.053316,0.057711,0.012943,0.054457,0.083272,0.096916,0.006865,0.000466
0.000,0.013882,0.086606,0.099951,0.010501,0.008059,0.002930,0.131358,0.020137,0.074126
0.000,0.002019,0.059558,0.119843,0.000000,0.000000,0.000000,0.134962,0.027918,0.125408
0.000,0.008834,0.060858,0.158399,0.000000,0.000000,0.000000,0.170204,0.028833,0.154779
0.000,0.026249,0.055137,0.058202,0.025397,0.050305,0.008303,0.100120,0.008696,0.002331
0.000,0.035083,0.095709,0.106582,0.023687,0.036386,0.057387,0.180216,0.017391,0.098368
0.000,0.019687,0.055137,0.057711,0.024176,0.016606,0.019780,0.097317,0.006407,0.002331
0.000,0.041646,0.106112,0.106827,0.033455,0.032967,0.000000,0.189828,0.022883,0.101166
0.000,0.025997,0.057217,0.056974,0.042002,0.000000,0.021245,0.095715,0.008696,0.005128
0.000,0.043160,0.108192,0.106336,0.018803,0.037118,0.032234,0.170204,0.017849,0.103030
0.000,0.002019,0.044473,0.055255,0.000000,0.000000,0.000000,0.081298,0.006865,0.007459
0.000,0.025997,0.060598,0.149312,0.019292,0.021734,0.021734,0.142171,0.005950,0.126340
0.000,0.015396,0.040572,0.061640,0.011477,0.005372,0.007326,0.108530,0.001831,0.003730
0.000,1.000000,0.993238,0.988949,0.993651,0.974603,0.978755,1.000000,0.950114,0.931002
0.000,0.028521,0.058257,0.548870,0.046398,0.036874,0.040781,0.268722,0.030664,0.398601
0.000,0.993438,1.000000,1.000000,0.979731,0.958974,0.524786,0.990388,1.000000,1.000000
0.000,0.014891,0.032510,0.391945,0.007082,0.000000,0.000000,0.172607,0.012357,0.124009
0.000,0.032307,0.031730,0.248772,0.000000,0.000000,0.000000,0.247897,0.026545,0.129138
0.000,0.000000,0.029129,0.123527,0.000000,0.000000,0.081319,0.169403,0.011442,0.055012
0.000,0.000000,0.037191,0.119597,0.000000,0.003419,0.101587,0.195835,0.015561,0.088112
0.000,0.000000,0.029909,0.100688,0.000000,0.000000,0.090110,0.166199,0.010069,0.055478
0.000,0.009339,0.040312,0.105599,0.004884,0.000000,0.096947,0.186223,0.023799,0.089977
0.000,0.000505,0.030689,0.091110,0.000000,0.000000,0.082051,0.154586,0.017849,0.047552
0.000,0.000000,0.036671,0.127947,0.000000,0.000000,0.117949,0.260713,0.025629,0.101632
0.000,0.000000,0.021847,0.128438,0.006105,0.000000,0.118681,0.210653,0.021510,0.117016
0.000,0.000000,0.037711,0.147593,0.000000,0.000000,0.150183,0.262315,0.025629,0.155245
0.000,0.000000,0.032510,0.143664,0.000000,0.000000,0.152625,0.253504,0.022883,0.158974
0.000,0.000000,0.038231,0.145383,0.000000,0.000000,0.152869,0.269924,0.021510,0.158042
0.000,0.000000,0.033290,0.142682,0.000000,0.000000,0.151648,0.255907,0.023799,0.161772
0.000,0.000000,0.036411,0.144646,0.000000,0.000000,0.152625,0.265118,0.031121,0.158508
0.000,0.000000,0.034070,0.132367,0.000000,0.000000,0.132112,0.228674,0.022883,0.117949
0.000,0.003029,0.036151,0.115668,0.000000,0.000000,0.106716,0.208250,0.025172,0.093706
0.000,0.000000,0.033290,0.136788,0.029548,0.000000,0.136020,0.236684,0.030206,0.144522
0.000,0.002272,0.036151,0.115668,0.001465,0.000000,0.102320,0.204646,0.013272,0.086247
0.000,0.000000,0.031469,0.087672,0.000000,0.000000,0.079365,0.153384,0.009153,0.040559
0.000,0.000252,0.035371,0.103880,0.000000,0.003663,0.095971,0.181418,0.017391,0.069930
0.000,0.000000,0.025748,0.069499,0.003419,0.028571,0.064225,0.126952,0.000000,0.000466
0.000,0.000000,0.042913,0.131385,0.000000,0.000000,0.130159,0.231077,0.027002,0.124009
0.000,0.000000,0.031469,0.108792,0.000000,0.000000,0.100855,0.181418,0.014645,0.084382
0.000,0.003029,0.037711,0.118861,0.000000,0.000000,0.115751,0.215459,0.014188,0.094172
0.000,0.002019,0.031730,0.103880,0.000000,0.001954,0.098901,0.181418,0.016476,0.075991
0.000,0.000252,0.040832,0.132367,0.000000,0.018803,0.130159,0.234281,0.019222,0.122611
0.000,0.000000,0.035631,0.134578,0.000000,0.000000,0.136996,0.237885,0.023341,0.138928
0.000,0.007572,0.040312,0.115668,0.002442,0.000000,0.112821,0.215459,0.017849,0.085315
0.000,0.000000,0.031990,0.098723,0.000000,0.000000,0.092796,0.171806,0.011899,0.068531
0.000,0.011106,0.051235,0.108301,0.006349,0.000000,0.103541,0.198238,0.017391,0.093706
0.000,0.000505,0.027828,0.078094,0.000000,0.000000,0.072283,0.139768,0.006407,0.026573
0.000,0.003786,0.040832,0.115914,0.000733,0.000000,0.108913,0.221466,0.025172,0.094639
0.000,0.000000,0.036151,0.110020,0.000000,0.000000,0.111600,0.211854,0.028375,0.097902
0.000,0.005048,0.047594,0.101179,0.000000,0.000000,0.116972,0.246296,0.025629,0.099767
0.000,0.000000,0.027828,0.081287,0.000000,0.000000,0.110867,0.244694,0.022883,0.085315
0.000,0.000000,0.030949,0.076621,0.000000,0.000000,0.138462,0.056468,0.026545,0.129604
0.000,0.000000,0.016645,0.033153,0.000000,0.000000,0.088156,0.197036,0.010526,0.030303
0.000,0.000000,0.029129,0.051817,0.000000,0.000733,0.098413,0.264718,0.019680,0.092774
0.000,0.001262,0.023147,0.039047,0.000000,0.000000,0.003907,0.287946,0.024256,0.125408
0.000,0.000000,0.031990,0.043222,0.000000,0.000000,0.000000,0.356828,0.026545,0.143124
0.000,0.002019,0.023667,0.026523,0.000000,0.000000,0.000977,0.299960,0.029291,0.112821
0.000,0.004291,0.039792,0.036591,0.002442,0.000000,0.002686,0.079696,0.019222,0.125874
0.000,0.000000,0.018726,0.010560,0.028083,0.000000,0.000000,0.168202,0.005034,0.037762
0.000,0.004291,0.030949,0.028978,0.009035,0.000000,0.000488,0.299960,0.025629,0.134266
0.000,0.000000,0.022627,0.016945,0.000488,0.000000,0.000000,0.359231,0.024256,0.146387
0.000,0.000505,0.031469,0.020874,0.000000,0.000000,0.000000,0.301161,0.024714,0.152448
0.000,0.000000,0.023667,0.009086,0.010012,0.000000,0.059341,0.236284,0.022883,0.151515
0.044,0.000000,0.029909,0.013998,0.000000,0.000000,0.000000,0.087305,0.018307,0.149650
