time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.864957,0.550183,0.643898,0.958730,0.968010,0.995360,0.290110,0.082187,0.377888
0.000,0.225885,0.678877,0.748368,0.197558,0.189255,0.176068,0.399267,0.400619,0.759076
0.000,0.809524,0.545299,0.641386,0.853480,0.894994,0.899389,0.288156,0.082187,0.384488
0.000,0.252991,0.680586,0.753390,0.208791,0.194139,0.185348,0.397314,0.423659,0.716172
0.000,0.796337,0.537485,0.635861,0.845910,0.876923,0.901587,0.276435,0.081155,0.374175
0.000,0.259096,0.690842,0.751381,0.216117,0.198291,0.185836,0.396825,0.408184,0.758251
0.000,0.759951,0.528938,0.633601,0.831013,0.825153,0.791209,0.274237,0.077717,0.372525
0.000,0.276679,0.695726,0.760924,0.242979,0.232723,0.244933,0.405128,0.430193,0.720710
0.000,0.721123,0.526496,0.623305,0.779243,0.821245,0.819292,0.273260,0.080812,0.378713
0.000,0.267643,0.697192,0.767705,0.225885,0.209768,0.165324,0.409035,0.425378,0.728960
0.000,0.723321,0.528449,0.628327,0.753846,0.775580,0.783150,0.264225,0.075309,0.370462
0.000,0.316728,0.698657,0.766449,0.318681,0.253724,0.263736,0.407570,0.419188,0.721947
0.000,0.739683,0.532357,0.628327,0.771184,0.743346,0.798779,0.270818,0.072902,0.386139
0.000,0.333333,0.703297,0.773481,0.277167,0.283516,0.268864,0.415385,0.448074,0.725660
0.000,0.701099,0.522100,0.627323,0.735775,0.749939,0.755800,0.263736,0.075997,0.374175
0.000,0.332845,0.705983,0.774234,0.292796,0.292308,0.278144,0.415385,0.441884,0.764851
0.000,0.655189,0.511844,0.616273,0.703053,0.706471,0.678632,0.253724,0.078061,0.389026
0.000,0.338706,0.709402,0.765445,0.305495,0.283272,0.280586,0.417094,0.435695,0.766914
0.000,0.631013,0.505006,0.616775,0.680830,0.693040,0.710134,0.251770,0.072558,0.372525
0.000,0.365812,0.709890,0.777499,0.324298,0.310379,0.301099,0.424176,0.465268,0.729785
0.000,0.626618,0.501832,0.602210,0.661538,0.662271,0.685226,0.241270,0.074278,0.366749
