time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.055351,0.058909,0.000000,0.000000,0.000000,0.076440,0.167702,0.088975
0.000,0.274458,0.046389,0.039594,0.271028,0.286880,0.235091,0.114136,0.354037,0.018375
0.000,0.000000,0.059041,0.057943,0.000000,0.000000,0.002464,0.079581,0.155280,0.098646
0.000,0.200952,0.051133,0.037663,0.321605,0.272303,0.245441,0.120419,0.298137,0.018375
0.000,0.042834,0.063785,0.064703,0.000000,0.000000,0.007886,0.061780,0.217391,0.081238
0.000,0.181914,0.036373,0.030903,0.199560,0.198251,0.143420,0.086911,0.291925,0.016441
0.000,0.000000,0.067475,0.059874,0.000000,0.000000,0.017250,0.080628,0.080745,0.085106
0.000,0.223691,0.036373,0.029937,0.217702,0.227988,0.195663,0.093194,0.322981,0.013540
0.000,0.000000,0.061676,0.060840,0.020341,0.000000,0.000000,0.083770,0.223602,0.088008
0.000,0.145426,0.025830,0.025592,0.153931,0.231487,0.134549,0.074346,0.304348,0.017408
0.000,0.049180,0.054823,0.065186,0.000000,0.000000,0.000000,0.093194,0.167702,0.067698
0.000,0.031200,0.016869,0.028972,0.048378,0.062974,0.033021,0.042932,0.341615,0.009671
0.000,0.000000,0.052188,0.063254,0.000000,0.000000,0.000000,0.078534,0.043478,0.064797
0.000,0.060814,0.016342,0.022694,0.054426,0.047813,0.038443,0.054450,0.217391,0.010638
0.000,0.000000,0.047970,0.056494,0.000000,0.000000,0.000000,0.058639,0.167702,0.038685
0.000,0.010048,0.028993,0.025109,0.032435,0.022157,0.000000,0.041885,0.192547,0.004836
0.000,0.000000,0.052188,0.058909,0.097306,0.000000,0.000000,0.080628,0.068323,0.036750
0.000,0.022739,0.019504,0.028489,0.009896,0.037318,0.019221,0.042932,0.316770,0.009671
0.000,0.000000,0.046916,0.054080,0.000000,0.002332,0.019221,0.063874,0.105590,0.030948
0.000,0.038075,0.019504,0.030903,0.013744,0.013411,0.033021,0.007330,0.211180,0.000967
0.000,0.007932,0.051133,0.051666,0.000000,0.000000,0.000000,0.059686,0.043478,0.022244
0.000,0.017451,0.015287,0.025109,0.018142,0.025073,0.022671,0.043979,0.248447,0.007737
0.000,0.000000,0.045862,0.053114,0.000000,0.000000,0.000000,0.059686,0.118012,0.025145
0.000,0.000000,0.022667,0.034766,0.048378,0.040233,0.000000,0.033508,0.192547,0.013540
0.000,0.000000,0.047970,0.055046,0.000000,0.000000,0.000000,0.057592,0.043478,0.029981
0.000,0.029614,0.018450,0.030903,0.043980,0.000000,0.000000,0.049215,0.273292,0.014507
0.000,0.000000,0.056405,0.058426,0.000000,0.000000,0.026121,0.080628,0.068323,0.049323
0.000,0.112639,0.030047,0.029937,0.084112,0.111953,0.104978,0.068063,0.254658,0.021277
0.000,0.000000,0.059568,0.063254,0.000000,0.000583,0.000000,0.078534,0.105590,0.072534
0.000,0.002115,0.023722,0.030903,0.106652,0.128863,0.117792,0.063874,0.217391,0.018375
0.000,0.021153,0.055351,0.058909,0.000000,0.000000,0.004436,0.068063,0.043478,0.061896
0.000,0.050238,0.024249,0.024143,0.123694,0.125948,0.100049,0.064921,0.285714,0.013540
0.000,0.000000,0.076436,0.058909,0.000000,0.000000,0.000000,0.045026,0.049689,0.067698
0.000,0.815970,0.123880,0.082569,0.849368,0.889213,0.776737,0.386387,0.664596,0.018375
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.071692,0.206181,0.000000,0.027988,0.018236,0.120419,0.267081,0.096712
0.000,0.000000,0.054296,0.075326,0.000000,0.000000,0.000000,0.059686,0.093168,0.084139
0.000,0.370703,0.130733,0.121680,0.442001,0.463557,0.358305,0.292147,0.354037,0.109284
0.000,0.000000,0.084871,0.097537,0.000000,0.000000,0.012321,0.112042,0.229814,0.118956
0.000,0.186674,0.051133,0.034766,0.083013,0.102041,0.073435,0.062827,0.378882,0.046422
0.000,0.000000,0.073274,0.063254,0.000000,0.000000,0.000000,0.056545,0.062112,0.078337
