time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.045181,0.168662,0.000000,0.000000,0.165657,0.164656,0.219178,0.197516
0.000,0.000000,0.038554,0.141072,0.000000,0.000000,0.146275,0.124911,0.164384,0.176398
0.000,0.029042,0.053012,0.172827,0.000000,0.000000,0.183222,0.181689,0.506849,0.284472
0.000,0.000000,0.042169,0.163977,0.000000,0.000000,0.166566,0.164656,0.493151,0.242236
0.000,0.000000,0.053012,0.178032,0.000000,0.000000,0.180194,0.187367,0.438356,0.274534
0.000,0.009774,0.043976,0.170744,0.021779,0.000000,0.173531,0.185238,0.232877,0.291925
0.000,0.000000,0.057229,0.180115,0.000000,0.000000,0.178982,0.189496,0.246575,0.253416
0.000,0.000000,0.045783,0.163457,0.000000,0.000000,0.170806,0.171043,0.520548,0.281988
0.000,0.009774,0.057831,0.188444,0.000000,0.000000,0.191096,0.213627,0.547945,0.301863
0.000,0.003351,0.043373,0.170744,0.000000,0.017895,0.178377,0.193045,0.301370,0.288199
0.000,0.000000,0.053012,0.179594,0.000000,0.000000,0.179285,0.193754,0.342466,0.249689
0.000,0.000000,0.041566,0.152004,0.001840,0.000000,0.157177,0.141945,0.232877,0.222360
0.000,0.000000,0.052410,0.176991,0.000000,0.000000,0.180194,0.190916,0.273973,0.275776
0.000,0.000000,0.040964,0.154607,0.000000,0.000000,0.166263,0.168204,0.452055,0.231056
0.000,0.000000,0.045783,0.174909,0.000000,0.000000,0.179588,0.193045,0.383562,0.275776
0.000,0.000000,0.036145,0.166059,0.000000,0.006369,0.172925,0.184528,0.273973,0.283230
0.000,0.000000,0.050602,0.173868,0.000000,0.000000,0.176560,0.187367,0.191781,0.252174
0.000,0.000000,0.039759,0.161374,0.000000,0.000000,0.168080,0.167495,0.493151,0.264596
0.000,0.000000,0.054217,0.183758,0.000000,0.000000,0.191399,0.202271,0.191781,0.304348
0.000,0.000000,0.040964,0.171265,0.000000,0.000000,0.185039,0.192335,0.191781,0.303106
0.000,0.000000,0.033133,0.180115,0.000000,0.000000,0.195639,0.220724,0.452055,0.306832
0.000,0.000000,0.040361,0.165539,0.000000,0.000000,0.184434,0.198722,0.575342,0.304348
0.000,0.000000,0.044578,0.178032,0.000000,0.000000,0.195336,0.215046,0.493151,0.305590
0.000,0.000000,0.040964,0.170744,0.000000,0.000910,0.182011,0.202981,0.465753,0.309317
0.000,0.000000,0.051807,0.187402,0.000000,0.000000,0.197456,0.219304,0.328767,0.304348
0.000,0.000000,0.039759,0.176991,0.000000,0.000000,0.184131,0.200852,0.342466,0.306832
0.000,0.000000,0.035542,0.135867,0.000000,0.000000,0.156572,0.149752,0.260274,0.165217
0.000,0.000000,0.024096,0.104112,0.000000,0.000910,0.134767,0.104329,0.054795,0.145342
0.000,0.000000,0.028313,0.113483,0.000000,0.000000,0.143549,0.117104,0.054795,0.152795
0.000,0.000000,0.000000,0.082769,0.001227,0.000000,0.124470,0.070263,0.123288,0.122981
0.000,0.000000,0.032530,0.101510,0.000000,0.000000,0.131738,0.092974,0.123288,0.146584
0.000,0.000000,0.019880,0.081728,0.006748,0.000000,0.125076,0.074521,0.164384,0.121739
0.000,0.000000,0.030723,0.116606,0.000000,0.000000,0.143852,0.116395,0.383562,0.147826
0.000,0.000000,0.025904,0.115565,0.000000,0.004853,0.142035,0.121363,0.246575,0.195031
