time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.531926,0.609458,0.000000,0.000000,0.000000,0.231419,0.144101,0.552898
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986064,0.945841,0.985281
0.000,0.000000,0.524011,0.607864,0.000000,0.000000,0.000000,0.242821,0.112186,0.588316
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969172,0.869439,0.991260
0.000,0.000000,0.530343,0.607067,0.000000,0.000000,0.000000,0.232686,0.136364,0.586477
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974662,0.872824,0.987580
0.000,0.000000,0.521900,0.599362,0.000000,0.000000,0.000000,0.236486,0.127176,0.587397
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989443,0.877660,0.966881
0.000,0.000000,0.524011,0.605739,0.000000,0.000000,0.000000,0.229730,0.154255,0.581877
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.982264,0.878143,1.000000
0.000,0.000000,0.525594,0.597237,0.000000,0.000000,0.000000,0.233953,0.136364,0.586477
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.985642,0.897002,0.994480
0.000,0.000000,0.521108,0.606270,0.000000,0.000000,0.000000,0.235642,0.117021,0.595216
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.977196,0.879594,0.993100
0.000,0.000000,0.534828,0.604676,0.000000,0.000000,0.000000,0.221284,0.141683,0.555198
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.965372,0.857350,0.950782
0.000,0.000000,0.522427,0.604410,0.000000,0.000000,0.000000,0.225929,0.139265,0.571297
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.977618,0.881528,0.962282
0.000,0.000000,0.524538,0.607333,0.000000,0.000000,0.000000,0.229307,0.129110,0.554738
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969595,0.855899,0.995400
0.000,0.000000,0.526385,0.604942,0.000000,0.000000,0.000000,0.227196,0.141199,0.588776
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.878143,0.992640
0.000,0.000000,0.524538,0.611849,0.000000,0.000000,0.000000,0.241554,0.146035,0.590156
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984797,0.877176,0.998160
0.000,0.000000,0.529815,0.612115,0.000000,0.000000,0.000000,0.237331,0.142166,0.553818
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953125,0.876209,0.964581
