time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.013919,0.087673,0.095567,0.006349,0.013675,0.155067,0.170248,0.039206,0.141702
0.000,0.000000,0.073592,0.089461,0.000000,0.000000,0.141392,0.112810,0.031649,0.137021
0.000,0.004884,0.085547,0.101938,0.004396,0.006105,0.157753,0.160331,0.035900,0.147234
0.000,0.000000,0.074920,0.091319,0.000000,0.000000,0.149451,0.111570,0.042041,0.143404
0.000,0.007082,0.084750,0.101938,0.010012,0.000000,0.156044,0.166116,0.037789,0.147234
0.000,0.000000,0.072529,0.093443,0.000000,0.000000,0.148474,0.134711,0.034010,0.144681
0.000,0.011477,0.083156,0.101407,0.010012,0.009035,0.155800,0.172314,0.043930,0.145532
0.000,0.000000,0.072264,0.094770,0.000000,0.000000,0.149206,0.117355,0.041568,0.145532
0.000,0.010256,0.083953,0.102203,0.013919,0.008547,0.161172,0.173554,0.045820,0.148936
0.000,0.000000,0.071201,0.094239,0.000000,0.000000,0.149695,0.115702,0.034955,0.143404
0.000,0.008547,0.084750,0.101672,0.001221,0.004151,0.160440,0.171488,0.043930,0.148936
0.000,0.000000,0.070138,0.094239,0.000000,0.000000,0.148718,0.128926,0.039679,0.145957
0.000,0.000000,0.083688,0.101141,0.005861,0.009035,0.157998,0.175207,0.043930,0.147234
0.000,0.000000,0.073326,0.093709,0.000000,0.000000,0.147985,0.123554,0.035427,0.146809
0.000,0.000977,0.082094,0.101141,0.005128,0.006349,0.157509,0.170248,0.040151,0.147234
0.000,0.000000,0.072264,0.092647,0.000000,0.000000,0.152137,0.128099,0.046292,0.145957
0.000,0.006105,0.086610,0.101407,0.002930,0.001465,0.157753,0.171901,0.045347,0.146809
0.000,0.000000,0.074389,0.094505,0.000000,0.000000,0.151160,0.126033,0.033538,0.144681
0.000,0.003907,0.083953,0.099814,0.000977,0.000000,0.157021,0.166942,0.045820,0.146809
0.000,0.000000,0.073061,0.093443,0.000000,0.000000,0.149695,0.121901,0.032593,0.145106
0.000,0.001709,0.082891,0.099018,0.000000,0.000000,0.156288,0.172727,0.039206,0.148085
0.000,0.000000,0.071998,0.093709,0.001709,0.000000,0.150672,0.122314,0.040151,0.145532
0.000,0.002198,0.083953,0.101672,0.000244,0.000000,0.159463,0.166942,0.035900,0.147234
0.000,0.000000,0.073858,0.094770,0.000000,0.000000,0.152381,0.123140,0.034010,0.145532
0.000,0.010989,0.084485,0.102203,0.000000,0.003419,0.157509,0.172727,0.044875,0.149787
0.000,0.006838,0.073858,0.094770,0.000000,0.000000,0.151648,0.123140,0.035427,0.146383
0.000,0.001709,0.081828,0.105920,0.000000,0.000000,0.157998,0.171074,0.042985,0.149787
0.000,0.000000,0.072529,0.094770,0.000000,0.000000,0.150427,0.120661,0.036845,0.146383
0.000,0.018559,0.193411,0.245553,0.102808,0.075946,0.247863,0.271074,0.042041,0.260426
0.000,0.000000,0.042242,0.065038,0.000000,0.000000,0.106716,0.029339,0.025035,0.089362
0.000,0.030525,0.054729,0.041412,0.026618,0.027106,0.112088,0.128099,0.040151,0.083830
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059341,0.000000,0.000000,0.000000
0.000,0.132601,0.084485,0.071144,0.139194,0.144322,0.091087,0.203306,0.051016,0.096596
0.000,0.000000,0.475027,0.590390,0.000000,0.000000,0.000000,0.219835,0.131790,0.436596
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974793,0.971658,0.915745
0.000,0.000000,0.485122,0.592248,0.000000,0.000000,0.000000,0.177273,0.101559,0.530213
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.979339,0.903165,0.968936
0.000,0.000000,0.502125,0.601274,0.000000,0.000000,0.000000,0.191322,0.094001,0.546809
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.977273,0.898914,0.917872
0.000,0.000000,0.518066,0.608176,0.000000,0.000000,0.208791,0.214050,0.109117,0.516170
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.612943,1.000000,1.000000,0.929362
0.000,0.000000,0.508502,0.595965,0.000000,0.000000,0.197558,0.175207,0.155881,0.488936
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.606349,0.993388,0.963155,0.930213
0.000,0.000000,0.518332,0.606318,0.000000,0.000000,0.201709,0.190083,0.260746,0.507234
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.599512,0.966116,0.921587,0.926809
