time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.059341,0.096293,0.115305,0.095238,0.105006,0.142930,0.160305,0.031305,0.236573
0.000,0.874969,0.795660,0.780765,0.803175,0.732845,0.786748,0.782697,0.719136,0.764066
0.000,0.040781,0.093128,0.114788,0.089377,0.101832,0.115004,0.148601,0.026896,0.218031
0.000,0.882295,0.806962,0.791107,0.804640,0.784615,0.803250,0.819338,0.539683,0.819054
0.000,0.051770,0.092676,0.116339,0.065690,0.093529,0.098756,0.148601,0.029101,0.205243
0.000,0.889377,0.803345,0.800414,0.850305,0.811966,0.833460,0.790840,0.726631,0.736573
0.000,0.050794,0.076401,0.085315,0.066667,0.076190,0.091140,0.129771,0.023810,0.184783
0.000,0.902320,0.849005,0.806618,0.838095,0.825153,0.818482,0.788804,0.531746,0.734655
0.000,0.042002,0.089964,0.111686,0.048840,0.073016,0.087078,0.145547,0.026455,0.201407
0.000,0.901343,0.806962,0.805584,0.822711,0.829304,0.830668,0.817303,0.559083,0.746164
0.000,0.035409,0.080018,0.092554,0.045665,0.048840,0.066260,0.136387,0.024250,0.198849
0.000,0.897436,0.825949,0.801448,0.866667,0.900855,0.857070,0.817303,0.496914,0.757033
0.000,0.033455,0.087251,0.105998,0.051526,0.058120,0.062706,0.136896,0.018519,0.228900
0.000,0.878388,0.816004,0.815408,0.856899,0.846398,0.855801,0.818321,0.507055,0.832481
0.000,0.030525,0.093580,0.113237,0.033944,0.048107,0.055852,0.138422,0.023810,0.246164
0.000,0.888645,0.825949,0.813340,0.878877,0.872283,0.889312,0.837659,0.594356,0.820972
0.000,0.017827,0.003617,0.024302,0.021245,0.030281,0.041381,0.049873,0.018519,0.069693
0.000,0.939683,0.815099,0.829369,0.872283,0.884982,0.906068,0.846310,0.588183,0.759591
0.000,0.012454,0.000000,0.017063,0.014408,0.024176,0.008378,0.061069,0.011023,0.068414
0.000,0.921612,0.829566,0.826267,0.883272,0.872527,0.939579,0.842748,0.712081,0.831202
0.000,0.012943,0.010398,0.018614,0.016361,0.016850,0.017009,0.050891,0.017196,0.113171
0.000,0.926740,0.823237,0.817994,0.895238,0.894750,0.904037,0.830025,0.584215,0.765345
