time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.084278,0.110468,0.000000,0.000000,0.000000,0.180717,0.051878,0.156993
0.000,0.000000,0.062191,0.094424,0.010989,0.000000,0.000000,0.169507,0.044126,0.156042
0.000,0.000000,0.083697,0.111520,0.000000,0.000000,0.000000,0.180717,0.060227,0.156993
0.000,0.000000,0.061610,0.096265,0.000000,0.000000,0.002686,0.170404,0.048897,0.158896
0.000,0.000000,0.082244,0.109679,0.000000,0.000000,0.000000,0.186547,0.044126,0.156993
0.000,0.000000,0.060448,0.096265,0.000000,0.000000,0.000000,0.169955,0.043530,0.156042
0.000,0.000000,0.083987,0.109416,0.000000,0.000000,0.000000,0.180717,0.059034,0.156042
0.000,0.000000,0.023249,0.016570,0.006838,0.000000,0.000000,0.039462,0.026237,0.036632
0.000,0.000000,0.056088,0.041820,0.000000,0.000000,0.000000,0.065919,0.042338,0.058991
0.000,0.000000,0.043592,0.047344,0.000000,0.000000,0.000000,0.076233,0.038760,0.086584
0.000,0.000000,0.057541,0.038927,0.001709,0.000000,0.038584,0.066368,0.042338,0.060419
0.000,0.000000,0.018309,0.013677,0.000000,0.000000,0.000733,0.034978,0.031604,0.037583
0.000,0.086691,0.056379,0.038401,0.001465,0.000000,0.002198,0.063229,0.032200,0.059943
0.000,0.000000,0.021215,0.012625,0.000000,0.000000,0.000000,0.028700,0.030411,0.036156
0.000,0.000000,0.062772,0.046817,0.000000,0.003907,0.007326,0.069955,0.045915,0.072788
0.000,0.000000,0.024993,0.013414,0.010989,0.000000,0.000000,0.031839,0.030411,0.039010
0.000,0.028083,0.060157,0.043661,0.004884,0.076923,0.021245,0.065919,0.045915,0.074215
0.000,0.004884,0.022377,0.016307,0.000000,0.000000,0.000000,0.030045,0.028026,0.035205
0.000,0.011233,0.068003,0.050500,0.020269,0.029548,0.023443,0.075336,0.038163,0.081827
0.000,0.000000,0.014240,0.006839,0.005617,0.003907,0.000000,0.022870,0.022063,0.019029
0.000,0.025397,0.075559,0.054708,0.025641,0.025153,0.023443,0.098655,0.044126,0.095147
0.000,0.010989,0.013659,0.009469,0.000000,0.000000,0.000000,0.026009,0.024448,0.014748
0.000,0.026618,0.072363,0.055760,0.013431,0.023199,0.025153,0.098206,0.045915,0.094196
0.000,0.000000,0.010753,0.010521,0.002686,0.007570,0.000000,0.017937,0.016100,0.019029
0.000,0.051038,0.081372,0.059179,0.040293,0.054457,0.027595,0.103587,0.042338,0.098478
0.000,0.021734,0.013078,0.011047,0.000000,0.000000,0.000000,0.005830,0.018485,0.017127
0.000,0.041270,0.080209,0.056286,0.044689,0.031990,0.038584,0.104036,0.052475,0.096575
0.000,0.000000,0.011043,0.003682,0.000000,0.000000,0.046886,0.019283,0.016696,0.010466
0.000,0.038095,0.081953,0.062599,0.030037,0.029304,0.028816,0.098655,0.053071,0.098002
0.000,0.000000,0.018599,0.012099,0.000000,0.000000,0.000000,0.013004,0.013715,0.012369
0.000,0.127717,0.114211,0.066807,0.123077,0.136508,0.132601,0.130942,0.042338,0.097050
0.000,0.000000,0.015693,0.000000,0.000000,0.000000,0.000000,0.005381,0.012522,0.000000
0.000,0.682051,0.308631,0.140978,0.654457,0.673260,0.665934,0.409417,0.066786,0.107992
0.000,0.000000,0.344667,0.538138,0.000000,0.000000,0.000000,0.153363,0.020871,0.361560
0.000,0.208547,0.649230,0.858496,0.232234,0.238584,0.257631,0.599552,0.667263,0.845385
0.000,0.000000,0.311537,0.541294,0.000000,0.000000,0.034432,0.134529,0.029219,0.423406
0.000,0.136020,0.176112,0.417149,0.130891,0.137485,0.139927,0.212108,0.022660,0.140818
0.000,0.008059,0.000000,0.071541,0.000000,0.000000,0.000000,0.000000,0.000000,0.008088
0.000,1.000000,0.963092,1.000000,1.000000,1.000000,1.000000,0.973991,0.951699,0.933873
0.000,0.000000,0.349026,0.548659,0.000000,0.016117,0.000000,0.122870,0.023256,0.471456
0.000,0.297680,0.241790,0.404524,0.303541,0.309402,0.303053,0.215247,0.045915,0.147479
0.000,0.000000,0.013949,0.060757,0.000000,0.016850,0.000000,0.001345,0.026834,0.021884
0.000,0.000000,0.071491,0.074171,0.006838,0.017338,0.005128,0.108969,0.054264,0.104662
0.000,0.000000,0.029933,0.039453,0.000000,0.000000,0.000000,0.069058,0.029219,0.059943
0.000,1.000000,0.742226,0.588901,1.000000,1.000000,1.000000,0.943498,0.920095,0.734539
0.000,0.000000,0.370822,0.560757,0.012454,0.000000,0.000000,0.141256,0.031008,0.485252
0.000,1.000000,0.916013,1.000000,1.000000,1.000000,1.000000,0.943946,0.861658,0.911513
