time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.001221,0.109526,0.145386,0.000000,0.000000,0.000000,0.240629,0.042599,0.180874
0.000,0.000000,0.094244,0.129204,0.000000,0.000000,0.000000,0.217654,0.041001,0.181307
0.000,0.000000,0.110290,0.144627,0.000000,0.001465,0.000000,0.247884,0.043663,0.180874
0.000,0.000000,0.095772,0.132238,0.000000,0.000000,0.000000,0.231358,0.052716,0.181740
0.000,0.001954,0.111055,0.140582,0.000000,0.000000,0.000000,0.250705,0.044728,0.180874
0.000,0.003907,0.095262,0.132491,0.000000,0.000000,0.000000,0.229746,0.047923,0.182172
0.000,0.000000,0.111055,0.148925,0.000000,0.000000,0.000000,0.248690,0.051118,0.181307
0.000,0.000000,0.094244,0.132491,0.000000,0.000000,0.000000,0.228940,0.045793,0.181307
0.000,0.000000,0.109526,0.144121,0.000000,0.000000,0.000000,0.249899,0.051118,0.180874
0.000,0.000000,0.094753,0.132743,0.000000,0.000000,0.000000,0.226925,0.047391,0.179143
0.000,0.000000,0.109781,0.144880,0.000000,0.000000,0.000000,0.250705,0.044728,0.182172
0.000,0.010501,0.093479,0.132491,0.000000,0.000000,0.000000,0.227731,0.043663,0.181307
0.000,0.003907,0.109526,0.144880,0.000000,0.000000,0.000000,0.252318,0.054313,0.183903
0.000,0.000000,0.094244,0.130721,0.000000,0.000000,0.000000,0.229746,0.042599,0.181307
0.000,0.000000,0.110545,0.147914,0.000000,0.000000,0.000000,0.248690,0.045793,0.183038
0.000,0.000000,0.094244,0.133249,0.000000,0.000000,0.000488,0.231358,0.043131,0.178278
0.000,0.000000,0.109272,0.144880,0.000000,0.005372,0.000000,0.258364,0.054313,0.184768
0.000,0.024420,0.096026,0.132743,0.000000,0.000000,0.000000,0.234583,0.056443,0.178711
0.000,0.000000,0.109781,0.144627,0.000000,0.000244,0.000000,0.251511,0.052183,0.183038
0.000,0.000000,0.093734,0.132491,0.000000,0.000000,0.000000,0.232971,0.053248,0.180441
0.000,0.000000,0.108762,0.143869,0.000000,0.000000,0.000000,0.250705,0.044728,0.182172
0.000,0.001709,0.097300,0.134260,0.000000,0.000000,0.000000,0.229343,0.053248,0.179576
0.000,0.000000,0.110036,0.146903,0.000000,0.000000,0.000000,0.250705,0.044728,0.183038
0.000,0.003907,0.095517,0.133249,0.000000,0.030525,0.000000,0.227328,0.052183,0.181307
0.000,0.005861,0.109526,0.144374,0.000000,0.008303,0.000000,0.245869,0.043663,0.182172
0.000,0.000000,0.095262,0.131732,0.000000,0.000000,0.000000,0.218460,0.043663,0.179143
0.000,0.000000,0.110290,0.144374,0.000977,0.000000,0.000000,0.241032,0.044196,0.183038
0.000,0.000000,0.097300,0.132491,0.000000,0.000000,0.000000,0.218863,0.043131,0.181307
0.000,0.000000,0.110545,0.144374,0.000488,0.000000,0.001709,0.243450,0.051651,0.181740
0.000,0.000000,0.095772,0.132743,0.000000,0.000000,0.000000,0.224103,0.053781,0.180874
0.000,0.017338,0.110545,0.144880,0.000000,0.000000,0.000000,0.245466,0.047391,0.181307
0.000,0.000000,0.096791,0.132491,0.000977,0.000000,0.000000,0.226925,0.041534,0.180874
0.000,0.000000,0.107489,0.134766,0.000977,0.000000,0.005861,0.211608,0.038871,0.149719
0.000,0.005128,0.080998,0.099874,0.001465,0.000000,0.000000,0.168480,0.035676,0.122025
0.000,0.000000,0.100357,0.117067,0.000000,0.000000,0.002198,0.198307,0.037274,0.133276
0.000,0.000000,0.094498,0.127181,0.000000,0.000000,0.000000,0.212011,0.043663,0.177412
0.000,0.000000,0.111055,0.144374,0.000488,0.000000,0.000000,0.245466,0.044728,0.177845
0.000,0.000000,0.060112,0.086220,0.000000,0.000000,0.000000,0.123740,0.026624,0.082215
0.000,1.000000,0.375446,0.327434,1.000000,1.000000,1.000000,0.719065,0.209265,0.275206
0.000,0.000000,0.340805,0.428319,0.000000,0.000000,0.000000,0.222894,0.040469,0.357854
0.000,1.000000,0.989302,1.000000,1.000000,1.000000,1.000000,0.996372,1.000000,0.929035
0.000,0.000000,0.443199,0.574463,0.000000,0.000000,0.129670,0.238613,0.036741,0.483773
0.000,1.000000,0.988793,1.000000,1.000000,1.000000,0.947497,0.994760,0.927583,0.934228
0.000,0.000000,0.416200,0.575474,0.000000,0.000000,0.000488,0.229343,0.039404,0.475552
0.000,1.000000,0.996943,1.000000,1.000000,1.000000,0.866178,1.000000,0.940362,1.000000
0.000,0.000000,0.099338,0.286979,0.000000,0.000000,0.059341,0.102378,0.021299,0.066638
0.000,0.000000,0.427916,0.449810,0.000000,0.000000,0.138462,0.451834,0.567625,0.655128
0.000,0.000000,0.407539,0.558281,0.000000,0.000000,0.000000,0.187021,0.033014,0.467763
0.000,1.000000,0.973510,1.000000,1.000000,1.000000,0.963126,0.960500,0.859957,0.959758
0.000,0.016361,0.408558,0.553982,0.000000,0.000000,0.000000,0.152358,0.019169,0.447425
0.000,0.000000,0.159959,0.391150,0.000000,0.000000,0.021490,0.208787,0.044728,0.208568
0.000,0.000000,0.099592,0.265992,0.000000,0.000000,0.021245,0.202338,0.047923,0.180874
0.000,0.021490,0.112583,0.199241,0.000000,0.005617,0.020757,0.226522,0.042599,0.177845
0.000,0.000000,0.041263,0.053350,0.000000,0.000000,0.000000,0.090689,0.019169,0.051493
0.000,0.019048,0.092206,0.086220,0.018315,0.018315,0.023199,0.166868,0.042599,0.132410
0.000,0.000000,0.321701,0.379014,0.000000,0.000000,0.000000,0.144700,0.025559,0.412376
0.000,0.003663,0.388181,0.578255,0.000000,0.000488,0.000000,0.248690,0.050053,0.493726
0.000,0.000000,0.118696,0.357269,0.000000,0.000000,0.000244,0.183394,0.052183,0.180441
0.000,0.000488,0.309475,0.524147,0.004884,0.000733,0.007570,0.268440,0.053248,0.473821
0.000,0.000000,0.090423,0.289507,0.000000,0.000000,0.000000,0.090286,0.011715,0.081783
0.000,0.559951,0.204534,0.171681,0.572405,0.583883,0.566545,0.451431,0.068690,0.142363
0.000,0.000000,0.026235,0.018963,0.000000,0.000000,0.000000,0.020153,0.005325,0.024665
0.000,0.129670,0.108253,0.089760,0.120391,0.123565,0.120391,0.195083,0.043663,0.134574
0.000,0.000000,0.005858,0.005563,0.000000,0.000000,0.000000,0.027408,0.006390,0.015578
0.000,0.302564,0.146205,0.110240,0.299145,0.288156,0.275946,0.286175,0.039404,0.135439
0.000,0.000000,0.221600,0.320607,0.000000,0.004884,0.000000,0.083031,0.008520,0.216789
0.000,0.088889,0.098319,0.114539,0.091575,0.023199,0.100855,0.190246,0.055378,0.135439
0.000,0.000000,0.213704,0.234387,0.000000,0.000000,0.000000,0.109230,0.007987,0.285158
0.000,1.000000,0.645186,0.797219,1.000000,1.000000,0.987790,0.762193,0.168264,0.538728
0.000,0.000000,0.040245,0.174968,0.000000,0.000000,0.000000,0.041112,0.007455,0.034184
0.000,0.256899,0.130413,0.115803,0.231258,0.194872,0.255678,0.257960,0.051651,0.139334
0.000,0.000000,0.022924,0.023009,0.000000,0.000000,0.000000,0.050786,0.014377,0.031588
0.000,0.241026,0.130158,0.106195,0.226862,0.241758,0.225885,0.248287,0.044728,0.130679
0.000,0.000000,0.019868,0.021492,0.000000,0.000000,0.000000,0.040306,0.017039,0.032453
0.000,0.257387,0.130667,0.102149,0.244200,0.248107,0.241514,0.255139,0.041534,0.127650
0.000,0.051526,0.028528,0.027307,0.010501,0.026862,0.024176,0.062878,0.011715,0.028559
0.000,0.133578,0.111564,0.092288,0.140659,0.127473,0.125031,0.204756,0.041001,0.129814
0.000,0.000000,0.012481,0.015929,0.000000,0.000000,0.000000,0.043531,0.011715,0.016443
0.000,0.132112,0.110545,0.092288,0.136996,0.119414,0.126252,0.206368,0.043131,0.128083
0.000,0.000000,0.022160,0.028066,0.000000,0.000000,0.000000,0.057235,0.010650,0.030290
0.000,0.080830,0.102394,0.092794,0.090354,0.095971,0.083761,0.193470,0.051118,0.131545
0.000,0.000000,0.028273,0.034134,0.000000,0.000000,0.000000,0.069327,0.019169,0.043271
0.044,0.094750,0.101630,0.091783,0.076923,0.077411,0.073260,0.195486,0.043663,0.130247
0.093,0.000000,0.020377,0.025284,0.000000,0.000000,0.000000,0.049577,0.008520,0.027261
0.144,0.083272,0.101885,0.092288,0.076923,0.044933,0.073016,0.182588,0.042066,0.131112
0.193,0.000000,0.022924,0.021997,0.000000,0.000000,0.000000,0.042322,0.011715,0.025530
0.244,0.205128,0.122262,0.096839,0.211233,0.201954,0.203907,0.243047,0.042599,0.129381
0.293,0.000000,0.011717,0.007585,0.000000,0.000000,0.000000,0.033051,0.006390,0.014712
0.344,0.190232,0.119969,0.089254,0.180708,0.184371,0.174115,0.233777,0.043663,0.128083
0.393,0.000000,0.003566,0.008850,0.000000,0.000000,0.000000,0.027408,0.007987,0.011683
0.444,0.170208,0.113856,0.087484,0.154823,0.162393,0.154823,0.213624,0.045793,0.126785
0.493,0.000000,0.019868,0.012389,0.000000,0.000000,0.000000,0.045949,0.007987,0.024665
0.544,0.273748,0.138818,0.108976,0.258120,0.233700,0.253724,0.279726,0.045793,0.132843
0.593,0.000000,0.020886,0.021239,0.000000,0.000000,0.000000,0.047561,0.010650,0.027694
0.644,0.269597,0.139073,0.110240,0.255678,0.263492,0.254212,0.271262,0.042599,0.134141
0.693,0.000000,0.023943,0.021745,0.000000,0.000000,0.000000,0.046755,0.010650,0.028559
0.744,0.245910,0.132705,0.106195,0.232723,0.229060,0.227350,0.258364,0.040469,0.130247
0.793,0.000000,0.021651,0.025032,0.000000,0.000000,0.000000,0.050786,0.015974,0.032886
0.844,0.244933,0.130922,0.106953,0.224420,0.232723,0.232967,0.256348,0.043131,0.128949
0.893,0.000000,0.022160,0.023009,0.000000,0.000000,0.000000,0.056429,0.017039,0.032021
0.944,0.244933,0.130158,0.105942,0.236630,0.232967,0.228816,0.258767,0.052183,0.128516
0.993,0.000000,0.023943,0.023009,0.000000,0.000000,0.000000,0.050786,0.015442,0.029857
1.044,0.278877,0.138563,0.108217,0.260562,0.259585,0.259096,0.278920,0.047391,0.126785
1.093,0.000000,0.007387,0.006827,0.000000,0.000000,0.000000,0.027811,0.006922,0.010818
1.144,0.280586,0.137799,0.106953,0.276190,0.275702,0.263004,0.274083,0.043663,0.128949
1.193,0.000000,0.000255,0.000253,0.000000,0.000000,0.000000,0.019750,0.009585,0.002164
1.244,0.267643,0.136271,0.105942,0.258852,0.251770,0.255433,0.253124,0.043663,0.127218
1.293,0.000000,0.004075,0.000253,0.000000,0.023199,0.000000,0.019347,0.007987,0.004760
1.344,0.265934,0.132960,0.103919,0.259585,0.257875,0.257143,0.264006,0.041534,0.125054
1.393,0.000000,0.013245,0.009102,0.000000,0.000000,0.000000,0.027811,0.006390,0.011683
1.444,0.269109,0.129903,0.100632,0.263004,0.262027,0.259585,0.263603,0.047923,0.125487
1.493,0.000000,0.002547,0.000000,0.000000,0.000000,0.000000,0.016123,0.004792,0.000000
1.544,0.355311,0.149261,0.118078,0.342125,0.347741,0.323565,0.305522,0.052183,0.128516
1.594,0.000000,0.003566,0.003540,0.000000,0.000000,0.000000,0.000000,0.003195,0.006058
1.644,0.327961,0.146460,0.112263,0.335287,0.335043,0.325519,0.303910,0.055378,0.125054
1.694,0.000000,0.012226,0.003793,0.000000,0.000000,0.000000,0.021765,0.010650,0.009952
1.744,0.275214,0.133214,0.097851,0.277411,0.271306,0.260317,0.269246,0.042066,0.126352
1.793,0.000000,0.000000,0.005815,0.000000,0.000000,0.000000,0.029424,0.010650,0.002596
1.844,0.271306,0.132960,0.103919,0.267888,0.234432,0.256410,0.273277,0.057508,0.125054
1.893,0.000000,0.003311,0.002781,0.000000,0.000000,0.000000,0.016526,0.001065,0.002164
1.944,0.201954,0.121243,0.097851,0.193895,0.179731,0.191697,0.229343,0.045793,0.123323
1.993,0.000000,0.004585,0.006827,0.000000,0.000000,0.000000,0.031439,0.014377,0.011251
2.044,0.173871,0.113602,0.092794,0.177534,0.170696,0.169963,0.223297,0.045793,0.125487
2.093,0.000000,0.007641,0.011378,0.000000,0.000000,0.000000,0.027811,0.000000,0.007356
2.143,0.185836,0.114620,0.094058,0.178022,0.179731,0.169963,0.224103,0.041534,0.123323
