time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993289,0.830423,0.963731
0.000,0.000000,0.111111,0.124103,0.000000,0.000000,0.000000,0.074664,0.035700,0.181923
0.000,0.994139,1.000000,1.000000,1.000000,1.000000,1.000000,0.990772,0.830811,0.948187
0.000,0.000000,0.104523,0.133846,0.000000,0.000000,0.000000,0.077181,0.045014,0.071963
0.000,0.898657,1.000000,1.000000,1.000000,0.935531,1.000000,0.988255,0.888242,0.861831
0.000,0.000000,0.111550,0.120513,0.000000,0.000000,0.000000,0.085990,0.046566,0.176742
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993289,0.893287,0.838227
0.000,0.000000,0.098814,0.111795,0.000000,0.000000,0.000000,0.076342,0.036088,0.173287
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831975,0.967761
0.000,0.000000,0.098375,0.124103,0.000000,0.000000,0.000000,0.082215,0.040745,0.175014
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984899,0.833139,0.960852
0.000,0.000000,0.099253,0.127692,0.000000,0.000000,0.000000,0.075503,0.037253,0.176166
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.988674,0.985642,0.970639
0.000,0.000000,0.094422,0.111795,0.000000,0.000000,0.000000,0.068792,0.092355,0.164076
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998322,0.904152,0.955671
0.000,0.000000,0.104084,0.104615,0.000000,0.000000,0.000000,0.090604,0.035700,0.173287
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.992030,0.908809,0.826713
0.000,0.000000,0.091787,0.109744,0.000000,0.000000,0.000000,0.042785,0.033372,0.172712
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989933,0.865347,0.957974
0.000,0.000000,0.081247,0.106667,0.000000,0.000000,0.000000,0.069631,0.038029,0.208405
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993407,0.988255,0.906868,0.938400
0.000,0.000000,0.102767,0.118462,0.000000,0.000000,0.000000,0.076342,0.034924,0.210132
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999512,0.976510,0.894063,0.974669
0.000,0.000000,0.084761,0.095385,0.000000,0.000000,0.000000,0.077181,0.032208,0.176742
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969379,1.000000,0.964882
0.000,0.000000,0.083004,0.117949,0.000000,0.000000,0.000000,0.064597,0.055879,0.157168
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.970940,0.981544,0.889018,0.926885
0.000,0.000000,0.097058,0.118462,0.000000,0.000000,0.000000,0.073826,0.032984,0.161197
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986569,0.973574,0.819170,0.948762
0.000,0.000000,0.086957,0.098462,0.000000,0.000000,0.000000,0.061242,0.089251,0.151410
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989744,0.980705,0.909585,0.934945
0.000,0.000000,0.111111,0.128718,0.000000,0.000000,0.000000,0.076342,0.044626,0.218192
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975671,0.813349,0.958549
0.000,0.000000,0.072464,0.094359,0.000000,0.000000,0.000000,0.022651,0.034148,0.180771
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.967701,0.844393,0.958549
0.000,0.000000,0.075099,0.106154,0.000000,0.000000,0.000000,0.016779,0.019790,0.151986
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.961409,0.814125,0.868164
0.000,0.000000,0.072025,0.136410,0.000000,0.000000,0.000000,0.042366,0.000000,0.140472
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975252,0.859915,0.992516
0.000,0.000000,0.088713,0.130256,0.000000,0.000000,0.000000,0.070889,0.029492,0.219919
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.968121,0.867676,0.959125
0.000,0.000000,0.136583,0.172308,0.000000,0.000000,0.000000,0.103188,0.035312,0.272884
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960151,0.839736,0.952216
0.000,0.000000,0.136583,0.160000,0.000000,0.000000,0.000000,0.073406,0.039581,0.219919
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.957215,0.852930,0.965458
0.000,0.000000,0.133948,0.148718,0.000000,0.000000,0.000000,0.070050,0.048894,0.261370
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969799,0.998448,0.944732
0.000,0.000000,0.116381,0.139487,0.000000,0.000000,0.000000,0.065436,0.033372,0.233736
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956376,0.840512,0.960852
0.000,0.000000,0.111989,0.141538,0.000000,0.000000,0.000000,0.072987,0.031432,0.208981
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953859,0.855646,0.957398
0.000,0.000000,0.116381,0.143590,0.000000,0.000000,0.000000,0.075923,0.033372,0.221071
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960570,0.858750,0.941854
0.000,0.000000,0.122090,0.136410,0.000000,0.001465,0.176068,0.057886,0.035700,0.192286
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.595116,0.956795,0.899496,0.957398
0.000,0.000000,0.093105,0.099487,0.000000,0.000000,0.000000,0.029362,0.014358,0.168682
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.957215,0.962747,1.000000
0.000,0.000000,0.083443,0.111282,0.000000,0.000000,0.000000,0.031040,0.063640,0.032239
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.962248,0.956151,0.953368
0.000,0.000000,0.085639,0.111795,0.000000,0.000000,0.000000,0.036493,0.015134,0.151986
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.945889,0.832751,0.953944
0.000,0.000000,0.112868,0.137436,0.000000,0.000000,0.000000,0.060403,0.020567,0.233161
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.976068,0.948406,0.777648,0.946459
0.000,0.000000,0.093544,0.118974,0.000000,0.000000,0.000000,0.057886,0.024059,0.176166
