time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.002198,0.077167,0.144348,0.001221,0.000000,0.150427,0.223487,0.030159,0.181364
0.000,0.000000,0.086447,0.155776,0.000000,0.000000,0.158974,0.234548,0.025714,0.181364
0.000,0.000000,0.077167,0.142857,0.000000,0.000000,0.147253,0.225114,0.029206,0.180948
0.000,0.000000,0.089866,0.149317,0.006838,0.000000,0.000000,0.228367,0.026349,0.181364
0.000,0.000000,0.074481,0.128696,0.000000,0.000000,0.051526,0.223487,0.025079,0.181364
0.000,0.000000,0.090110,0.136894,0.000000,0.000000,0.093773,0.224138,0.024444,0.182196
0.000,0.000000,0.068376,0.114037,0.002442,0.000000,0.000000,0.212427,0.024127,0.178037
0.000,0.000000,0.098657,0.147081,0.000000,0.000000,0.000000,0.216331,0.025397,0.177621
0.000,0.000000,0.072527,0.129689,0.000000,0.000000,0.000000,0.205921,0.024127,0.175957
0.000,0.000000,0.100855,0.159752,0.000000,0.000000,0.000000,0.216331,0.025397,0.177205
0.000,0.019048,0.039072,0.070311,0.013431,0.000000,0.000000,0.111906,0.004444,0.037022
0.000,0.002442,0.078877,0.062112,0.011477,0.000244,0.030769,0.104750,0.014603,0.057820
0.000,0.024176,0.027350,0.016149,0.005128,0.001465,0.000000,0.069291,0.008254,0.017471
0.000,0.000000,0.066178,0.050932,0.000000,0.006349,0.000000,0.075472,0.005079,0.037438
0.000,0.000000,0.037851,0.027081,0.000000,0.000000,0.000000,0.084255,0.008254,0.027454
0.000,0.032234,0.089621,0.081739,0.015629,0.005372,0.005372,0.123292,0.018095,0.082363
0.000,0.000000,0.033455,0.021366,0.000000,0.000000,0.007082,0.070592,0.003175,0.014559
0.000,0.019048,0.098413,0.093665,0.012454,0.005617,0.014896,0.140859,0.019683,0.105241
0.000,0.000000,0.070330,0.098137,0.000000,0.000000,0.000000,0.166884,0.028889,0.151414
0.000,0.000244,0.052991,0.056398,0.002198,0.000000,0.000000,0.103774,0.006984,0.031198
0.000,0.000000,0.060806,0.065342,0.000000,0.000000,0.000000,0.123292,0.019683,0.094842
