time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.698574,0.899800,0.000000,0.015242,0.000000,0.654110,0.510638,0.946488
0.000,0.002566,0.816701,1.000000,0.000000,0.036448,0.006203,0.763699,0.340426,0.966555
0.000,0.000000,0.694501,0.891784,0.000000,0.000000,0.000000,0.652397,0.872340,0.986622
0.000,0.000000,0.802444,0.983968,0.000000,0.000000,0.000000,0.746575,0.617021,0.966555
0.000,0.000000,0.696538,0.931864,0.011635,0.000000,0.000000,0.619863,0.574468,0.903010
0.000,0.002566,0.816701,0.975952,0.000000,0.000000,0.000000,0.736301,0.531915,0.973244
0.000,0.000000,0.690428,0.895792,0.000000,0.011266,0.000000,0.638699,0.787234,0.946488
0.000,0.000000,0.812627,0.975952,0.000000,0.000000,0.000000,0.702055,0.914894,0.956522
0.000,0.000000,0.694501,0.895792,0.000000,0.000000,0.000000,0.635274,0.787234,0.979933
0.000,0.022450,0.822811,0.985972,0.000000,0.000000,0.000000,0.768836,0.787234,0.986622
0.000,0.000000,0.694501,0.889780,0.002586,0.000000,0.000000,0.643836,0.574468,0.969900
0.000,0.002566,0.832994,1.000000,0.000000,0.000000,0.000000,0.760274,0.531915,0.993311
0.000,0.000000,0.688391,0.891784,0.011635,0.000000,0.000000,0.674658,0.510638,0.986622
0.000,0.000000,0.818737,0.979960,0.000000,0.000000,0.011027,0.770548,0.957447,1.000000
0.000,0.005773,0.676171,0.883768,0.000000,0.000000,0.000000,0.678082,0.957447,0.996656
0.000,0.000000,0.804481,0.995992,0.000000,0.000000,0.000000,0.775685,0.574468,0.986622
0.000,0.000000,0.694501,0.891784,0.000000,0.000000,0.000000,0.628425,0.617021,0.966555
0.000,0.000000,0.826884,0.971944,0.003232,0.010603,0.004135,0.775685,0.744681,0.979933
0.000,0.000000,0.698574,0.915832,0.000000,0.000000,0.019297,0.660959,0.510638,0.969900
0.000,0.019243,0.828921,0.989980,0.000000,0.000000,0.000000,0.734589,0.872340,0.983278
0.000,0.000000,0.680244,0.907816,0.000000,0.000000,0.000000,0.640411,0.893617,0.953177
0.000,0.000000,0.798371,0.983968,0.000000,0.000000,0.000000,0.760274,0.744681,0.979933
0.000,0.000000,0.680244,0.899800,0.000000,0.000000,0.007581,0.654110,0.510638,0.959866
0.000,0.005131,0.828921,0.977956,0.000000,0.000000,0.000000,0.750000,0.851064,0.963211
0.000,0.000000,0.668024,0.899800,0.000000,0.005302,0.000000,0.643836,0.531915,0.953177
0.000,0.003207,0.824847,0.991984,0.000000,0.000000,0.066850,0.738014,0.787234,0.949833
0.000,0.031430,0.702648,0.891784,0.000000,0.000000,0.000000,0.714041,0.404255,0.926421
0.000,0.015394,0.816701,0.995992,0.000000,0.000000,0.000000,0.746575,0.617021,0.939799
0.000,0.000641,0.686354,0.869739,0.000000,0.000000,0.000000,0.630137,0.872340,0.946488
0.000,0.007697,0.820774,0.953908,0.000000,0.021869,0.000000,0.746575,0.914894,0.959866
0.000,0.003207,0.702648,0.955912,0.000000,0.003976,0.000000,0.636986,0.510638,0.959866
0.000,0.000000,0.816701,0.983968,0.000000,0.013254,0.019297,0.770548,0.617021,0.963211
0.000,0.020526,0.698574,0.881764,0.000000,0.000000,0.000000,0.616438,0.446809,0.876254
0.000,0.001283,0.828921,0.983968,0.000000,0.000000,0.011716,0.750000,0.851064,0.953177
0.000,0.000000,0.696538,0.897796,0.000000,0.000000,0.000000,0.671233,0.765957,0.983278
0.000,0.031430,0.845214,1.000000,0.000000,0.000000,0.000000,0.886986,0.851064,0.983278
0.000,0.000000,0.680244,0.883768,0.000000,0.000000,0.000689,0.561644,0.893617,0.989967
0.000,0.035920,0.841141,0.973948,0.000000,0.000000,0.000000,0.941781,0.829787,0.979933
0.000,0.019243,0.000000,0.000000,0.005818,0.007290,0.047553,0.047945,0.340426,0.000000
0.000,0.000000,0.733198,0.775551,0.000000,0.000000,0.002757,0.633562,0.510638,0.946488
0.000,0.000000,0.621181,0.751503,0.023917,0.000000,0.000000,0.618151,0.276596,0.866221
0.000,0.000000,0.810591,0.907816,0.000000,0.005302,0.000000,0.679795,0.489362,0.849498
0.000,0.005131,0.576375,0.727455,0.000000,0.019881,0.000000,0.522260,0.617021,0.612040
0.000,1.000000,1.000000,0.887776,1.000000,1.000000,1.000000,1.000000,0.489362,0.715719
0.000,0.006414,0.075356,0.082164,0.007757,0.029821,0.013094,0.078767,0.617021,0.096990
0.000,0.067351,0.498982,0.402806,0.026503,0.076872,0.019297,0.325342,0.276596,0.608696
0.000,0.021167,0.008147,0.038076,0.045895,0.048376,0.059959,0.000000,0.680851,0.036789
0.000,0.184734,0.523422,0.398798,0.159664,0.151756,0.138525,0.325342,0.000000,0.585284
0.000,0.039769,0.063136,0.052104,0.065288,0.066932,0.079945,0.047945,0.510638,0.086957
0.000,0.076331,0.498982,0.412826,0.132515,0.047714,0.048932,0.321918,0.106383,0.608696
0.000,0.071199,0.116090,0.110220,0.051713,0.040424,0.062715,0.054795,0.510638,0.110368
0.000,0.048749,0.519348,0.452906,0.035553,0.014579,0.020675,0.361301,0.553191,0.618729
0.000,0.041052,0.132383,0.134269,0.049774,0.066932,0.072364,0.113014,0.191489,0.140468
0.000,0.139192,0.533605,0.486974,0.010989,0.007952,0.011716,0.356164,0.234043,0.638796
0.000,0.059012,0.169043,0.186373,0.056238,0.053678,0.065472,0.164384,0.340426,0.160535
0.000,0.018602,0.549898,0.507014,0.028442,0.029158,0.012405,0.388699,0.531915,0.652174
0.000,0.019885,0.213849,0.254509,0.042663,0.058317,0.066850,0.172945,0.531915,0.190635
0.000,0.063502,0.566191,0.527054,0.045895,0.082836,0.015162,0.388699,0.191489,0.645485
0.000,0.048749,0.211813,0.238477,0.073045,0.080186,0.000000,0.167808,0.617021,0.190635
0.000,0.059654,0.560081,0.521042,0.056238,0.042412,0.020675,0.392123,0.617021,0.648829
0.000,0.068634,0.262729,0.288577,0.032321,0.084824,0.075810,0.207192,0.361702,0.244147
0.000,0.037845,0.556008,0.559118,0.021332,0.037773,0.000000,0.433219,0.531915,0.672241
0.000,0.033996,0.207739,0.234469,0.056238,0.062956,0.083391,0.219178,0.531915,0.210702
0.000,0.007056,0.564155,0.531062,0.026503,0.017893,0.019297,0.397260,0.574468,0.658863
0.000,0.005773,0.201629,0.256513,0.062702,0.047714,0.095796,0.208904,0.446809,0.207358
0.000,0.007697,0.553971,0.519038,0.022624,0.011928,0.037905,0.392123,0.446809,0.645485
0.000,0.061578,0.238289,0.254509,0.039431,0.070245,0.089593,0.181507,0.489362,0.207358
0.000,0.028865,0.584521,0.551102,0.022624,0.068257,0.012405,0.390411,0.446809,0.645485
0.000,0.053881,0.167006,0.278557,0.058824,0.077535,0.097864,0.202055,0.404255,0.217391
0.000,0.044901,0.556008,0.527054,0.044602,0.036448,0.015162,0.383562,0.404255,0.648829
0.000,0.057088,0.205703,0.208417,0.069166,0.093439,0.087526,0.178082,0.595745,0.170569
0.000,0.016677,0.523422,0.507014,0.025856,0.026508,0.005513,0.388699,0.191489,0.645485
0.000,0.177678,0.183299,0.186373,0.061409,0.088138,0.072364,0.136986,0.829787,0.143813
0.000,0.021167,0.543788,0.517034,0.028442,0.017230,0.053756,0.400685,0.361702,0.645485
0.000,0.088518,0.234216,0.222445,0.066580,0.111332,0.112336,0.164384,0.617021,0.163880
0.000,0.053881,0.549898,0.529058,0.007111,0.013254,0.014473,0.383562,0.361702,0.672241
0.000,0.045542,0.179226,0.178357,0.061409,0.078860,0.106823,0.169521,0.531915,0.170569
0.000,0.030789,0.543788,0.529058,0.091144,0.023857,0.013784,0.412671,0.404255,0.662207
0.000,0.086594,0.242363,0.242485,0.065288,0.068920,0.080634,0.154110,0.446809,0.217391
0.000,0.000000,0.578411,0.523046,0.015514,0.033797,0.004135,0.405822,0.276596,0.652174
0.000,0.058371,0.207739,0.206413,0.098255,0.104042,0.105445,0.143836,0.531915,0.163880
0.000,0.066709,0.566191,0.515030,0.029089,0.005302,0.037905,0.410959,0.404255,0.662207
0.045,0.000000,0.258656,0.272545,0.085973,0.081511,0.102688,0.208904,0.340426,0.204013
0.095,0.073124,0.590631,0.555110,0.077569,0.027170,0.038594,0.428082,0.340426,0.672241
0.145,0.066709,0.217923,0.230461,0.080802,0.058979,0.150930,0.171233,0.510638,0.180602
0.195,0.017960,0.572301,0.501002,0.045895,0.000000,0.093039,0.393836,0.255319,0.638796
0.245,0.048108,0.201629,0.238477,0.060116,0.061630,0.000000,0.176370,0.404255,0.200669
0.295,0.069917,0.568228,0.537074,0.044602,0.000000,0.000000,0.407534,0.659574,0.655518
0.345,0.044901,0.197556,0.234469,0.021332,0.088138,0.074431,0.174658,0.765957,0.204013
0.395,0.076331,0.551935,0.498998,0.042663,0.036448,0.035148,0.364726,0.489362,0.638796
0.445,0.079538,0.238289,0.214429,0.073045,0.073559,0.126120,0.176370,0.680851,0.183946
0.495,0.073765,0.527495,0.507014,0.018746,0.040424,0.028256,0.364726,0.446809,0.638796
0.545,0.176395,0.205703,0.208417,0.105365,0.096090,0.128877,0.174658,0.872340,0.167224
0.595,0.000000,0.547862,0.519038,0.038785,0.057654,0.019297,0.383562,0.361702,0.672241
0.645,0.046825,0.207739,0.198397,0.066580,0.085487,0.229497,0.145548,0.638298,0.170569
0.695,0.032713,0.537678,0.498998,0.023917,0.074221,0.035148,0.378425,0.148936,0.648829
0.745,0.068634,0.177189,0.208417,0.071105,0.092114,0.104066,0.160959,0.510638,0.183946
0.795,0.064785,0.558045,0.503006,0.034260,0.020543,0.024121,0.364726,0.404255,0.652174
0.845,0.085311,0.213849,0.248497,0.085973,0.092777,0.106823,0.188356,0.787234,0.210702
0.895,0.061578,0.551935,0.507014,0.038138,0.003976,0.037905,0.356164,0.340426,0.645485
0.945,0.010263,0.201629,0.210421,0.070459,0.118622,0.101309,0.169521,0.446809,0.204013
0.995,0.044259,0.551935,0.513026,0.043310,0.020543,0.027567,0.386986,0.276596,0.662207
1.045,0.059654,0.195519,0.206413,0.069166,0.084824,0.106823,0.186644,0.510638,0.183946
1.095,0.110969,0.547862,0.474950,0.072398,0.072233,0.041351,0.356164,0.276596,0.652174
1.145,0.057088,0.169043,0.174349,0.093730,0.106030,0.134390,0.140411,0.787234,0.177258
1.195,0.109686,0.564155,0.496994,0.043310,0.025182,0.033770,0.369863,0.531915,0.635452
1.245,0.171264,0.191446,0.208417,0.080155,0.113320,0.112336,0.166096,0.914894,0.170569
1.295,0.039128,0.549898,0.503006,0.037492,0.043075,0.037905,0.393836,0.531915,0.652174
1.345,0.086594,0.205703,0.226453,0.056238,0.094765,0.115093,0.193493,0.531915,0.180602
1.395,0.072482,0.566191,0.531062,0.005818,0.021869,0.017229,0.392123,0.234043,0.665552
1.445,0.070558,0.187373,0.212425,0.101487,0.108019,0.082702,0.181507,0.553191,0.170569
1.495,0.053881,0.543788,0.519038,0.031674,0.000000,0.043418,0.400685,0.340426,0.655518
1.545,0.046183,0.291242,0.302605,0.049774,0.058317,0.079256,0.226027,0.531915,0.287625
1.595,0.062219,0.602851,0.623246,0.011635,0.028496,0.000000,0.493151,0.468085,0.705686
1.645,0.064785,0.274949,0.294589,0.082741,0.113320,0.079945,0.208904,0.489362,0.270903
1.695,0.075048,0.596741,0.599198,0.000000,0.028496,0.001378,0.441781,0.510638,0.692308
1.745,0.059012,0.262729,0.246493,0.066580,0.064281,0.104755,0.184932,0.510638,0.224080
1.795,0.068634,0.558045,0.472946,0.022624,0.010603,0.019297,0.404110,0.404255,0.658863
1.845,0.053239,0.219959,0.250501,0.056238,0.098741,0.093039,0.195205,0.510638,0.190635
1.895,0.060936,0.556008,0.529058,0.053652,0.049039,0.011716,0.410959,0.191489,0.678930
1.945,0.146889,0.262729,0.274549,0.062702,0.079523,0.097174,0.220890,0.787234,0.220736
1.995,0.017319,0.568228,0.559118,0.049774,0.070908,0.003446,0.410959,0.638298,0.688963
2.045,0.057088,0.285132,0.318637,0.036846,0.049039,0.090283,0.222603,0.680851,0.284281
2.095,0.043618,0.600815,0.633267,0.011635,0.020543,0.000000,0.446918,0.617021,0.705686
2.145,0.078255,0.348269,0.394790,0.062056,0.065606,0.037905,0.306507,0.574468,0.337793
2.195,0.030789,0.629328,0.627255,0.044602,0.010603,0.004824,0.462329,0.382979,0.705686
2.245,0.040411,0.657841,0.763527,0.035553,0.021869,0.028946,0.568493,0.787234,0.795987
2.295,0.054522,0.804481,0.911824,0.019392,0.000000,0.000000,0.691781,0.574468,0.892977
2.345,0.016677,0.613035,0.743487,0.025856,0.040424,0.029635,0.565068,0.574468,0.698997
2.395,0.003849,0.784114,0.899800,0.010989,0.000000,0.003446,0.647260,0.468085,0.859532
2.445,0.030148,0.647658,0.823647,0.012282,0.046388,0.042729,0.647260,0.510638,0.836120
2.495,0.046825,0.769857,0.887776,0.010989,0.012591,0.017229,0.674658,0.489362,0.866221
2.545,0.090443,0.668024,0.823647,0.010343,0.007290,0.000000,0.640411,0.872340,0.852843
2.595,0.015394,0.800407,0.911824,0.010343,0.005302,0.013784,0.688356,0.531915,0.876254
2.645,0.000000,0.663951,0.809619,0.011635,0.049702,0.004135,0.618151,0.829787,0.769231
2.695,0.032713,0.771894,0.867735,0.000000,0.000000,0.000000,0.654110,0.425532,0.802676
2.746,0.000000,0.670061,0.863727,0.113122,0.001325,0.000000,0.672945,0.489362,0.919732
2.795,0.000000,0.826884,0.951904,0.003878,0.000000,0.008270,0.746575,0.765957,0.966555
2.845,0.021167,0.702648,0.881764,0.000000,0.000000,0.006892,0.678082,1.000000,0.929766
2.895,0.000000,0.820774,0.967936,0.000000,0.000000,0.006203,0.736301,0.510638,0.939799
2.945,0.021167,0.692464,0.883768,0.011635,0.005302,0.022743,0.681507,0.680851,0.896321
2.995,0.005773,0.792261,0.949900,0.006464,0.014579,0.000000,0.729452,0.489362,0.876254
3.045,0.014112,0.694501,0.865731,0.000000,0.084824,0.011716,0.662671,0.489362,0.892977
