time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.136476,0.146662,0.000000,0.000000,0.000000,0.195960,0.077016,0.151320
0.000,0.014408,0.150538,0.147727,0.028083,0.014896,0.009524,0.287542,0.081829,0.151320
0.000,0.000000,0.135649,0.131037,0.000000,0.000000,0.000000,0.168350,0.054152,0.128139
0.000,0.006105,0.139785,0.138849,0.011722,0.006838,0.009524,0.277441,0.086643,0.142305
0.000,0.000000,0.112490,0.118963,0.000000,0.000000,0.000000,0.167003,0.055355,0.112041
0.000,0.018559,0.142266,0.136009,0.011722,0.042735,0.026618,0.270707,0.086643,0.142305
0.000,0.000000,0.122415,0.125710,0.000000,0.000000,0.000000,0.171044,0.061372,0.129427
0.000,0.022711,0.140612,0.136009,0.014408,0.005372,0.013675,0.273401,0.105897,0.144881
0.000,0.000000,0.103391,0.113281,0.000000,0.000000,0.000000,0.150842,0.057762,0.094656
0.000,0.019780,0.131100,0.128906,0.022222,0.027106,0.032967,0.282155,0.093863,0.133290
0.000,0.000000,0.108354,0.112926,0.000000,0.000000,0.000000,0.146801,0.055355,0.105602
0.000,0.024664,0.137304,0.129616,0.034676,0.052503,0.016850,0.276094,0.105897,0.135866
0.000,0.010012,0.119934,0.132457,0.000000,0.000000,0.000000,0.179125,0.055355,0.126207
0.000,0.063248,0.127378,0.123580,0.052991,0.056654,0.024664,0.266667,0.084236,0.115905
0.000,0.000000,0.088503,0.099077,0.000000,0.000000,0.000000,0.127946,0.040915,0.084997
0.000,0.027350,0.121588,0.116477,0.029304,0.027350,0.019780,0.258586,0.086643,0.124276
0.000,0.000000,0.086022,0.093395,0.000000,0.000000,0.000000,0.119192,0.028881,0.065035
0.000,0.036630,0.126551,0.117543,0.011966,0.048107,0.043712,0.267340,0.108303,0.119124
0.000,0.000000,0.090157,0.083097,0.000000,0.000000,0.000000,0.114478,0.022864,0.064392
0.000,0.000000,0.148056,0.153409,0.000000,0.001465,0.003907,0.290909,0.103490,0.180296
0.000,0.003175,0.156328,0.166193,0.000000,0.000000,0.000000,0.255219,0.079422,0.182872
0.000,0.013919,0.160463,0.174361,0.000000,0.000488,0.007082,0.321886,0.098676,0.170637
0.000,0.000000,0.148470,0.160156,0.000000,0.000000,0.000000,0.227609,0.079422,0.158403
0.000,0.005128,0.148883,0.155185,0.005617,0.005372,0.010501,0.289562,0.086643,0.154540
0.000,0.036386,0.052936,0.055753,0.000000,0.000000,0.007082,0.065320,0.000000,0.022537
0.000,0.041758,0.139371,0.125710,0.050794,0.043468,0.046886,0.266667,0.104693,0.144237
0.000,0.000000,0.072374,0.080611,0.000000,0.000000,0.007570,0.088215,0.022864,0.047006
0.000,0.061294,0.109595,0.096236,0.068376,0.084249,0.072039,0.230303,0.096270,0.102382
0.000,0.000000,0.135649,0.119673,0.000000,0.000000,0.000000,0.168350,0.062575,0.126207
0.000,0.040293,0.101737,0.093040,0.037363,0.039072,0.040293,0.216162,0.077016,0.096587
0.000,0.000000,0.099256,0.096591,0.000000,0.000000,0.000000,0.122559,0.033694,0.079845
0.000,0.049084,0.129032,0.136009,0.023199,0.031258,0.028083,0.265320,0.081829,0.128783
0.000,0.000000,0.129859,0.133168,0.021245,0.000000,0.000000,0.181145,0.048135,0.137154
0.000,0.122100,0.135649,0.124645,0.130647,0.121368,0.116484,0.318519,0.109507,0.107534
0.000,0.000000,0.082299,0.090199,0.000000,0.000000,0.000000,0.115152,0.040915,0.084353
0.000,0.112088,0.136476,0.121094,0.081807,0.103541,0.099634,0.298316,0.084236,0.115261
0.000,0.000000,0.047974,0.054332,0.000000,0.000000,0.000000,0.061279,0.032491,0.033484
0.000,0.063248,0.089330,0.075639,0.057875,0.060562,0.068620,0.292256,0.096270,0.079202
0.000,0.000000,0.118280,0.125000,0.000000,0.000000,0.067155,0.253199,0.060168,0.126207
0.000,0.016850,0.131100,0.136009,0.000000,0.016850,0.020269,0.416162,0.096270,0.123632
0.000,0.000000,0.119934,0.126065,0.000000,0.000000,0.000000,0.212795,0.070999,0.130071
0.000,0.021490,0.144748,0.144531,0.009524,0.015385,0.000000,0.299663,0.081829,0.150032
0.000,0.000000,0.146402,0.154474,0.000000,0.003419,0.075458,0.209428,0.074609,0.182228
0.000,0.023443,0.159636,0.159801,0.000000,0.005861,0.135043,0.317845,0.101083,0.162267
0.000,0.000000,0.154673,0.164773,0.000000,0.000000,0.135531,0.320539,0.079422,0.170637
0.000,0.001465,0.168321,0.172940,0.000000,0.000000,0.148718,0.397980,0.093863,0.193175
0.000,0.000000,0.159636,0.176136,0.000000,0.000000,0.153846,0.348822,0.084236,0.194462
0.000,0.000000,0.156328,0.171520,0.000000,0.001465,0.142369,0.346128,0.098676,0.169994
0.000,0.000000,0.156328,0.177202,0.000000,0.001221,0.150183,0.300337,0.081829,0.192531
0.000,0.000000,0.161704,0.182528,0.000000,0.000000,0.153114,0.363636,0.096270,0.198326
0.000,0.028083,0.161290,0.180043,0.000000,0.000000,0.154335,0.314478,0.093863,0.188667
0.000,0.000000,0.160463,0.174006,0.000000,0.000000,0.152137,0.359596,0.101083,0.195750
0.000,0.000000,0.154673,0.175071,0.000000,0.000000,0.152381,0.327273,0.097473,0.193818
0.000,0.000000,0.159636,0.176491,0.000000,0.000000,0.151404,0.355556,0.091456,0.195750
0.000,0.000000,0.156328,0.176136,0.000000,0.000000,0.152137,0.324579,0.080626,0.192531
0.000,0.000000,0.156328,0.173295,0.000000,0.000000,0.150916,0.352862,0.086643,0.193175
0.000,0.000733,0.156328,0.176491,0.000000,0.000000,0.152381,0.325926,0.080626,0.193818
0.000,0.020269,0.159636,0.174361,0.019536,0.014408,0.148962,0.343434,0.084236,0.184160
0.000,0.001954,0.154673,0.171520,0.006349,0.000000,0.151404,0.308418,0.074609,0.192531
0.000,0.000000,0.151778,0.171520,0.000000,0.000000,0.147497,0.331313,0.096270,0.187379
0.000,0.000000,0.147643,0.167969,0.000000,0.000000,0.137973,0.268687,0.062575,0.156471
0.000,0.004151,0.146816,0.153409,0.008059,0.024420,0.131380,0.287542,0.086643,0.155184
0.000,0.011722,0.138544,0.141335,0.000000,0.000000,0.120879,0.223569,0.072202,0.141661
0.000,0.000000,0.150124,0.154474,0.007082,0.010012,0.131624,0.294949,0.079422,0.159691
0.000,0.000000,0.157155,0.170455,0.000000,0.000000,0.148474,0.288215,0.078219,0.189955
0.000,0.039805,0.408602,0.437145,0.029304,0.044200,0.195604,0.354882,0.093863,0.365100
0.000,0.000000,0.110835,0.150568,0.000000,0.042002,0.093040,0.142761,0.028881,0.100451
0.000,1.000000,0.974773,0.953480,1.000000,1.000000,0.256166,1.000000,0.465704,0.663876
0.000,0.000000,0.299421,0.444957,0.000000,0.000000,0.000000,0.125253,0.027677,0.116549
0.000,0.089377,0.095947,0.113281,0.094994,0.095971,0.092063,0.195960,0.122744,0.084353
0.000,0.000000,0.081059,0.076705,0.000000,0.000000,0.000000,0.105051,0.021661,0.079845
0.000,1.000000,0.870141,0.885653,1.000000,1.000000,1.000000,0.929293,0.229844,0.504829
0.000,0.080830,0.941274,0.958452,0.041758,0.000000,0.000000,0.572391,0.888087,0.968448
0.000,0.223443,0.473118,0.581321,0.228327,0.242247,0.245177,0.368350,0.134777,0.190599
0.000,0.000000,0.109181,0.173651,0.000000,0.000000,0.000000,0.115152,0.052948,0.112685
0.000,0.053968,0.094293,0.087713,0.055433,0.053724,0.058364,0.171717,0.085439,0.088216
0.000,0.000000,0.066170,0.056463,0.000000,0.000000,0.000000,0.063300,0.022864,0.077914
0.000,0.010501,0.127378,0.124645,0.005372,0.000000,0.000244,0.206061,0.101083,0.162910
0.000,0.018803,0.148883,0.157670,0.000000,0.000000,0.000000,0.234343,0.068592,0.174501
0.000,0.019780,0.131100,0.137429,0.017582,0.037363,0.020757,0.249832,0.096270,0.139730
0.000,0.202198,1.000000,0.972656,0.159463,0.147253,0.123810,0.655892,0.989170,0.863490
0.000,0.806593,0.868486,0.871094,0.852991,0.847863,0.846154,0.839057,0.252708,0.483580
0.045,0.000000,0.309760,0.488636,0.000000,0.000000,0.000000,0.268013,0.102286,0.206697
0.095,0.000000,0.173284,0.329190,0.000000,0.000000,0.000000,0.289562,0.101083,0.196394
0.145,0.000000,0.163772,0.245384,0.000000,0.000000,0.000000,0.296296,0.081829,0.198326
0.195,0.000000,0.152192,0.193537,0.000000,0.000000,0.000000,0.303704,0.098676,0.196394
0.245,0.000000,0.660463,0.751065,0.000000,0.000000,0.000000,0.418855,0.050542,0.533162
0.295,0.022466,0.201820,0.368608,0.000000,0.000000,0.000000,0.276094,0.099880,0.195106
0.345,0.000000,0.097188,0.146662,0.000000,0.000000,0.000000,0.176431,0.050542,0.096587
0.395,0.000000,0.151778,0.153764,0.000000,0.000000,0.000000,0.270707,0.095066,0.197682
0.445,0.003907,0.114557,0.108310,0.000000,0.000000,0.000000,0.190572,0.105897,0.146169
0.495,0.000000,0.126964,0.122159,0.000000,0.000000,0.007082,0.209428,0.096270,0.161623
0.545,0.002442,0.132341,0.133168,0.000000,0.000000,0.000000,0.222222,0.079422,0.146813
0.595,0.035897,0.121175,0.119673,0.043956,0.048596,0.036874,0.237037,0.086643,0.113973
0.645,0.275702,0.988420,1.000000,0.244200,0.223199,0.199267,0.738047,1.000000,1.000000
0.695,0.526252,0.309347,0.437145,0.572161,0.591697,0.600000,0.500337,0.194946,0.080489
0.745,0.000000,0.088503,0.101207,0.000000,0.000000,0.000000,0.109764,0.050542,0.108822
0.795,0.000000,0.143093,0.149858,0.000000,0.000488,0.000000,0.255219,0.077016,0.198970
0.845,0.000000,0.288668,0.293679,0.000000,0.000000,0.000000,0.229630,0.036101,0.249195
0.895,0.312088,0.120761,0.091619,0.307448,0.295726,0.305983,0.284175,0.146811,0.061816
0.945,0.000000,0.078164,0.068537,0.000000,0.000000,0.000000,0.104377,0.050542,0.111397
0.995,0.351160,0.124897,0.094105,0.361172,0.348474,0.337973,0.308418,0.152828,0.063748
1.045,0.000000,0.075269,0.066406,0.000000,0.000000,0.000000,0.093603,0.031288,0.110753
1.095,0.328938,0.116625,0.087003,0.335775,0.334799,0.347741,0.290909,0.138387,0.060528
1.145,0.000000,0.087676,0.082741,0.000000,0.000000,0.000000,0.092929,0.060168,0.126851
1.195,0.008059,0.126551,0.136364,0.000000,0.000000,0.000000,0.224916,0.103490,0.182872
1.245,0.000000,0.155500,0.162997,0.000000,0.000000,0.000000,0.258586,0.101083,0.182872
1.295,0.054457,0.094706,0.101918,0.046154,0.046154,0.040293,0.202020,0.086643,0.083065
1.345,0.000000,0.137304,0.135298,0.000000,0.000000,0.000000,0.224916,0.080626,0.157759
1.395,0.048352,0.091398,0.089134,0.048840,0.065201,0.064469,0.189899,0.103490,0.083065
1.445,0.000000,0.119934,0.109375,0.000000,0.000000,0.000000,0.177778,0.063779,0.144237
1.495,0.081319,0.085194,0.079190,0.074481,0.070818,0.089621,0.176431,0.090253,0.070831
1.545,0.000000,0.106700,0.099787,0.000000,0.000000,0.000000,0.153535,0.061372,0.128139
1.595,0.043956,0.083954,0.079901,0.044689,0.050061,0.026129,0.160269,0.093863,0.084353
1.645,0.013675,0.114971,0.114702,0.000000,0.000000,0.000000,0.185859,0.070999,0.143593
1.695,0.073993,0.068652,0.069602,0.071062,0.073504,0.076679,0.165657,0.098676,0.054089
1.745,0.000000,0.106700,0.099432,0.000000,0.000000,0.000000,0.165657,0.096270,0.137798
1.795,0.085714,0.068238,0.063210,0.119902,0.138706,0.157265,0.222896,0.110710,0.050869
1.845,0.146764,0.126551,0.092685,0.107448,0.092552,0.083028,0.199327,0.060168,0.128783
1.895,0.039805,0.038462,0.033736,0.083516,0.098413,0.110623,0.125253,0.103490,0.037991
1.945,0.078877,0.112903,0.084872,0.062515,0.053480,0.048840,0.117845,0.048135,0.128783
1.995,0.072527,0.028950,0.026634,0.058364,0.063248,0.083761,0.094276,0.099880,0.033484
2.045,0.083761,0.111663,0.088068,0.063736,0.058608,0.041270,0.164310,0.052948,0.131359
2.095,0.016361,0.021505,0.023082,0.019292,0.035653,0.037851,0.066667,0.084236,0.028976
2.145,0.088645,0.114971,0.088068,0.063980,0.085470,0.075946,0.180471,0.057762,0.130715
2.195,0.011477,0.018610,0.018821,0.007570,0.024176,0.018315,0.052525,0.074609,0.025113
2.245,0.113553,0.120761,0.090909,0.116972,0.103297,0.107448,0.208754,0.063779,0.129427
2.295,0.008547,0.015302,0.013849,0.005861,0.013675,0.016850,0.030976,0.077016,0.016098
2.345,0.090598,0.109595,0.085582,0.081807,0.083272,0.072039,0.189226,0.067389,0.128139
2.395,0.019292,0.010753,0.012074,0.009768,0.003907,0.016606,0.026936,0.070999,0.018674
2.445,0.105739,0.111663,0.085227,0.071551,0.077167,0.073016,0.187879,0.081829,0.130071
2.495,0.001221,0.012407,0.009588,0.004884,0.004884,0.004151,0.020202,0.064982,0.016098
2.545,0.065690,0.105873,0.083807,0.058852,0.055922,0.056410,0.180471,0.075812,0.128139
2.595,0.017582,0.009098,0.008878,0.015629,0.022222,0.002198,0.017508,0.074609,0.010947
2.645,0.135531,0.118280,0.090909,0.115995,0.104274,0.118437,0.215488,0.084236,0.127495
2.695,0.006105,0.004136,0.004616,0.006838,0.004884,0.013431,0.009428,0.061372,0.004507
2.745,0.134799,0.119107,0.091974,0.133578,0.110134,0.124786,0.215488,0.084236,0.128783
2.795,0.000000,0.005376,0.005327,0.000000,0.002930,0.002442,0.009428,0.067389,0.004507
2.845,0.116972,0.117452,0.090909,0.111600,0.109402,0.111600,0.215488,0.062575,0.129427
2.895,0.000000,0.003722,0.003906,0.013431,0.004396,0.001221,0.009428,0.060168,0.000644
