time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.145283,0.149023,0.000000,0.000000,0.000000,0.000000,0.065428,0.240491
0.000,0.000488,0.134591,0.142780,0.000000,0.004396,0.001709,0.002686,0.071375,0.229448
0.000,0.000000,0.150629,0.148480,0.000000,0.000000,0.000000,0.000000,0.066171,0.227607
0.000,0.000000,0.134591,0.141422,0.002442,0.000000,0.000000,0.000000,0.079554,0.229448
0.000,0.000000,0.143711,0.148751,0.000000,0.000000,0.025397,0.000000,0.066171,0.241104
0.000,0.000000,0.135849,0.145765,0.000000,0.009280,0.001954,0.000488,0.082528,0.237423
0.000,0.000000,0.140881,0.150380,0.000000,0.000000,0.000000,0.000000,0.078067,0.240491
0.000,0.000244,0.130189,0.139522,0.010989,0.000000,0.002930,0.127473,0.085502,0.219632
0.000,0.000000,0.145912,0.142508,0.001465,0.000000,0.000000,0.161416,0.087732,0.222086
0.000,0.007326,0.133962,0.140608,0.000000,0.002198,0.000000,0.169475,0.081041,0.220859
0.000,0.000000,0.138050,0.140065,0.000000,0.000000,0.000000,0.165812,0.078067,0.220859
0.000,0.010989,0.134591,0.139522,0.003175,0.000000,0.013675,0.174847,0.095911,0.222086
0.000,0.000000,0.141509,0.144408,0.000000,0.000000,0.012943,0.170696,0.085502,0.225153
0.000,0.002442,0.132704,0.141965,0.005128,0.009035,0.000000,0.177534,0.100372,0.222699
0.000,0.006838,0.140252,0.140608,0.000000,0.000000,0.000000,0.168742,0.076580,0.222699
0.000,0.008059,0.133333,0.137894,0.011477,0.023199,0.006105,0.176557,0.084015,0.221472
0.000,0.000000,0.135849,0.140065,0.000000,0.000000,0.000000,0.169719,0.078067,0.225767
0.000,0.001465,0.132075,0.136808,0.003907,0.009035,0.000000,0.177534,0.101859,0.220859
0.000,0.003663,0.141509,0.139522,0.000000,0.000000,0.000000,0.168498,0.075836,0.223313
0.000,0.000000,0.136478,0.134636,0.005128,0.001221,0.012454,0.174603,0.089963,0.217791
0.000,0.000000,0.138050,0.137351,0.000000,0.000000,0.000000,0.168010,0.085502,0.218405
0.000,0.016361,0.130503,0.135722,0.012210,0.013675,0.004640,0.167033,0.079554,0.217178
0.000,0.000000,0.135220,0.134908,0.000000,0.000000,0.000000,0.165324,0.085502,0.217791
0.000,0.011477,0.130818,0.132736,0.000000,0.006349,0.001954,0.174847,0.086989,0.212883
0.000,0.000000,0.139623,0.138436,0.000000,0.017827,0.000000,0.170208,0.081041,0.224540
0.000,0.004151,0.130818,0.132736,0.000000,0.008059,0.010989,0.176068,0.098141,0.217178
0.000,0.000000,0.135849,0.139522,0.000000,0.000000,0.000000,0.170208,0.073606,0.223313
0.000,0.010012,0.132075,0.136265,0.000000,0.004151,0.012454,0.176801,0.083271,0.213497
0.000,0.000000,0.139623,0.134908,0.000000,0.000000,0.000000,0.165812,0.084015,0.217791
0.000,0.002686,0.131447,0.132465,0.030525,0.001465,0.012698,0.175092,0.089963,0.215951
0.000,0.007570,0.141509,0.138165,0.000000,0.000000,0.000000,0.166300,0.075093,0.217791
0.000,0.034921,0.134591,0.134908,0.013919,0.005617,0.014408,0.175580,0.081041,0.219632
0.000,0.000000,0.137107,0.139251,0.000000,0.000000,0.034921,0.169231,0.072119,0.223313
0.000,0.005861,0.131761,0.137894,0.008547,0.020024,0.009035,0.183150,0.095167,0.219632
