time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.329670,0.348958,0.000000,0.000000,0.000000,0.453287,0.830986,0.991935
0.000,0.000000,0.263736,0.312500,0.000000,0.000000,0.000000,0.324106,0.859155,0.975806
0.000,0.237745,0.326531,0.346354,0.000000,0.000000,0.000000,0.427912,0.633803,0.967742
0.000,0.002451,0.266876,0.315104,0.000000,0.000000,0.000000,0.333333,0.816901,0.967742
0.000,0.000000,0.342229,0.332031,0.000000,0.000000,0.000000,0.424452,0.887324,0.963710
0.000,0.183824,0.285714,0.313802,0.009231,0.000000,0.000000,0.312572,0.591549,0.959677
0.000,0.007353,0.329670,0.333333,0.000000,0.000000,0.000000,0.446367,0.816901,0.971774
0.000,0.000000,0.276295,0.317708,0.000000,0.000000,0.000000,0.304498,0.619718,0.951613
0.000,0.046569,0.321821,0.338542,0.000000,0.000000,0.000000,0.444060,0.633803,0.975806
0.000,0.144608,0.259027,0.317708,0.000000,0.000000,0.000000,0.317186,0.605634,0.967742
0.000,0.044118,0.331240,0.330729,0.000000,0.000000,0.000000,0.452134,0.760563,0.967742
0.000,0.281863,0.271586,0.311198,0.000000,0.000000,0.000000,0.276817,0.633803,0.955645
0.000,0.000000,0.332810,0.338542,0.000000,0.000000,0.000000,0.462514,0.619718,0.975806
0.000,0.000000,0.263736,0.315104,0.000000,0.000000,0.000000,0.322953,0.859155,0.955645
0.000,0.000000,0.334380,0.330729,0.156923,0.000000,0.000000,0.464821,0.746479,0.967742
0.000,0.039216,0.244898,0.311198,0.030769,0.000000,0.000000,0.304498,0.549296,0.955645
0.000,0.019608,0.329670,0.334635,0.000000,0.003236,0.000000,0.470588,0.943662,0.987903
0.000,0.068627,0.251177,0.311198,0.000000,0.000000,0.000000,0.313725,0.704225,0.959677
0.000,0.000000,0.329670,0.335938,0.000000,0.000000,0.000000,0.476355,0.619718,0.983871
0.000,0.019608,0.251177,0.315104,0.000000,0.000000,0.000000,0.322953,0.605634,0.963710
0.000,0.000000,0.324961,0.346354,0.000000,0.000000,0.000000,0.505190,0.704225,0.967742
0.000,0.000000,0.241758,0.309896,0.018462,0.000000,0.000000,0.310265,0.591549,0.959677
0.000,0.002451,0.323391,0.328125,0.000000,0.000000,0.000000,0.467128,0.577465,0.967742
0.000,0.000000,0.128728,0.190104,0.000000,0.000000,0.000000,0.208766,0.549296,0.483871
0.000,0.000000,0.288854,0.240885,0.006154,0.006472,0.000000,0.411765,0.746479,0.782258
0.000,0.000000,0.050235,0.061198,0.000000,0.000000,0.000000,0.136101,0.464789,0.270161
0.000,0.039216,0.270016,0.192708,0.000000,0.000000,0.000000,0.387543,0.619718,0.733871
0.000,0.000000,0.047096,0.075521,0.000000,0.000000,0.000000,0.116494,0.450704,0.290323
0.000,0.178922,0.257457,0.166667,0.160000,0.495146,0.000000,0.388697,0.577465,0.669355
0.000,0.000000,0.094192,0.078125,0.000000,0.000000,0.000000,0.141869,0.647887,0.354839
0.000,0.102941,0.295133,0.216146,0.107692,0.155340,0.000000,0.405998,0.577465,0.741935
0.000,0.000000,0.072214,0.122396,0.000000,0.000000,0.000000,0.144175,0.380282,0.387097
0.000,0.073529,0.251177,0.213542,0.089231,0.000000,0.000000,0.410611,0.619718,0.745968
0.000,0.000000,0.108320,0.148438,0.000000,0.000000,0.000000,0.169550,0.577465,0.439516
0.000,0.178922,0.301413,0.217448,0.169231,0.119741,0.013672,0.439446,0.633803,0.745968
0.000,0.000000,0.010989,0.002604,0.000000,0.000000,0.000000,0.086505,0.492958,0.161290
0.000,0.149510,0.259027,0.169271,0.144615,0.268608,0.000000,0.396770,0.633803,0.665323
0.000,0.000000,0.014129,0.009115,0.000000,0.000000,0.000000,0.086505,0.521127,0.201613
0.000,0.022059,0.263736,0.171875,0.076923,0.207120,0.000000,0.395617,0.591549,0.645161
0.000,0.000000,0.000000,0.002604,0.000000,0.000000,0.000000,0.081892,0.492958,0.153226
0.000,0.144608,0.271586,0.164062,0.178462,0.197411,0.000000,0.394464,0.816901,0.669355
0.000,0.000000,0.007849,0.019531,0.000000,0.000000,0.000000,0.081892,0.253521,0.185484
0.000,0.178922,0.265306,0.156250,0.150769,0.165049,0.000000,0.393310,0.873239,0.665323
0.000,0.000000,0.189953,0.191406,0.000000,0.000000,0.000000,0.224913,0.830986,0.818548
0.000,0.004902,0.332810,0.315104,0.000000,0.000000,0.000000,0.439446,0.633803,0.955645
0.000,0.000000,0.244898,0.302083,0.000000,0.000000,0.000000,0.294118,0.633803,0.955645
0.000,0.022059,0.328100,0.333333,0.000000,0.000000,0.000000,0.465975,0.591549,0.991935
0.000,0.000000,0.238619,0.311198,0.000000,0.000000,0.000000,0.298731,0.830986,0.967742
0.000,0.000000,0.334380,0.330729,0.000000,0.000000,0.000000,0.480969,0.521127,0.963710
0.000,0.000000,0.229199,0.312500,0.000000,0.000000,0.000000,0.298731,0.633803,0.955645
0.000,0.000000,0.323391,0.330729,0.000000,0.000000,0.000000,0.476355,0.633803,0.955645
0.000,0.000000,0.232339,0.304688,0.000000,0.000000,0.000000,0.282584,0.845070,0.951613
0.000,0.000000,0.321821,0.328125,0.000000,0.012945,0.000000,0.499423,0.816901,0.971774
0.000,0.000000,0.233909,0.303385,0.000000,0.000000,0.000000,0.310265,0.943662,0.955645
0.000,0.000000,0.321821,0.348958,0.000000,0.000000,0.000000,0.467128,0.873239,0.955645
0.000,0.000000,0.226060,0.309896,0.000000,0.000000,0.000000,0.295271,0.577465,0.959677
0.000,0.000000,0.339089,0.333333,0.000000,0.038835,0.000000,0.492503,0.661972,0.955645
0.000,0.000000,0.216641,0.279948,0.000000,0.000000,0.000000,0.259516,0.577465,0.899194
0.000,0.000000,0.313972,0.330729,0.000000,0.064725,0.000000,0.507497,0.802817,0.963710
0.000,0.019608,0.226060,0.315104,0.000000,0.000000,0.000000,0.298731,0.830986,0.955645
0.000,0.120098,0.323391,0.281250,0.101538,0.058252,0.000000,0.464821,0.605634,0.834677
0.000,0.000000,0.227630,0.276042,0.000000,0.000000,0.000000,0.289504,1.000000,0.907258
0.000,0.000000,0.329670,0.320312,0.000000,0.000000,0.000000,0.476355,0.704225,0.927419
0.000,0.012255,0.226060,0.298177,0.000000,0.000000,0.000000,0.282584,0.577465,0.955645
0.000,0.007353,0.335950,0.330729,0.000000,0.012945,0.000000,0.534025,0.633803,0.983871
0.000,0.026961,0.238619,0.307292,0.000000,0.000000,0.000000,0.292964,0.887324,0.955645
0.000,0.000000,0.321821,0.333333,0.000000,0.000000,0.000000,0.485582,0.887324,0.975806
0.000,0.000000,0.226060,0.309896,0.076923,0.025890,0.000000,0.294118,0.830986,0.951613
0.000,0.000000,0.320251,0.334635,0.000000,0.000000,0.000000,0.501730,0.549296,0.987903
0.000,0.000000,0.219780,0.305990,0.000000,0.000000,0.000000,0.294118,0.591549,0.951613
0.000,0.000000,0.321821,0.338542,0.000000,0.000000,0.000000,0.599769,0.943662,0.975806
0.000,0.007353,0.221350,0.300781,0.000000,0.000000,0.000000,0.307958,0.563380,0.955645
0.000,0.000000,0.313972,0.328125,0.000000,0.000000,0.000000,0.493656,0.788732,0.979839
0.000,0.004902,0.215071,0.304688,0.000000,0.000000,0.000000,0.314879,0.577465,0.939516
0.000,0.041667,0.310832,0.330729,0.000000,0.000000,0.000000,0.471742,0.633803,0.947581
0.000,0.002451,0.194662,0.309896,0.000000,0.000000,0.000000,0.298731,0.830986,0.939516
0.000,0.000000,0.295133,0.328125,0.024615,0.000000,0.000000,0.480969,0.591549,0.975806
0.000,0.000000,0.194662,0.311198,0.000000,0.000000,0.000000,0.307958,0.633803,0.975806
0.000,0.000000,0.288854,0.330729,0.000000,0.000000,0.000000,0.467128,0.633803,0.959677
0.000,0.000000,0.188383,0.307292,0.000000,0.000000,0.000000,0.303345,0.605634,0.975806
0.000,0.000000,0.284144,0.330729,0.000000,0.000000,0.000000,0.456747,0.633803,0.991935
0.000,0.004902,0.169545,0.317708,0.000000,0.000000,0.000000,0.310265,0.633803,0.963710
