time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.145194,0.074982,0.000000,0.000000,0.000000,0.109160,0.069479,0.268097
0.000,0.000000,0.118609,0.067975,0.000000,0.000000,0.000000,0.098473,0.039702,0.265416
0.000,0.000000,0.146217,0.073581,0.000000,0.000000,0.000000,0.107634,0.039702,0.265416
0.000,0.000000,0.114519,0.057463,0.000000,0.000000,0.000000,0.100763,0.037221,0.273458
0.000,0.000000,0.134969,0.070778,0.000000,0.000000,0.000000,0.112977,0.037221,0.273458
0.000,0.000000,0.126789,0.066573,0.000000,0.000000,0.000000,0.099237,0.084367,0.278820
0.000,0.000000,0.145194,0.077085,0.000000,0.000000,0.000000,0.109924,0.089330,0.273458
0.000,0.000000,0.121677,0.069376,0.000000,0.000000,0.000000,0.098473,0.039702,0.273458
0.000,0.000000,0.144172,0.073581,0.000000,0.000000,0.000000,0.107634,0.089330,0.278820
0.000,0.000000,0.132924,0.072179,0.000000,0.000000,0.000000,0.134351,0.034739,0.265416
0.000,0.000000,0.141104,0.070778,0.013675,0.000000,0.000000,0.129771,0.076923,0.273458
0.000,0.000000,0.118609,0.060967,0.000000,0.000000,0.000000,0.102290,0.057072,0.163539
0.000,0.000000,0.115542,0.039944,0.000000,0.000000,0.000000,0.055725,0.027295,0.064343
0.000,0.000000,0.089980,0.018921,0.000000,0.014164,0.000000,0.022901,0.024814,0.050938
0.000,0.000000,0.130879,0.053959,0.000000,0.000244,0.000000,0.071756,0.039702,0.136729
0.000,0.000000,0.116564,0.052558,0.000000,0.000000,0.000244,0.051908,0.032258,0.128686
0.000,0.000000,0.132924,0.067975,0.003907,0.000000,0.000000,0.097710,0.049628,0.273458
0.000,0.000000,0.127812,0.063770,0.000000,0.000000,0.000000,0.079389,0.044665,0.209115
0.000,0.000000,0.143149,0.072179,0.000000,0.006593,0.000000,0.092366,0.059553,0.214477
0.000,0.000000,0.113497,0.050456,0.000000,0.000000,0.000000,0.052672,0.064516,0.093834
