time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.392186,0.149842,0.157431,0.390476,0.384615,0.193895,0.276205,0.056259,0.137850
0.000,0.045177,0.074921,0.091662,0.067399,0.049573,0.127717,0.146901,0.043132,0.125640
0.000,0.385104,0.151682,0.156396,0.384615,0.391453,0.196093,0.275440,0.060947,0.135880
0.000,0.054701,0.077550,0.094511,0.050061,0.042247,0.129426,0.150727,0.037037,0.126034
0.000,0.388034,0.148265,0.156914,0.384127,0.389988,0.193162,0.276588,0.049695,0.136274
0.000,0.049573,0.076761,0.095028,0.043712,0.052991,0.042247,0.144989,0.039381,0.126822
0.000,0.395849,0.151945,0.155101,0.381441,0.381685,0.416361,0.276970,0.054383,0.137062
0.000,0.039805,0.078339,0.091662,0.052015,0.041758,0.046886,0.145371,0.036099,0.126822
0.000,0.381197,0.150631,0.154324,0.386813,0.385104,0.384371,0.271997,0.055321,0.137062
0.000,0.042735,0.077024,0.093475,0.047619,0.043712,0.046154,0.144606,0.042194,0.126428
0.000,0.393407,0.148528,0.152771,0.381441,0.384127,0.386569,0.273145,0.047820,0.135880
0.000,0.044689,0.072555,0.095028,0.043223,0.044689,0.047619,0.144606,0.037037,0.126034
0.000,0.385104,0.149317,0.157431,0.384127,0.379731,0.377045,0.276588,0.050633,0.137062
0.000,0.045421,0.076761,0.091144,0.052503,0.049573,0.006105,0.139250,0.036099,0.126034
0.000,0.382906,0.148265,0.154065,0.376801,0.382173,0.386569,0.279265,0.050633,0.137456
0.000,0.040293,0.079127,0.092698,0.047863,0.044200,0.041758,0.140015,0.039381,0.123671
0.000,0.384127,0.149317,0.162092,0.381197,0.392918,0.372894,0.278883,0.047820,0.138637
0.000,0.044200,0.077024,0.093734,0.048840,0.048596,0.045910,0.136955,0.035631,0.126034
0.000,0.380220,0.149842,0.158467,0.380952,0.390476,0.362149,0.279265,0.050633,0.135486
0.000,0.053724,0.077287,0.091144,0.052747,0.045665,0.046886,0.146901,0.040788,0.126034
0.000,0.381685,0.148791,0.157172,0.380708,0.383883,0.204884,0.285004,0.048289,0.136274
0.000,0.051282,0.081493,0.095805,0.036874,0.042979,0.130647,0.159143,0.038912,0.126034
0.000,0.372894,0.148791,0.157431,0.381685,0.384860,0.214896,0.280796,0.056259,0.138637
0.000,0.052259,0.078339,0.095287,0.045665,0.046886,0.143346,0.151109,0.035631,0.126034
0.000,0.371673,0.149842,0.157431,0.375092,0.382662,0.202198,0.278500,0.048758,0.137062
0.000,0.056166,0.076761,0.093216,0.038339,0.048107,0.134066,0.154170,0.035631,0.125246
0.000,0.378999,0.150368,0.155101,0.377045,0.373871,0.195604,0.276205,0.049695,0.138637
0.000,0.055922,0.078339,0.094770,0.044689,0.046886,0.127717,0.156848,0.035631,0.124852
0.000,0.354335,0.147213,0.157172,0.372894,0.371184,0.195604,0.277353,0.048289,0.138637
0.000,0.052747,0.079916,0.095805,0.050061,0.046154,0.130891,0.165264,0.038444,0.125246
0.000,0.374359,0.148265,0.155101,0.373382,0.369231,0.194139,0.276205,0.053446,0.137062
0.000,0.041758,0.078864,0.095287,0.050061,0.052747,0.130647,0.156848,0.040788,0.126034
0.000,0.368010,0.146425,0.154324,0.365812,0.371917,0.194139,0.264346,0.051571,0.135486
0.000,0.052747,0.077287,0.094770,0.048840,0.047619,0.128694,0.151875,0.039381,0.126034
0.000,0.364347,0.147476,0.153288,0.370452,0.365568,0.195360,0.262816,0.049695,0.136668
0.000,0.055922,0.078339,0.095805,0.048596,0.054945,0.129670,0.154170,0.039381,0.125640
0.000,0.326984,0.143796,0.153806,0.321612,0.323077,0.192430,0.234889,0.049695,0.134699
0.000,0.014896,0.078339,0.094252,0.016850,0.010012,0.132601,0.156848,0.035631,0.126428
0.000,0.358242,0.145373,0.156396,0.343590,0.337729,0.192430,0.222647,0.048758,0.135486
0.000,0.028571,0.082019,0.095805,0.027350,0.028083,0.128694,0.150727,0.037037,0.126428
0.000,0.348474,0.145899,0.156914,0.345788,0.344567,0.192186,0.286151,0.049695,0.138637
0.000,0.041270,0.080179,0.095287,0.035897,0.040293,0.129670,0.158761,0.045945,0.126034
0.000,0.340659,0.145899,0.155360,0.347741,0.346032,0.270085,0.280796,0.051102,0.137850
0.000,0.055433,0.078339,0.100466,0.043712,0.042247,0.041758,0.152257,0.039381,0.126034
0.000,0.314042,0.136172,0.147074,0.349939,0.339683,0.354823,0.293803,0.050164,0.137062
0.000,0.051038,0.079916,0.096841,0.033944,0.035409,0.030281,0.160291,0.040788,0.126034
0.000,0.358242,0.143270,0.150181,0.326496,0.342125,0.345055,0.291507,0.057196,0.135486
0.000,0.019536,0.074132,0.091662,0.025641,0.010989,0.013919,0.142311,0.034693,0.124458
0.000,0.000977,0.069664,0.079234,0.000000,0.000000,0.000000,0.121653,0.042194,0.081922
0.000,0.000000,0.063617,0.074314,0.000000,0.000000,0.000000,0.091813,0.035631,0.100039
0.000,0.266422,0.132755,0.141378,0.271551,0.267888,0.232479,0.255930,0.057665,0.125640
0.000,0.000977,0.077024,0.096841,0.000000,0.000000,0.000000,0.137337,0.035162,0.126822
0.000,0.310867,0.140904,0.150440,0.300611,0.296215,0.300122,0.267024,0.055790,0.135093
0.000,0.015385,0.078864,0.095287,0.010501,0.009768,0.006105,0.149962,0.038444,0.126822
0.000,0.308181,0.141956,0.152771,0.311844,0.306227,0.302076,0.267789,0.052508,0.135880
0.000,0.028571,0.080442,0.097100,0.030037,0.000000,0.016850,0.146519,0.032818,0.126822
0.000,0.320391,0.144059,0.153030,0.323077,0.316728,0.319170,0.266259,0.050633,0.138637
0.000,0.029060,0.081230,0.096841,0.030525,0.025153,0.020513,0.140780,0.034224,0.126428
0.000,0.318926,0.140904,0.152253,0.318926,0.314286,0.323077,0.265493,0.059072,0.138637
0.000,0.033455,0.080967,0.097359,0.039072,0.033944,0.029792,0.151492,0.038444,0.126822
0.000,0.002686,0.091746,0.108234,0.000000,0.000000,0.056410,0.167559,0.041256,0.129185
0.000,0.000000,0.073870,0.087260,0.000000,0.000000,0.119414,0.126243,0.041256,0.114218
0.000,0.267643,0.140116,0.145003,0.279121,0.270330,0.183639,0.244836,0.048289,0.134305
0.000,0.005372,0.080967,0.101243,0.000000,0.002198,0.133089,0.151109,0.044069,0.128003
0.000,0.285958,0.137224,0.144485,0.299878,0.284982,0.183639,0.266259,0.049695,0.136274
0.000,0.011477,0.079390,0.102020,0.000977,0.023443,0.138950,0.165264,0.043132,0.126822
0.000,0.288156,0.136698,0.146038,0.300611,0.294994,0.185348,0.266259,0.056259,0.134305
0.000,0.027350,0.082019,0.099171,0.021245,0.014896,0.016850,0.154552,0.042194,0.127215
0.000,0.303053,0.140116,0.147592,0.305495,0.305495,0.307937,0.267024,0.050164,0.135486
0.000,0.031990,0.084648,0.101243,0.025397,0.025885,0.033211,0.146901,0.035631,0.128003
0.000,0.324786,0.137224,0.148110,0.309402,0.306960,0.310623,0.267406,0.059072,0.135880
0.000,0.049084,0.080967,0.102020,0.038339,0.032967,0.038339,0.150727,0.036568,0.126428
