time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.439076,0.541367,0.000000,0.000000,0.000000,0.433014,0.406780,0.961039
0.000,0.000000,0.457983,0.543165,0.000000,0.000000,0.000000,0.399522,0.398305,0.948052
0.000,0.000000,0.411765,0.492806,0.000000,0.000000,0.000000,0.433014,0.423729,0.956710
0.000,0.000000,0.432773,0.517986,0.000000,0.000000,0.000000,0.349282,0.338983,0.982684
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.965368
0.000,0.000000,0.214286,0.262590,0.000000,0.000000,0.000480,0.150718,0.169492,0.619048
0.000,0.000000,0.361345,0.456835,0.000000,0.008256,0.020633,0.349282,0.338983,0.930736
0.000,0.000000,0.365546,0.449640,0.000000,0.000000,0.000000,0.319378,0.305085,0.848485
0.000,0.000000,0.411765,0.482014,0.000000,0.000000,0.000000,0.415072,0.313559,0.956710
0.000,0.000000,0.443277,0.521583,0.000000,0.000000,0.000000,0.355263,0.406780,0.956710
0.000,0.000000,0.430672,0.514388,0.000000,0.000000,0.000000,0.419856,0.389831,0.969697
0.000,0.000000,0.449580,0.546763,0.000000,0.000000,0.000000,0.344498,0.423729,0.956710
0.000,0.000000,0.455882,0.517986,0.000000,0.000000,0.000000,0.410287,0.288136,0.974026
0.000,0.000000,0.453782,0.546763,0.000000,0.000000,0.000000,0.361244,0.313559,0.974026
0.000,0.000000,0.436975,0.514388,0.000000,0.000000,0.000000,0.400718,0.338983,0.987013
0.000,0.000000,0.457983,0.543165,0.000000,0.000000,0.000000,0.361244,0.389831,0.974026
0.000,0.208786,0.180672,0.125899,0.188014,0.205925,0.206814,0.258373,0.559322,0.216450
0.000,0.000000,0.092437,0.082734,0.000000,0.000000,0.000000,0.072967,0.050847,0.281385
0.000,0.318361,0.155462,0.073741,0.394393,0.314230,0.295106,0.258373,0.593220,0.125541
0.000,0.000000,0.042017,0.043165,0.000000,0.000000,0.000000,0.031100,0.016949,0.290043
0.000,0.318361,0.130252,0.061151,0.324795,0.320058,0.283589,0.234450,0.483051,0.138528
0.000,0.000000,0.042017,0.050360,0.000000,0.000000,0.000000,0.000000,0.000000,0.225108
0.000,0.814906,0.403361,0.284173,0.815853,0.835357,0.833013,0.539474,0.788136,0.238095
0.000,0.000000,0.096639,0.034173,0.000000,0.000000,0.000000,0.069378,0.033898,0.506494
0.000,0.687068,0.334034,0.230216,0.643789,0.668771,0.671785,0.437799,0.745763,0.281385
0.000,0.000000,0.071429,0.030576,0.000000,0.000000,0.000000,0.026316,0.101695,0.489177
0.000,0.532577,0.247899,0.165468,0.545674,0.553667,0.561900,0.346890,0.762712,0.151515
0.000,0.000000,0.130252,0.125899,0.000000,0.000000,0.000000,0.065789,0.050847,0.376623
0.000,0.097730,0.222689,0.197842,0.090865,0.097135,0.095010,0.228469,0.491525,0.398268
0.000,0.000000,0.283613,0.275180,0.000000,0.000000,0.000000,0.190191,0.288136,0.653680
0.000,0.000000,0.371849,0.429856,0.000000,0.000000,0.000000,0.326555,0.322034,0.913420
0.000,0.000000,0.449580,0.512590,0.000000,0.000000,0.000000,0.342105,0.296610,0.956710
0.000,0.000000,0.411765,0.489209,0.075399,0.000000,0.000000,0.372010,0.355932,0.965368
0.000,0.000000,0.432773,0.517986,0.000000,0.000000,0.000000,0.344498,0.432203,0.935065
0.000,0.275420,0.504202,0.546763,0.284195,0.289947,0.228887,0.476077,0.593220,0.818182
0.000,0.000000,0.346639,0.392086,0.000000,0.000000,0.000000,0.233254,0.016949,0.536797
0.000,0.236426,0.029412,0.000000,0.216046,0.206411,0.212092,0.165072,0.593220,0.073593
0.000,0.000000,0.352941,0.338129,0.000000,0.000000,0.000000,0.179426,0.296610,0.809524
0.000,0.000000,0.371849,0.453237,0.015950,0.004857,0.000000,0.338517,0.313559,0.948052
0.000,0.000000,0.474790,0.543165,0.000000,0.000000,0.000000,0.352871,0.296610,0.969697
