time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.245552,0.268325,0.000000,0.000000,0.000000,0.165510,0.074766,0.426150
0.000,0.204578,0.466192,0.455497,0.204293,0.194843,0.199110,0.454906,0.691589,0.656174
0.000,0.000000,0.264531,0.294503,0.000000,0.000000,0.000000,0.172448,0.065421,0.438257
0.000,0.194767,0.449585,0.460733,0.182087,0.197790,0.180942,0.444995,0.878505,0.658596
0.000,0.000000,0.264531,0.293194,0.000000,0.000000,0.000000,0.171457,0.252336,0.455206
0.000,0.223474,0.454330,0.471204,0.223168,0.229834,0.231739,0.456888,0.925234,0.651332
0.000,0.000000,0.266904,0.267016,0.000000,0.000000,0.000000,0.169475,0.224299,0.464891
0.000,0.153706,0.430605,0.455497,0.146188,0.158011,0.134965,0.414272,0.738318,0.668281
0.000,0.000000,0.314353,0.340314,0.000000,0.000000,0.000000,0.212091,0.271028,0.532688
0.000,0.123183,0.448399,0.463351,0.106218,0.118969,0.108639,0.426165,0.616822,0.677966
0.000,0.000000,0.344009,0.395288,0.000000,0.000000,0.000000,0.254708,0.289720,0.612591
0.000,0.102108,0.457888,0.505236,0.098446,0.099816,0.102707,0.446977,0.850467,0.731235
0.000,0.000000,0.373665,0.418848,0.000000,0.000000,0.000000,0.268583,0.401869,0.651332
0.000,0.112282,0.448399,0.492147,0.114360,0.127808,0.121987,0.456888,0.803738,0.692494
0.000,0.000000,0.340451,0.405759,0.000000,0.000000,0.000000,0.270565,0.457944,0.624697
0.000,0.144259,0.434164,0.464660,0.138046,0.134438,0.139414,0.443013,0.841121,0.661017
0.000,0.000000,0.368921,0.407068,0.000000,0.000000,0.000000,0.267592,0.289720,0.644068
0.000,0.120640,0.448399,0.481675,0.132124,0.131492,0.126437,0.434093,0.766355,0.685230
0.000,0.000000,0.371293,0.424084,0.000000,0.000000,0.000000,0.313181,0.457944,0.658596
0.000,0.128270,0.455516,0.505236,0.124722,0.125230,0.121987,0.452924,0.691589,0.697337
0.000,0.000000,0.376038,0.426702,0.000000,0.000000,0.000000,0.298315,0.289720,0.687651
0.000,0.099927,0.456702,0.500000,0.111029,0.113076,0.107156,0.459861,0.757009,0.726392
