time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.538855,0.603030,0.000000,0.000000,0.000000,0.269179,0.099314,0.504658
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948744,0.870004,0.962733
0.000,0.000000,0.532720,0.605808,0.000000,0.000000,0.000000,0.270197,0.104158,0.475932
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940258,0.877271,0.908773
0.000,0.000000,0.537065,0.602525,0.000000,0.000000,0.000000,0.273591,0.097295,0.472826
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.942974,0.842148,0.885093
0.000,0.000000,0.532209,0.593939,0.000000,0.000000,0.000000,0.272234,0.117077,0.494565
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.941276,0.881308,0.940217
0.000,0.000000,0.537321,0.594949,0.000000,0.000000,0.000000,0.263747,0.139685,0.493012
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939579,0.845377,0.939441
0.000,0.000000,0.530164,0.596970,0.000000,0.000000,0.000000,0.255940,0.085991,0.487966
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.930754,0.876060,0.953804
0.000,0.000000,0.533998,0.597475,0.000000,0.000000,0.000000,0.266463,0.073072,0.468556
0.000,0.963614,1.000000,1.000000,1.000000,1.000000,1.000000,0.952138,0.874445,0.908385
0.000,0.000000,0.531186,0.593434,0.000000,0.000000,0.000000,0.243041,0.110618,0.454969
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.935506,0.845781,0.898680
0.000,0.000000,0.532209,0.591414,0.000000,0.000000,0.000000,0.248473,0.079128,0.483307
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.951799,0.958821,0.917314
0.000,0.000000,0.532209,0.600505,0.000000,0.000000,0.000000,0.257977,0.098506,0.461568
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949084,0.897053,0.939441
0.000,0.000000,0.538344,0.604798,0.000000,0.000000,0.000000,0.267481,0.073072,0.505435
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.964019,0.905531,0.933618
0.000,0.000000,0.529141,0.593939,0.000000,0.000000,0.000000,0.256619,0.083973,0.485248
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947726,0.870811,0.991460
0.000,0.000000,0.531186,0.586364,0.000000,0.000000,0.000000,0.250170,0.080339,0.451863
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.937882,0.894227,0.971661
0.000,0.000000,0.528119,0.583081,0.000000,0.000000,0.000000,0.255940,0.079935,0.455357
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.946707,0.860719,0.964286
0.000,0.000000,0.530675,0.585354,0.000000,0.000000,0.000000,0.254243,0.059346,0.455745
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954515,0.930965,0.970885
0.000,0.000000,0.530164,0.587879,0.000000,0.000000,0.000000,0.255261,0.083973,0.456522
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950781,0.916027,0.932453
0.000,0.000000,0.530675,0.592929,0.000000,0.000000,0.000000,0.261371,0.081954,0.480590
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.942295,0.956399,0.940217
0.000,0.000000,0.523517,0.590152,0.000000,0.000000,0.000000,0.255940,0.077917,0.478649
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.957230,0.914009,0.933618
0.000,0.000000,0.515337,0.592424,0.000000,0.000000,0.186325,0.212152,0.066209,0.472050
0.000,0.004151,0.490286,0.577525,0.000000,0.000000,0.199023,0.350645,0.050868,0.419255
0.000,0.000000,0.181493,0.329798,0.000000,0.000000,0.000000,0.082824,0.035123,0.141693
0.000,0.000000,0.164110,0.259091,0.000000,0.000000,0.126740,0.414460,0.047638,0.177019
0.000,0.000000,0.076687,0.150505,0.000000,0.000000,0.107204,0.097760,0.020186,0.103649
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.616606,0.972166,0.884941,0.903727
0.000,0.000000,0.167689,0.308586,0.000000,0.000000,0.092796,0.056348,0.016956,0.097050
0.000,1.000000,0.960378,1.000000,1.000000,1.000000,0.600733,0.945689,0.824384,0.840062
0.000,0.000000,0.521472,0.609343,0.000000,0.000000,0.198535,0.114732,0.073476,0.456522
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955872,0.806621,0.859084
0.000,0.000000,0.520961,0.601515,0.000000,0.000000,0.000000,0.097081,0.080743,0.445652
0.000,0.014896,0.501789,0.573232,0.000244,0.005372,0.000000,0.332654,0.042390,0.353649
0.000,0.000000,0.153374,0.275253,0.000000,0.030037,0.000000,0.076714,0.031490,0.130435
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.962661,0.825999,0.871894
0.000,0.000000,0.504090,0.590404,0.000000,0.000000,0.000000,0.088255,0.074283,0.430512
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.972845,0.881712,0.846273
0.000,0.000000,0.508691,0.590404,0.000000,0.000000,0.000000,0.087576,0.060153,0.431289
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986422,0.861526,0.942547
0.000,0.000000,0.507157,0.590152,0.000000,0.000000,0.000000,0.079090,0.074283,0.454969
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.866774,0.944876
0.000,0.000000,0.499233,0.584848,0.000000,0.000000,0.000000,0.084182,0.073476,0.451863
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.980991,0.978199,0.986801
0.000,0.000000,0.558282,0.637374,0.000000,0.000000,0.000000,0.154786,0.215583,0.530280
0.000,0.000733,0.432515,0.542929,0.010012,0.000000,0.000000,0.338764,0.053290,0.316770
0.000,0.000000,0.130879,0.285859,0.000000,0.000000,0.000000,0.026477,0.000404,0.020963
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960285,0.936617,0.853261
0.000,0.000000,0.503067,0.579293,0.000000,0.000000,0.000000,0.110659,0.059750,0.425854
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.967074,0.899475,0.885870
0.000,0.000000,0.502556,0.584343,0.000000,0.000000,0.000000,0.125594,0.057327,0.417702
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.966395,1.000000,0.949146
0.000,0.000000,0.500511,0.583081,0.000000,0.000000,0.000000,0.132043,0.041986,0.442547
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.957909,0.887364,0.887422
0.000,0.000000,0.506646,0.580051,0.000000,0.000000,0.000000,0.138832,0.150182,0.427795
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956212,0.977392,0.947205
0.000,0.000000,0.507669,0.590909,0.000000,0.000000,0.000000,0.141887,0.148971,0.456910
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989138,0.977392,1.000000
0.000,0.000000,0.503579,0.579545,0.000000,0.000000,0.000000,0.138832,0.067017,0.461568
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.963001,0.962455,0.912267
0.000,0.000000,0.505624,0.584848,0.000000,0.000000,0.000000,0.139172,0.075898,0.427407
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.968092,0.906742,0.927795
0.000,0.000000,0.510992,0.591162,0.000000,0.000000,0.000000,0.134759,0.068631,0.457298
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.965037,0.910779,0.954969
0.000,0.000000,0.496421,0.581313,0.000000,0.000000,0.000000,0.133741,0.054098,0.409938
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.972505,0.870811,0.906056
0.000,0.000000,0.491820,0.574242,0.000000,0.000000,0.000000,0.122539,0.047638,0.399457
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.972166,0.931369,0.975932
0.044,0.000000,0.490286,0.570455,0.000000,0.000000,0.000000,0.126612,0.055713,0.403727
0.094,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.968092,0.909568,0.958075
0.144,0.000000,0.503067,0.588889,0.000000,0.000000,0.000000,0.138493,0.049253,0.428960
0.194,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953157,0.857489,0.918090
0.244,0.000000,0.505112,0.593434,0.000000,0.000000,0.000000,0.137135,0.059346,0.455357
0.294,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.972845,0.903512,0.940217
0.344,0.000000,0.507157,0.582828,0.000000,0.000000,0.000000,0.143924,0.065402,0.456134
0.394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953836,0.862333,0.937888
0.444,0.000000,0.504090,0.585101,0.000000,0.000000,0.000000,0.133062,0.054098,0.424301
0.494,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950441,0.848607,0.891304
0.544,0.000000,0.512270,0.586869,0.000000,0.000000,0.000000,0.135777,0.061365,0.425078
0.594,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.965377,0.851029,0.898292
0.644,0.000000,0.507669,0.588131,0.009768,0.000000,0.000000,0.127631,0.134033,0.425466
0.694,0.032967,0.545501,0.635354,0.043712,0.041026,0.020757,0.381874,0.045216,0.423137
0.744,0.000000,0.131391,0.267172,0.000000,0.000000,0.000000,0.057026,0.006459,0.062500
0.794,0.000000,0.138037,0.202525,0.001954,0.000000,0.000000,0.300747,0.048446,0.168090
0.844,0.000000,0.112474,0.157828,0.000733,0.000000,0.000000,0.143924,0.036334,0.163432
0.894,0.099634,0.139571,0.145960,0.086935,0.088156,0.081319,0.297352,0.051675,0.143634
0.944,0.000000,0.475460,0.562626,0.000000,0.000000,0.000000,0.116768,0.048446,0.394410
0.994,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.971826,0.882519,0.981366
1.044,0.000000,0.485174,0.571465,0.000000,0.000000,0.000000,0.115750,0.047638,0.312112
1.094,0.002198,0.495143,0.584848,0.001709,0.000000,0.000000,0.304820,0.040775,0.339674
1.144,0.000000,0.167945,0.299747,0.000000,0.000000,0.000000,0.013238,0.000404,0.012811
1.194,0.005861,0.081544,0.074242,0.006349,0.005861,0.006593,0.219280,0.039564,0.108696
1.244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.294,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.971826,0.950343,0.960404
1.344,0.000000,0.486452,0.567677,0.000000,0.000000,0.000000,0.111337,0.044005,0.392469
1.394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.976239,0.931772,0.961957
1.444,0.000000,0.486708,0.572475,0.000000,0.000000,0.000977,0.116768,0.121922,0.395186
1.494,0.017338,0.444018,0.528788,0.034676,0.054945,0.066422,0.293958,0.041179,0.288820
1.544,0.000244,0.091513,0.159091,0.000733,0.010012,0.000000,0.093007,0.034719,0.139752
1.594,0.005861,0.142127,0.157323,0.008547,0.000000,0.025641,0.289885,0.042390,0.165761
1.644,0.000000,0.109407,0.139646,0.000000,0.000000,0.001954,0.153428,0.041179,0.164596
1.694,0.091331,0.125767,0.123485,0.102808,0.096947,0.103297,0.290563,0.046831,0.133929
1.744,0.000000,0.059560,0.069697,0.000000,0.000000,0.000000,0.072301,0.023415,0.086180
1.794,0.053724,0.133180,0.140404,0.004151,0.000000,0.006349,0.295995,0.038757,0.169255
1.844,0.000000,0.107618,0.135354,0.000000,0.000000,0.000000,0.146979,0.032297,0.162267
1.894,0.005372,0.139059,0.150000,0.018559,0.018803,0.020513,0.302105,0.040775,0.163043
1.944,0.000000,0.103783,0.121717,0.000000,0.000000,0.000000,0.144603,0.041986,0.157609
1.994,0.006838,0.135992,0.146717,0.002686,0.000000,0.002930,0.306178,0.047235,0.166537
2.044,0.000000,0.107873,0.131818,0.015629,0.000000,0.004151,0.153428,0.039160,0.157609
2.094,0.010012,0.130879,0.138131,0.010501,0.021734,0.001465,0.289206,0.045620,0.149845
2.144,0.000000,0.109407,0.134343,0.000000,0.000000,0.000000,0.157841,0.032297,0.158385
