time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.004387,0.021171,0.021459,0.000000,0.000000,0.000000,0.047302,0.027624,0.037177
0.000,0.000000,0.040226,0.033674,0.000000,0.000000,0.000000,0.084257,0.017802,0.037807
0.000,0.000000,0.019407,0.021789,0.000000,0.000000,0.000000,0.051737,0.020872,0.037807
0.000,0.003839,0.040226,0.033674,0.000000,0.000000,0.000000,0.062084,0.018416,0.037177
0.000,0.000000,0.018349,0.020139,0.008226,0.000000,0.005267,0.048041,0.020258,0.035287
0.000,0.000000,0.038814,0.032684,0.000000,0.000000,0.000000,0.071693,0.019644,0.029616
0.000,0.000000,0.017643,0.018818,0.001974,0.000000,0.000000,0.042868,0.029466,0.031506
0.000,0.000000,0.039520,0.029383,0.000987,0.000000,0.000000,0.066519,0.015347,0.026465
0.000,0.000548,0.015526,0.017828,0.003291,0.000000,0.000000,0.047302,0.024555,0.036547
0.000,0.000000,0.038462,0.029383,0.000000,0.000000,0.000000,0.072432,0.015961,0.036547
0.000,0.030436,0.021171,0.021789,0.000000,0.000000,0.008778,0.048780,0.020258,0.037807
0.000,0.000000,0.038462,0.029383,0.000000,0.000000,0.000000,0.065041,0.018416,0.027725
0.000,0.002468,0.015526,0.012545,0.000000,0.000000,0.000000,0.025129,0.019644,0.024575
0.000,0.000000,0.033169,0.020799,0.000000,0.000000,0.024930,0.042868,0.014733,0.017643
0.000,0.000000,0.009880,0.004622,0.000000,0.000000,0.000000,0.019217,0.020258,0.013863
0.000,0.000000,0.031404,0.019148,0.000000,0.000000,0.000000,0.046563,0.008594,0.018904
0.000,0.000000,0.010233,0.005612,0.000329,0.000000,0.000000,0.016260,0.019644,0.014493
0.000,0.000000,0.031757,0.021459,0.000000,0.000000,0.000000,0.045824,0.015347,0.020164
0.000,0.000000,0.011997,0.009244,0.002632,0.000000,0.000000,0.013304,0.018416,0.017013
0.000,0.000000,0.028229,0.017498,0.012833,0.000000,0.000000,0.071693,0.009208,0.013863
0.000,0.000000,0.004587,0.001651,0.000000,0.011893,0.000000,0.010347,0.027010,0.012602
0.000,0.000000,0.031052,0.015517,0.000000,0.000000,0.000000,0.033999,0.010436,0.010082
0.000,0.000000,0.000000,0.004292,0.002962,0.000000,0.018258,0.001478,0.029466,0.009452
0.000,0.000000,0.026817,0.015517,0.000000,0.001699,0.000000,0.030303,0.020872,0.013863
0.000,0.003565,0.006351,0.002641,0.000000,0.000000,0.000000,0.002956,0.019644,0.006931
0.000,0.000000,0.027170,0.015187,0.000000,0.000000,0.000000,0.029564,0.024555,0.017013
0.000,0.000000,0.003529,0.000000,0.000000,0.003058,0.003160,0.000000,0.017802,0.000000
0.000,0.000000,0.031052,0.020139,0.000000,0.000000,0.000000,0.039172,0.008594,0.025835
0.000,0.000000,0.016937,0.011885,0.005265,0.024465,0.000000,0.023651,0.017802,0.019534
0.000,0.000000,0.031757,0.018488,0.000000,0.000000,0.000000,0.036955,0.011050,0.014493
0.000,0.000000,0.013409,0.009904,0.000000,0.000000,0.000000,0.018477,0.015961,0.017643
0.000,0.000000,0.030346,0.014526,0.000000,0.000000,0.000000,0.034738,0.012891,0.012602
0.000,0.000000,0.008469,0.004292,0.000000,0.000000,0.000000,0.014782,0.028852,0.010082
0.000,0.000000,0.034580,0.026081,0.000000,0.000000,0.000000,0.056171,0.014733,0.027725
0.000,0.000000,0.010233,0.008254,0.000000,0.000000,0.015801,0.006652,0.030694,0.017643
0.000,0.012065,0.035639,0.024100,0.000987,0.000000,0.000000,0.038433,0.020872,0.028986
0.000,0.000000,0.015879,0.020139,0.000658,0.000000,0.000000,0.031042,0.033149,0.030246
0.000,0.000000,0.035992,0.022780,0.018756,0.001019,0.000000,0.049520,0.013505,0.027725
0.000,0.000000,0.015526,0.012215,0.000000,0.000000,0.000000,0.036216,0.033149,0.029616
0.000,0.000000,0.032463,0.020139,0.001316,0.000000,0.002458,0.033999,0.013505,0.025205
0.000,0.000000,0.016937,0.010234,0.000000,0.000000,0.000000,0.033999,0.020872,0.027725
