time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.002198,0.110174,0.120507,0.001221,0.003907,0.157509,0.378180,0.016795,0.139839
0.000,0.006105,0.056211,0.104915,0.000000,0.000000,0.138950,0.114481,0.025432,0.127767
0.000,0.000000,0.110455,0.119979,0.001954,0.000000,0.157509,0.379648,0.018234,0.138833
0.000,0.002930,0.054525,0.103858,0.000000,0.000000,0.140171,0.115460,0.023992,0.128270
0.000,0.001954,0.110174,0.118658,0.000000,0.000000,0.158974,0.380137,0.011996,0.137827
0.000,0.000000,0.052839,0.102801,0.000000,0.000000,0.140904,0.110078,0.012956,0.127264
0.000,0.001221,0.110174,0.119979,0.004396,0.000000,0.160684,0.376712,0.017274,0.136821
0.000,0.000244,0.050590,0.102537,0.000000,0.000000,0.138706,0.113503,0.018234,0.127767
0.000,0.008059,0.109050,0.118658,0.000000,0.000000,0.154335,0.364481,0.010557,0.138330
0.000,0.001221,0.045531,0.103594,0.000000,0.000000,0.140904,0.101761,0.025432,0.128773
0.000,0.000733,0.107926,0.119979,0.000000,0.000000,0.155556,0.361057,0.008637,0.139839
0.000,0.000488,0.050590,0.105708,0.000000,0.000000,0.142857,0.121331,0.016795,0.132797
0.000,0.003175,0.109612,0.122622,0.000000,0.000000,0.158486,0.381605,0.011996,0.139839
0.000,0.000000,0.051996,0.106765,0.000000,0.000000,0.145299,0.137965,0.012956,0.130785
0.000,0.000000,0.107083,0.121036,0.000000,0.000244,0.157753,0.370352,0.008637,0.139839
0.000,0.004151,0.053401,0.105180,0.000000,0.000000,0.142613,0.125245,0.015355,0.132797
0.000,0.000000,0.105677,0.121564,0.000000,0.000000,0.156288,0.350294,0.020154,0.138330
0.000,0.000000,0.050871,0.104651,0.000000,0.000977,0.142369,0.123777,0.019194,0.130785
0.000,0.000000,0.107083,0.121036,0.000000,0.000000,0.158486,0.360568,0.015355,0.141851
0.000,0.000000,0.053120,0.108351,0.000733,0.000000,0.145788,0.149217,0.017274,0.135815
0.000,0.000244,0.109050,0.121036,0.000000,0.000000,0.159951,0.362035,0.011996,0.140845
0.000,0.000244,0.056211,0.107822,0.000244,0.000000,0.142857,0.144814,0.023992,0.130785
0.000,0.000000,0.106239,0.120507,0.000000,0.006105,0.157021,0.350783,0.008637,0.139839
0.000,0.000000,0.053963,0.106765,0.000000,0.000000,0.143346,0.139922,0.018714,0.133803
0.000,0.000000,0.112423,0.122093,0.001709,0.000000,0.157265,0.372798,0.020154,0.142354
0.000,0.002198,0.050590,0.105180,0.001465,0.000000,0.140659,0.121331,0.022553,0.133803
0.000,0.000000,0.106239,0.121036,0.000000,0.000000,0.157509,0.354697,0.011516,0.137827
0.000,0.000000,0.048904,0.104651,0.002930,0.000000,0.146032,0.116438,0.023992,0.134809
0.000,0.000000,0.100899,0.120507,0.000244,0.000000,0.155556,0.335127,0.020154,0.137827
0.000,0.000488,0.043002,0.108351,0.000000,0.005861,0.139438,0.104207,0.010557,0.129779
0.000,0.000000,0.101743,0.121564,0.002198,0.000000,0.155067,0.345890,0.010557,0.136821
0.000,0.000000,0.047499,0.102801,0.000000,0.000000,0.141880,0.114481,0.017274,0.130282
0.000,0.000000,0.101180,0.121036,0.000000,0.000000,0.154823,0.379159,0.018234,0.142857
0.000,0.003907,0.045531,0.102801,0.001221,0.000000,0.139927,0.125245,0.020154,0.130282
0.000,0.000000,0.122260,0.121829,0.000000,0.002442,0.158486,0.425636,0.011516,0.139336
0.000,0.000000,0.070264,0.102801,0.000000,0.002198,0.138950,0.089041,0.016315,0.124245
0.000,0.000000,0.123946,0.122093,0.000000,0.000000,0.024176,0.448630,0.021113,0.137827
0.000,0.000000,0.089938,0.107030,0.000000,0.000000,0.000000,0.095890,0.020154,0.137324
0.000,0.035409,0.124227,0.105708,0.036630,0.037607,0.036874,0.331703,0.016315,0.117706
0.000,0.000000,0.026138,0.028013,0.000000,0.000000,0.040293,0.025930,0.000000,0.011066
0.000,0.061294,0.107083,0.088531,0.014164,0.023199,0.006105,0.369374,0.012476,0.109658
0.000,0.000000,0.018831,0.024049,0.000000,0.005372,0.007326,0.041096,0.009117,0.018109
0.000,0.010989,0.099775,0.099894,0.000000,0.000000,0.000000,0.317515,0.008637,0.118209
0.000,0.000000,0.039629,0.044397,0.000244,0.000000,0.000000,0.037182,0.001919,0.032193
0.000,1.000000,0.945756,0.972780,0.997802,0.983394,0.988034,0.983366,0.739923,0.940644
0.000,0.001954,0.452220,0.540698,0.005128,0.025397,0.007082,0.170254,0.009117,0.397384
0.000,1.000000,0.949410,0.984672,0.982418,1.000000,0.820757,0.987769,0.693858,0.942153
0.000,0.027595,0.472175,0.561839,0.025153,0.024664,0.028083,0.207436,0.033589,0.484406
0.000,1.000000,0.967397,0.985465,0.995116,0.982662,0.990720,1.000000,0.799424,0.973340
0.000,0.023199,0.472737,0.562104,0.016361,0.020513,0.057387,0.230920,0.014395,0.494467
0.000,1.000000,0.944351,1.000000,0.988767,0.994872,0.994628,1.000000,0.736084,0.942656
0.000,0.013431,0.500000,0.554440,0.000000,0.018315,0.021490,0.190802,0.017754,0.448692
0.000,1.000000,1.000000,0.983879,1.000000,0.899145,0.967521,0.995108,0.778311,1.000000
