time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.102937,0.128661,0.000000,0.000000,0.154216,0.201882,0.013139,0.160470
0.000,0.004151,0.127368,0.142259,0.000000,0.000000,0.164345,0.286588,0.014547,0.162916
0.000,0.000000,0.104035,0.129184,0.000977,0.000000,0.153963,0.203765,0.013139,0.161937
0.000,0.002198,0.127368,0.140167,0.000000,0.000000,0.164345,0.288471,0.018771,0.163894
0.000,0.001954,0.103486,0.129184,0.000000,0.000000,0.154723,0.209412,0.012670,0.162916
0.000,0.000000,0.126819,0.142259,0.000000,0.000000,0.166371,0.275765,0.010793,0.161937
0.000,0.000000,0.104035,0.127615,0.000000,0.000000,0.153710,0.204706,0.017363,0.158023
0.000,0.000000,0.130387,0.141736,0.000000,0.000000,0.164852,0.279059,0.013139,0.158023
0.000,0.001954,0.103486,0.130230,0.000000,0.000000,0.153963,0.203765,0.011262,0.158513
0.000,0.000000,0.126819,0.142782,0.000000,0.000000,0.164852,0.290353,0.022055,0.161937
0.000,0.000000,0.104584,0.127877,0.000000,0.000000,0.154723,0.203765,0.011732,0.161937
0.000,0.000977,0.128740,0.142259,0.000000,0.000000,0.163586,0.285647,0.013609,0.162916
0.000,0.000000,0.102937,0.128923,0.000000,0.000000,0.151684,0.205647,0.018771,0.160959
0.000,0.002442,0.124897,0.140690,0.000000,0.000000,0.164852,0.284706,0.020178,0.158023
0.000,0.000000,0.103486,0.127877,0.000000,0.000000,0.154216,0.202824,0.013609,0.157534
0.000,0.000000,0.125995,0.140167,0.004396,0.000000,0.163839,0.280941,0.020648,0.159002
0.000,0.000000,0.104584,0.128138,0.000000,0.001465,0.152190,0.204706,0.019240,0.160959
0.000,0.001954,0.128191,0.140690,0.000000,0.000000,0.164852,0.289412,0.011732,0.160959
0.000,0.000000,0.103212,0.128923,0.000000,0.000000,0.152697,0.206588,0.011262,0.159980
0.000,0.001221,0.125172,0.143305,0.000488,0.000000,0.163839,0.284706,0.018301,0.160470
0.000,0.002930,0.103212,0.128923,0.002442,0.000000,0.154723,0.204706,0.012670,0.158513
0.000,0.000000,0.125721,0.141475,0.000000,0.000000,0.164852,0.279529,0.014547,0.160959
0.000,0.001709,0.103486,0.128661,0.000000,0.001221,0.155736,0.202353,0.019240,0.160959
0.000,0.000000,0.124623,0.142782,0.000000,0.000000,0.164345,0.279059,0.017363,0.162916
0.000,0.000000,0.106231,0.127092,0.000000,0.000000,0.155989,0.202353,0.018771,0.160959
0.000,0.011477,0.125995,0.140690,0.000000,0.000000,0.163839,0.281882,0.021117,0.160959
0.000,0.000000,0.104035,0.129184,0.000000,0.000000,0.152190,0.198588,0.010793,0.159980
0.000,0.000244,0.127368,0.142259,0.000000,0.000000,0.164852,0.280000,0.018771,0.160470
0.000,0.000000,0.103761,0.128661,0.000000,0.000000,0.152444,0.203765,0.010793,0.158023
0.000,0.000000,0.126544,0.142782,0.000000,0.002198,0.163332,0.279529,0.007977,0.161448
0.000,0.000000,0.103486,0.130230,0.007082,0.000000,0.153710,0.199059,0.009385,0.160959
0.000,0.004151,0.126544,0.141736,0.000000,0.000000,0.163332,0.278118,0.009855,0.160470
0.000,0.000244,0.104584,0.127615,0.000000,0.000488,0.154216,0.212235,0.020178,0.157534
0.000,0.000000,0.127093,0.142259,0.000000,0.000000,0.162066,0.281882,0.011262,0.158513
0.000,0.002442,0.102937,0.128138,0.002442,0.000000,0.152190,0.200941,0.015016,0.158023
0.000,0.000000,0.125721,0.141998,0.007082,0.000000,0.160800,0.284706,0.012670,0.159980
0.000,0.000000,0.100467,0.125785,0.000000,0.000000,0.034186,0.184941,0.011732,0.154110
0.000,1.000000,0.951688,0.989017,1.000000,1.000000,0.735123,0.992000,0.726420,0.996575
0.000,0.000000,0.455943,0.537918,0.000000,0.000000,0.114206,0.128471,0.006100,0.395303
0.000,1.000000,0.988197,0.990063,1.000000,1.000000,0.938972,0.995294,0.781793,0.936888
0.000,0.000000,0.449355,0.523797,0.000000,0.000977,0.000000,0.109647,0.006100,0.251957
0.000,1.000000,0.983530,0.973326,1.000000,1.000000,0.855913,0.987294,0.785077,0.930039
0.000,0.000000,0.456766,0.516736,0.000000,0.005128,0.004052,0.113882,0.006570,0.348337
0.000,1.000000,0.961021,0.972019,0.960440,0.977045,0.959230,1.000000,0.771469,0.924168
0.000,0.013919,0.464452,0.535565,0.000977,0.000000,0.004305,0.107765,0.015016,0.360078
0.000,1.000000,0.979687,0.982479,1.000000,1.000000,0.983540,0.996235,1.000000,0.926125
0.000,0.004396,0.458688,0.530596,0.000000,0.000000,0.002026,0.101176,0.019240,0.380626
0.000,0.982173,0.975844,0.978556,0.978755,0.976801,0.975690,0.979765,0.987799,0.924168
0.000,0.000000,0.452100,0.511768,0.000000,0.000000,0.000000,0.097412,0.003285,0.267613
0.000,1.000000,0.979413,0.987971,0.997070,0.983394,0.975690,0.995294,0.788832,0.882094
0.000,0.001465,0.456217,0.527720,0.000000,0.000000,0.000000,0.119059,0.007039,0.356164
