time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.023967,0.023015,0.000000,0.000000,0.000000,0.031228,0.004779,0.019303
0.000,0.118193,0.100969,0.086495,0.123565,0.115995,0.088156,0.217885,0.031618,0.118758
0.000,0.000000,0.018613,0.018209,0.000000,0.000000,0.000000,0.024840,0.007353,0.015946
0.000,0.115263,0.101479,0.085736,0.110623,0.120147,0.096459,0.210078,0.036397,0.118758
0.000,0.000000,0.015808,0.017198,0.000000,0.000000,0.020513,0.023066,0.002941,0.011750
0.000,0.134066,0.101734,0.088771,0.136996,0.136020,0.093040,0.222853,0.031618,0.117079
0.000,0.000000,0.023967,0.024026,0.000000,0.000000,0.000000,0.029808,0.006618,0.015946
0.000,0.113553,0.100459,0.090541,0.128938,0.131624,0.081563,0.221434,0.037500,0.121695
0.000,0.000000,0.025242,0.023773,0.000000,0.000000,0.000000,0.029808,0.008088,0.021402
0.000,0.138462,0.104539,0.091047,0.127717,0.111600,0.096947,0.223208,0.031618,0.119178
0.000,0.009768,0.026517,0.021750,0.000000,0.000000,0.000000,0.019872,0.004779,0.015946
0.000,0.157021,0.105558,0.090541,0.145788,0.146520,0.100611,0.222853,0.037500,0.117499
0.000,0.000000,0.019888,0.020991,0.000000,0.000000,0.000000,0.025905,0.004412,0.015946
0.000,0.131868,0.102754,0.089024,0.119170,0.122344,0.101587,0.216466,0.033456,0.118338
0.000,0.000000,0.019378,0.020991,0.000000,0.000000,0.000000,0.025195,0.005147,0.014268
0.000,0.039805,0.101989,0.091553,0.039072,0.039316,0.022955,0.203691,0.037868,0.127570
0.000,0.000000,0.048445,0.047547,0.000000,0.000000,0.004640,0.062811,0.013235,0.056651
0.000,0.140659,0.115757,0.107739,0.121856,0.120391,0.096459,0.236338,0.041912,0.125472
0.000,0.000000,0.018358,0.019727,0.000000,0.000000,0.000000,0.022001,0.004044,0.010071
0.000,0.055678,0.100714,0.087253,0.099634,0.099389,0.055922,0.221434,0.040441,0.122115
0.000,0.000000,0.013004,0.009863,0.000000,0.000000,0.004640,0.023421,0.003676,0.008393
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975869,1.000000,0.988250
0.000,0.000000,0.487506,0.569550,0.000000,0.000000,0.000000,0.171043,0.080515,0.445237
