time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.834353,0.948199
0.000,0.007082,0.458157,0.521704,0.006838,0.002198,0.004396,0.224331,0.002353,0.384805
0.000,1.000000,0.994928,0.990172,0.983883,0.979487,0.957998,0.984428,0.827765,0.935372
0.000,0.000000,0.467737,0.518155,0.000000,0.012454,0.000000,0.227737,0.005647,0.382832
0.000,1.000000,0.987884,0.991810,1.000000,0.982662,0.999512,0.998540,0.849412,1.000000
0.000,0.000977,0.451677,0.520339,0.001221,0.000733,0.002198,0.218978,0.004706,0.379378
0.000,1.000000,0.995773,0.989899,0.981441,0.988767,1.000000,0.991727,0.854118,0.935866
0.000,0.000000,0.453649,0.519247,0.000000,0.000000,0.009035,0.222384,0.003294,0.372965
0.000,1.000000,0.992110,0.990445,1.000000,1.000000,0.968987,0.989294,0.935059,0.990627
0.000,0.003907,0.458721,0.523069,0.006105,0.002930,0.001954,0.242336,0.010824,0.411445
0.000,0.981929,0.992392,0.987715,0.995360,0.985348,0.999267,0.982968,0.735059,0.995067
0.000,0.001954,0.459284,0.519247,0.004396,0.000000,0.001709,0.220925,0.007529,0.388259
0.000,1.000000,0.994083,0.985531,1.000000,0.986325,1.000000,0.997567,0.815529,0.933399
0.000,0.002198,0.454212,0.516790,0.000000,0.000000,0.000000,0.220438,0.003294,0.379872
0.000,1.000000,0.990420,0.993175,0.979976,0.991697,0.958974,0.975669,0.819294,0.924519
0.000,0.000000,0.464638,0.524161,0.004396,0.008059,0.000000,0.224331,0.028706,0.377898
0.000,1.000000,0.985630,0.982528,0.985592,0.993651,0.935775,0.975182,0.824941,0.926492
0.000,0.000000,0.462666,0.513241,0.002442,0.000000,0.005372,0.223844,0.005176,0.413419
0.000,1.000000,0.979149,0.986077,1.000000,0.995849,1.000000,0.980049,0.712941,0.981746
0.000,0.006349,0.460411,0.522796,0.001709,0.004640,0.000000,0.231630,0.009882,0.380365
0.000,1.000000,0.985066,0.978160,1.000000,0.967033,1.000000,0.967397,0.818353,0.921066
0.000,0.001221,0.461538,0.518701,0.003907,0.006838,0.007082,0.225791,0.008471,0.378392
0.000,0.994628,0.976613,0.990445,0.977534,0.989255,0.940415,0.977616,0.710118,0.844598
0.000,0.009524,0.449986,0.520339,0.006105,0.002198,0.010501,0.219951,0.008471,0.376418
0.000,1.000000,0.985066,0.982801,1.000000,0.967521,0.920391,0.975182,0.701176,0.917119
0.000,0.000000,0.458439,0.517609,0.006105,0.005861,0.030037,0.233577,0.006118,0.376418
0.000,1.000000,0.969851,0.978979,0.994383,0.978266,0.940904,0.973236,0.861176,0.977800
0.000,0.000000,0.462947,0.520339,0.002686,0.008547,0.007570,0.225791,0.006118,0.417366
0.000,1.000000,0.976895,0.982528,0.982418,1.000000,1.000000,0.969830,0.808000,0.972373
0.000,0.000000,0.451395,0.504232,0.001465,0.002198,0.000000,0.210706,0.020235,0.364085
0.000,0.962882,0.972668,0.979252,1.000000,1.000000,0.998535,0.959611,1.000000,0.972373
0.000,0.000000,0.456748,0.516790,0.000000,0.006105,0.000000,0.219951,0.011765,0.372472
0.000,1.000000,0.961961,0.964510,0.897436,0.978510,0.988767,0.957664,0.787765,0.910705
0.000,0.004396,0.457030,0.518701,0.019292,0.002442,0.003175,0.219951,0.008471,0.374445
0.000,1.000000,0.964779,0.975157,0.927228,0.935287,0.963126,0.952311,0.681882,0.850025
0.000,0.005617,0.458439,0.515425,0.008059,0.000000,0.000000,0.210219,0.023059,0.369018
0.000,1.000000,0.966188,0.977341,1.000000,0.987057,0.991453,0.952798,0.849412,0.964480
0.000,0.008547,0.463229,0.518155,0.007570,0.004396,0.008547,0.220925,0.007059,0.406019
0.000,0.996581,0.961961,0.970243,0.990965,0.982662,0.964591,0.967883,0.788235,0.967933
0.000,0.008791,0.460693,0.520885,0.000000,0.011477,0.012943,0.225791,0.010353,0.379378
0.000,0.977534,0.969287,0.977341,1.000000,0.976068,0.989255,0.948418,0.712471,0.844598
0.000,0.053968,0.461538,0.515425,0.055189,0.013187,0.014408,0.225791,0.006118,0.373952
0.000,0.990476,0.963652,0.974065,0.970208,0.966056,0.958974,0.943066,0.872000,0.959546
0.000,0.007082,0.458157,0.519793,0.000000,0.007082,0.000000,0.235523,0.006118,0.412432
0.000,1.000000,0.965906,0.968605,0.964103,0.985836,0.954579,0.949392,0.676235,0.904785
0.000,0.009768,0.465201,0.518701,0.006105,0.005861,0.001954,0.231144,0.010824,0.377898
0.000,1.000000,0.963088,0.977068,0.946276,0.978755,1.000000,0.948905,0.758118,0.958066
0.000,0.000488,0.453931,0.502867,0.006593,0.004396,0.014896,0.226277,0.002353,0.375925
0.000,0.985836,0.952944,0.966421,0.982662,0.972161,0.956777,0.942092,0.672941,0.894919
0.000,0.001954,0.463229,0.518428,0.006349,0.000000,0.003907,0.218978,0.023059,0.400099
0.000,0.978999,0.952381,0.966421,0.994872,1.000000,0.924786,0.937226,0.801412,0.950173
0.000,0.027839,0.455903,0.512149,0.010745,0.013919,0.013431,0.218005,0.004706,0.404539
0.000,1.000000,0.957453,0.961507,0.997558,0.997070,0.997314,0.946959,0.759059,0.902812
0.000,0.006838,0.461538,0.531532,0.002686,0.006349,0.062271,0.219951,0.008000,0.376912
0.000,0.997558,0.964779,0.974065,0.985836,0.958242,0.912821,0.941119,0.768471,0.892945
0.000,0.000000,0.462102,0.530167,0.000000,0.000000,0.010989,0.232603,0.008471,0.407992
0.000,0.995604,0.958016,0.965056,0.975580,0.869597,0.979487,0.950365,0.681882,0.953133
0.000,0.000000,0.457030,0.532351,0.004884,0.007082,0.006105,0.221411,0.009882,0.405525
0.000,1.000000,0.954635,0.964783,1.000000,1.000000,0.987790,0.946959,0.747765,0.887025
0.000,0.006349,0.463793,0.528529,0.006838,0.012943,0.013919,0.217518,0.018353,0.366058
0.000,1.000000,0.965906,0.967513,0.988767,0.950183,0.970940,0.931873,0.660235,0.891465
0.000,0.010989,0.454776,0.527983,0.019292,0.018803,0.000977,0.214599,0.014588,0.374445
0.000,1.000000,0.953226,0.966148,1.000000,0.995116,0.973138,0.934307,0.660235,0.888012
0.000,0.007326,0.455621,0.527437,0.009524,0.005372,0.006105,0.217032,0.005176,0.376418
0.000,0.912576,0.937165,0.958504,0.981685,0.978755,0.978755,0.918735,0.644706,0.879625
0.000,0.000000,0.460975,0.527710,0.000000,0.005861,0.004396,0.218005,0.010824,0.372965
0.000,0.990965,0.959143,0.974065,0.951404,0.955067,0.978755,0.928467,0.785882,0.883078
0.000,0.000000,0.457030,0.529075,0.010501,0.006105,0.009524,0.219951,0.003294,0.372965
0.000,0.986569,0.952944,0.957958,0.966789,0.968498,0.954090,0.929440,0.895529,0.885545
0.000,0.009768,0.457594,0.524707,0.002686,0.005861,0.000000,0.214599,0.026824,0.362111
0.000,0.949206,0.948436,0.957412,0.980464,0.968987,1.000000,0.918248,0.803294,0.878145
0.000,0.008059,0.460975,0.514060,0.026618,0.013431,0.029060,0.226277,0.006118,0.400592
0.000,1.000000,0.945618,0.957139,0.976068,0.963370,0.989255,0.916788,0.718588,0.930439
0.000,0.004640,0.461538,0.522250,0.010012,0.004884,0.000000,0.223844,0.005647,0.376912
0.000,0.965812,0.947873,0.951133,0.967766,0.962393,0.972894,0.919708,0.710588,0.877158
0.000,0.005128,0.454212,0.517336,0.008059,0.008059,0.005861,0.214599,0.013647,0.271337
0.000,1.000000,0.943928,0.970789,0.970696,0.967277,0.968254,0.907543,0.728000,0.874692
0.000,0.003907,0.451677,0.514879,0.054945,0.004396,0.033211,0.225791,0.014118,0.372472
0.000,0.995849,0.954072,0.952498,0.962882,0.960440,0.951160,0.907056,0.716706,0.873212
0.000,0.008547,0.457312,0.515971,0.003907,0.001954,0.000000,0.224818,0.008471,0.370498
0.000,0.995360,0.932657,0.949495,0.974115,0.945788,0.959463,0.905596,0.687529,0.924519
0.000,0.060806,0.455340,0.506416,0.009768,0.014408,0.010256,0.226277,0.013647,0.399605
0.046,0.968254,0.937729,0.951952,0.950183,0.943346,0.891575,0.897324,0.674353,0.922546
0.096,0.003907,0.459284,0.518974,0.006105,0.007326,0.013431,0.217518,0.005176,0.368032
0.146,0.987790,0.933221,0.951952,0.945788,0.927228,0.927717,0.899757,0.659294,0.805131
0.196,0.116972,0.451677,0.518155,0.010989,0.009524,0.014896,0.228710,0.004706,0.365565
0.246,1.000000,0.935193,0.941305,0.951404,0.956288,0.959463,0.901217,0.744471,0.865318
0.296,0.008059,0.457030,0.516517,0.010012,0.006349,0.006349,0.206813,0.012706,0.367045
0.346,1.000000,0.930966,0.936937,0.953358,0.927717,0.923565,0.893431,0.671059,0.780957
0.396,0.018559,0.449141,0.511603,0.004640,0.008791,0.011722,0.215085,0.021647,0.357178
0.446,0.994872,0.918005,0.936664,0.897436,0.908669,0.912332,0.888078,0.600471,0.862358
0.496,0.005128,0.445759,0.499863,0.017094,0.004396,0.005372,0.219465,0.010824,0.390725
0.546,0.986569,0.921950,0.944035,0.946276,0.922833,0.924054,0.889051,0.612235,0.915639
0.596,0.009035,0.450268,0.505324,0.019780,0.013431,0.011477,0.215085,0.010824,0.388259
0.646,0.959707,0.921950,0.931477,0.942857,0.958242,0.904274,0.889538,0.595765,0.857918
0.696,0.018559,0.452522,0.515698,0.019780,0.003907,0.013431,0.222384,0.006118,0.370005
0.746,0.975580,0.917160,0.936118,0.939438,0.923321,0.935043,0.901217,0.605176,0.864332
0.796,0.010989,0.453085,0.519247,0.006838,0.012454,0.016850,0.220925,0.013176,0.396152
0.846,0.990232,0.937729,0.935299,0.968254,0.936508,0.928205,0.895377,0.768941,0.899359
0.896,0.010012,0.457594,0.528256,0.009280,0.011722,0.008059,0.227737,0.025412,0.395659
0.946,0.965079,0.928149,0.915097,0.951404,0.938950,0.927228,0.884672,0.695529,0.855451
0.996,0.012943,0.455903,0.518701,0.011722,0.000000,0.000000,0.228710,0.015529,0.367538
1.046,0.000000,0.409693,0.485667,0.000000,0.000000,0.000000,0.225304,0.014588,0.295017
1.096,0.000000,0.124824,0.244608,0.000000,0.000000,0.000000,0.074939,0.003765,0.059201
1.146,0.000000,0.076641,0.123396,0.000000,0.000000,0.000000,0.117275,0.010824,0.082881
1.196,0.012454,0.000000,0.000000,0.006105,0.010989,0.014408,0.000000,0.012706,0.000000
1.246,0.000000,0.053536,0.042042,0.000000,0.000000,0.000000,0.085645,0.001412,0.074988
1.296,0.000000,0.031558,0.028938,0.000000,0.001465,0.002930,0.044769,0.005176,0.038481
1.346,0.000000,0.069879,0.061425,0.000000,0.000733,0.000000,0.108029,0.000000,0.081894
1.396,0.018559,0.045647,0.047775,0.000000,0.000000,0.000000,0.077859,0.001882,0.067094
1.446,0.000000,0.071569,0.064428,0.031258,0.000977,0.000000,0.115815,0.004706,0.085348
1.496,0.000000,0.035503,0.039858,0.000000,0.000000,0.000000,0.065207,0.011765,0.050321
1.546,0.000000,0.066216,0.057876,0.000000,0.000000,0.003663,0.108029,0.009882,0.082388
1.596,0.000000,0.053254,0.053508,0.003907,0.001954,0.001221,0.089051,0.008471,0.078934
1.646,0.024176,0.074105,0.068796,0.000000,0.000488,0.000000,0.117762,0.001882,0.084361
1.696,0.000000,0.053536,0.052689,0.000000,0.000000,0.000000,0.092457,0.010824,0.072521
1.746,0.000000,0.072697,0.066066,0.000000,0.001709,0.000000,0.116788,0.007059,0.083374
1.796,0.000000,0.041702,0.042042,0.000000,0.000000,0.006838,0.072993,0.010824,0.056241
1.846,0.000000,0.066779,0.056238,0.000000,0.001954,0.000000,0.104136,0.010824,0.078441
1.896,0.000000,0.042829,0.042042,0.000000,0.000000,0.000000,0.074939,0.002353,0.058214
1.946,0.000488,0.075514,0.064155,0.000000,0.000000,0.000000,0.118735,0.006118,0.082881
1.996,0.000000,0.057481,0.057603,0.000000,0.000000,0.001709,0.103650,0.011765,0.084854
2.046,0.000000,0.074669,0.067704,0.000000,0.000000,0.000000,0.115815,0.011765,0.084854
2.096,0.000000,0.055790,0.056784,0.000000,0.000000,0.000000,0.097324,0.004235,0.078934
2.146,0.011477,0.069879,0.071799,0.000000,0.000000,0.000000,0.132360,0.006118,0.091761
2.196,0.000000,0.048183,0.054054,0.000488,0.000000,0.000000,0.091484,0.007529,0.070054
2.246,0.000000,0.077205,0.067977,0.000000,0.000000,0.000000,0.126034,0.000941,0.086828
2.296,0.000000,0.054945,0.055419,0.000000,0.000000,0.000000,0.104136,0.012706,0.080414
2.346,0.009768,0.075514,0.067704,0.001709,0.000000,0.000000,0.124574,0.006118,0.080908
2.396,0.000000,0.056917,0.060060,0.006105,0.000000,0.013919,0.102190,0.012706,0.079921
2.446,0.000488,0.082558,0.077532,0.000000,0.000000,0.000000,0.142092,0.002353,0.094721
2.496,0.000000,0.065934,0.073164,0.000000,0.004151,0.000000,0.125547,0.006118,0.096201
2.546,0.000000,0.085094,0.084084,0.000000,0.000000,0.000000,0.158637,0.005176,0.104095
2.596,0.000000,0.067906,0.078078,0.000000,0.000000,0.000488,0.141119,0.014588,0.106068
2.646,0.000000,0.085094,0.089271,0.004396,0.000000,0.000000,0.154745,0.003294,0.106068
2.696,0.000000,0.068752,0.078351,0.000000,0.000000,0.002442,0.141606,0.008000,0.103108
2.746,0.000000,0.086503,0.088452,0.000000,0.000000,0.000000,0.156691,0.007059,0.102615
2.796,0.000977,0.065934,0.076167,0.000000,0.000000,0.000000,0.132360,0.007059,0.096695
2.846,0.000000,0.085658,0.083538,0.000000,0.000488,0.000000,0.146472,0.002824,0.096695
2.896,0.000000,0.068752,0.079443,0.000000,0.000000,0.000000,0.148905,0.013647,0.106068
2.946,0.005861,0.083967,0.091455,0.000000,0.000000,0.000000,0.164477,0.004706,0.108041
2.996,0.000000,0.067061,0.082446,0.001709,0.001465,0.000000,0.149878,0.006118,0.110508
3.046,0.000488,0.086785,0.093366,0.000000,0.000000,0.000000,0.175669,0.002353,0.112481
