time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.006623,0.045496,0.066060,0.000000,0.000000,0.000000,0.111042,0.009859,0.093428
0.000,0.001226,0.065171,0.080740,0.000000,0.000000,0.000000,0.185484,0.019718,0.100515
0.000,0.000000,0.043037,0.066941,0.000000,0.000000,0.000000,0.128412,0.014085,0.097938
0.000,0.000000,0.063941,0.082795,0.000000,0.000000,0.000000,0.188586,0.006338,0.103093
0.000,0.000000,0.042422,0.067821,0.000000,0.000000,0.000000,0.122208,0.017606,0.095361
0.000,0.000000,0.064863,0.082208,0.000000,0.000000,0.000000,0.183623,0.017606,0.101804
0.000,0.000000,0.042422,0.069289,0.000000,0.000000,0.001101,0.109801,0.024648,0.099227
0.000,0.000000,0.064556,0.083969,0.000000,0.000000,0.000000,0.188586,0.019014,0.099227
0.000,0.002208,0.040271,0.065766,0.000000,0.007305,0.000000,0.119727,0.024648,0.096005
0.000,0.000000,0.065171,0.082208,0.000000,0.000000,0.000000,0.187965,0.019718,0.095361
0.000,0.000000,0.041808,0.068702,0.000000,0.000000,0.000000,0.130273,0.021831,0.090206
0.000,0.000000,0.064556,0.081914,0.000000,0.000000,0.000000,0.188586,0.019718,0.093428
0.000,0.000000,0.038119,0.066647,0.000000,0.000000,0.000000,0.119107,0.009155,0.090851
0.000,0.000000,0.066708,0.081914,0.000000,0.000000,0.000000,0.191067,0.012676,0.094072
0.000,0.006132,0.039348,0.066941,0.000000,0.000000,0.004953,0.122208,0.013380,0.089562
0.000,0.000000,0.065478,0.083382,0.000000,0.000000,0.000000,0.185484,0.019718,0.090206
0.000,0.002943,0.045496,0.069583,0.000000,0.000000,0.000000,0.119727,0.010563,0.090206
0.000,0.000000,0.068245,0.081621,0.000000,0.000000,0.000000,0.180521,0.007746,0.092784
0.000,0.000000,0.042730,0.067528,0.000000,0.000000,0.002752,0.119107,0.007746,0.086340
0.000,0.002208,0.066400,0.083382,0.000000,0.000000,0.003853,0.179280,0.009155,0.087629
