time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.103520,0.110938,0.000000,0.000000,0.052163,0.161254,0.029594,0.156581
0.000,0.000000,0.123965,0.125972,0.000000,0.003175,0.061059,0.226208,0.030477,0.161659
0.000,0.000000,0.099638,0.110420,0.000000,0.000488,0.057016,0.159743,0.037544,0.154041
0.000,0.000000,0.124741,0.123898,0.000000,0.000977,0.060655,0.218656,0.041078,0.160389
0.000,0.000000,0.100155,0.109902,0.000000,0.000000,0.053376,0.166541,0.031802,0.151926
0.000,0.000000,0.124224,0.124417,0.004396,0.003907,0.184391,0.220544,0.032244,0.156581
0.000,0.000000,0.099379,0.111198,0.002442,0.000000,0.220784,0.167674,0.031360,0.154465
0.000,0.006105,0.126294,0.126231,0.000733,0.004151,0.244642,0.234894,0.039311,0.162082
0.000,0.000000,0.100414,0.109124,0.001221,0.000000,0.223615,0.164275,0.029152,0.152349
0.000,0.000000,0.124224,0.121047,0.000000,0.001709,0.236555,0.225076,0.038428,0.154041
0.000,0.000000,0.097567,0.107309,0.000000,0.000000,0.219976,0.164275,0.032244,0.148117
0.000,0.003907,0.125776,0.120529,0.000488,0.000000,0.241407,0.226586,0.031802,0.153195
0.000,0.000000,0.097826,0.106791,0.001221,0.000000,0.219167,0.158988,0.037544,0.148963
0.000,0.002198,0.122412,0.119233,0.001954,0.001709,0.234129,0.218278,0.041519,0.147270
0.000,0.000000,0.097050,0.106791,0.000000,0.000000,0.224424,0.161254,0.029594,0.151502
0.000,0.000488,0.121636,0.124676,0.000000,0.003907,0.251921,0.232628,0.040636,0.164198
0.000,0.003175,0.100673,0.111716,0.000000,0.005861,0.238172,0.175982,0.039753,0.161236
0.000,0.000000,0.126553,0.125972,0.000000,0.004396,0.254347,0.236405,0.036661,0.164198
0.000,0.011722,0.098861,0.111457,0.002686,0.000000,0.235342,0.170695,0.038428,0.161659
0.000,0.000000,0.125518,0.126490,0.000000,0.000000,0.251112,0.233761,0.031360,0.165044
0.000,0.000000,0.096273,0.113012,0.000000,0.001954,0.227254,0.163897,0.040194,0.163352
0.000,0.000000,0.123447,0.124935,0.000000,0.006838,0.247473,0.233761,0.041519,0.162505
0.000,0.000733,0.097826,0.112494,0.000000,0.000000,0.231298,0.175227,0.037102,0.159120
0.000,0.000000,0.124224,0.126490,0.000000,0.000000,0.247068,0.230740,0.038428,0.161659
0.000,0.000000,0.097567,0.111198,0.000000,0.000000,0.229681,0.173338,0.038869,0.157427
0.000,0.005372,0.123706,0.124935,0.000000,0.000000,0.246260,0.221299,0.036661,0.160813
0.000,0.000000,0.099379,0.111457,0.009768,0.000000,0.223615,0.169184,0.036661,0.157004
0.000,0.000977,0.123706,0.127268,0.002198,0.000733,0.247877,0.250000,0.036661,0.162082
0.000,0.001221,0.098861,0.111716,0.000000,0.000000,0.229681,0.170695,0.032686,0.157850
0.000,0.000000,0.125259,0.127786,0.000977,0.000000,0.247068,0.226586,0.035777,0.161236
0.000,0.000000,0.097826,0.110679,0.001709,0.000000,0.228063,0.181269,0.037544,0.158273
0.000,0.006105,0.124224,0.124417,0.000000,0.000000,0.244238,0.234139,0.032686,0.163352
0.000,0.000000,0.099120,0.112234,0.000000,0.000000,0.228063,0.179758,0.031360,0.162505
0.000,0.004151,0.124224,0.127009,0.000977,0.000000,0.248686,0.235272,0.033569,0.161659
0.000,0.000000,0.098602,0.111975,0.000000,0.000000,0.230085,0.171073,0.036661,0.161659
0.000,0.000000,0.125259,0.125972,0.000000,0.000000,0.243429,0.226586,0.034011,0.163352
0.000,0.000000,0.099896,0.111457,0.000488,0.005861,0.227659,0.172961,0.035777,0.157427
0.000,0.012454,0.124482,0.125454,0.000000,0.001954,0.245047,0.233761,0.044611,0.162505
0.000,0.000000,0.099638,0.111457,0.000000,0.000000,0.222806,0.169562,0.037544,0.159966
0.000,0.000000,0.125518,0.127009,0.000000,0.000000,0.247068,0.230740,0.034894,0.163352
0.000,0.000000,0.098602,0.111457,0.000000,0.000000,0.234129,0.173338,0.029594,0.161659
0.000,0.000000,0.126553,0.127009,0.000488,0.000000,0.248686,0.237915,0.037544,0.165044
0.000,0.000000,0.097567,0.111975,0.000244,0.000000,0.234533,0.180514,0.039311,0.160813
0.000,0.000000,0.126294,0.128305,0.000000,0.010012,0.248686,0.237915,0.041961,0.164198
0.000,0.000488,0.098344,0.112753,0.003907,0.000000,0.235746,0.163897,0.031360,0.161236
0.000,0.000000,0.126035,0.128046,0.000000,0.001221,0.249495,0.242447,0.038428,0.165468
0.000,0.010501,0.094462,0.107309,0.000000,0.000000,0.220380,0.143127,0.032244,0.145578
0.000,0.008059,0.120342,0.116641,0.000000,0.000244,0.224424,0.256042,0.033569,0.143462
0.000,0.024664,0.079193,0.081649,0.000000,0.000000,0.198544,0.120468,0.030035,0.151079
0.000,0.004151,0.129400,0.123121,0.000000,0.000000,0.258795,0.283233,0.035777,0.172662
0.000,0.000244,0.095756,0.109383,0.000000,0.000000,0.242216,0.156344,0.030919,0.167584
0.000,0.000000,0.129400,0.127527,0.000977,0.002198,0.263243,0.303248,0.041961,0.173508
0.000,0.000000,0.094203,0.110679,0.033944,0.000000,0.241003,0.145770,0.031360,0.168430
0.000,0.103541,0.105072,0.085537,0.146276,0.150183,0.211484,0.255287,0.037544,0.118493
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071573,0.000000,0.000000,0.000000
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.978973,0.986405,0.979240,1.000000
0.000,0.000000,0.421843,0.526439,0.000000,0.000000,0.258391,0.111782,0.018993,0.363098
0.000,0.004151,0.492236,0.616641,0.001954,0.000733,0.403963,0.379532,0.042845,0.456200
0.000,0.000000,0.237578,0.404355,0.000000,0.000000,0.274565,0.134441,0.032244,0.186204
0.000,0.004640,0.328416,0.483670,0.005372,0.021734,0.372422,0.348565,0.038869,0.349556
0.000,0.000000,0.417184,0.531882,0.000000,0.000000,0.247877,0.085725,0.014576,0.347863
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.988574
0.000,0.011233,0.355590,0.468377,0.000000,0.000000,0.245047,0.097432,0.039311,0.267033
0.000,0.129915,0.443323,0.528253,0.114042,0.107204,0.287101,0.305136,0.040636,0.260262
0.000,0.000000,0.061077,0.165889,0.000000,0.000000,0.092196,0.021148,0.014576,0.033855
0.000,0.049573,0.124741,0.132193,0.041270,0.077411,0.078852,0.257931,0.043728,0.157427
0.000,0.000000,0.097567,0.116641,0.002198,0.000000,0.000000,0.141994,0.032244,0.176047
0.000,0.005128,0.130694,0.130638,0.002198,0.000000,0.246664,0.259063,0.034894,0.178587
0.000,0.008059,0.097826,0.115086,0.000000,0.000000,0.242216,0.155211,0.036219,0.172239
0.000,0.000000,0.128623,0.131156,0.004640,0.000977,0.261626,0.266616,0.043728,0.178163
0.000,0.000000,0.096791,0.113530,0.000000,0.000000,0.244238,0.152568,0.040194,0.173085
0.000,0.000000,0.127329,0.128564,0.000000,0.000000,0.262839,0.279079,0.040194,0.177317
0.000,0.000000,0.095497,0.114049,0.001221,0.000000,0.243025,0.145015,0.031360,0.174355
0.000,0.028083,0.126035,0.128564,0.000000,0.000733,0.262434,0.278701,0.041519,0.175624
