time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.010906,0.043065,0.000000,0.000000,0.000000,0.118153,0.057449,0.173815
0.000,0.028106,0.002237,0.055731,0.045804,0.000000,0.008326,0.161117,0.077897,0.209368
0.000,0.000000,0.082774,0.056998,0.011664,0.009703,0.000000,0.147154,0.074976,0.191874
0.000,0.002627,0.000000,0.066498,0.053485,0.000000,0.000000,0.169710,0.081792,0.227991
0.000,0.000000,0.000280,0.074414,0.000000,0.000000,0.000000,0.157895,0.086660,0.202596
0.000,0.000000,0.009228,0.063648,0.002845,0.016357,0.022302,0.157895,0.081792,0.154628
0.000,0.000000,0.000000,0.093730,0.000000,0.000000,0.000000,0.185285,0.085686,0.208804
0.000,0.007618,0.002517,0.059848,0.000000,0.002218,0.000000,0.113856,0.092502,0.116817
0.000,0.000000,0.000000,0.098480,0.000000,0.000000,0.000000,0.158969,0.049659,0.187359
0.000,0.093249,0.111577,0.110513,0.108108,0.098420,0.084746,0.187970,0.100292,0.137698
0.000,0.020226,0.000000,0.099747,0.000000,0.000000,0.000000,0.148228,0.057449,0.182280
0.000,0.360389,0.373881,0.156745,0.420768,0.431106,0.469521,0.414608,0.154820,0.136569
0.000,0.635671,0.655481,1.000000,0.639829,0.587746,0.618495,0.877014,1.000000,1.000000
0.000,0.008668,0.015380,0.123179,0.021622,0.019129,0.000000,0.134801,0.093476,0.256772
0.000,0.001313,0.000000,0.085180,0.000284,0.000000,0.000000,0.192266,0.074002,0.204289
0.000,0.011295,0.006991,0.050348,0.004836,0.003327,0.008326,0.114930,0.074002,0.123589
0.000,0.000000,0.000000,0.048765,0.000000,0.000000,0.000000,0.155209,0.065239,0.179458
0.000,0.109010,0.086409,0.056998,0.029587,0.065706,0.085935,0.195489,0.103213,0.158014
0.000,0.000000,0.010347,0.032932,0.000000,0.000000,0.112697,0.150376,0.071081,0.160835
0.000,0.000000,0.005313,0.027232,0.003129,0.007485,0.104966,0.148228,0.092502,0.139391
0.000,0.002101,0.010347,0.053198,0.000000,0.000000,0.000000,0.184748,0.065239,0.211061
0.000,0.088784,0.101510,0.091197,0.133997,0.152759,0.178115,0.254565,0.102240,0.166479
0.000,0.001051,0.005034,0.274858,0.000000,0.000000,0.000000,0.382385,0.244401,0.590858
