time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.705882,0.733929,0.839384,0.705591,0.715789,0.745988,0.905417,0.782805,0.705056
0.000,0.000000,0.000000,0.000000,0.023895,0.000000,0.000000,0.000000,0.013575,0.286517
0.000,0.658734,0.647768,0.774477,0.702885,0.654386,0.719395,0.865004,0.782805,0.679775
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023216,0.022624,0.308989
0.000,0.722497,0.704911,0.854785,0.707394,0.708333,0.731316,0.939811,0.760181,0.685393
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012038,0.000000,0.351124
0.000,0.714414,0.691518,0.822882,0.675834,0.648684,0.685465,0.880482,0.782805,0.671348
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079106,0.113122,0.522472
0.000,0.404580,0.408036,0.337734,0.349414,0.397807,0.407611,0.565778,0.628959,0.640449
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069647,0.199095,0.544944
0.000,0.441401,0.422768,0.361936,0.422453,0.428070,0.478221,0.588134,0.592760,0.634831
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030954,0.131222,0.469101
0.000,0.375842,0.395089,0.267327,0.385933,0.390789,0.375974,0.538263,0.628959,0.617978
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056750,0.113122,0.432584
0.000,0.515043,0.521875,0.504950,0.516231,0.528509,0.515818,0.692175,0.638009,0.640449
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053310,0.063348,0.421348
0.000,0.556354,0.571429,0.581958,0.586564,0.578070,0.597432,0.729149,0.737557,0.609551
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044712,0.149321,0.432584
0.000,0.502470,0.449107,0.440044,0.448602,0.452193,0.467217,0.601892,0.687783,0.592697
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036973,0.122172,0.435393
0.000,0.342613,0.345982,0.242024,0.355275,0.343860,0.390188,0.474635,0.610860,0.575843
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026655,0.149321,0.511236
0.000,0.324652,0.355804,0.220022,0.358431,0.319298,0.349840,0.469475,0.579186,0.558989
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074807,0.076923,0.553371
0.000,0.699596,0.601339,0.621562,0.685302,0.582895,0.648785,0.768702,0.696833,0.612360
0.000,0.000000,0.026786,0.000000,0.000000,0.000000,0.000000,0.068788,0.104072,0.525281
0.000,0.505164,0.510714,0.468647,0.485573,0.525000,0.540578,0.629407,0.719457,0.558989
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134136,0.429864,0.825843
0.000,0.136507,0.164732,0.049505,0.248873,0.250439,0.308116,0.378332,0.660633,0.528090
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113500,0.158371,0.561798
0.000,0.001347,0.021875,0.000000,0.019387,0.008772,0.006878,0.094583,0.416290,0.457865
0.000,0.000000,0.003571,0.000000,0.000000,0.000000,0.000000,0.198624,0.425339,1.000000
0.000,0.012573,0.038839,0.000000,0.076195,0.100000,0.112334,0.269132,0.506787,0.716292
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108340,0.239819,0.603933
0.000,0.211495,0.230804,0.052805,0.265555,0.204825,0.212288,0.323302,0.506787,0.497191
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230439,0.235294,0.755618
0.000,0.294567,0.308482,0.183718,0.284491,0.260965,0.313159,0.380052,0.570136,0.556180
0.000,0.000000,0.043304,0.000000,0.015780,0.000000,0.000000,0.146174,0.194570,0.643258
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.584270
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214961,0.144796,0.646067
0.000,0.843736,0.795982,0.771177,0.811091,0.746930,0.802843,0.780739,0.800905,0.536517
0.000,0.000000,0.046429,0.000000,0.000000,0.000000,0.005502,0.170249,0.153846,0.657303
0.000,0.308936,0.332589,0.161716,0.306132,0.284649,0.330124,0.338779,0.561086,0.466292
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098022,0.230769,0.682584
0.000,0.246520,0.277679,0.117712,0.214608,0.297807,0.215039,0.279450,0.547511,0.457865
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128117,0.248869,0.716292
0.000,0.300404,0.278571,0.106711,0.286294,0.250439,0.255387,0.320722,0.547511,0.455056
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126397,0.208145,0.696629
0.000,0.282892,0.153125,0.000000,0.129847,0.122807,0.135718,0.194325,0.457014,0.421348
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108340,0.271493,0.747191
0.000,0.190391,0.170089,0.000000,0.108206,0.122807,0.106373,0.233878,0.475113,0.438202
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110060,0.325792,0.778090
0.000,0.009430,0.038839,0.000000,0.004959,0.010088,0.000000,0.199484,0.411765,0.561798
0.000,0.000000,0.005804,0.000000,0.000000,0.000000,0.000000,0.210662,0.366516,0.741573
0.000,0.077683,0.100000,0.000000,0.073490,0.073684,0.069234,0.176268,0.466063,0.421348
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193465,0.420814,0.806180
0.000,0.050741,0.087946,0.000000,0.070334,0.082895,0.081155,0.232158,0.416290,0.390449
0.000,0.047598,0.002232,0.000000,0.000000,0.000000,0.000000,0.174549,0.389140,0.848315
0.000,0.037719,0.075446,0.000000,0.072137,0.071930,0.067400,0.185727,0.484163,0.373596
0.000,0.000000,0.009375,0.000000,0.000000,0.000000,0.000000,0.180567,0.470588,0.837079
0.000,0.034127,0.062500,0.000000,0.078449,0.063596,0.071068,0.183147,0.484163,0.379213
0.000,0.014818,0.012946,0.000000,0.000000,0.000000,0.000000,0.196905,0.447964,0.870787
0.000,0.000000,0.024554,0.000000,0.027502,0.000000,0.005961,0.180567,0.398190,0.522472
0.000,0.000000,0.017411,0.000000,0.000000,0.000000,0.004585,0.214961,0.361991,0.761236
0.000,0.000000,0.021875,0.000000,0.000000,0.000000,0.050436,0.189166,0.375566,0.522472
0.000,0.000000,0.035268,0.000000,0.000902,0.000000,0.000000,0.231298,0.398190,0.792135
0.000,0.000000,0.020089,0.000000,0.000000,0.012281,0.000000,0.183147,0.339367,0.502809
0.000,0.000000,0.024554,0.000000,0.003156,0.000000,0.004127,0.192605,0.398190,0.823034
0.000,0.000000,0.036161,0.000000,0.000000,0.000000,0.000000,0.170249,0.434389,0.466292
0.000,0.041760,0.007143,0.000000,0.000000,0.003509,0.000000,0.226999,0.438914,0.820225
0.000,0.000000,0.003571,0.000000,0.000000,0.000000,0.000000,0.172829,0.361991,0.466292
0.000,0.008083,0.001786,0.000000,0.001803,0.000000,0.000000,0.234738,0.443439,0.803371
0.000,0.000000,0.021429,0.000000,0.000000,0.000000,0.000000,0.176268,0.447964,0.477528
0.000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.235598,0.402715,0.806180
0.000,0.000000,0.007143,0.000000,0.004058,0.000000,0.000000,0.185727,0.366516,0.469101
0.000,0.004939,0.017857,0.000000,0.000000,0.003509,0.007336,0.244196,0.402715,0.800562
0.000,0.000000,0.008482,0.000000,0.000000,0.000000,0.000000,0.161651,0.357466,0.466292
0.000,0.000000,0.039286,0.000000,0.000000,0.014474,0.007336,0.258813,0.411765,0.910112
0.000,0.000000,0.020089,0.000000,0.003607,0.008772,0.000000,0.144454,0.407240,0.331461
0.000,0.002694,0.033482,0.000000,0.036519,0.000000,0.004585,0.244196,0.488688,0.862360
0.000,0.047149,0.057589,0.000000,0.000000,0.000000,0.000000,0.126397,0.312217,0.269663
0.000,0.031881,0.037054,0.000000,0.015780,0.007456,0.007795,0.240757,0.447964,0.896067
0.044,0.000000,0.017857,0.000000,0.000000,0.000000,0.000000,0.114359,0.330317,0.252809
0.094,0.050292,0.069196,0.000000,0.032011,0.008772,0.040348,0.256234,0.479638,0.904494
0.144,0.002245,0.010268,0.000000,0.000000,0.000000,0.000000,0.151333,0.343891,0.466292
0.194,0.000898,0.025893,0.000000,0.000000,0.000000,0.010087,0.278590,0.384615,0.797753
0.244,0.000000,0.041071,0.000000,0.000902,0.003509,0.000000,0.171969,0.330317,0.401685
0.294,0.000000,0.033036,0.000000,0.000000,0.005702,0.000000,0.233018,0.416290,0.842697
0.344,0.000000,0.011607,0.000000,0.000000,0.002632,0.000000,0.163371,0.325792,0.412921
0.394,0.009879,0.037946,0.000000,0.000000,0.000000,0.002293,0.242476,0.443439,0.859551
0.444,0.000000,0.002232,0.000000,0.000000,0.000000,0.000000,0.165090,0.343891,0.412921
0.494,0.003143,0.036161,0.000000,0.000000,0.000000,0.000000,0.257094,0.407240,0.831461
0.544,0.000000,0.005804,0.000000,0.000000,0.008772,0.007795,0.155632,0.330317,0.387640
0.594,0.009879,0.032589,0.000000,0.002254,0.021053,0.000917,0.239037,0.502262,0.839888
0.644,0.000000,0.020982,0.000000,0.000451,0.002632,0.000000,0.169390,0.285068,0.393258
0.694,0.000000,0.022768,0.000000,0.000000,0.025439,0.000000,0.249355,0.425339,0.865169
0.744,0.000000,0.008929,0.000000,0.000000,0.000000,0.018799,0.170249,0.330317,0.401685
0.794,0.000000,0.000000,0.000000,0.007214,0.019737,0.017882,0.132416,0.447964,0.851124
0.844,0.034576,0.000446,0.000000,0.013977,0.000000,0.000000,0.163371,0.357466,0.390449
0.894,0.053435,0.027232,0.000000,0.008115,0.000000,0.002293,0.249355,0.425339,0.853933
0.944,0.000000,0.019196,0.000000,0.000000,0.000000,0.000000,0.161651,0.312217,0.376404
0.994,0.000000,0.018304,0.000000,0.000000,0.012719,0.003668,0.257094,0.420814,0.870787
1.044,0.000000,0.020536,0.000000,0.000000,0.000000,0.000000,0.128977,0.339367,0.269663
1.094,0.014818,0.041518,0.000000,0.000000,0.009649,0.024301,0.268272,0.524887,0.882022
1.144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185727,0.285068,0.162921
1.194,0.046251,0.072768,0.000000,0.019387,0.000000,0.014214,0.275150,0.434389,0.876404
1.244,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.076526,0.230769,0.132022
1.294,0.041311,0.070982,0.000000,0.011722,0.045175,0.045851,0.273431,0.484163,0.876404
1.344,0.000000,0.009821,0.000000,0.033814,0.013158,0.000000,0.093723,0.194570,0.087079
1.394,0.075887,0.069196,0.000000,0.073490,0.019737,0.044017,0.254514,0.443439,0.882022
1.444,0.000000,0.014732,0.000000,0.000000,0.000000,0.000000,0.042132,0.176471,0.056180
1.494,0.071396,0.090625,0.000000,0.056357,0.038596,0.051353,0.281169,0.475113,0.870787
1.544,0.000000,0.000000,0.000000,0.000000,0.032895,0.000000,0.048151,0.203620,0.070225
1.594,0.032330,0.051339,0.000000,0.034265,0.023246,0.027510,0.235598,0.470588,0.870787
1.644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034394,0.230769,0.073034
1.694,0.000000,0.082143,0.000000,0.060866,0.040789,0.058230,0.278590,0.470588,0.859551
1.744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065348,0.248869,0.087079
1.794,0.007185,0.028571,0.000000,0.000000,0.008772,0.070151,0.231298,0.484163,0.797753
1.844,0.000000,0.000000,0.000000,0.000000,0.000000,0.022467,0.161651,0.307692,0.483146
1.894,0.006736,0.035268,0.000000,0.013977,0.002193,0.000000,0.244196,0.438914,0.792135
1.944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154772,0.348416,0.474719
1.994,0.117198,0.026786,0.000000,0.004058,0.020614,0.024301,0.239037,0.520362,0.783708
2.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150473,0.361991,0.421348
2.094,0.008532,0.034375,0.000000,0.005861,0.042544,0.003210,0.232158,0.466063,0.820225
2.144,0.000000,0.018304,0.000000,0.000000,0.000000,0.000000,0.160791,0.325792,0.415730
2.194,0.026493,0.057143,0.000000,0.004509,0.007895,0.008712,0.263113,0.520362,0.842697
2.244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127257,0.321267,0.300562
2.294,0.039964,0.081696,0.000000,0.000000,0.049123,0.052728,0.337919,0.493213,0.862360
2.344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130696,0.285068,0.370787
2.394,0.082622,0.102679,0.000000,0.037421,0.077632,0.069234,0.331040,0.466063,0.870787
2.444,0.000000,0.007143,0.000000,0.000000,0.000000,0.001834,0.042132,0.131222,0.000000
2.494,0.093399,0.104018,0.000000,0.094229,0.042544,0.077029,0.282029,0.466063,0.859551
2.544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087704,0.221719,0.078652
2.594,0.089358,0.145982,0.000000,0.106853,0.095175,0.110041,0.317283,0.592760,0.862360
2.644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056750,0.158371,0.117978
2.694,0.081275,0.105357,0.000000,0.080703,0.072368,0.066483,0.300086,0.547511,0.856742
2.744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022356,0.135747,0.005618
2.794,0.067355,0.084375,0.000000,0.079802,0.046930,0.056855,0.280310,0.466063,0.853933
2.844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149613,0.361991,0.480337
2.894,0.000000,0.032589,0.000000,0.000000,0.000000,0.007795,0.226139,0.416290,0.750000
2.944,0.000000,0.001786,0.000000,0.000000,0.000000,0.000000,0.128117,0.303167,0.404494
2.994,0.028738,0.043304,0.000000,0.019387,0.042544,0.010087,0.275150,0.547511,0.839888
3.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100602,0.194570,0.188202
