time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,1.000000,0.784922,1.000000,1.000000,1.000000,0.970297,0.354942,0.637612
0.000,0.004884,0.029304,0.819365,0.000000,0.000000,0.000000,0.317414,0.640808,0.888955
0.000,1.000000,1.000000,0.772675,1.000000,1.000000,1.000000,0.962726,0.291180,0.623284
0.000,0.035897,0.060806,0.832759,0.000000,0.006105,0.000000,0.312172,0.533475,0.948060
0.000,1.000000,0.961172,0.763490,1.000000,1.000000,1.000000,0.945836,0.207226,0.629851
0.000,0.039805,0.065934,0.834673,0.013187,0.002442,0.000000,0.337798,0.575983,0.955224
0.000,1.000000,0.980708,0.756602,1.000000,1.000000,1.000000,1.000000,0.205101,0.625672
0.000,0.043712,0.090598,0.844623,0.030769,0.021734,0.009035,0.333722,0.597237,0.960000
0.000,1.000000,0.945543,0.739380,1.000000,1.000000,1.000000,0.949330,0.208289,0.615522
0.000,0.073504,0.113309,0.859166,0.053236,0.043712,0.027106,0.351776,0.582359,0.955821
0.000,1.000000,0.919658,0.719862,1.000000,1.000000,1.000000,0.933023,0.196599,0.602985
0.000,0.096947,0.125031,0.870647,0.074237,0.060806,0.040781,0.377402,0.905420,0.961791
0.000,0.977045,0.875214,0.717566,0.992430,1.000000,1.000000,0.914386,0.210414,0.604179
0.000,0.124298,0.151648,0.878684,0.096703,0.083272,0.072527,0.401864,0.587673,0.967761
0.000,0.972161,0.864713,0.717566,0.955311,1.000000,1.000000,0.906232,0.201913,0.609552
0.000,0.192674,0.165568,0.887486,0.112576,0.108913,0.088156,0.400699,0.546227,0.895522
0.000,0.913065,0.830037,0.703789,0.916484,0.970208,0.997070,0.882935,0.204038,0.568955
0.000,0.194139,0.179243,0.892843,0.126252,0.114042,0.055433,0.412930,0.923486,0.909254
0.000,0.856410,0.811477,0.689629,0.905250,0.930891,0.942369,0.876529,0.195537,0.610746
0.000,0.183150,0.201954,0.908917,0.151893,0.073993,0.138950,0.439138,0.729012,0.974328
0.000,0.858120,0.786081,0.692308,0.861294,0.857143,0.945055,0.875946,0.197662,0.573731
0.000,0.205128,0.225397,0.927669,0.164103,0.152137,0.146520,0.440885,0.596174,0.976119
0.000,0.818559,0.740659,0.673555,0.811477,0.899389,0.885226,0.837507,0.197662,0.615522
0.000,0.210989,0.232723,0.929583,0.172894,0.159463,0.168010,0.460105,0.664187,0.982090
0.000,0.782662,0.721612,0.665519,0.801221,0.842247,0.963858,0.807222,0.191286,0.616716
0.000,0.226618,0.248107,0.942977,0.201954,0.192674,0.188523,0.479907,1.000000,0.926567
0.000,0.800244,0.715751,0.649062,0.773871,0.921856,0.825641,0.785673,0.199787,0.559403
0.000,0.268376,0.271551,0.949101,0.225397,0.265690,0.208303,0.489225,0.633369,0.914627
0.000,0.770452,0.696459,0.638729,0.771673,0.788034,0.831990,0.775772,0.179596,0.563582
0.000,0.246398,0.274969,0.957137,0.223443,0.215629,0.209768,0.509610,0.702444,0.998209
0.000,0.727961,0.666422,0.635285,0.735775,0.756532,0.774847,0.755387,0.170032,0.569552
0.000,0.267888,0.294750,0.970532,0.238584,0.230525,0.218071,0.532324,0.729012,1.000000
0.000,0.710134,0.655189,0.623421,0.732357,0.751404,0.771673,0.738497,0.172157,0.567761
0.000,0.282540,0.321123,0.964026,0.257875,0.244444,0.232723,0.529412,0.747078,0.918806
0.000,0.693040,0.631746,0.613854,0.708913,0.730647,0.736508,0.748398,0.170032,0.562985
0.000,0.302564,0.330891,0.990050,0.272283,0.255433,0.256166,0.564356,0.690755,0.928955
0.000,0.661538,0.606349,0.592040,0.647375,0.657875,0.709890,0.701223,0.170032,0.575522
