time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.031990,0.029060,0.139438,0.075946,0.054945,0.058608,0.150038,0.024103,0.297060
0.000,0.599512,0.591941,0.398779,0.581929,0.586325,0.592674,0.533130,0.049277,0.417288
0.000,0.027106,0.017094,0.166300,0.021245,0.018315,0.014896,0.112719,0.023567,0.271610
0.000,0.893040,0.874237,0.620757,0.890842,0.872039,0.842979,0.785605,0.608998,0.663888
0.000,0.017338,0.019780,0.292308,0.028083,0.024176,0.019780,0.143184,0.036422,0.468627
0.000,0.986813,0.968987,0.907692,0.980220,0.991941,0.968254,0.887281,0.874130,0.895568
0.000,0.026862,0.026129,0.294261,0.026129,0.000000,0.041758,0.170982,0.031066,0.464677
0.000,1.000000,0.958974,0.847863,0.951404,0.980708,0.882784,0.853389,0.718800,0.925406
0.000,0.008547,0.027106,0.270330,0.024664,0.014896,0.024664,0.131759,0.025710,0.462045
0.000,0.999512,0.950183,0.877900,0.959951,0.961905,0.950183,0.872810,0.782539,0.888986
0.000,0.000000,0.000000,0.057387,0.000000,0.000000,0.000000,0.118050,0.039636,0.312857
0.000,0.903785,0.948718,0.857387,0.994139,0.936020,0.968987,0.886519,0.814676,0.935059
0.000,0.013675,0.012943,0.151404,0.012454,0.031013,0.000000,0.096344,0.021960,0.315050
0.000,0.029548,0.021001,0.095482,0.022466,0.021245,0.006105,0.143945,0.035351,0.430891
0.000,0.000000,0.021245,0.034432,0.000000,0.016361,0.031990,0.116527,0.020889,0.138657
0.000,1.000000,0.973626,0.841758,0.956532,0.915018,1.000000,0.913938,0.908409,0.885476
0.000,0.009280,0.020024,0.272527,0.013431,0.100611,0.025641,0.151942,0.038565,0.478719
0.000,1.000000,0.968010,0.956044,0.973138,1.000000,0.986325,0.889185,0.837708,0.913120
0.000,0.012943,0.011722,0.319170,0.027106,0.000000,0.032234,0.156131,0.028388,0.474331
0.000,1.000000,0.990476,0.952381,1.000000,1.000000,1.000000,0.910129,0.922335,0.913997
0.000,0.013919,0.006838,0.321123,0.022711,0.010501,0.030281,0.131379,0.032137,0.491882
0.000,1.000000,0.954579,0.977534,0.983394,0.996093,0.991209,0.908225,0.846277,0.967530
0.000,0.005128,0.005128,0.279365,0.011966,0.017582,0.005617,0.184692,0.032137,0.480035
0.000,1.000000,1.000000,0.928694,1.000000,1.000000,0.975824,0.900228,0.877879,0.933304
0.000,0.000000,0.001954,0.271795,0.010501,0.014652,0.029304,0.150419,0.026245,0.497148
0.000,1.000000,0.995360,0.909402,1.000000,1.000000,1.000000,0.895659,0.852705,0.923651
0.000,0.000000,0.007570,0.253724,0.008059,0.000733,0.000000,0.150419,0.022496,0.468188
0.000,1.000000,0.986569,0.921856,1.000000,1.000000,0.994139,0.928789,0.881628,0.920579
0.000,0.011722,0.004396,0.257143,0.002686,0.010989,0.010989,0.143945,0.032137,0.395349
0.000,1.000000,0.995116,0.920879,0.950183,1.000000,1.000000,0.923839,0.909480,0.973234
0.000,0.000000,0.006105,0.168742,0.025397,0.020024,0.008791,0.143945,0.026781,0.501536
0.000,1.000000,0.993895,0.834432,1.000000,1.000000,1.000000,0.913938,0.862346,0.971040
0.000,0.006105,0.001465,0.115751,0.000000,0.000000,0.000000,0.215918,0.041243,0.500658
0.000,1.000000,0.993651,0.908669,1.000000,1.000000,0.934799,0.889185,0.933048,0.928039
0.000,0.000000,0.000000,0.000000,0.000000,0.002930,0.002442,0.060548,0.020354,0.054849
0.000,0.000977,0.000244,0.000000,0.000000,0.000000,0.000000,0.144326,0.049277,0.154892
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130998,0.035351,0.114524
0.000,0.076679,0.122833,0.028083,0.140904,0.137973,0.062027,0.162986,0.031066,0.139096
0.000,0.002686,0.005372,0.000000,0.000000,0.000000,0.000000,0.247144,0.043385,0.417288
0.000,0.000000,0.036874,0.000000,0.000000,0.000000,0.004396,0.159558,0.039636,0.161913
0.000,0.000000,0.006593,0.000000,0.000000,0.004396,0.000000,0.124143,0.037493,0.120667
0.000,0.001954,0.000000,0.000000,0.000488,0.000000,0.002198,0.115765,0.028388,0.096972
0.000,0.000000,0.012943,0.000000,0.000000,0.000000,0.000000,0.070449,0.026781,0.071523
0.000,0.000000,0.004396,0.000000,0.000000,0.000000,0.000000,0.145468,0.039636,0.172444
0.000,0.000000,0.007570,0.000000,0.000000,0.000000,0.000000,0.092917,0.024638,0.093901
0.000,0.051038,0.060806,0.000000,0.000000,0.003907,0.010256,0.141660,0.040707,0.131198
0.000,0.000000,0.057631,0.000000,0.054945,0.046886,0.037118,0.080731,0.010177,0.041685
0.000,0.021001,0.003907,0.000000,0.000000,0.000000,0.000000,0.133283,0.036958,0.132514
0.000,0.008791,0.000488,0.000000,0.001221,0.002686,0.009524,0.100533,0.025710,0.091707
0.000,0.007082,0.018315,0.000000,0.023687,0.010501,0.017338,0.132521,0.036422,0.121983
0.000,0.000000,0.001221,0.000000,0.004151,0.000000,0.000000,0.036558,0.010712,0.024133
0.000,0.203175,0.202442,0.067399,0.210256,0.228816,0.212698,0.210206,0.062667,0.139535
0.000,0.025641,0.015629,0.000000,0.000000,0.002442,0.000000,0.021706,0.017675,0.020623
0.000,0.000000,0.008059,0.000000,0.000000,0.000000,0.000000,0.153085,0.051419,0.167179
0.000,0.000000,0.000000,0.000000,0.005128,0.000000,0.000000,0.022848,0.008570,0.017990
0.000,0.229792,0.234432,0.091331,0.252015,0.233455,0.256654,0.249048,0.056240,0.141729
0.000,0.000000,0.000000,0.006349,0.000000,0.000000,0.000000,0.019802,0.006427,0.024133
0.000,0.210256,0.209280,0.201221,0.213675,0.197558,0.205861,0.267327,0.025710,0.172883
0.000,0.004396,0.001954,0.000000,0.000000,0.004396,0.003175,0.024372,0.011784,0.036419
0.000,0.075458,0.065690,0.000000,0.080830,0.074237,0.082295,0.130236,0.035886,0.095656
0.000,0.000000,0.000000,0.000244,0.000000,0.024420,0.003907,0.019040,0.013926,0.018429
0.000,0.000000,0.000244,0.000000,0.004396,0.000000,0.000000,0.091013,0.036958,0.124177
0.000,0.000000,0.035409,0.000000,0.000000,0.000000,0.007570,0.011805,0.006427,0.014480
0.000,0.577534,0.583394,0.575824,0.573871,0.565324,0.565324,0.487433,0.059989,0.158842
0.000,0.000488,0.004396,0.000000,0.000000,0.000000,0.010989,0.019040,0.010712,0.021939
0.000,0.162882,0.155556,0.151648,0.143101,0.152625,0.147741,0.194212,0.051419,0.136463
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011424,0.009641,0.015358
0.000,0.380952,0.370452,0.368987,0.373382,0.342613,0.380952,0.332826,0.054633,0.144362
0.000,0.034432,0.000000,0.000000,0.000000,0.000000,0.000000,0.009139,0.007499,0.019746
0.000,0.322344,0.301099,0.277900,0.315263,0.317216,0.310379,0.304646,0.049277,0.143045
0.000,0.000488,0.000000,0.000000,0.000000,0.009524,0.004151,0.022087,0.008570,0.024133
0.000,0.267399,0.258120,0.262515,0.272283,0.265690,0.279609,0.279893,0.039100,0.140851
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012947,0.006963,0.012725
0.000,0.360440,0.348962,0.343101,0.345543,0.359463,0.349695,0.322544,0.054633,0.141729
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042491,0.007616,0.005356,0.015358
0.000,0.302564,0.266422,0.261050,0.267643,0.300366,0.267399,0.313024,0.042849,0.175954
0.000,0.000000,0.000000,0.000000,0.011233,0.000000,0.000000,0.103580,0.022496,0.141290
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087586,0.041778,0.131198
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055598,0.016604,0.056604
0.000,0.000000,0.000000,0.000000,0.005617,0.004396,0.000000,0.114242,0.038565,0.122422
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066641,0.012855,0.064502
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150419,0.047134,0.184730
0.045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.151561,0.048741,0.192628
0.095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.167174,0.042849,0.191751
0.145,0.003907,0.000000,0.000000,0.000000,0.000000,0.000000,0.152323,0.049277,0.188679
0.195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133283,0.041778,0.112769
0.245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152323,0.049277,0.186047
0.295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159177,0.042849,0.168495
0.345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097487,0.038565,0.102677
0.395,0.292308,0.263248,0.267888,0.282540,0.310867,0.285470,0.299315,0.054633,0.133831
0.445,0.005128,0.000000,0.000000,0.000000,0.000000,0.000000,0.046458,0.004285,0.016674
0.495,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.966870,0.894483,0.950856
0.545,0.000000,0.000000,0.000000,0.030281,0.000000,0.000000,0.075781,0.018211,0.475208
0.595,1.000000,1.000000,0.999512,1.000000,1.000000,1.000000,0.971820,0.912694,0.959193
0.645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053313,0.017140,0.380430
0.695,1.000000,1.000000,0.995604,1.000000,1.000000,1.000000,0.963442,0.912694,0.956999
0.745,0.029060,0.000000,0.000000,0.000977,0.000000,0.003907,0.060929,0.017675,0.499342
0.795,1.000000,1.000000,0.898413,1.000000,1.000000,1.000000,0.986672,0.915372,0.990785
0.845,0.000000,0.012698,0.000000,0.000000,0.000000,0.000000,0.063214,0.023567,0.504168
0.895,1.000000,1.000000,0.995604,1.000000,1.000000,1.000000,0.966489,0.913230,0.985959
0.945,0.005128,0.000000,0.000000,0.000000,0.000000,0.000000,0.066260,0.019818,0.506362
0.995,1.000000,0.999267,0.987790,1.000000,1.000000,1.000000,0.960396,0.900911,0.946907
1.045,0.002442,0.000000,0.000000,0.006105,0.000000,0.000000,0.062452,0.036422,0.474770
1.095,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974105,0.967327,1.000000
1.145,0.031013,0.000000,0.000000,0.000000,0.000000,0.000000,0.067784,0.034280,0.512944
1.195,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.996954,1.000000,0.997806
1.245,0.000000,0.000000,0.000000,0.001221,0.000000,0.006105,0.065118,0.028388,0.471259
1.295,1.000000,0.979976,0.989011,1.000000,1.000000,1.000000,0.971059,0.942689,0.962703
1.345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060168,0.020354,0.502852
1.395,1.000000,0.978999,0.988278,1.000000,1.000000,0.912332,0.965347,0.913765,0.956560
1.445,0.002930,0.000000,0.000000,0.000000,0.002686,0.000000,0.057502,0.033208,0.505046
1.495,1.000000,0.995360,1.000000,1.000000,1.000000,1.000000,0.969916,0.899839,0.983765
1.545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055979,0.022496,0.475208
1.595,1.000000,1.000000,0.962882,1.000000,1.000000,1.000000,0.970297,0.898232,0.982010
1.645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059406,0.024638,0.486617
1.695,0.938950,0.994628,0.947497,1.000000,1.000000,1.000000,0.973343,0.926085,0.963142
1.745,0.000000,0.000000,0.000000,0.001465,0.000000,0.017338,0.056359,0.023567,0.484862
1.795,0.990232,1.000000,1.000000,1.000000,1.000000,1.000000,0.987814,0.909480,0.955244
1.845,0.000000,0.000000,0.000000,0.016850,0.008059,0.000000,0.063214,0.022496,0.486617
1.895,1.000000,1.000000,0.991209,1.000000,1.000000,1.000000,0.980579,0.931441,0.953927
1.945,0.000000,0.000000,0.000000,0.018559,0.000000,0.000000,0.067022,0.018211,0.491005
1.995,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.990861,0.941082,0.966652
2.045,0.000000,0.000000,0.000000,0.000000,0.000733,0.001221,0.047982,0.023567,0.484862
2.095,1.000000,0.993895,1.000000,1.000000,1.000000,1.000000,0.964966,0.886984,0.911365
2.145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054075,0.028388,0.393155
2.195,1.000000,0.972161,0.992186,1.000000,1.000000,0.968010,0.968774,0.957686,0.955244
2.245,0.000000,0.000000,0.000000,0.000000,0.000000,0.009524,0.058644,0.042849,0.476086
2.295,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960900,0.955244
2.345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055979,0.032673,0.481351
2.395,1.000000,0.996337,0.972405,1.000000,1.000000,1.000000,0.979056,0.955544,0.962264
2.445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048363,0.025174,0.469065
2.495,1.000000,0.996337,1.000000,1.000000,1.000000,0.904762,0.990099,0.919122,0.992979
2.545,0.000000,0.000000,0.000000,0.000733,0.000000,0.010745,0.066260,0.021425,0.485301
2.595,1.000000,0.977534,0.964347,1.000000,1.000000,1.000000,0.990099,0.946974,0.993857
2.645,0.000000,0.000000,0.000000,0.000488,0.000000,0.000000,0.068165,0.017675,0.507679
2.695,0.399756,0.357509,0.363370,0.399756,0.392186,0.358730,0.357959,0.041778,0.137780
2.745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009901,0.002142,0.000000
2.795,0.212210,0.179731,0.169719,0.222711,0.205128,0.190965,0.227723,0.038565,0.135586
2.845,0.000000,0.000000,0.001465,0.000000,0.005128,0.000000,0.009901,0.003214,0.011847
2.895,0.412943,0.358730,0.354335,0.373382,0.412454,0.380708,0.361005,0.059989,0.136463
2.945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009215
2.995,0.000000,0.002442,0.000000,0.000000,0.000000,0.011722,0.339680,0.444563,0.495393
3.045,0.000000,0.000000,0.000000,0.000977,0.000000,0.000000,0.009139,0.001607,0.007021
