time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.031602,0.065217,0.000000,0.033654,0.036223,0.037627,0.243348,0.625551,0.697286
0.000,0.000000,0.008951,0.000000,0.000000,0.000000,0.000000,0.115854,0.233480,0.150313
0.000,0.069264,0.099318,0.000000,0.074738,0.086675,0.067729,0.277716,0.546256,0.688935
0.000,0.000000,0.042199,0.000000,0.000000,0.000000,0.000000,0.125831,0.233480,0.223382
0.000,0.030736,0.046036,0.000000,0.006993,0.010349,0.049137,0.215078,0.515419,0.670146
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109202,0.233480,0.133612
0.000,0.052814,0.077153,0.000000,0.059003,0.025442,0.038955,0.242239,0.603524,0.695198
0.000,0.000000,0.000000,0.000000,0.040647,0.000000,0.000000,0.080377,0.171806,0.054280
0.000,0.087013,0.116368,0.000000,0.068619,0.034929,0.051793,0.246674,0.625551,0.684760
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087029,0.167401,0.052192
0.000,0.105195,0.093350,0.000000,0.126311,0.088400,0.089863,0.275499,0.541850,0.684760
0.000,0.000000,0.014066,0.000000,0.000000,0.000000,0.000000,0.148559,0.392070,0.373695
0.000,0.000000,0.043905,0.000000,0.000000,0.000000,0.010624,0.223392,0.594714,0.668058
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.091463,0.127753,0.020877
0.000,0.096104,0.126172,0.000000,0.081731,0.108236,0.097388,0.287694,0.541850,0.668058
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.179601,0.348018,0.384134
0.000,0.058874,0.092072,0.000000,0.063374,0.067270,0.062417,0.264967,0.533040,0.668058
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073171,0.259912,0.164927
0.000,0.024675,0.064365,0.000000,0.057255,0.035791,0.067286,0.243348,0.533040,0.686848
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077605,0.110132,0.020877
0.000,0.108658,0.131287,0.000000,0.075175,0.119448,0.183710,0.281042,0.638767,0.661795
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074834,0.127753,0.048017
0.000,0.117316,0.103581,0.000000,0.087850,0.100474,0.091191,0.275499,0.541850,0.661795
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098115,0.180617,0.068894
0.000,0.087879,0.116368,0.000000,0.092657,0.098749,0.075697,0.272173,0.585903,0.653445
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075942,0.154185,0.020877
0.000,0.068831,0.105712,0.000000,0.054633,0.077620,0.074812,0.251109,0.559471,0.659708
0.000,0.000000,0.005968,0.000000,0.000000,0.000000,0.000000,0.098115,0.167401,0.148225
0.000,0.041558,0.070759,0.000000,0.024913,0.035360,0.041169,0.225610,0.612335,0.651357
0.000,0.000000,0.014919,0.000000,0.000000,0.000000,0.000000,0.136918,0.312775,0.350731
0.000,0.114286,0.156436,0.000000,0.138549,0.131953,0.145640,0.318736,0.559471,0.718163
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082594,0.114537,0.052192
0.000,0.091775,0.127877,0.000000,0.098339,0.062527,0.056662,0.275499,0.607930,0.653445
0.000,0.000000,0.000000,0.000000,0.009615,0.000000,0.000000,0.046009,0.048458,0.000000
0.000,0.259740,0.320546,0.197307,0.309003,0.237602,0.315184,0.442905,0.528634,0.645094
0.000,0.143290,0.000000,0.000000,0.000000,0.000000,0.000000,0.003880,0.013216,0.000000
0.000,0.372727,0.429241,0.214871,0.353584,0.379043,0.375830,0.449002,0.647577,0.653445
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001663,0.000000,0.000000
0.000,0.786147,0.799659,0.723068,0.776661,0.790858,0.822931,0.806541,0.704846,0.678497
0.000,0.000000,0.005115,0.000000,0.000000,0.000000,0.000000,0.039357,0.145374,0.035491
0.000,0.332468,0.334612,0.132904,0.324738,0.316516,0.339973,0.402993,0.687225,0.653445
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052661,0.000000,0.043841
0.000,0.464502,0.473998,0.309133,0.450612,0.429927,0.446215,0.522727,0.674009,0.661795
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137472,0.295154,0.350731
0.000,0.009957,0.034527,0.000000,0.014423,0.003019,0.026118,0.220621,0.563877,0.622129
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.151330,0.321586,0.430063
