time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.069109,0.010003,0.000000,0.000000,0.000000,0.000000,0.037969,0.028977,0.062467
0.000,0.008547,0.018979,0.000000,0.000000,0.005482,0.000000,0.020309,0.025277,0.043045
0.000,0.000000,0.006155,0.000000,0.000000,0.010964,0.000000,0.027373,0.016646,0.059843
0.000,0.042735,0.071044,0.000000,0.072668,0.063793,0.106284,0.086534,0.037608,0.035171
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015011,0.023428,0.082415
0.000,0.066178,0.045909,0.000000,0.071411,0.044356,0.071115,0.065342,0.033909,0.034121
0.000,0.000000,0.002308,0.000000,0.032185,0.000000,0.000000,0.029139,0.031443,0.086614
0.000,0.029060,0.042319,0.000000,0.027408,0.018689,0.013189,0.045916,0.025894,0.030446
0.000,0.000000,0.013080,0.000000,0.028413,0.000000,0.000000,0.035320,0.020345,0.087139
0.000,0.012454,0.025391,0.000000,0.017853,0.014453,0.002327,0.037969,0.026510,0.034646
0.000,0.072039,0.018466,0.000000,0.000000,0.000000,0.000000,0.052097,0.026510,0.095013
0.000,0.017338,0.027186,0.000000,0.018858,0.027162,0.036721,0.045916,0.028360,0.027822
0.000,0.009524,0.022057,0.000000,0.022379,0.000000,0.013189,0.049448,0.026510,0.102887
0.000,0.015629,0.026417,0.000000,0.011315,0.012709,0.023791,0.039294,0.033909,0.025722
0.000,0.000000,0.021800,0.000000,0.000503,0.000000,0.000000,0.030905,0.022811,0.074016
0.000,0.022955,0.058733,0.000000,0.000000,0.000000,0.000000,0.025607,0.024661,0.023622
0.000,0.000000,0.011541,0.000000,0.000000,0.005233,0.000000,0.061810,0.032676,0.074016
0.000,0.001465,0.013593,0.000000,0.004023,0.004485,0.008534,0.024724,0.019729,0.033071
0.000,0.032479,0.057707,0.011707,0.040986,0.016945,0.051461,0.117881,0.038841,0.109186
0.000,0.036874,0.030008,0.000000,0.010058,0.000000,0.010085,0.029139,0.032676,0.020472
0.000,0.005372,0.034111,0.000000,0.003017,0.001994,0.001293,0.055188,0.032676,0.089239
0.000,0.008059,0.029238,0.000000,0.001257,0.004236,0.011120,0.016777,0.028360,0.011024
0.000,0.000000,0.029751,0.000000,0.006035,0.008223,0.024567,0.072848,0.027744,0.103412
0.000,0.031990,0.052065,0.000000,0.033945,0.043110,0.019395,0.035320,0.027744,0.013648
0.000,0.565324,0.594255,0.478083,0.541111,0.572888,0.594518,0.669316,0.057337,0.125459
0.000,0.003175,0.053347,0.000000,0.040483,0.015948,0.021464,0.006623,0.025277,0.012073
0.000,0.196093,0.236727,0.112442,0.213729,0.224022,0.214378,0.287859,0.052404,0.117060
0.000,0.031258,0.046935,0.000000,0.016093,0.017692,0.007499,0.000000,0.032676,0.015748
0.000,0.099878,0.094127,0.012796,0.067387,0.066035,0.069563,0.104636,0.043773,0.114961
0.000,0.029060,0.043344,0.000000,0.027156,0.028158,0.026636,0.022075,0.025894,0.011549
0.000,0.115507,0.125930,0.036755,0.113905,0.119611,0.125420,0.186313,0.035142,0.114436
0.000,0.023687,0.037958,0.000000,0.029922,0.020683,0.028963,0.000883,0.030826,0.434646
0.000,0.010012,0.038215,0.000000,0.019361,0.009220,0.016550,0.038852,0.025894,0.177953
0.000,0.000000,0.012054,0.000000,0.000000,0.000000,0.000000,0.036203,0.020962,0.061942
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.010259,0.002723,0.000000,0.000000,0.000000,0.072848,0.022811,0.120210
0.000,0.478388,0.502693,0.612851,0.486045,0.476452,0.513059,0.666667,0.598027,0.883465
0.000,0.021490,0.025904,0.001906,0.015841,0.004984,0.027929,0.022958,0.028977,0.012073
0.000,0.000000,0.012054,0.000000,0.000000,0.002990,0.000000,0.117439,0.051171,0.159055
0.000,0.000000,0.012054,0.008984,0.000000,0.000000,0.000000,0.120088,0.045006,0.145407
0.000,0.001954,0.010003,0.015246,0.013830,0.000000,0.009051,0.087417,0.020345,0.074541
0.000,0.004884,0.020775,0.006806,0.013075,0.000000,0.000000,0.031788,0.020962,0.012073
0.000,0.000000,0.020518,0.019330,0.000000,0.000000,0.000000,0.132892,0.017879,0.071916
0.000,0.000000,0.014876,0.026409,0.000000,0.001246,0.000000,0.088742,0.017879,0.072441
0.000,0.002930,0.020775,0.033488,0.000000,0.003239,0.000000,0.078587,0.020345,0.061942
0.000,0.000000,0.018979,0.037844,0.000000,0.000000,0.000000,0.162031,0.036375,0.154331
0.000,0.000000,0.015645,0.040022,0.000000,0.000000,0.000000,0.160706,0.046239,0.154856
0.000,0.003907,0.014619,0.034849,0.000000,0.000000,0.000000,0.127152,0.035758,0.118635
0.000,0.010501,0.014876,0.031582,0.000000,0.000000,0.000000,0.136865,0.039457,0.135958
0.000,0.000000,0.012054,0.033488,0.000000,0.000000,0.000000,0.165121,0.037608,0.178478
0.000,0.000000,0.013337,0.022597,0.000000,0.000000,0.000000,0.177042,0.052404,0.182152
0.000,0.000000,0.010259,0.014974,0.004023,0.011961,0.000000,0.166887,0.047472,0.181627
0.000,0.000000,0.013080,0.018786,0.000000,0.000000,0.000000,0.180132,0.045006,0.179003
0.000,0.000000,0.010516,0.022053,0.000000,0.000000,0.000000,0.174834,0.045006,0.181102
0.000,0.000000,0.018210,0.016608,0.000000,0.000000,0.000000,0.166446,0.036375,0.158005
0.000,0.003907,0.013080,0.011435,0.000000,0.000000,0.000259,0.158057,0.038224,0.152756
0.000,0.000000,0.015132,0.017424,0.000000,0.000000,0.000000,0.171302,0.046856,0.171654
0.000,0.000000,0.010003,0.004356,0.000000,0.000000,0.000000,0.088300,0.021578,0.068766
