time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.008054,0.099017,0.000000,0.000000,0.000000,0.130137,0.342857,0.159046
0.000,0.000000,0.000000,0.079365,0.000000,0.000000,0.007191,0.082192,0.142857,0.093439
0.000,0.000000,0.000000,0.091459,0.000000,0.000000,0.000000,0.079909,0.014286,0.111332
0.000,0.000000,0.000000,0.077853,0.000453,0.000000,0.000000,0.057078,0.328571,0.113320
0.000,0.000000,0.000000,0.086168,0.000000,0.000000,0.000000,0.113014,0.128571,0.131213
0.000,0.000000,0.000000,0.067271,0.000000,0.000000,0.000000,0.136986,0.114286,0.087475
0.000,0.000000,0.000000,0.132275,0.000000,0.000000,0.000000,0.197489,0.771429,0.373757
0.000,0.000000,0.000000,0.142101,0.000000,0.000000,0.000000,0.327626,0.571429,0.620278
0.000,0.000000,0.000000,0.148148,0.000000,0.000000,0.000000,0.363014,0.585714,0.624254
0.000,0.000000,0.000000,0.139834,0.000000,0.000000,0.000000,0.355023,0.742857,0.622266
0.000,0.000000,0.000000,0.144369,0.000000,0.000000,0.000000,0.373288,0.800000,0.626243
0.000,0.000000,0.000000,0.137566,0.000000,0.000000,0.000000,0.356164,0.600000,0.628231
0.000,0.000000,0.000000,0.147392,0.000000,0.000000,0.000000,0.383562,0.557143,0.628231
0.000,0.000000,0.000000,0.136810,0.000000,0.000000,0.000000,0.376712,0.571429,0.622266
0.000,0.000000,0.000000,0.143613,0.000000,0.000000,0.000000,0.376712,0.771429,0.626243
0.000,0.010005,0.000000,0.120937,0.034857,0.000000,0.000000,0.303653,0.528571,0.453280
0.000,0.024102,0.000000,0.084656,0.002263,0.000000,0.000000,0.079909,0.271429,0.079523
0.000,0.000000,0.000895,0.068783,0.000000,0.000000,0.000000,0.058219,0.000000,0.053678
0.000,0.000000,0.000000,0.088435,0.000000,0.000000,0.000000,0.022831,0.085714,0.109344
0.000,0.000000,0.004027,0.091459,0.000000,0.000932,0.000000,0.081050,0.085714,0.133201
0.000,0.000000,0.000000,0.094482,0.000000,0.001865,0.020225,0.108447,0.228571,0.157058
0.000,0.000000,0.007606,0.089947,0.000000,0.000000,0.000000,0.130137,0.314286,0.163022
0.000,0.000000,0.008949,0.090703,0.007243,0.000000,0.000000,0.105023,0.185714,0.139165
0.000,0.000000,0.000000,0.076342,0.000000,0.000932,0.001348,0.049087,0.085714,0.097416
0.000,0.000000,0.000000,0.083900,0.000000,0.000000,0.008989,0.066210,0.114286,0.101392
0.000,0.000000,0.000000,0.080877,0.009054,0.000000,0.000000,0.037671,0.014286,0.075547
0.000,0.000000,0.000000,0.082389,0.000000,0.000000,0.000000,0.053653,0.314286,0.107356
0.000,0.000000,0.000000,0.106576,0.000000,0.000000,0.000000,0.125571,0.171429,0.159046
0.000,0.000000,0.000000,0.115646,0.018108,0.000000,0.000000,0.094749,0.371429,0.198807
0.000,0.000000,0.000000,0.139078,0.000000,0.000000,0.000000,0.204338,0.771429,0.481113
0.000,0.007276,0.000000,0.120937,0.000000,0.000000,0.000000,0.108447,0.357143,0.174950
0.000,0.000000,0.000000,0.130763,0.000000,0.000000,0.000000,0.057078,0.200000,0.180915
0.000,0.000000,0.000000,0.124717,0.004074,0.000000,0.009438,0.159817,0.314286,0.264414
0.000,0.010005,0.012081,0.070295,0.000905,0.000000,0.000000,0.013699,0.057143,0.045726
0.000,0.000000,0.000000,0.079365,0.011317,0.000000,0.008539,0.066210,0.257143,0.170974
0.000,0.032742,0.031767,0.030234,0.063830,0.034033,0.053034,0.000000,0.285714,0.000000
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.435388
0.000,0.052296,0.053244,0.000000,0.069262,0.048019,0.150562,0.107306,0.314286,1.000000
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004045,0.091324,0.185714,0.218688
0.000,0.000000,0.000447,0.000000,0.000000,0.000000,0.000000,0.208904,0.600000,0.481113
0.000,0.000000,0.017002,0.000000,0.000000,0.000000,0.000000,0.147260,0.314286,0.290258
0.000,0.000000,0.001790,0.000000,0.000000,0.000000,0.000000,0.105023,0.171429,0.143141
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082192,0.114286,0.170974
0.000,0.000000,0.008949,0.000000,0.000000,0.000000,0.000000,0.149543,0.285714,0.306163
0.000,0.000000,0.000000,0.001512,0.000453,0.003730,0.000000,0.073059,0.371429,0.246521
0.000,0.000000,0.011186,0.013605,0.000000,0.000000,0.000000,0.118721,0.257143,0.159046
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107306,0.142857,0.131213
0.000,0.000000,0.000000,0.011338,0.000000,0.000000,0.000000,0.253425,0.600000,0.592445
0.000,0.000000,0.000000,0.018896,0.000000,0.000000,0.000000,0.313927,0.628571,0.616302
0.000,0.000000,0.000000,0.026455,0.021729,0.000000,0.000000,0.280822,0.642857,0.600398
0.000,0.000000,0.000000,0.017385,0.000000,0.000000,0.000000,0.278539,0.700000,0.558648
0.000,0.000000,0.000000,0.021164,0.000000,0.000000,0.000000,0.286530,0.528571,0.620278
0.000,0.000000,0.000000,0.001512,0.000000,0.000000,0.000000,0.289954,0.771429,0.604374
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291096,0.542857,0.634195
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309361,0.571429,0.626243
0.000,0.000000,0.000000,0.003779,0.000000,0.000000,0.000000,0.296804,0.614286,0.628231
0.000,0.000000,0.000000,0.014361,0.000000,0.000000,0.000000,0.312785,0.814286,0.632207
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289954,0.800000,0.632207
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.303653,0.542857,0.632207
0.000,0.000000,0.000000,0.007559,0.000000,0.000000,0.000000,0.279680,0.657143,0.632207
0.000,0.000000,0.000000,0.009070,0.000000,0.000000,0.000000,0.297945,0.571429,0.626243
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278539,0.600000,0.632207
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315068,0.528571,0.628231
0.000,0.000000,0.000000,0.000000,0.004980,0.000000,0.000000,0.281963,0.500000,0.624254
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285388,0.557143,0.632207
0.000,0.000000,0.002237,0.000000,0.008148,0.000000,0.000000,0.273973,0.857143,0.620278
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.273973,0.700000,0.630219
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262557,0.814286,0.628231
0.000,0.000000,0.000000,0.000000,0.005885,0.000000,0.000000,0.278539,0.600000,0.640159
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271689,0.600000,0.620278
0.000,0.000910,0.000000,0.000000,0.000000,0.000000,0.000000,0.283105,0.771429,0.636183
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269406,0.885714,0.630219
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292237,0.600000,0.622266
0.000,0.000000,0.000000,0.000000,0.000000,0.001865,0.000000,0.259132,0.771429,0.632207
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.276256,0.814286,0.634195
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269406,0.800000,0.626243
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.276256,0.657143,0.624254
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.257991,0.657143,0.618290
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255708,0.814286,0.640159
0.000,0.032742,0.000000,0.000000,0.000000,0.000000,0.000000,0.252283,0.514286,0.626243
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268265,0.571429,0.632207
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.239726,0.571429,0.622266
0.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268265,0.542857,0.636183
0.094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244292,0.857143,0.628231
0.144,0.000000,0.000895,0.000000,0.000000,0.000000,0.000000,0.262557,0.714286,0.624254
0.194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.237443,0.585714,0.618290
0.244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260274,0.528571,0.632207
0.294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240868,0.542857,0.636183
0.344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255708,0.600000,0.624254
0.394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242009,0.571429,0.622266
0.444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254566,0.771429,0.628231
0.494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232877,0.857143,0.626243
0.544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.253425,0.585714,0.630219
0.594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247717,0.571429,0.626243
0.644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248858,0.700000,0.622266
0.694,0.000000,0.000000,0.000000,0.002263,0.000000,0.000000,0.235160,0.857143,0.620278
0.744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260274,0.914286,0.628231
0.794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224886,0.571429,0.630219
0.844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248858,0.542857,0.626243
0.894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.237443,0.542857,0.626243
0.944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244292,0.542857,0.626243
0.994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.223744,0.542857,0.636183
1.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.253425,0.600000,0.640159
1.094,0.000000,0.000895,0.000000,0.000000,0.000000,0.000000,0.221461,0.600000,0.640159
1.144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242009,0.800000,0.626243
1.194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.259132,0.685714,0.626243
1.244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236301,0.757143,0.632207
1.294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232877,0.742857,0.632207
1.344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235160,0.585714,0.636183
1.394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236301,0.571429,0.628231
1.444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242009,0.857143,0.628231
1.494,0.000000,0.002237,0.000000,0.000000,0.004196,0.000000,0.221461,0.585714,0.632207
1.544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235160,0.471429,0.632207
1.594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216895,0.800000,0.622266
1.644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.227169,0.600000,0.624254
1.694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224886,0.742857,0.628231
1.744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235160,0.600000,0.640159
1.794,0.000000,0.000447,0.000000,0.000000,0.000000,0.000000,0.227169,0.657143,0.624254
1.844,0.000000,0.000000,0.000000,0.000000,0.003730,0.000000,0.230594,0.600000,0.626243
1.894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.221461,0.600000,0.632207
1.944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236301,0.600000,0.628231
1.994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.226027,0.571429,0.626243
2.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238584,0.585714,0.628231
2.094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212329,0.585714,0.628231
2.144,0.000000,0.000000,0.000000,0.001358,0.000000,0.000000,0.228311,0.628571,0.640159
2.194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230594,0.771429,0.626243
2.244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228311,0.571429,0.636183
2.294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.219178,0.628571,0.640159
2.344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.221461,0.628571,0.626243
2.394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.226027,0.571429,0.628231
2.444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222603,0.571429,0.628231
2.494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.205479,0.585714,0.624254
2.544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230594,0.628571,0.626243
2.594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.223744,0.628571,0.628231
2.644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213470,0.542857,0.634195
2.694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212329,0.785714,0.626243
2.744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.223744,0.571429,0.626243
2.794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214612,0.785714,0.628231
2.844,0.000000,0.000895,0.000000,0.000000,0.000000,0.000000,0.229452,0.585714,0.626243
2.894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212329,0.471429,0.622266
2.944,0.000000,0.008949,0.000000,0.000000,0.000000,0.000000,0.230594,0.585714,0.630219
2.994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.204338,0.514286,0.628231
3.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228311,0.542857,0.630219
