time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.500000,0.000000,0.054487,0.000000,0.384956,0.164948,0.257895
0.000,0.153025,0.050147,0.500000,0.127148,0.112179,0.030189,0.537611,0.773196,0.455263
0.000,0.138790,0.000000,0.500000,0.017182,0.000000,0.000000,0.340708,0.041237,0.210526
0.000,0.693950,0.457227,0.500000,0.659794,0.695513,0.694340,0.663717,0.896907,0.521053
0.000,0.074733,0.000000,0.500000,0.000000,0.000000,0.000000,0.349558,0.051546,0.218421
0.000,0.483986,0.250737,0.500000,0.615120,0.317308,0.600000,0.595133,0.742268,0.500000
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.398230,0.195876,0.276316
0.000,0.370107,0.197640,0.500000,0.374570,0.278846,0.358491,0.566372,0.742268,0.494737
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.402655,0.412371,0.321053
0.000,0.017794,0.082596,0.500000,0.285223,0.259615,0.479245,0.557522,0.824742,0.465789
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.124528,0.380531,0.237113,0.297368
0.000,0.395018,0.215339,0.500000,0.594502,0.298077,0.377358,0.584071,0.896907,0.457895
0.000,0.000000,0.000000,0.500000,0.000000,0.016026,0.000000,0.362832,0.257732,0.265789
0.000,0.000000,0.315634,0.500000,0.422680,0.500000,0.464151,0.579646,0.958763,0.486842
0.000,0.227758,0.000000,0.500000,0.027491,0.000000,0.000000,0.336283,0.123711,0.294737
0.000,0.558719,0.368732,0.500000,0.477663,0.692308,0.547170,0.617257,0.958763,0.465789
0.000,0.000000,0.000000,0.500000,0.147766,0.000000,0.000000,0.387168,0.134021,0.276316
0.000,0.551601,0.315634,0.500000,0.463918,0.596154,0.584906,0.597345,0.804124,0.460526
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.398230,0.278351,0.336842
0.000,0.494662,0.306785,0.500000,0.333333,0.589744,0.449057,0.539823,0.762887,0.444737
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.422566,0.185567,0.310526
0.000,0.266904,0.106195,0.500000,0.264605,0.224359,0.000000,0.497788,0.690722,0.381579
0.000,0.000000,0.000000,0.500000,0.000000,0.012821,0.184906,0.442478,0.278351,0.300000
0.000,0.512456,0.073746,0.500000,0.285223,0.195513,0.403774,0.539823,0.618557,0.376316
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.420354,0.309278,0.323684
0.000,0.170819,0.076696,0.500000,0.257732,0.089744,0.000000,0.504425,0.690722,0.394737
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.413717,0.257732,0.342105
0.000,0.327402,0.085546,0.500000,0.298969,0.157051,0.830189,0.495575,0.855670,0.426316
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.446903,0.381443,0.400000
0.000,0.000000,0.002950,0.500000,0.072165,0.099359,0.196226,0.486726,0.567010,0.378947
0.000,0.000000,0.000000,0.500000,0.000000,0.259615,0.000000,0.495575,0.391753,0.378947
0.000,0.007117,0.000000,0.500000,0.044674,0.000000,0.000000,0.495575,0.608247,0.378947
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.003774,0.424779,0.546392,0.334211
0.000,0.145907,0.174041,0.500000,0.319588,0.112179,0.283019,0.486726,0.783505,0.389474
0.000,0.014235,0.000000,0.500000,0.000000,0.000000,0.000000,0.413717,0.463918,0.336842
0.000,0.000000,0.000000,0.500000,0.000000,0.253205,0.000000,0.668142,0.701031,0.378947
0.000,0.000000,0.000000,0.500000,0.000000,0.070513,0.000000,0.431416,0.422680,0.368421
0.000,0.000000,0.000000,0.500000,0.000000,0.105769,0.101887,0.449115,0.484536,0.402632
