time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.944134,0.740741,0.958140
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.912477,0.916667,0.962791
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.938547,0.768519,0.958140
0.000,0.032051,0.091549,0.000000,0.000000,0.000000,0.000000,0.908752,0.944444,0.965116
0.000,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000,0.949721,0.907407,0.965116
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.925512,0.740741,0.967442
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.934823,0.787037,0.986047
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940410,0.777778,0.983721
0.000,0.000000,0.000000,0.000000,0.000000,0.038095,0.000000,0.966480,0.759259,0.981395
0.000,0.102564,0.000000,0.000000,0.000000,0.000000,0.000000,0.914339,0.870370,0.967442
0.000,0.000000,0.056338,0.000000,0.000000,0.000000,0.000000,0.949721,0.907407,0.974419
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.931099,0.777778,0.969767
0.000,0.000000,0.077465,0.000000,0.000000,0.000000,0.000000,0.964618,0.768519,0.972093
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.908752,0.768519,0.969767
0.000,0.179487,0.000000,0.000000,0.000000,0.000000,0.000000,0.964618,0.814815,0.972093
0.000,0.000000,0.302817,0.000000,0.000000,0.000000,0.000000,0.919926,0.777778,0.981395
0.000,0.032051,0.000000,0.000000,0.000000,0.000000,0.000000,0.953445,0.805556,0.974419
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949721,0.796296,0.969767
0.000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.947858,0.814815,0.967442
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087591,0.923650,0.759259,0.981395
0.000,0.038462,0.000000,0.000000,0.038168,0.000000,0.000000,0.936685,0.925926,0.974419
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.932961,0.768519,0.976744
0.000,0.051282,0.000000,0.000000,0.000000,0.009524,0.000000,1.000000,0.907407,0.986047
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.890130,0.916667,0.988372
0.000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.944134,0.740741,0.986047
0.000,0.000000,0.014085,0.000000,0.000000,0.009524,0.000000,0.893855,0.722222,0.995349
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153285,0.990689,0.731481,0.986047
0.000,0.865385,0.000000,0.000000,0.000000,0.000000,0.000000,0.953445,0.898148,0.983721
