time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.318182,0.646707,0.706989,0.000000,0.000000,0.000000,0.407643,0.442308,0.706107
0.000,0.000000,0.766467,0.822581,0.000000,0.000000,0.080000,0.436306,0.961538,0.702290
0.000,0.000000,0.586826,0.680108,0.000000,0.000000,0.000000,0.394904,0.788462,0.656489
0.000,0.000000,0.706587,0.771505,0.043189,0.058140,0.000000,0.426752,0.846154,0.687023
0.000,0.005682,0.586826,0.685484,0.000000,0.000000,0.000000,0.388535,0.692308,0.656489
0.000,0.000000,0.808383,0.803763,0.000000,0.000000,0.000000,0.350318,0.442308,0.709924
0.000,0.000000,0.574850,0.553763,0.000000,0.058140,0.000000,0.337580,0.403846,0.507634
0.000,0.000000,0.754491,0.607527,0.013289,0.000000,0.125000,0.312102,0.442308,0.507634
0.000,0.000000,0.479042,0.430108,0.009967,0.000000,0.000000,0.152866,0.538462,0.431298
0.000,0.000000,0.580838,0.553763,0.000000,0.023256,0.000000,0.273885,0.230769,0.419847
0.000,0.000000,0.467066,0.430108,0.009967,0.000000,0.165000,0.216561,0.634615,0.446565
0.000,0.000000,0.616766,0.526882,0.009967,0.000000,0.040000,0.178344,0.326923,0.465649
0.000,0.000000,0.425150,0.397849,0.001661,0.000000,0.000000,0.210191,0.615385,0.404580
0.000,0.000000,0.592814,0.505376,0.021595,0.000000,0.000000,0.222930,0.653846,0.419847
0.000,0.000000,0.395210,0.370968,0.000000,0.000000,0.005000,0.229299,0.288462,0.396947
0.000,0.000000,0.556886,0.459677,0.000000,0.000000,0.000000,0.257962,0.384615,0.404580
0.000,0.000000,0.479042,0.413978,0.000000,0.093023,0.000000,0.238854,0.692308,0.412214
0.000,0.000000,0.538922,0.505376,0.000000,0.000000,0.125000,0.334395,0.326923,0.427481
0.000,0.051136,0.485030,0.473118,0.000000,0.000000,0.195000,0.312102,0.461538,0.488550
0.000,0.005682,0.730539,0.645161,0.000000,0.000000,0.000000,0.363057,0.403846,0.568702
0.000,0.000000,0.604790,0.645161,0.000000,0.000000,0.000000,0.464968,0.846154,0.625954
0.000,0.000000,0.862275,0.827957,0.000000,0.000000,0.000000,0.480892,0.500000,0.793893
0.000,0.000000,0.682635,0.814516,0.000000,0.000000,0.000000,0.528662,0.653846,0.958015
0.000,0.000000,0.856287,0.940860,0.014950,0.000000,0.000000,0.560510,0.634615,0.961832
0.000,0.000000,0.706587,0.838710,0.000000,0.000000,0.000000,0.579618,0.865385,0.973282
0.000,0.000000,0.886228,0.922043,0.000000,0.000000,0.000000,0.601911,0.923077,0.950382
0.000,0.000000,0.706587,0.836022,0.000000,0.000000,0.000000,0.573248,0.615385,0.977099
0.000,0.000000,0.850299,0.946237,0.000000,0.000000,0.000000,0.585987,0.615385,0.984733
0.000,0.000000,0.670659,0.825269,0.000000,0.000000,0.000000,0.576433,0.615385,0.988550
0.000,0.000000,0.856287,0.930108,0.000000,0.000000,0.000000,0.700637,0.615385,1.000000
0.000,0.000000,0.634731,0.801075,0.000000,0.000000,0.045000,0.592357,0.634615,0.824427
0.000,0.000000,0.898204,0.911290,0.000000,0.000000,0.000000,0.808917,0.846154,0.938931
0.000,0.000000,0.730539,0.827957,0.000000,0.000000,0.000000,0.949045,0.788462,0.874046
0.000,0.000000,0.922156,0.860215,0.001661,0.000000,0.000000,1.000000,0.865385,0.916031
0.000,0.000000,0.658683,0.672043,0.000000,0.000000,0.000000,0.847134,0.634615,0.793893
0.000,0.000000,0.934132,0.905914,0.000000,0.000000,0.135000,0.949045,0.634615,0.961832
0.000,0.000000,0.712575,0.865591,0.000000,0.000000,0.000000,0.984076,0.653846,0.961832
0.000,0.000000,0.850299,1.000000,0.820598,0.000000,0.000000,0.936306,0.634615,0.977099
0.000,0.000000,0.305389,0.405914,0.659468,0.000000,0.000000,0.378981,0.000000,0.312977
0.000,0.000000,0.850299,0.768817,0.890365,0.000000,0.000000,0.726115,0.615385,0.889313
0.000,0.000000,0.167665,0.177419,0.611296,0.046512,0.000000,0.121019,0.038462,0.106870
0.000,0.000000,0.826347,0.739247,0.892027,0.093023,0.255000,0.675159,0.615385,0.801527
0.000,0.000000,0.538922,0.556452,0.769103,0.017442,0.000000,0.528662,0.653846,0.587786
0.000,0.000000,0.730539,0.693548,0.885382,0.529070,0.000000,0.585987,0.461538,0.645038
0.000,0.000000,0.281437,0.204301,0.699336,0.023256,0.795000,0.203822,0.326923,0.251908
0.000,0.000000,0.760479,0.728495,0.892027,0.000000,0.000000,0.630573,0.538462,0.717557
0.000,0.000000,0.455090,0.473118,0.735880,0.000000,0.000000,0.471338,0.653846,0.431298
0.000,0.000000,0.365269,0.381720,0.795681,0.412791,0.000000,0.337580,0.192308,0.221374
0.000,0.000000,0.137725,0.075269,0.599668,1.000000,0.010000,0.117834,0.096154,0.091603
0.000,0.000000,0.377246,0.263441,0.732558,0.000000,0.000000,0.194268,0.384615,0.221374
0.000,0.000000,0.568862,0.596774,0.805648,0.000000,0.000000,0.585987,0.884615,0.671756
0.000,0.000000,0.826347,0.846774,0.940199,0.226744,0.120000,0.777070,0.788462,0.889313
0.000,0.000000,0.598802,0.801075,0.832226,0.000000,0.000000,0.824841,0.538462,0.839695
0.000,0.000000,0.568862,0.650538,0.882060,0.000000,0.000000,0.515924,0.653846,0.458015
0.000,0.000000,0.359281,0.389785,0.769103,0.000000,0.700000,0.414013,0.403846,0.354962
0.000,0.000000,0.215569,0.158602,0.686047,0.000000,0.000000,0.152866,0.115385,0.053435
0.000,0.028409,0.000000,0.000000,0.516611,0.418605,0.000000,0.000000,0.000000,0.000000
0.000,0.000000,0.179641,0.091398,0.669435,0.000000,0.000000,0.054140,0.230769,0.038168
0.000,0.000000,0.359281,0.260753,0.704319,0.000000,0.000000,0.331210,0.346154,0.381679
0.000,0.000000,0.287425,0.182796,0.712625,0.000000,0.000000,0.143312,0.076923,0.095420
0.000,0.000000,0.263473,0.198925,0.669435,0.000000,0.000000,0.216561,0.500000,0.244275
0.000,0.000000,0.395210,0.123656,0.702658,0.000000,0.000000,0.095541,0.038462,0.083969
0.000,0.000000,0.239521,0.172043,0.651163,0.000000,0.000000,0.130573,0.346154,0.198473
0.000,0.000000,0.568862,0.405914,0.822259,0.000000,0.005000,0.363057,0.269231,0.343511
0.000,0.000000,0.407186,0.354839,0.730897,0.093023,0.000000,0.359873,0.653846,0.381679
0.000,0.000000,0.574850,0.537634,0.862126,0.000000,0.000000,0.471338,0.423077,0.431298
0.000,0.000000,0.323353,0.317204,0.722591,0.000000,0.140000,0.353503,0.269231,0.324427
0.000,0.000000,0.520958,0.381720,0.808970,0.000000,0.000000,0.401274,0.326923,0.335878
0.000,0.000000,0.467066,0.341398,0.729236,0.000000,0.000000,0.414013,0.384615,0.389313
0.000,0.039773,0.497006,0.430108,0.818937,0.000000,0.005000,0.375796,0.269231,0.328244
0.000,0.000000,0.443114,0.327957,0.191030,0.000000,0.000000,0.369427,0.461538,0.354962
0.000,0.000000,0.694611,0.419355,0.181063,0.000000,0.000000,0.372611,0.423077,0.328244
0.000,0.000000,0.275449,0.290323,0.026578,0.000000,0.000000,0.312102,0.384615,0.305344
0.000,0.000000,0.407186,0.344086,0.252492,0.000000,0.000000,0.296178,0.192308,0.251908
0.000,0.000000,0.287425,0.239247,0.199336,0.000000,0.000000,0.296178,0.346154,0.236641
0.000,0.000000,0.574850,0.462366,0.117940,0.000000,0.000000,0.382166,0.615385,0.370229
0.000,0.000000,0.455090,0.435484,0.516611,0.063953,1.000000,0.391720,0.653846,0.458015
0.000,0.000000,0.604790,0.537634,0.805648,0.000000,0.000000,0.420382,0.557692,0.450382
0.000,0.000000,0.401198,0.408602,0.725914,0.000000,0.110000,0.420382,0.557692,0.419847
0.000,0.000000,0.544910,0.505376,0.799003,0.000000,0.000000,0.420382,0.326923,0.393130
0.000,0.000000,0.287425,0.330645,0.710963,0.005814,0.000000,0.356688,0.500000,0.343511
0.000,0.000000,0.742515,0.663978,0.915282,0.000000,0.485000,0.576433,0.884615,0.595420
0.043,0.000000,0.514970,0.637097,0.810631,0.000000,0.000000,0.592357,0.653846,0.610687
0.093,0.000000,0.616766,0.588710,0.885382,0.000000,0.000000,0.331210,0.423077,0.496183
0.143,0.000000,0.467066,0.505376,0.772425,0.000000,0.000000,0.528662,0.307692,0.488550
0.193,0.000000,0.634731,0.577957,0.888704,0.000000,0.000000,0.579618,0.346154,0.480916
0.243,0.000000,0.455090,0.470430,0.769103,0.000000,0.000000,0.509554,0.346154,0.492366
0.293,0.000000,0.634731,0.569892,0.878738,0.000000,0.000000,0.531847,0.557692,0.458015
0.343,0.000000,0.520958,0.521505,0.775748,0.000000,0.000000,0.522293,0.442308,0.564885
0.393,0.000000,0.754491,0.768817,0.930233,0.000000,0.000000,0.757962,0.634615,0.656489
0.443,0.000000,0.473054,0.494624,0.760797,0.000000,0.000000,0.484076,0.365385,0.503817
0.493,0.000000,0.778443,0.715054,0.930233,0.000000,0.000000,0.643312,0.538462,0.599237
0.543,0.000000,0.730539,0.620968,0.808970,0.633721,0.100000,0.636943,0.500000,0.648855
0.593,0.000000,0.742515,0.758065,0.938538,0.000000,0.000000,0.643312,0.500000,0.614504
0.643,0.000000,0.562874,0.642473,0.805648,0.000000,0.010000,0.627389,0.653846,0.660305
