time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.782705,0.100000,0.000000,0.000000,0.000000,0.160142,0.279412,0.132231
0.000,0.000000,0.798226,0.143333,0.000000,0.000000,0.026906,0.181495,0.529412,0.140496
0.000,0.000000,0.727273,0.036667,1.000000,0.000000,0.000000,0.128114,0.205882,0.045455
0.000,0.000000,0.800443,0.110000,0.000000,0.000000,0.000000,0.227758,0.235294,0.090909
0.000,0.000000,0.725055,0.050000,0.000000,0.510204,0.017937,0.021352,0.000000,0.000000
0.000,0.000000,0.756098,0.036667,0.000000,0.000000,0.000000,0.167260,0.426471,0.061983
0.000,0.000000,0.745011,0.113333,0.000000,0.000000,0.000000,0.124555,0.352941,0.057851
0.000,0.851852,0.773836,0.030000,0.000000,1.000000,0.103139,0.106762,0.264706,0.082645
0.000,0.000000,0.747228,0.030000,0.339056,0.000000,0.000000,0.106762,0.058824,0.074380
0.000,0.000000,0.764967,0.050000,0.012876,0.000000,0.475336,0.131673,0.441176,0.090909
0.000,0.000000,0.747228,0.053333,0.072961,0.000000,0.000000,0.074733,0.323529,0.099174
0.000,0.000000,0.767184,0.030000,0.000000,0.000000,1.000000,0.153025,0.455882,0.082645
0.000,0.259259,0.742794,0.066667,0.000000,0.632653,0.000000,0.177936,0.352941,0.082645
0.000,1.000000,0.733925,0.016667,0.000000,0.020408,0.044843,0.106762,0.382353,0.082645
0.000,0.000000,0.740576,0.050000,0.000000,0.000000,0.000000,0.131673,0.264706,0.099174
0.000,0.000000,0.780488,0.036667,0.000000,0.000000,0.031390,0.096085,0.382353,0.074380
0.000,0.000000,0.729490,0.090000,0.000000,0.551020,0.000000,0.160142,0.191176,0.061983
0.000,0.000000,0.780488,0.066667,0.085837,0.000000,0.000000,0.174377,0.441176,0.140496
0.000,0.000000,0.742794,0.056667,0.000000,0.000000,0.000000,0.000000,0.588235,0.045455
0.000,0.000000,0.756098,0.000000,0.000000,0.000000,0.408072,0.110320,0.382353,0.033058
