time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.707006,0.827273,0.000000,0.000000,0.000000,0.281081,0.755102,0.978632
0.000,0.000000,0.961783,0.963636,0.000000,0.000000,0.000000,0.313514,0.836735,0.978632
0.000,0.000000,0.656051,0.839394,0.000000,0.000000,0.000000,0.227027,0.428571,0.974359
0.000,0.000000,0.929936,0.963636,0.000000,0.000000,0.000000,0.345946,0.428571,0.991453
0.000,0.000000,0.687898,0.848485,0.000000,0.000000,0.000000,0.313514,0.632653,1.000000
0.000,0.000000,0.961783,0.972727,0.000000,0.000000,0.000000,0.335135,0.918367,1.000000
0.000,0.000000,0.694268,0.848485,0.000000,0.000000,0.000000,0.313514,0.489796,0.978632
0.000,0.000000,0.980892,0.975758,0.000000,0.000000,0.000000,0.340541,0.469388,0.982906
0.000,0.000000,0.681529,0.842424,0.000000,0.000000,0.000000,0.270270,0.510204,0.974359
0.000,0.000000,0.987261,0.963636,0.000000,0.000000,0.000000,0.372973,0.448980,0.965812
0.000,0.000000,0.687898,0.848485,0.000000,0.000000,0.000000,0.275676,0.448980,0.974359
0.000,0.000000,0.961783,0.963636,0.000000,0.000000,0.000000,0.362162,0.387755,0.982906
0.000,0.000000,0.700637,0.839394,0.000000,0.000000,0.000000,0.302703,0.714286,0.978632
0.000,0.000000,0.974522,0.993939,0.000000,0.000000,0.000000,0.394595,0.673469,0.974359
0.000,0.000000,0.694268,0.851515,0.000000,0.000000,0.000000,0.335135,0.571429,0.961538
0.000,0.000000,0.961783,0.960606,0.000000,0.000000,0.000000,0.378378,0.408163,0.974359
0.000,0.000000,0.719745,0.839394,0.000000,0.000000,0.000000,0.297297,0.428571,0.965812
0.000,0.000000,0.961783,0.963636,0.000000,0.000000,0.000000,0.400000,0.489796,0.978632
0.000,0.000000,0.668790,0.839394,0.000000,0.000000,0.000000,0.351351,0.387755,0.982906
0.000,0.000000,0.936306,0.993939,0.000000,0.000000,0.000000,0.400000,0.877551,0.991453
0.000,0.000000,0.700637,0.830303,0.000000,0.000000,0.000000,0.329730,0.591837,0.991453
0.000,0.000000,0.968153,0.981818,0.000000,0.000000,0.000000,0.383784,0.632653,0.982906
0.000,0.000000,0.681529,0.848485,0.000000,0.000000,0.000000,0.270270,0.551020,0.982906
0.000,0.000000,0.936306,0.957576,0.000000,0.000000,0.000000,0.400000,0.551020,0.978632
0.000,0.000000,0.668790,0.833333,0.000000,0.000000,0.000000,0.329730,0.387755,0.974359
0.000,0.000000,0.923567,0.957576,0.000000,0.000000,0.000000,0.400000,0.551020,0.978632
0.000,0.000000,0.681529,0.839394,0.000000,0.000000,0.000000,0.308108,0.877551,0.982906
0.000,0.000000,1.000000,0.972727,0.000000,0.000000,0.000000,0.383784,0.979592,0.961538
0.000,0.000000,0.719745,0.839394,0.000000,0.000000,0.000000,0.275676,0.755102,0.965812
0.000,0.000000,0.751592,0.963636,0.000000,0.000000,0.000000,0.443243,0.673469,0.982906
0.000,0.000000,0.700637,0.842424,0.000000,0.000000,0.000000,0.324324,0.428571,0.982906
0.000,0.000000,0.923567,0.960606,0.000000,0.000000,0.000000,0.427027,0.632653,0.974359
0.000,0.000000,0.668790,0.824242,0.000000,0.000000,0.000000,0.270270,0.551020,0.978632
0.000,0.000000,0.955414,0.969697,0.000000,0.000000,0.000000,0.345946,0.816327,0.978632
0.000,0.000000,0.668790,0.842424,0.000000,0.000000,0.344828,0.291892,0.551020,0.974359
0.000,0.000000,0.910828,0.972727,0.000000,0.000000,0.551724,0.318919,0.551020,0.965812
0.000,0.000000,0.617834,0.857576,0.000000,0.000000,0.000000,0.237838,0.755102,0.952991
0.000,0.000000,0.840764,0.951515,0.000000,0.000000,0.000000,0.372973,0.959184,1.000000
