time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.419847,0.747748,0.000000,0.000000,0.000000,0.508897,0.745763,0.681102
0.000,0.000000,0.717557,0.780781,0.000000,0.000000,0.000000,0.544484,0.389831,0.594488
0.000,0.000000,0.282443,0.588589,0.000000,0.000000,0.000000,0.462633,0.542373,0.551181
0.000,0.000000,0.679389,0.708709,0.000000,0.000000,0.000000,0.537367,0.440678,0.574803
0.000,0.000000,0.534351,0.687688,0.000000,0.000000,0.000000,0.501779,0.474576,0.688976
0.000,0.000000,0.824427,0.816817,0.000000,0.000000,0.000000,0.555160,0.542373,0.685039
0.000,0.000000,0.465649,0.744745,0.000000,0.000000,0.000000,0.373665,0.474576,0.704724
0.000,0.000000,0.870229,0.885886,0.000000,0.000000,0.000000,0.629893,0.440678,0.803150
0.000,0.000000,0.427481,0.756757,0.456140,0.000000,0.000000,0.498221,0.389831,0.696850
0.000,0.000000,0.893130,0.936937,0.000000,0.000000,0.000000,0.750890,0.542373,0.976378
0.000,0.000000,0.519084,0.864865,0.000000,0.000000,0.000000,0.676157,0.406780,0.960630
0.000,0.000000,0.839695,0.948949,0.000000,0.000000,0.000000,0.761566,0.474576,0.834646
0.000,0.000000,0.404580,0.684685,0.000000,0.000000,0.000000,0.544484,0.542373,0.614173
0.000,0.000000,0.885496,0.915916,0.000000,0.000000,0.000000,0.768683,0.474576,0.964567
0.000,0.000000,0.503817,0.858859,0.000000,0.000000,0.000000,0.715302,0.508475,0.972441
0.000,0.000000,0.870229,0.984985,0.000000,0.000000,0.000000,0.843416,0.474576,0.976378
0.000,0.000000,0.534351,0.867868,0.000000,0.000000,0.000000,0.701068,0.745763,0.968504
0.000,1.000000,0.717557,0.789790,0.000000,0.000000,0.000000,0.615658,0.389831,0.633858
0.000,0.000000,0.435115,0.642643,0.000000,0.000000,0.000000,0.537367,0.305085,0.559055
0.000,0.000000,0.770992,0.738739,0.000000,0.000000,0.000000,0.544484,0.711864,0.614173
0.000,0.000000,0.106870,0.420420,0.000000,0.000000,0.000000,0.334520,0.288136,0.393701
0.000,0.000000,0.648855,0.588589,0.000000,0.000000,0.000000,0.459075,0.440678,0.472441
0.000,0.000000,0.145038,0.312312,0.000000,0.000000,0.000000,0.202847,0.338983,0.307087
0.000,0.000000,0.656489,0.600601,1.000000,0.000000,0.000000,0.451957,0.525424,0.456693
0.000,0.000000,0.473282,0.660661,0.000000,0.000000,0.000000,0.508897,0.576271,0.692913
0.000,0.000000,0.877863,0.930931,0.000000,0.000000,0.000000,0.772242,0.847458,0.984252
0.000,0.000000,0.587786,0.876877,0.000000,0.000000,0.000000,0.704626,0.610169,0.952756
0.000,0.000000,0.862595,0.966967,0.000000,0.000000,0.000000,0.836299,0.576271,0.992126
0.000,0.000000,0.549618,0.876877,0.000000,0.000000,0.000000,0.736655,0.525424,0.964567
0.000,0.000000,0.931298,0.963964,0.000000,0.000000,0.000000,0.740214,0.593220,0.881890
0.000,0.000000,0.610687,0.867868,0.000000,0.000000,0.000000,0.661922,0.745763,0.972441
0.000,0.000000,0.839695,0.978979,0.000000,0.000000,0.000000,0.718861,0.576271,1.000000
0.000,0.000000,0.519084,0.840841,0.000000,0.000000,0.000000,0.886121,0.559322,0.940945
0.000,0.000000,0.076336,0.000000,0.000000,0.000000,0.000000,0.000000,0.355932,0.000000
0.000,0.000000,0.000000,0.204204,0.000000,0.000000,0.000000,0.181495,0.000000,0.204724
0.000,0.000000,0.381679,0.144144,0.000000,0.250000,0.000000,0.142349,0.000000,0.133858
0.000,0.000000,0.473282,0.747748,0.000000,0.000000,0.000000,0.822064,0.542373,0.956693
0.000,0.000000,0.931298,0.954955,0.000000,0.000000,0.000000,1.000000,0.525424,0.976378
0.000,0.060606,0.549618,0.858859,0.000000,0.000000,0.000000,0.907473,0.661017,0.956693
0.000,0.000000,0.931298,0.978979,0.000000,0.000000,0.000000,1.000000,0.779661,0.972441
0.000,0.000000,0.587786,0.888889,0.000000,0.000000,0.000000,0.864769,0.525424,0.968504
0.000,0.000000,0.916031,0.969970,0.000000,0.000000,0.000000,0.960854,0.542373,0.964567
0.000,0.000000,0.488550,0.564565,0.000000,0.000000,0.000000,0.594306,0.491525,0.692913
0.000,0.000000,0.320611,0.225225,0.000000,0.000000,0.000000,0.202847,0.186441,0.181102
0.000,0.000000,0.244275,0.303303,0.000000,0.000000,0.000000,0.295374,0.474576,0.370079
0.000,0.000000,0.480916,0.243243,0.000000,0.000000,0.000000,0.327402,0.474576,0.377953
0.000,0.000000,0.641221,0.747748,0.000000,0.000000,0.000000,0.814947,0.474576,0.972441
0.000,0.000000,0.923664,0.942943,0.000000,0.000000,0.000000,0.971530,0.576271,1.000000
0.000,0.000000,0.610687,0.882883,0.000000,0.000000,0.000000,0.903915,0.677966,0.968504
0.000,0.000000,0.961832,0.972973,0.000000,0.000000,0.000000,0.932384,0.779661,0.976378
0.000,0.000000,0.549618,0.864865,0.000000,0.000000,0.000000,0.857651,0.847458,0.956693
0.000,0.000000,0.977099,0.963964,0.000000,0.000000,0.000000,0.960854,0.711864,0.984252
0.000,0.000000,0.603053,0.876877,0.000000,0.000000,0.000000,0.893238,0.525424,0.956693
0.000,0.000000,0.931298,0.984985,0.000000,0.000000,0.000000,0.989324,0.711864,0.980315
0.000,0.000000,0.595420,0.879880,0.000000,0.000000,0.000000,0.886121,0.745763,0.968504
0.000,0.000000,0.893130,0.996997,0.000000,0.000000,0.000000,0.971530,0.559322,0.992126
0.000,0.000000,0.580153,0.888889,0.000000,0.000000,0.000000,0.918149,0.610169,0.960630
0.000,0.000000,0.931298,0.963964,0.000000,0.000000,0.000000,0.992883,0.711864,0.980315
0.000,0.000000,0.587786,0.870871,0.000000,0.000000,0.000000,0.907473,0.813559,0.976378
0.000,0.000000,0.908397,0.966967,0.000000,0.000000,0.000000,0.971530,0.576271,0.976378
0.000,0.000000,0.610687,0.882883,0.000000,0.000000,0.000000,0.857651,0.610169,0.984252
0.000,0.000000,0.916031,0.972973,0.000000,0.000000,0.000000,0.921708,0.661017,0.964567
0.000,0.000000,0.671756,0.891892,0.000000,0.000000,0.000000,0.811388,0.440678,0.976378
0.000,0.000000,0.931298,0.972973,0.000000,0.000000,0.000000,0.921708,0.525424,0.952756
0.000,0.000000,0.618321,0.882883,0.000000,0.000000,0.000000,0.864769,0.525424,0.956693
0.000,0.000000,0.946565,0.978979,0.000000,0.100000,0.000000,0.861210,0.508475,0.968504
0.000,0.000000,0.633588,0.894895,0.000000,0.000000,0.000000,0.772242,0.508475,0.968504
0.000,0.000000,0.877863,0.966967,0.000000,0.000000,0.000000,0.836299,0.508475,0.992126
0.000,0.000000,0.595420,0.894895,0.000000,0.000000,0.000000,0.772242,0.559322,0.956693
0.000,0.000000,0.893130,0.954955,0.000000,0.000000,0.000000,0.857651,0.881356,0.968504
0.000,0.000000,0.648855,0.888889,0.017544,0.000000,0.000000,0.800712,0.576271,0.992126
0.000,0.000000,0.931298,0.951952,0.000000,0.000000,0.000000,0.857651,0.508475,0.972441
0.000,0.000000,0.595420,0.891892,0.000000,0.000000,0.000000,0.793594,0.576271,0.952756
0.000,0.000000,0.870229,0.966967,0.000000,0.000000,0.000000,0.790036,1.000000,0.968504
0.000,0.000000,0.610687,0.882883,0.000000,0.000000,0.000000,0.729537,0.457627,0.960630
0.000,0.000000,0.931298,0.972973,0.000000,0.000000,0.000000,0.786477,0.661017,0.964567
0.000,0.000000,0.641221,0.882883,0.000000,0.000000,0.000000,0.665480,0.627119,0.968504
0.000,0.000000,0.923664,0.978979,0.000000,0.000000,0.000000,0.790036,0.474576,0.976378
0.000,0.000000,0.618321,0.882883,0.000000,0.000000,0.000000,0.693950,0.542373,0.984252
0.000,0.000000,0.946565,1.000000,0.000000,0.000000,0.000000,0.797153,0.508475,0.968504
0.000,0.000000,0.625954,0.900901,0.000000,0.000000,0.000000,0.750890,0.542373,0.956693
0.000,0.000000,0.961832,0.966967,0.000000,0.000000,0.000000,0.804270,0.440678,0.984252
0.044,0.000000,0.732824,0.900901,0.000000,0.000000,0.000000,0.779359,0.457627,0.976378
0.094,0.000000,0.954198,0.963964,0.000000,0.000000,0.000000,0.861210,0.440678,0.976378
0.144,0.000000,0.687023,0.894895,0.000000,0.000000,0.000000,0.743772,0.745763,0.984252
0.194,0.000000,0.977099,0.963964,0.000000,0.000000,0.000000,0.836299,0.576271,0.972441
