time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.835766,0.000000,0.000000,0.936073,0.873950,0.859649,0.990698
0.000,0.000000,0.002128,0.864964,0.000000,0.000000,0.981735,0.886555,0.526316,0.981395
0.000,0.000000,0.000000,0.854015,0.048780,0.000000,0.939117,0.890756,0.578947,0.962791
0.000,0.000000,0.000000,0.872263,0.000000,0.000000,0.978691,0.949580,0.631579,0.972093
0.000,0.000000,0.000000,0.828467,0.000000,0.000000,0.942161,0.840336,0.543860,0.958140
0.000,0.000000,0.000000,0.890511,0.000000,0.000000,0.984779,0.966387,0.614035,0.962791
0.000,0.000000,0.000000,0.824818,0.000000,0.000000,0.942161,0.899160,0.614035,0.953488
0.000,0.000000,0.000000,0.890511,0.000000,0.048780,0.966514,0.899160,0.614035,0.962791
0.000,0.000000,0.000000,0.821168,0.000000,0.000000,0.937595,0.882353,0.859649,1.000000
0.000,0.000000,0.000000,0.872263,0.000000,0.000000,0.990868,0.936975,0.859649,0.967442
0.000,0.000000,0.000000,0.832117,0.000000,0.000000,0.934551,0.882353,0.929825,0.958140
0.000,0.000000,0.000000,0.897810,0.000000,0.219512,0.981735,0.941176,0.789474,0.958140
0.000,0.000000,0.000000,0.828467,0.000000,0.000000,0.939117,0.886555,0.807018,0.972093
0.000,0.000000,0.000000,0.883212,0.000000,0.000000,0.993912,0.920168,0.508772,0.981395
0.000,0.000000,0.000000,0.817518,0.000000,0.000000,0.943683,0.878151,0.508772,0.981395
0.000,0.000000,0.000000,0.883212,0.000000,0.000000,0.990868,0.941176,0.526316,0.972093
0.000,0.000000,0.000000,0.832117,0.000000,0.000000,0.945205,0.886555,0.771930,0.976744
0.000,0.000000,0.000000,0.872263,0.000000,0.000000,0.989346,0.949580,0.894737,0.958140
0.000,0.000000,0.000000,0.832117,0.000000,0.317073,0.936073,0.873950,0.824561,0.967442
0.000,0.000000,0.000000,0.890511,0.000000,0.000000,0.990868,0.865546,0.473684,0.967442
0.000,0.000000,0.000000,0.824818,0.000000,0.000000,0.933029,0.840336,0.877193,0.953488
0.000,0.000000,0.000000,0.875912,0.000000,0.000000,0.981735,0.949580,0.596491,0.972093
0.000,0.000000,0.000000,0.839416,0.000000,0.512195,0.926941,0.865546,0.508772,0.967442
0.000,0.000000,0.000000,0.897810,0.000000,0.000000,0.980213,0.949580,0.859649,0.967442
0.000,0.000000,0.000000,0.824818,0.000000,0.000000,0.925419,0.882353,0.596491,0.976744
0.000,0.000000,0.000000,0.879562,0.000000,0.000000,0.975647,0.886555,0.596491,0.972093
0.000,0.145631,0.000000,0.839416,0.000000,0.000000,0.925419,0.882353,0.526316,0.962791
0.000,0.000000,0.000000,0.879562,0.000000,0.000000,0.987823,0.949580,0.614035,0.967442
0.000,0.000000,0.000000,0.835766,0.000000,0.000000,0.919330,0.865546,0.807018,0.967442
0.000,0.000000,0.000000,0.875912,0.000000,0.000000,0.986301,0.949580,0.578947,0.976744
0.000,0.000000,0.000000,0.817518,0.000000,0.000000,0.925419,0.890756,0.526316,0.948837
0.000,0.000000,0.000000,0.912409,0.000000,0.195122,0.984779,0.957983,0.912281,0.962791
