time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.757692,0.617225,0.000000,0.000000,0.000000,0.513889,0.350000,0.932961
0.000,1.000000,0.892308,0.875598,0.000000,0.000000,0.000000,0.717593,0.700000,0.843575
0.000,0.454545,0.650000,0.354067,0.000000,0.000000,0.000000,0.217593,0.050000,0.245810
0.000,0.000000,0.869231,0.693780,0.000000,0.000000,0.000000,0.546296,0.400000,0.843575
0.000,0.000000,0.753846,0.799043,0.000000,0.000000,0.000000,0.708333,0.450000,0.988827
0.000,0.000000,0.865385,0.942584,0.000000,0.000000,0.000000,0.819444,0.375000,0.949721
0.000,0.000000,0.738462,0.837321,0.000000,0.058824,0.000000,0.810185,0.400000,0.960894
0.000,0.000000,0.865385,0.947368,0.000000,0.000000,0.000000,0.847222,0.350000,0.960894
0.000,0.000000,0.738462,0.875598,0.000000,0.000000,0.000000,0.800926,0.325000,0.944134
0.000,0.000000,0.873077,0.937799,0.000000,0.000000,0.000000,0.837963,0.450000,0.977654
0.000,0.000000,0.750000,0.880383,0.000000,0.000000,0.000000,0.800926,0.575000,0.932961
0.000,0.000000,0.857692,0.933014,0.000000,0.000000,0.000000,0.828704,0.450000,0.960894
0.000,0.000000,0.780769,0.894737,0.000000,0.000000,0.000000,0.745370,0.400000,0.966480
0.000,0.000000,0.892308,0.961722,0.000000,0.000000,0.000000,0.805556,0.750000,1.000000
0.000,0.000000,0.742308,0.851675,0.000000,0.000000,0.019017,0.810185,0.500000,0.949721
0.000,0.000000,0.850000,0.933014,0.000000,0.000000,0.000000,0.870370,0.325000,0.966480
0.000,0.000000,0.769231,0.875598,0.000000,0.000000,0.000000,0.787037,1.000000,0.938547
0.000,0.000000,0.857692,0.952153,0.000000,0.000000,0.000000,0.824074,0.375000,0.955307
0.000,0.000000,0.773077,0.870813,0.000000,0.000000,0.000000,0.921296,0.750000,0.960894
0.000,0.000000,0.857692,0.956938,0.000000,0.000000,0.000000,0.861111,0.350000,0.972067
0.000,0.000000,0.753846,0.885167,0.000000,0.000000,0.000000,0.828704,0.350000,0.966480
0.000,0.000000,0.853846,0.933014,0.000000,0.235294,0.000000,0.851852,0.750000,0.977654
0.000,0.000000,0.757692,0.875598,0.000000,0.000000,0.000000,0.754630,0.725000,0.944134
0.000,0.000000,0.830769,0.933014,0.000000,0.000000,0.000000,0.819444,0.450000,0.977654
0.000,0.000000,0.742308,0.904306,0.000000,0.000000,0.000000,0.837963,0.850000,0.994413
0.000,0.000000,0.838462,0.961722,0.000000,0.000000,0.000000,0.837963,0.400000,0.994413
0.000,0.000000,0.784615,0.913876,0.000000,0.000000,0.000000,0.810185,0.325000,0.966480
0.000,0.000000,0.842308,0.913876,0.000000,0.000000,0.000000,0.805556,0.400000,0.932961
0.000,0.000000,0.788462,0.851675,0.000000,0.000000,0.000000,0.796296,0.350000,0.977654
0.000,0.000000,0.865385,0.913876,0.000000,0.000000,0.000000,0.865741,0.875000,0.938547
