time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.632432,0.000000,0.000000,0.000000,0.395973,0.657895,0.968000
0.000,0.000000,0.000000,0.821622,0.000000,0.000000,0.000000,0.442953,0.736842,0.952000
0.000,0.000000,0.000000,0.637838,0.000000,0.000000,0.000000,0.369128,0.421053,0.968000
0.000,0.000000,0.000000,0.783784,0.000000,0.000000,0.000000,0.422819,0.368421,0.944000
0.000,0.000000,0.000000,0.637838,0.000000,0.000000,0.000000,0.375839,0.421053,0.904000
0.000,0.000000,0.000000,0.821622,0.000000,0.000000,0.000000,0.416107,0.710526,0.920000
0.000,0.000000,0.000000,0.648649,0.000000,0.000000,0.000000,0.315436,0.789474,0.992000
0.000,0.000000,0.000000,0.810811,0.000000,0.000000,0.000000,0.402685,0.210526,0.960000
0.000,0.000000,0.000000,0.610811,0.000000,0.000000,0.000000,0.362416,0.263158,0.936000
0.000,0.000000,0.000000,0.816216,0.000000,0.000000,0.000000,0.409396,0.789474,1.000000
0.000,0.000000,0.000000,0.654054,0.000000,0.000000,0.000000,0.342282,0.342105,0.912000
0.000,0.000000,0.000000,0.816216,0.000000,0.000000,0.000000,0.436242,0.342105,0.936000
0.000,0.000000,0.000000,0.654054,0.000000,0.000000,0.000000,0.449664,0.421053,0.928000
0.000,0.000000,0.000000,0.848649,0.000000,0.000000,0.000000,0.409396,0.421053,0.928000
0.000,0.000000,0.000000,0.654054,0.000000,0.000000,0.000000,0.355705,0.342105,0.944000
0.000,0.000000,0.000000,0.810811,0.000000,0.000000,0.000000,0.624161,0.552632,0.952000
0.000,0.000000,0.000000,0.648649,0.000000,0.000000,0.000000,0.409396,0.789474,0.976000
0.000,0.000000,0.000000,0.843243,0.000000,0.000000,0.000000,0.422819,0.763158,0.952000
0.000,0.000000,0.000000,0.654054,0.000000,0.000000,0.000000,0.409396,0.315789,0.944000
0.000,0.885057,0.000000,0.827027,0.000000,0.000000,0.000000,0.449664,0.789474,0.968000
0.000,0.000000,0.000000,0.648649,0.000000,0.000000,0.000000,0.335570,0.684211,0.944000
0.000,0.000000,0.000000,0.810811,0.000000,0.000000,0.000000,0.348993,0.368421,0.968000
0.000,0.000000,0.000000,0.627027,0.000000,0.000000,0.000000,0.382550,0.473684,0.912000
0.000,0.471264,0.000000,0.832432,0.000000,0.000000,0.000000,0.422819,0.763158,0.912000
0.000,0.000000,0.000000,0.637838,0.000000,0.000000,0.000000,0.382550,0.710526,0.936000
0.000,0.000000,0.000000,0.789189,0.000000,0.000000,0.000000,0.429530,0.736842,0.944000
0.000,0.000000,0.000000,0.648649,0.000000,0.000000,0.000000,0.335570,0.684211,0.936000
0.000,0.000000,0.000000,0.843243,0.000000,0.000000,0.000000,0.429530,0.894737,0.936000
0.000,0.000000,0.000000,0.648649,0.000000,0.000000,0.000000,0.335570,0.684211,0.944000
0.000,0.000000,0.000000,0.789189,0.000000,0.000000,0.000000,0.375839,1.000000,0.960000
0.000,0.000000,0.000000,0.627027,0.000000,0.000000,0.000000,0.449664,0.342105,0.952000
0.000,0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,0.651007,0.447368,0.920000
0.000,0.000000,0.000000,0.627027,0.000000,0.000000,0.000000,0.476510,0.342105,0.976000
0.000,0.000000,0.611231,0.918919,0.000000,0.000000,0.000000,0.536913,0.368421,0.968000
0.000,0.000000,0.866091,0.664865,0.000000,0.000000,0.000000,0.718121,0.789474,0.944000
0.000,0.000000,0.948164,0.843243,0.000000,0.000000,1.000000,0.624161,0.000000,0.648000
