time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.911765,0.976834,0.000000,0.000000,0.000000,0.562724,0.740741,0.972851
0.000,0.000000,0.901961,0.934363,0.010169,0.000000,0.000000,0.623656,0.481481,0.981900
0.000,0.000000,0.892157,0.969112,0.000000,0.000000,0.000000,0.616487,0.537037,0.959276
0.000,0.000000,0.882353,0.934363,0.000000,0.000000,0.000000,0.616487,0.592593,1.000000
0.000,0.000000,1.000000,0.992278,0.000000,0.000000,0.000000,0.616487,0.462963,0.963801
0.000,0.000000,0.950980,0.938224,0.000000,0.000000,0.000000,0.630824,0.685185,0.977376
0.000,0.000000,0.892157,0.969112,0.000000,0.000000,0.000000,0.566308,0.685185,0.959276
0.000,0.000000,0.921569,0.934363,0.033898,0.000000,0.000000,0.602151,0.814815,0.963801
0.000,0.000000,0.852941,0.976834,0.000000,0.000000,0.000000,0.580645,0.481481,0.990950
0.000,0.000000,0.901961,0.922780,0.000000,0.045977,0.000000,0.605735,0.666667,0.972851
0.000,0.000000,0.843137,0.969112,0.000000,0.000000,0.000000,0.602151,0.518519,0.981900
0.000,0.000000,0.852941,0.938224,0.000000,0.000000,0.000000,0.623656,0.518519,0.977376
0.000,0.000000,0.852941,0.969112,0.000000,0.000000,0.000000,0.609319,0.555556,0.977376
0.000,0.000000,0.921569,0.938224,0.000000,0.000000,0.000000,0.630824,0.462963,0.963801
0.000,0.000000,0.931373,0.969112,0.030508,0.000000,0.000000,0.598566,0.444444,0.981900
0.000,0.000000,0.872549,0.922780,0.000000,0.000000,0.000000,0.616487,0.537037,0.977376
0.000,0.000000,0.882353,0.965251,0.000000,0.000000,0.000000,0.609319,0.555556,0.990950
0.000,0.000000,0.901961,0.915058,0.000000,0.000000,0.000000,0.587814,0.500000,0.981900
0.000,0.000000,0.892157,0.965251,0.000000,0.000000,0.000000,0.616487,0.518519,0.977376
0.000,0.000000,0.970588,0.934363,0.000000,0.000000,0.000000,0.616487,0.518519,0.977376
0.000,0.000000,0.901961,0.984556,0.000000,0.000000,0.000000,0.609319,0.518519,0.981900
0.000,0.000000,0.872549,0.899614,0.000000,0.000000,0.000000,0.609319,0.481481,0.972851
0.000,0.000000,0.882353,0.961390,0.000000,0.000000,0.000000,0.630824,0.518519,0.977376
0.000,0.000000,0.921569,0.969112,0.000000,0.000000,0.000000,0.641577,0.537037,0.968326
0.000,0.000000,0.931373,0.965251,0.000000,0.000000,0.000000,0.591398,0.777778,0.972851
