time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.388060,0.823045,0.000000,0.500000,0.000000,0.023018,0.584906,0.922481
0.000,0.000000,0.641791,0.971193,0.000000,0.500000,0.000000,0.122762,0.792453,0.953488
0.000,0.000000,0.395522,0.827160,0.000000,0.500000,0.000000,0.063939,0.603774,0.906977
0.000,0.000000,0.619403,0.954733,0.000000,0.500000,0.000000,0.107417,0.433962,0.922481
0.000,0.000000,0.335821,0.781893,0.000000,0.500000,0.000000,0.117647,0.679245,0.937984
0.000,1.000000,0.656716,0.946502,0.000000,0.500000,0.000000,0.153453,0.622642,0.953488
0.000,0.000000,0.402985,0.814815,0.000000,0.500000,0.000000,0.000000,0.339623,0.968992
0.000,0.000000,0.641791,0.950617,0.000000,0.500000,0.000000,0.179028,0.490566,1.000000
0.000,0.000000,0.373134,0.786008,0.000000,0.500000,0.000000,0.145780,0.566038,0.922481
0.000,0.000000,0.626866,0.962963,0.000000,0.500000,0.000000,0.132992,0.528302,0.953488
0.000,0.000000,0.395522,0.798354,0.000000,0.500000,0.000000,0.168798,0.433962,0.899225
0.000,0.000000,0.671642,0.946502,0.000000,0.500000,0.000000,0.219949,0.641509,0.875969
0.000,0.000000,0.402985,0.810700,0.000000,0.500000,0.000000,0.145780,0.547170,0.906977
0.000,0.000000,0.694030,0.975309,0.000000,0.500000,0.000000,0.260870,0.528302,0.945736
0.000,0.000000,0.373134,0.806584,0.000000,0.500000,0.000000,0.181586,0.377358,0.953488
0.000,0.000000,0.641791,0.946502,0.000000,0.500000,0.000000,0.235294,0.490566,0.937984
0.000,0.000000,0.402985,0.802469,0.000000,0.500000,0.000000,0.225064,0.471698,0.968992
0.000,0.000000,0.634328,0.979424,0.000000,0.500000,0.000000,0.255754,0.433962,0.937984
0.000,0.000000,0.402985,0.798354,0.000000,0.500000,0.000000,0.214834,0.792453,0.937984
0.000,0.000000,0.671642,0.967078,0.000000,0.500000,0.000000,0.265985,0.679245,0.906977
0.000,0.000000,0.410448,0.814815,0.000000,0.500000,0.000000,0.194373,0.433962,0.914729
0.000,0.000000,0.611940,0.950617,0.000000,0.500000,0.000000,0.253197,0.415094,0.961240
0.000,0.000000,0.388060,0.798354,0.000000,0.500000,0.000000,0.222506,0.679245,0.937984
0.000,0.000000,0.671642,0.962963,0.000000,0.500000,0.000000,0.276215,0.528302,0.945736
0.000,0.000000,0.388060,0.814815,0.000000,0.500000,0.000000,0.255754,0.490566,0.937984
0.000,0.000000,0.626866,0.946502,0.000000,0.500000,0.000000,0.253197,0.528302,0.945736
0.000,0.000000,0.395522,0.823045,0.000000,0.500000,0.000000,0.271100,0.433962,0.899225
0.000,0.000000,0.686567,0.954733,0.000000,0.500000,0.000000,0.286445,0.735849,0.930233
0.000,0.000000,0.402985,0.818930,0.000000,0.500000,0.000000,0.276215,0.433962,0.922481
0.000,0.000000,0.656716,0.971193,0.000000,0.500000,0.000000,0.312020,0.452830,0.937984
0.000,0.000000,0.328358,0.781893,0.000000,0.500000,0.000000,0.222506,0.339623,0.635659
0.000,0.000000,0.552239,0.559671,0.000000,0.500000,0.000000,0.242967,0.584906,0.286822
0.000,0.000000,0.186567,0.082305,0.000000,0.500000,0.000000,0.168798,0.830189,0.038760
0.000,0.000000,0.611940,0.855967,0.000000,0.500000,0.000000,0.248082,0.433962,0.922481
0.000,0.000000,0.335821,0.757202,0.000000,0.500000,0.000000,0.207161,0.566038,0.914729
0.000,0.000000,0.694030,0.806584,0.000000,0.500000,0.000000,0.306905,0.377358,0.813953
0.000,0.000000,0.298507,0.707819,0.000000,0.500000,0.000000,0.278772,0.603774,0.937984
0.000,0.000000,0.626866,0.835391,0.000000,0.500000,0.000000,0.710997,0.943396,0.782946
0.000,0.000000,0.000000,0.452675,0.333333,0.500000,0.000000,0.572890,0.000000,0.046512
0.000,0.000000,0.582090,0.518519,0.000000,0.500000,0.000000,0.629156,0.452830,0.286822
0.000,0.000000,0.276119,0.691358,0.000000,0.500000,0.000000,0.736573,0.509434,0.953488
0.000,0.000000,0.604478,0.946502,0.000000,0.500000,0.000000,1.000000,0.490566,0.852713
0.000,0.000000,0.044776,0.000000,0.000000,0.500000,0.000000,0.445013,0.339623,0.000000
0.000,0.250000,0.522388,0.497942,0.000000,0.500000,0.000000,0.680307,0.603774,0.534884
0.000,0.000000,0.313433,0.687243,0.000000,0.500000,0.000000,0.698210,0.830189,0.844961
0.000,0.450000,0.582090,0.909465,0.000000,0.500000,0.000000,0.808184,0.905660,0.922481
0.000,0.000000,0.291045,0.790123,0.000000,0.500000,0.000000,0.713555,0.433962,0.922481
0.000,0.000000,0.597015,0.950617,0.000000,0.500000,0.000000,0.818414,0.528302,0.937984
0.000,0.000000,0.194030,0.831276,0.000000,0.500000,0.839009,0.792839,0.584906,0.968992
