time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.711538,0.897436,0.000000,0.000000,0.000000,0.745455,0.500000,0.925000
0.000,0.000000,0.346154,0.756410,0.000000,0.000000,0.000000,0.763636,0.093750,0.925000
0.000,0.000000,0.750000,0.846154,0.000000,0.000000,0.000000,0.736364,0.625000,0.887500
0.000,0.053571,0.307692,0.846154,0.000000,0.000000,0.000000,0.690909,0.562500,0.950000
0.000,0.000000,0.692308,0.858974,0.000000,0.000000,0.000000,0.745455,0.156250,0.912500
0.000,0.000000,0.230769,0.846154,0.000000,0.252874,0.000000,0.690909,0.250000,0.875000
0.000,0.000000,0.692308,0.897436,0.000000,0.000000,0.000000,0.727273,0.125000,0.875000
0.000,0.000000,0.384615,0.820513,0.000000,0.000000,0.000000,0.727273,0.156250,0.875000
0.000,0.000000,0.692308,0.871795,0.000000,0.000000,0.000000,0.800000,0.156250,0.900000
0.000,0.000000,0.384615,0.897436,0.000000,0.000000,0.000000,0.654545,0.593750,0.875000
0.000,0.000000,0.807692,0.871795,0.000000,0.000000,0.000000,0.745455,0.500000,0.862500
0.000,0.000000,0.461538,0.846154,0.000000,0.000000,0.000000,0.400000,0.750000,0.975000
0.000,0.000000,0.769231,0.871795,0.000000,0.000000,0.000000,0.590909,0.562500,0.925000
0.000,0.107143,0.500000,0.820513,0.000000,0.000000,0.000000,0.654545,0.125000,1.000000
0.000,0.000000,1.000000,0.871795,0.000000,0.000000,0.000000,0.609091,0.187500,0.887500
0.000,0.000000,0.288462,0.871795,0.000000,0.000000,0.000000,0.581818,0.750000,0.875000
0.000,0.000000,0.769231,0.858974,0.000000,0.000000,0.000000,0.600000,0.156250,0.900000
0.000,0.000000,0.423077,0.769231,0.000000,0.000000,0.000000,0.509091,0.156250,0.850000
0.000,0.000000,0.519231,0.794872,0.000000,0.000000,0.000000,0.636364,0.312500,0.837500
0.000,0.000000,0.442308,0.846154,0.000000,0.000000,0.000000,0.554545,0.250000,0.937500
0.000,0.000000,0.653846,0.807692,0.000000,0.000000,0.000000,0.581818,0.062500,0.925000
0.000,0.000000,0.461538,0.871795,0.000000,0.000000,0.000000,0.536364,0.500000,0.875000
0.000,0.000000,0.673077,0.782051,0.000000,0.000000,0.000000,0.500000,0.156250,0.862500
0.000,0.000000,0.423077,0.756410,0.000000,0.000000,0.000000,0.563636,0.625000,0.887500
0.000,0.000000,0.653846,0.846154,0.000000,0.000000,0.000000,0.563636,0.125000,0.925000
0.000,0.000000,0.288462,0.935897,0.000000,0.000000,0.067416,0.536364,0.250000,0.850000
0.000,0.000000,0.557692,0.833333,0.000000,0.000000,0.000000,0.536364,0.062500,0.862500
0.000,0.000000,0.538462,0.807692,0.000000,0.000000,0.000000,0.581818,0.375000,0.887500
0.000,0.000000,0.769231,0.948718,0.000000,0.000000,0.000000,0.618182,0.156250,0.887500
0.000,0.000000,0.538462,0.833333,0.000000,0.000000,0.000000,0.509091,0.093750,0.900000
0.000,0.000000,0.807692,0.897436,0.000000,0.000000,0.000000,0.690909,0.531250,0.900000
0.000,0.196429,0.346154,0.384615,0.000000,1.000000,1.000000,0.272727,0.125000,0.125000
0.000,0.000000,0.538462,0.564103,0.000000,0.000000,0.000000,0.454545,0.187500,0.362500
0.000,0.000000,0.307692,0.461538,0.000000,0.000000,0.235955,0.454545,0.250000,0.412500
0.000,0.000000,0.461538,0.435897,0.245614,0.000000,0.000000,0.290909,0.000000,0.162500
0.000,0.000000,0.307692,0.461538,0.000000,0.000000,0.000000,0.063636,0.250000,0.000000
0.000,0.000000,0.461538,0.371795,0.000000,0.000000,0.000000,0.072727,0.000000,0.087500
0.000,0.000000,0.346154,0.000000,0.000000,0.000000,0.000000,0.072727,0.125000,0.250000
0.000,0.000000,0.576923,0.102564,0.000000,0.000000,0.000000,0.000000,0.187500,0.250000
0.000,0.000000,0.500000,0.692308,0.000000,0.000000,0.000000,0.363636,0.562500,0.650000
0.000,0.000000,0.653846,0.564103,0.000000,0.000000,0.000000,0.418182,0.281250,0.550000
0.000,0.000000,0.480769,0.794872,0.000000,0.000000,0.000000,0.618182,0.562500,0.925000
0.000,0.107143,0.730769,0.807692,0.000000,0.000000,0.000000,0.718182,0.062500,0.875000
0.000,0.000000,0.519231,0.846154,0.736842,0.000000,0.000000,0.700000,0.062500,0.887500
0.000,0.000000,0.500000,0.794872,0.000000,0.000000,0.000000,0.600000,0.781250,0.850000
0.000,0.000000,0.442308,0.897436,0.000000,0.000000,0.000000,0.709091,0.750000,0.900000
0.000,0.000000,0.653846,0.871795,0.157895,0.000000,0.000000,0.709091,0.406250,0.837500
0.000,0.125000,0.615385,0.858974,0.000000,0.000000,0.000000,0.781818,0.593750,0.850000
0.000,0.000000,0.711538,0.692308,0.000000,0.000000,0.000000,0.745455,0.125000,0.887500
0.000,0.000000,0.500000,0.897436,0.000000,0.000000,0.000000,0.690909,0.593750,0.925000
0.000,0.000000,0.653846,0.820513,0.000000,0.000000,0.000000,0.736364,0.125000,0.912500
