time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.550388,0.300000,0.166667
0.000,0.000000,0.000000,0.772727,0.000000,0.000000,0.500000,0.782946,0.266667,0.250000
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.581395,0.333333,0.000000
0.000,0.000000,0.000000,0.803030,0.000000,0.000000,0.500000,0.767442,0.500000,0.500000
0.000,0.000000,0.000000,0.030303,0.000000,0.000000,0.500000,0.279070,0.166667,0.000000
0.000,0.000000,0.000000,0.742424,0.000000,0.000000,0.500000,0.790698,0.300000,0.250000
0.000,0.000000,0.000000,0.030303,0.000000,0.000000,0.500000,0.627907,0.200000,0.416667
0.000,0.000000,0.000000,0.757576,0.000000,0.000000,0.500000,0.759690,0.200000,0.333333
0.000,0.000000,0.000000,0.075758,0.000000,0.000000,0.500000,0.658915,0.566667,0.250000
0.000,0.000000,0.000000,0.742424,0.000000,0.000000,0.500000,0.767442,0.800000,0.833333
0.000,0.000000,0.000000,0.060606,0.000000,0.000000,0.500000,0.519380,0.166667,0.333333
0.000,0.000000,0.000000,0.742424,0.000000,0.000000,0.500000,0.813953,0.200000,0.666667
0.000,0.000000,0.000000,0.015152,0.000000,0.000000,0.500000,0.581395,0.266667,0.500000
0.000,0.000000,0.000000,0.742424,0.000000,0.000000,0.500000,0.906977,0.800000,0.000000
0.000,0.000000,0.000000,0.045455,0.000000,0.000000,0.500000,0.581395,0.033333,0.083333
0.000,0.000000,0.000000,0.712121,0.000000,0.000000,0.500000,0.844961,0.233333,0.416667
0.000,0.000000,0.000000,0.106061,0.000000,0.000000,0.500000,0.604651,0.200000,0.000000
0.000,0.000000,0.000000,0.712121,0.000000,0.000000,0.500000,0.782946,0.200000,0.416667
0.000,0.000000,0.000000,0.106061,0.000000,0.000000,0.500000,0.573643,0.000000,0.500000
0.000,0.000000,0.000000,0.742424,0.000000,0.000000,0.500000,0.782946,0.266667,0.833333
0.000,0.000000,0.000000,0.015152,0.000000,0.000000,0.500000,0.573643,0.866667,0.000000
0.000,0.000000,0.000000,0.712121,0.000000,0.000000,0.500000,0.674419,0.033333,0.250000
0.000,0.000000,0.000000,0.106061,0.000000,0.000000,0.500000,0.558140,0.333333,0.166667
0.000,0.000000,0.000000,0.727273,0.000000,0.000000,0.500000,0.751938,0.133333,0.250000
0.000,0.000000,0.000000,0.045455,0.000000,0.000000,0.500000,0.589147,0.333333,0.083333
0.000,0.000000,0.000000,0.681818,0.000000,0.000000,0.500000,0.782946,0.300000,0.333333
0.000,0.000000,0.000000,0.030303,0.000000,0.000000,0.500000,0.534884,0.200000,0.333333
0.000,0.000000,0.000000,0.818182,0.000000,0.000000,0.500000,0.713178,0.266667,0.666667
