time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.210989,0.096294,0.072639,0.068864,0.063736,0.066667,0.114383,0.040912,0.120462
0.000,0.000000,0.025436,0.027845,0.000000,0.000000,0.000000,0.021340,0.007598,0.038504
0.000,0.022955,0.076308,0.064467,0.016361,0.015629,0.000000,0.074691,0.032145,0.105611
0.000,0.000000,0.023256,0.025121,0.000000,0.000000,0.000000,0.008536,0.009936,0.039604
0.000,0.000000,0.066134,0.064467,0.017338,0.022466,0.004884,0.067435,0.036821,0.110561
0.000,0.000000,0.000000,0.026634,0.000000,0.000000,0.000000,0.015365,0.006429,0.031903
0.000,0.036630,0.069767,0.068402,0.030525,0.030037,0.032479,0.089629,0.049679,0.119362
0.000,0.000000,0.011991,0.026634,0.000000,0.000000,0.040293,0.014938,0.005260,0.033003
0.000,0.036142,0.075581,0.069613,0.037118,0.035409,0.034921,0.093043,0.040912,0.116612
0.000,0.000000,0.012718,0.027240,0.000000,0.000000,0.000000,0.014938,0.011105,0.036304
0.000,0.015873,0.071584,0.069613,0.030769,0.037363,0.020513,0.085787,0.037405,0.115512
0.000,0.000000,0.012718,0.025424,0.000000,0.000000,0.000000,0.015792,0.001753,0.029703
0.000,0.062271,0.072674,0.068099,0.036386,0.021490,0.031502,0.084507,0.037989,0.117712
0.000,0.000000,0.010538,0.024213,0.000000,0.000000,0.000000,0.017926,0.003507,0.033003
0.000,0.026862,0.071948,0.063862,0.030769,0.030525,0.011966,0.093043,0.037989,0.116612
0.000,0.000000,0.013445,0.022094,0.000000,0.000000,0.000000,0.014938,0.004091,0.031903
0.000,0.000000,0.073401,0.065375,0.022955,0.018803,0.023443,0.075544,0.036236,0.107261
0.000,0.000000,0.007994,0.021489,0.000000,0.000000,0.000000,0.013658,0.006429,0.030253
0.000,0.030525,0.071948,0.068099,0.031013,0.024664,0.031258,0.106701,0.045587,0.118262
0.000,0.000000,0.008721,0.016041,0.009035,0.000000,0.000000,0.013658,0.003507,0.029703
0.000,0.013431,0.066860,0.067797,0.012454,0.023443,0.012454,0.084934,0.039158,0.114411
0.000,0.001221,0.009448,0.022397,0.000000,0.000000,0.000000,0.014511,0.007598,0.027503
0.000,0.026618,0.069767,0.068402,0.049573,0.023443,0.017338,0.105420,0.037989,0.116612
0.000,0.000000,0.012355,0.024818,0.000000,0.015629,0.000000,0.025181,0.006429,0.036304
0.000,0.016850,0.064317,0.065981,0.019048,0.010501,0.034432,0.075971,0.033898,0.104510
0.000,0.000000,0.011628,0.023002,0.000000,0.000000,0.000000,0.047802,0.008182,0.035754
0.000,0.077411,0.066134,0.063257,0.025397,0.026129,0.021245,0.075117,0.035652,0.106161
0.000,0.000000,0.012355,0.024213,0.000000,0.000000,0.000000,0.022194,0.015780,0.033553
0.000,0.018071,0.068677,0.066586,0.039805,0.025153,0.021245,0.081946,0.049679,0.117712
0.000,0.000000,0.018169,0.039044,0.012454,0.000000,0.000000,0.038412,0.008182,0.058856
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.001817,0.504237,0.000000,0.000000,0.000000,0.087495,0.030976,0.342684
0.000,0.000000,0.039608,0.347458,0.000000,0.000000,0.001221,0.134870,0.047341,0.209021
0.000,0.000000,0.123547,0.231840,0.000000,0.000000,0.000000,0.144686,0.038574,0.206821
0.000,0.000000,0.139535,0.176755,0.003175,0.000000,0.000000,0.156210,0.040912,0.200770
0.000,0.000000,0.125000,0.142857,0.000000,0.000000,0.000000,0.159198,0.047341,0.200220
0.000,0.000000,0.116279,0.144068,0.000000,0.000000,0.000000,0.175843,0.040912,0.204620
0.000,0.000000,0.089390,0.133172,0.000000,0.000000,0.000000,0.173709,0.040327,0.207921
0.000,0.000244,0.093750,0.140133,0.000000,0.000000,0.000000,0.168160,0.039158,0.203520
0.000,0.001954,0.100291,0.132264,0.000000,0.000000,0.000000,0.170294,0.039743,0.202420
0.000,0.000000,0.088663,0.139225,0.002442,0.000000,0.000000,0.167734,0.040327,0.204620
0.000,0.000000,0.061773,0.125303,0.000000,0.000000,0.000000,0.145967,0.040327,0.189219
0.000,0.000000,0.055959,0.134383,0.000000,0.000000,0.000000,0.157064,0.049679,0.188119
0.000,0.000000,0.034157,0.130448,0.000000,0.000000,0.000000,0.155783,0.040912,0.202970
0.000,0.000000,0.031977,0.138015,0.000000,0.000000,0.000000,0.165600,0.039743,0.205171
0.000,0.000000,0.068677,0.131356,0.005617,0.000000,0.002442,0.156210,0.037989,0.204620
0.000,0.000000,0.106105,0.141646,0.000000,0.000000,0.000000,0.173282,0.048510,0.204620
0.000,0.000000,0.117733,0.132869,0.000000,0.000000,0.000000,0.158344,0.047341,0.205721
0.000,0.000000,0.135174,0.133777,0.021734,0.000000,0.000000,0.154503,0.037989,0.190319
0.000,0.000733,0.126453,0.111985,0.000000,0.000000,0.000000,0.139991,0.048510,0.170517
0.000,0.000000,0.142442,0.136501,0.000000,0.000000,0.000000,0.162612,0.040327,0.200220
0.000,0.000000,0.128634,0.126513,0.000000,0.000000,0.000000,0.149808,0.043250,0.176018
0.000,0.000000,0.106468,0.086259,0.000000,0.000000,0.000000,0.096884,0.026885,0.101760
