time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,0.275524,0.353125,1.000000,0.793594,1.000000,0.907473,0.286885,0.215401
0.000,0.093750,0.113287,0.275000,0.413302,0.088968,0.119048,0.551601,0.233607,0.226847
0.000,0.113281,0.128671,0.200000,0.000000,0.000000,0.000000,0.434164,0.295082,0.199792
0.000,0.000000,0.073427,0.191406,0.021378,0.000000,0.000000,0.441281,0.311475,0.226847
0.000,0.003906,0.082517,0.231250,0.000000,0.003559,0.000000,0.569395,0.323770,0.275754
0.000,0.058594,0.058741,0.237500,0.000000,0.000000,0.000000,0.523132,0.258197,0.279917
0.000,0.000000,0.140559,0.249219,0.040380,0.000000,0.000000,0.558719,0.286885,0.273673
0.000,0.000000,0.134266,0.102344,0.000000,0.000000,0.000000,0.318505,0.090164,0.093652
0.000,0.316406,0.180420,0.124219,0.125891,0.209964,0.222222,0.418149,0.278689,0.142560
0.000,0.000000,0.130070,0.081250,0.000000,0.000000,0.000000,0.250890,0.114754,0.088450
0.000,0.039062,0.135664,0.077344,0.000000,0.017794,0.082011,0.320285,0.270492,0.110302
0.000,0.000000,0.092308,0.130469,0.159145,0.003559,0.000000,0.416370,0.270492,0.186264
0.000,0.000000,0.089510,0.216406,0.000000,0.000000,0.000000,0.565836,0.290984,0.275754
0.000,0.066406,0.071329,0.228906,0.000000,0.000000,0.000000,0.553381,0.290984,0.275754
0.000,0.000000,0.097902,0.232813,0.000000,0.000000,0.000000,0.580071,0.295082,0.276795
0.000,0.000000,0.090909,0.236719,0.000000,0.000000,0.000000,0.581851,0.278689,0.272633
0.000,0.000000,0.118182,0.249219,0.000000,0.000000,0.000000,0.562278,0.278689,0.268470
0.000,0.000000,0.106294,0.237500,0.000000,0.000000,0.000000,0.539146,0.250000,0.270552
0.000,0.000000,0.129371,0.188281,0.021378,0.028470,0.000000,0.476868,0.340164,0.191467
0.000,0.000000,0.062937,0.002344,0.000000,0.000000,0.000000,0.128114,0.004098,0.000000
0.000,0.949219,0.204895,0.125000,0.712589,1.000000,0.777778,0.548043,0.368852,0.159209
0.000,0.000000,0.195105,0.116406,0.000000,0.266904,0.000000,0.370107,0.204918,0.142560
0.000,0.000000,0.213986,0.111719,0.000000,0.000000,0.296296,0.419929,0.225410,0.125911
