time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.046269,0.045045,0.000000,0.000000,0.000000,0.045921,0.023013,0.085681
0.000,0.037171,0.000000,0.000000,0.063000,0.076751,0.080166,0.025982,0.046025,0.000000
0.000,0.000000,0.045617,0.046847,0.000000,0.000000,0.000000,0.042296,0.008368,0.083333
0.000,0.063765,0.005539,0.004204,0.099137,0.107771,0.099010,0.061631,0.041841,0.007042
0.000,0.205802,0.093842,0.066667,0.191557,0.179085,0.153625,0.183082,0.016736,0.077465
0.000,0.152010,0.477354,0.604204,0.171091,0.171730,0.205366,0.161934,0.054393,0.494131
0.000,0.944092,0.974259,0.991291,0.993924,0.996802,1.000000,1.000000,0.985356,1.000000
0.000,0.111514,0.500815,0.627327,0.161177,0.165014,0.191313,0.155891,0.058577,0.539906
0.000,0.988818,1.000000,1.000000,0.960345,1.000000,0.963590,0.980665,0.945607,0.994131
0.000,0.145059,0.508309,0.625826,0.199552,0.198273,0.235069,0.186103,0.066946,0.508803
0.000,1.000000,0.964484,0.975676,1.000000,0.972817,0.992335,0.957100,0.914226,0.927230
0.000,0.115745,0.090583,0.239039,0.155421,0.170451,0.146599,0.033837,0.042887,0.011737
0.000,0.000000,0.044314,0.061862,0.000000,0.000000,0.000000,0.013897,0.006276,0.073944
0.000,0.058930,0.016292,0.012613,0.061401,0.067477,0.060683,0.026586,0.024059,0.008216
0.000,0.000000,0.046269,0.048048,0.000000,0.037416,0.008304,0.038671,0.000000,0.073944
0.000,0.073738,0.016618,0.012613,0.078989,0.153502,0.106356,0.047734,0.041841,0.007042
0.000,0.000000,0.048224,0.042042,0.013751,0.000000,0.000000,0.055589,0.006276,0.079225
0.000,0.157449,0.024112,0.015616,0.217781,0.206908,0.211115,0.110574,0.052301,0.012911
0.000,0.056815,0.062561,0.043544,0.034858,0.044771,0.026509,0.080363,0.000000,0.085681
0.000,0.163796,0.026719,0.018018,0.188679,0.216182,0.213031,0.099094,0.055439,0.017606
0.000,0.000000,0.038123,0.036036,0.000000,0.000000,0.000000,0.028399,0.014644,0.075117
0.000,0.170142,0.020202,0.018318,0.216501,0.228334,0.230278,0.119637,0.064854,0.012911
0.000,0.002720,0.037471,0.037237,0.000000,0.000000,0.000000,0.015710,0.018828,0.075117
0.000,0.182835,0.034539,0.025225,0.249440,0.228654,0.265091,0.131722,0.053347,0.012324
0.000,0.004835,0.043662,0.042042,0.000000,0.000000,0.000000,0.028399,0.010460,0.066901
0.000,0.110003,0.027370,0.017417,0.160857,0.173649,0.165762,0.100906,0.060669,0.008803
0.000,0.000000,0.043011,0.046246,0.000000,0.005756,0.000000,0.025378,0.000000,0.061620
0.000,0.214869,0.040404,0.028529,0.255197,0.273745,0.292239,0.177644,0.073222,0.015258
0.000,0.804170,0.305637,0.187387,0.795651,0.801727,0.768445,0.675529,0.093096,0.196009
0.000,0.288002,0.185077,0.247447,0.321075,0.335785,0.361865,0.171601,0.066946,0.102113
0.000,0.004835,0.040730,0.060961,0.000000,0.000000,0.000000,0.000000,0.002092,0.054577
0.000,0.090360,0.026067,0.024324,0.058523,0.054365,0.056212,0.036254,0.024059,0.025235
0.000,0.000000,0.047898,0.053153,0.002878,0.000000,0.000000,0.038671,0.012552,0.069249
0.000,0.013599,0.027045,0.031532,0.000000,0.000000,0.000000,0.043505,0.012552,0.032277
