time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.102041,0.974026,0.000000,0.000000,0.000000,0.713004,0.737500,0.960000
0.000,0.026699,0.081633,0.905844,0.000000,0.000000,0.000000,0.645740,0.775000,0.972000
0.000,0.000000,0.126531,0.983766,0.000000,0.000000,0.000000,0.699552,0.762500,0.980000
0.000,0.000000,0.048980,0.889610,0.000000,0.000000,0.000000,0.654709,0.812500,0.968000
0.000,0.000000,0.142857,0.993506,0.000000,0.000000,0.000000,0.704036,0.737500,0.956000
0.000,0.000000,0.061224,0.902597,0.000000,0.000000,0.000000,0.659193,1.000000,0.976000
0.000,0.000000,0.114286,0.993506,0.000000,0.000000,0.000000,0.695067,0.737500,0.984000
0.000,0.050971,0.085714,0.879870,0.000000,0.000000,0.000000,0.659193,0.750000,0.960000
0.000,0.000000,0.142857,0.993506,0.000000,0.000000,0.000000,0.686099,0.787500,0.956000
0.000,0.000000,0.069388,0.902597,0.000000,0.000000,0.000000,0.672646,0.825000,0.976000
0.000,0.050971,0.114286,0.970779,0.000000,0.000000,0.000000,0.686099,0.775000,0.984000
0.000,0.000000,0.081633,0.889610,0.000000,0.000000,0.000000,0.661435,0.800000,0.972000
0.000,0.000000,0.126531,0.980519,0.000000,0.000000,0.000000,0.686099,0.825000,0.964000
0.000,0.000000,0.093878,0.896104,0.000000,0.005063,0.000000,0.652466,0.737500,0.956000
0.000,0.000000,0.130612,0.948052,0.000000,0.000000,0.000000,0.690583,0.825000,0.968000
0.000,0.000000,0.110204,0.909091,0.000000,0.007595,0.000000,0.641256,0.987500,0.976000
0.000,0.000000,0.118367,0.974026,0.000000,0.000000,0.000000,0.686099,0.725000,0.972000
0.000,0.000000,0.085714,0.902597,0.000000,0.000000,0.000000,0.647982,0.812500,0.976000
0.000,0.000000,0.130612,1.000000,0.000000,0.000000,0.000000,0.677130,0.912500,0.984000
0.000,0.000000,0.085714,0.892857,0.000000,0.000000,0.000000,0.663677,0.887500,0.972000
0.000,0.000000,0.114286,0.974026,0.000000,0.000000,0.000000,0.681614,0.712500,1.000000
0.000,0.000000,0.036735,0.915584,0.000000,0.000000,0.000000,0.634529,0.750000,0.972000
0.000,0.000000,0.142857,0.970779,0.000000,0.000000,0.000000,0.690583,0.850000,0.972000
0.000,0.070388,0.081633,0.905844,0.000000,0.005063,0.000000,0.686099,0.775000,0.952000
0.000,0.000000,0.126531,0.974026,0.000000,0.000000,0.005479,0.695067,0.700000,1.000000
0.000,0.000000,0.085714,0.905844,0.000000,0.000000,0.000000,0.686099,0.762500,0.952000
0.000,0.000000,0.118367,0.983766,0.000000,0.000000,0.000000,0.699552,0.800000,0.968000
0.000,0.000000,0.085714,0.922078,0.000000,0.000000,0.000000,0.645740,0.850000,0.972000
0.000,0.007282,0.093878,0.993506,0.000000,0.000000,0.000000,0.647982,0.875000,0.968000
0.000,0.000000,0.069388,0.922078,0.000000,0.000000,0.000000,0.632287,0.825000,0.972000
0.000,0.000000,0.000000,0.500000,0.000000,0.055696,0.000000,0.365471,0.637500,0.444000
0.000,0.417476,0.089796,0.038961,0.529412,0.655696,0.550685,0.334081,0.837500,0.224000
0.000,0.000000,0.310204,0.295455,0.000000,0.000000,0.000000,0.251121,0.225000,0.300000
0.000,0.825243,0.248980,0.038961,1.000000,0.898734,1.000000,0.367713,0.900000,0.204000
0.000,0.000000,0.832653,0.772727,0.000000,0.000000,0.000000,0.677130,0.750000,0.844000
0.000,0.000000,0.828571,0.889610,0.000000,0.000000,0.000000,1.000000,0.850000,0.972000
0.000,0.000000,0.934694,0.974026,0.000000,0.040506,0.000000,0.710762,0.800000,0.972000
0.000,0.000000,0.853061,0.922078,0.000000,0.000000,0.000000,0.632287,1.000000,0.976000
0.000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.553812,0.800000,0.980000
0.000,0.000000,0.877551,0.931818,0.000000,0.032911,0.000000,0.560538,0.737500,1.000000
0.000,0.000000,0.942857,0.987013,0.000000,0.000000,0.000000,0.540359,0.800000,0.968000
0.000,0.000000,0.873469,0.935065,0.000000,0.382278,0.000000,0.542601,0.975000,0.932000
0.000,0.000000,0.910204,0.961039,0.000000,0.000000,0.027397,0.565022,0.887500,0.992000
0.000,0.000000,0.897959,0.941558,0.002558,0.096203,0.000000,0.587444,0.800000,0.936000
0.000,0.109223,0.934694,0.961039,0.000000,0.000000,0.000000,0.591928,0.750000,0.908000
0.000,0.250000,0.918367,0.925325,0.005115,0.022785,0.000000,0.625561,0.750000,0.924000
0.000,0.004854,0.918367,0.974026,0.005115,0.000000,0.000000,0.591928,0.775000,0.956000
0.000,0.055825,0.885714,0.935065,0.000000,0.000000,0.000000,0.636771,0.800000,0.984000
0.000,0.000000,0.938776,0.951299,0.030691,0.000000,0.000000,0.565022,0.737500,0.896000
0.000,0.067961,0.869388,0.941558,0.000000,0.000000,0.000000,0.686099,0.762500,0.936000
0.000,0.000000,0.877551,0.957792,0.000000,0.000000,0.000000,0.556054,0.737500,0.872000
0.000,0.048544,0.779592,0.902597,0.000000,0.141772,0.000000,0.491031,0.687500,0.760000
0.000,0.000000,0.093878,0.051948,0.000000,0.000000,0.000000,0.085202,0.187500,0.136000
0.000,1.000000,0.363265,0.110390,0.836317,0.878481,0.860274,0.443946,0.850000,0.256000
0.000,0.089806,0.126531,0.032468,0.000000,0.000000,0.000000,0.035874,0.137500,0.168000
0.000,0.252427,0.420408,0.214286,0.222506,0.351899,0.216438,0.385650,0.825000,0.376000
0.000,0.000000,0.216327,0.198052,0.000000,0.000000,0.000000,0.112108,0.262500,0.176000
0.000,0.014563,0.746939,0.698052,0.000000,0.083544,0.000000,0.448430,0.850000,0.732000
0.000,0.000000,0.779592,0.772727,0.000000,0.000000,0.079452,0.421525,0.812500,0.704000
0.000,0.000000,0.832653,0.850649,0.000000,0.000000,0.000000,0.506726,0.800000,0.828000
0.000,0.065534,0.877551,0.935065,0.000000,0.000000,0.000000,0.618834,0.712500,0.936000
0.000,0.000000,0.914286,0.922078,0.000000,0.000000,0.000000,0.643498,0.825000,0.912000
0.000,0.000000,0.844898,0.935065,0.000000,0.000000,0.000000,0.616592,0.775000,0.864000
0.000,0.000000,0.844898,0.821429,0.000000,0.000000,0.145205,0.542601,0.700000,0.716000
0.000,0.000000,0.689796,0.655844,0.000000,0.000000,0.000000,0.430493,0.650000,0.524000
0.000,0.053398,0.661224,0.558442,0.000000,0.002532,0.000000,0.428251,0.600000,0.576000
0.000,0.000000,0.559184,0.435065,0.000000,0.108861,0.000000,0.322870,0.800000,0.428000
0.000,0.196602,0.485714,0.350649,0.184143,0.255696,0.279452,0.354260,0.875000,0.376000
0.000,0.000000,0.624490,0.564935,0.000000,0.000000,0.000000,0.365471,0.650000,0.524000
0.000,0.000000,0.440816,0.324675,0.000000,0.000000,0.024658,0.309417,0.587500,0.312000
0.000,0.000000,0.428571,0.409091,0.000000,0.000000,0.043836,0.295964,0.537500,0.400000
0.000,0.060680,0.330612,0.207792,0.000000,0.000000,0.032877,0.255605,0.700000,0.244000
0.000,0.000000,0.200000,0.146104,0.000000,0.000000,0.000000,0.139013,0.250000,0.192000
0.000,0.327670,0.453061,0.253247,0.478261,0.503797,0.435616,0.367713,0.850000,0.312000
0.000,0.000000,0.102041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044000
0.000,0.949029,0.510204,0.308442,0.907928,1.000000,0.901370,0.535874,0.875000,0.360000
0.000,0.000000,0.208163,0.139610,0.010230,0.000000,0.000000,0.165919,0.350000,0.168000
0.000,0.609223,0.297959,0.149351,0.419437,0.437975,0.421918,0.295964,0.900000,0.272000
0.000,0.000000,0.375510,0.285714,0.094629,0.000000,0.000000,0.221973,0.600000,0.352000
0.000,0.550971,0.473469,0.240260,0.757033,0.663291,0.663014,0.417040,0.825000,0.344000
0.000,0.000000,0.281633,0.162338,0.000000,0.000000,0.000000,0.105381,0.387500,0.160000
0.000,0.060680,0.502041,0.311688,0.122762,0.000000,0.000000,0.322870,0.750000,0.364000
0.044,0.000000,0.375510,0.279221,0.000000,0.000000,0.000000,0.278027,0.550000,0.248000
0.094,0.021845,0.755102,0.659091,0.000000,0.000000,0.000000,0.497758,0.825000,0.800000
0.144,0.000000,0.893878,0.922078,0.010230,0.000000,0.000000,0.654709,0.737500,0.956000
0.194,0.094660,0.579592,0.545455,0.000000,0.058228,0.000000,0.457399,0.587500,0.360000
0.244,0.000000,0.310204,0.233766,0.000000,0.000000,0.000000,0.217489,0.475000,0.204000
0.294,0.000000,0.359184,0.253247,0.000000,0.000000,0.136986,0.304933,0.662500,0.296000
0.344,0.000000,0.232653,0.142857,0.000000,0.255696,0.000000,0.183857,0.450000,0.168000
0.394,0.000000,0.624490,0.470779,0.056266,0.000000,0.060274,0.401345,0.575000,0.504000
0.444,0.128641,0.555102,0.516234,0.000000,0.000000,0.000000,0.412556,0.600000,0.464000
0.494,0.116505,0.387755,0.288961,0.066496,0.215190,0.150685,0.354260,0.800000,0.300000
0.544,0.000000,0.244898,0.214286,0.000000,0.070886,0.046575,0.210762,0.450000,0.200000
0.594,0.211165,0.404082,0.305195,0.056266,0.116456,0.216438,0.327354,0.825000,0.332000
0.644,0.000000,0.212245,0.120130,0.000000,0.043038,0.000000,0.174888,0.325000,0.124000
0.694,0.000000,0.542857,0.402597,0.000000,0.000000,0.000000,0.399103,0.637500,0.444000
0.744,0.000000,0.571429,0.467532,0.000000,0.000000,0.002740,0.421525,0.712500,0.624000
0.794,0.000000,0.738776,0.675325,0.314578,0.012658,0.000000,0.529148,0.875000,0.668000
0.844,0.000000,0.420408,0.448052,0.237852,0.000000,0.000000,0.318386,0.625000,0.296000
0.894,0.089806,0.800000,0.675325,0.000000,0.000000,0.000000,0.551570,0.825000,0.736000
0.944,0.033981,0.787755,0.762987,0.010230,0.012658,0.000000,0.547085,0.750000,0.684000
0.994,0.000000,0.583673,0.500000,0.000000,0.000000,0.000000,0.313901,0.700000,0.420000
1.044,0.000000,0.228571,0.149351,0.000000,0.000000,0.000000,0.210762,0.350000,0.152000
1.094,0.216019,0.477551,0.279221,0.145780,0.144304,0.000000,0.374439,0.900000,0.300000
1.144,0.000000,0.293878,0.155844,0.000000,0.000000,0.000000,0.183857,0.450000,0.160000
1.194,0.043689,0.506122,0.311688,0.074169,0.129114,0.183562,0.322870,0.775000,0.372000
1.244,0.000000,0.310204,0.253247,0.000000,0.000000,0.079452,0.264574,0.462500,0.240000
1.294,0.000000,0.440816,0.324675,0.086957,0.000000,0.093151,0.309417,0.675000,0.360000
1.344,0.000000,0.771429,0.662338,0.000000,0.000000,0.000000,0.556054,0.787500,0.812000
1.394,0.009709,0.897959,0.922078,0.000000,0.000000,0.000000,0.681614,0.762500,0.976000
1.444,0.000000,0.102041,0.149351,0.000000,0.000000,0.000000,0.177130,0.200000,0.000000
1.494,0.000000,0.428571,0.272727,0.000000,0.025316,0.035616,0.331839,0.625000,0.300000
1.544,0.000000,0.620408,0.500000,0.002558,0.005063,0.000000,0.412556,0.787500,0.560000
1.594,0.014563,0.771429,0.724026,0.000000,0.000000,0.000000,0.535874,0.675000,0.576000
1.644,0.000000,0.608163,0.584416,0.000000,0.000000,0.000000,0.432735,0.750000,0.528000
1.694,0.000000,0.800000,0.733766,0.002558,0.000000,0.000000,0.538117,0.887500,0.708000
1.744,0.000000,0.559184,0.506494,0.000000,0.000000,0.000000,0.392377,0.750000,0.544000
1.794,0.033981,0.942857,0.892857,0.000000,0.002532,0.000000,0.656951,0.675000,0.948000
1.844,0.002427,0.853061,0.915584,0.002558,0.040506,0.008219,0.650224,0.875000,0.916000
1.894,0.000000,1.000000,0.964286,0.000000,0.000000,0.000000,0.721973,0.775000,0.976000
1.944,0.000000,0.832653,0.918831,0.000000,0.000000,0.000000,0.695067,0.925000,0.956000
1.994,0.466019,0.951020,0.983766,0.000000,0.000000,0.000000,0.715247,0.700000,0.976000
2.044,0.000000,0.930612,0.928571,0.000000,0.000000,0.016438,0.618834,0.737500,0.956000
2.094,0.368932,0.918367,0.977273,0.000000,0.000000,0.000000,0.690583,0.937500,0.940000
