time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.381679,0.234899,0.000000,0.000000,0.000000,0.162791,0.588235,0.041322
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323529,0.090909
0.000,0.000000,0.320611,0.221477,0.000000,0.000000,0.022472,0.116279,0.029412,0.000000
0.000,0.000000,0.114504,0.087248,0.000000,0.000000,0.000000,0.122093,0.000000,0.107438
0.000,0.000000,0.572519,0.510067,0.000000,0.000000,0.000000,0.418605,0.764706,0.471074
0.000,0.000000,0.412214,0.563758,0.960000,0.000000,0.000000,0.604651,0.294118,0.801653
0.000,0.000000,0.832061,0.885906,0.000000,0.000000,0.000000,0.866279,0.294118,0.942149
0.000,0.000000,0.450382,0.644295,0.000000,0.000000,0.000000,0.837209,0.352941,0.983471
0.000,0.000000,0.809160,0.966443,0.000000,0.000000,0.000000,0.936047,0.205882,0.909091
0.000,0.000000,0.442748,0.671141,0.000000,0.000000,0.000000,0.837209,0.205882,0.917355
0.000,0.000000,0.854962,0.939597,0.000000,0.000000,0.000000,0.965116,0.470588,0.909091
0.000,0.000000,0.480916,0.624161,0.000000,0.000000,0.000000,0.872093,0.205882,0.925620
0.000,0.000000,0.847328,0.953020,0.000000,0.000000,0.000000,0.959302,0.529412,0.933884
0.000,0.032787,0.526718,0.651007,0.120000,0.000000,0.000000,0.877907,0.294118,0.933884
0.000,0.000000,0.862595,0.939597,0.000000,0.000000,0.000000,0.959302,0.176471,0.950413
0.000,0.000000,0.480916,0.684564,0.000000,0.000000,0.000000,0.912791,0.294118,0.917355
0.000,0.336066,0.832061,0.885906,0.000000,0.000000,0.000000,1.000000,0.411765,0.942149
0.000,0.000000,0.427481,0.657718,0.000000,0.000000,0.000000,0.895349,0.411765,0.966942
0.000,0.000000,0.809160,0.973154,0.000000,0.000000,0.000000,0.953488,0.205882,0.942149
0.000,0.000000,0.412214,0.617450,0.000000,0.000000,0.000000,0.848837,0.352941,0.950413
0.000,0.098361,0.862595,0.912752,0.000000,0.000000,0.000000,0.924419,0.588235,0.933884
0.000,0.000000,0.435115,0.671141,0.000000,0.000000,0.000000,0.848837,0.352941,0.942149
0.000,0.000000,0.770992,1.000000,0.000000,0.000000,0.000000,0.901163,0.735294,0.917355
0.000,0.000000,0.320611,0.711409,0.040000,0.004902,0.000000,0.755814,0.352941,0.884298
0.000,0.000000,0.809160,0.885906,0.000000,0.000000,0.000000,0.906977,0.323529,0.900826
0.000,0.000000,0.480916,0.657718,0.200000,0.000000,0.000000,0.767442,0.235294,0.884298
0.000,0.000000,0.770992,0.953020,0.000000,0.000000,0.000000,0.837209,0.764706,0.867769
0.000,0.000000,0.480916,0.657718,0.000000,0.000000,0.000000,0.750000,0.941176,0.818182
0.000,0.000000,0.603053,0.973154,0.000000,0.049020,0.000000,0.848837,0.852941,0.851240
0.000,0.000000,0.320611,0.644295,0.040000,0.000000,0.000000,0.755814,0.323529,0.768595
0.000,0.000000,0.832061,0.892617,0.000000,0.000000,0.000000,0.808140,0.294118,0.760331
0.000,0.000000,0.442748,0.671141,0.000000,0.000000,0.000000,0.720930,0.323529,0.818182
0.000,0.000000,0.740458,0.926174,0.000000,0.289216,0.000000,0.779070,0.411765,0.867769
0.000,0.000000,0.374046,0.671141,0.000000,0.000000,0.000000,0.651163,0.205882,0.752066
0.000,0.000000,0.763359,0.885906,0.640000,0.000000,0.000000,0.825581,0.352941,0.851240
0.000,0.000000,0.389313,0.651007,0.000000,0.000000,0.000000,0.813953,0.558824,0.900826
0.000,0.000000,0.740458,0.899329,0.000000,0.000000,0.000000,0.906977,0.588235,0.966942
0.000,0.581967,0.435115,0.684564,0.560000,0.000000,0.000000,0.831395,0.205882,0.884298
0.000,0.172131,0.748092,0.899329,0.000000,0.000000,0.000000,0.953488,0.529412,0.933884
0.000,0.000000,0.404580,0.684564,0.000000,0.000000,0.000000,0.860465,0.411765,0.909091
0.000,0.000000,0.755725,0.912752,0.000000,0.000000,0.000000,0.941860,0.441176,0.909091
0.000,0.000000,0.419847,0.671141,0.000000,0.000000,0.000000,0.872093,0.352941,0.900826
0.000,0.008197,0.847328,0.959732,0.000000,0.000000,0.000000,0.872093,0.470588,0.917355
0.000,0.000000,0.343511,0.523490,0.160000,0.000000,0.000000,0.674419,0.264706,0.867769
0.000,0.008197,0.748092,0.865772,0.000000,0.000000,0.000000,0.720930,0.411765,0.942149
0.000,0.131148,0.343511,0.590604,0.000000,0.000000,0.000000,0.558140,0.411765,0.537190
0.000,0.073770,0.389313,0.476510,1.000000,0.000000,0.471910,0.220930,0.058824,0.190083
0.000,0.098361,0.145038,0.214765,0.000000,0.039216,0.000000,0.162791,0.029412,0.289256
0.000,0.000000,0.603053,0.476510,0.000000,0.656863,0.910112,0.279070,0.411765,0.256198
0.000,0.040984,0.236641,0.328859,0.000000,0.000000,0.000000,0.337209,0.588235,0.487603
0.000,0.000000,0.664122,0.791946,0.000000,0.000000,0.000000,0.569767,0.147059,0.603306
0.000,0.000000,0.496183,0.630872,0.000000,0.000000,0.000000,0.686047,0.411765,0.851240
0.000,0.000000,0.687023,0.872483,0.000000,0.000000,0.000000,0.790698,0.352941,0.867769
0.000,0.000000,0.374046,0.637584,0.000000,0.019608,1.000000,0.767442,0.764706,0.876033
0.000,0.000000,0.717557,0.885906,0.000000,0.000000,0.044944,0.889535,0.647059,0.966942
0.000,0.000000,0.480916,0.651007,0.000000,1.000000,0.000000,0.732558,0.764706,0.851240
0.000,0.196721,0.770992,0.919463,0.000000,0.000000,0.000000,0.883721,0.823529,0.933884
0.000,0.270492,0.343511,0.671141,0.000000,0.000000,0.000000,0.813953,0.470588,0.909091
0.000,0.000000,0.709924,0.872483,0.000000,0.000000,0.044944,0.860465,0.588235,0.900826
0.000,0.032787,0.419847,0.697987,0.000000,0.000000,0.000000,0.779070,0.117647,0.867769
0.000,0.024590,0.740458,0.892617,0.000000,0.000000,0.393258,0.860465,0.205882,0.900826
0.000,0.000000,0.374046,0.657718,0.480000,0.235294,0.000000,0.750000,0.764706,0.867769
0.000,0.000000,0.717557,0.885906,0.480000,0.000000,0.000000,0.848837,0.588235,0.876033
0.000,0.000000,0.404580,0.644295,0.000000,0.000000,0.000000,0.837209,0.352941,0.884298
0.000,0.000000,0.618321,0.899329,0.000000,0.000000,0.000000,0.848837,0.441176,0.942149
0.000,0.000000,0.404580,0.684564,0.000000,0.000000,0.000000,0.796512,0.235294,0.933884
0.000,0.000000,0.755725,0.892617,0.000000,0.000000,0.000000,0.906977,0.352941,0.950413
0.000,0.229508,0.435115,0.704698,0.000000,0.000000,0.000000,0.843023,0.235294,0.909091
0.000,0.000000,0.770992,0.953020,0.000000,0.000000,0.000000,0.930233,0.352941,0.917355
0.000,0.000000,0.396947,0.657718,0.000000,0.000000,0.000000,0.796512,0.352941,0.909091
0.000,0.000000,1.000000,0.966443,0.000000,0.000000,0.000000,0.918605,0.352941,0.950413
0.000,0.000000,0.282443,0.657718,0.000000,0.000000,0.000000,0.837209,0.352941,0.917355
0.000,0.000000,0.770992,0.899329,0.000000,0.000000,0.370787,0.895349,0.205882,0.950413
0.000,0.000000,0.351145,0.671141,0.000000,0.000000,0.000000,0.784884,0.823529,0.942149
0.000,0.000000,0.740458,0.885906,0.000000,0.000000,0.000000,0.918605,0.617647,0.983471
0.000,0.000000,0.465649,0.684564,0.000000,0.000000,0.000000,0.883721,0.764706,0.942149
0.000,0.000000,0.786260,0.953020,0.000000,0.000000,0.000000,0.930233,0.264706,0.958678
0.000,0.000000,0.435115,0.671141,0.000000,0.000000,0.000000,0.860465,0.676471,0.958678
0.000,0.000000,0.793893,0.899329,0.000000,0.000000,0.000000,0.895349,0.441176,0.900826
0.000,0.000000,0.358779,0.671141,0.000000,0.000000,0.000000,0.843023,0.617647,0.950413
0.000,0.000000,0.755725,0.892617,0.000000,0.000000,0.000000,0.906977,0.647059,0.909091
0.000,0.000000,0.435115,0.630872,0.640000,0.000000,0.000000,0.848837,0.411765,0.909091
0.044,0.000000,0.740458,0.919463,0.000000,0.000000,0.000000,0.906977,0.323529,0.909091
0.094,0.000000,0.404580,0.697987,0.000000,0.000000,0.000000,0.895349,0.411765,0.909091
0.144,0.000000,0.755725,0.939597,0.000000,0.000000,0.000000,0.953488,0.264706,0.950413
0.194,0.000000,0.404580,0.651007,0.000000,0.000000,0.000000,0.924419,0.294118,0.950413
0.244,0.000000,0.740458,0.939597,0.000000,0.014706,0.000000,0.930233,0.294118,0.942149
0.294,0.000000,0.374046,0.671141,0.000000,0.000000,0.000000,0.796512,0.352941,0.933884
0.344,0.000000,0.709924,0.865772,0.000000,0.000000,0.000000,0.825581,0.647059,0.925620
0.394,0.000000,0.435115,0.711409,0.000000,0.078431,0.000000,0.720930,0.764706,0.950413
0.444,0.000000,0.755725,0.865772,0.000000,0.000000,0.000000,0.750000,0.470588,0.776860
0.494,0.040984,0.404580,0.630872,0.000000,0.098039,0.000000,0.639535,0.676471,0.677686
0.544,0.000000,0.755725,0.885906,0.000000,0.000000,0.000000,0.750000,0.294118,0.917355
0.594,0.000000,0.419847,0.677852,0.000000,0.000000,0.000000,0.779070,0.264706,0.909091
0.644,0.000000,0.755725,0.939597,0.000000,0.000000,0.000000,0.860465,0.235294,0.950413
0.694,0.000000,0.442748,0.684564,0.000000,0.000000,0.000000,0.773256,0.117647,0.933884
0.744,0.000000,0.755725,0.885906,0.000000,0.000000,0.000000,0.906977,0.764706,0.950413
0.794,1.000000,0.435115,0.651007,0.000000,0.000000,0.000000,0.825581,0.235294,0.950413
0.844,0.000000,0.755725,0.912752,0.000000,0.000000,0.000000,0.877907,0.529412,0.942149
0.894,0.000000,0.465649,0.664430,0.000000,0.000000,0.000000,0.837209,0.705882,0.942149
0.944,0.000000,0.740458,0.899329,0.000000,0.000000,0.000000,0.918605,0.411765,0.966942
0.994,0.000000,0.396947,0.671141,0.000000,0.000000,0.000000,0.755814,0.941176,0.900826
1.044,0.000000,0.755725,0.879195,0.000000,0.000000,0.000000,0.860465,0.441176,0.933884
1.094,0.000000,0.412214,0.657718,0.000000,0.000000,0.000000,0.767442,0.500000,0.900826
1.144,0.000000,0.801527,0.953020,0.000000,0.000000,0.000000,0.883721,0.205882,0.917355
1.194,0.000000,0.396947,0.651007,0.000000,0.000000,0.000000,0.825581,0.411765,0.925620
1.244,0.000000,0.748092,0.932886,0.000000,0.000000,0.000000,0.906977,0.294118,0.933884
1.294,0.000000,0.404580,0.684564,0.000000,0.000000,0.000000,0.825581,0.676471,0.933884
1.344,0.000000,0.725191,0.885906,0.000000,0.000000,0.000000,0.854651,0.176471,0.933884
1.394,0.000000,0.389313,0.671141,0.000000,0.000000,0.000000,0.761628,0.176471,0.933884
1.444,0.000000,0.687023,0.939597,0.000000,0.000000,0.000000,0.918605,0.205882,0.942149
1.494,0.000000,0.480916,0.697987,0.000000,0.000000,0.044944,0.796512,0.411765,0.900826
1.544,0.000000,0.770992,0.919463,0.000000,0.000000,0.000000,0.872093,0.529412,0.909091
1.594,0.000000,0.389313,0.671141,0.000000,0.000000,0.000000,0.744186,0.352941,0.942149
1.644,0.000000,0.732824,0.993289,0.000000,0.000000,0.000000,0.796512,1.000000,0.917355
1.694,0.000000,0.374046,0.664430,0.000000,0.000000,0.000000,0.813953,0.323529,0.909091
1.744,0.000000,0.740458,0.939597,0.000000,0.000000,0.000000,0.837209,0.205882,0.925620
1.794,0.000000,0.465649,0.684564,0.000000,0.000000,0.000000,0.796512,0.411765,0.917355
1.844,0.000000,0.709924,0.939597,0.000000,0.000000,0.000000,0.837209,0.205882,0.933884
1.894,0.000000,0.419847,0.677852,0.000000,0.000000,0.000000,0.750000,0.352941,0.909091
1.944,0.000000,0.725191,0.899329,0.000000,0.000000,0.000000,0.837209,0.823529,0.966942
1.994,0.000000,0.404580,0.704698,0.000000,0.000000,0.000000,0.750000,0.529412,0.950413
2.044,0.000000,0.717557,0.899329,0.000000,0.000000,0.000000,0.837209,0.823529,1.000000
2.094,0.147541,0.435115,0.724832,0.000000,0.000000,0.000000,0.755814,0.411765,0.983471
2.144,0.000000,0.687023,0.953020,0.000000,0.000000,0.000000,0.744186,0.558824,0.917355
2.194,0.000000,0.473282,0.664430,0.000000,0.000000,0.000000,0.581395,0.294118,0.942149
2.244,0.000000,0.725191,0.912752,0.000000,0.000000,0.000000,0.604651,0.764706,0.942149
2.294,0.000000,0.450382,0.677852,0.000000,0.000000,0.000000,0.633721,0.352941,0.900826
2.344,0.000000,0.832061,0.946309,0.000000,0.000000,0.056180,0.395349,0.205882,0.950413
2.394,0.000000,0.419847,0.684564,0.000000,0.000000,0.000000,0.709302,0.205882,0.909091
2.444,0.000000,0.786260,0.872483,0.000000,0.000000,0.000000,0.860465,0.352941,0.942149
2.494,0.000000,0.450382,0.684564,0.000000,0.000000,0.000000,0.686047,0.882353,0.950413
2.544,0.000000,0.740458,0.865772,0.000000,0.000000,0.044944,0.750000,0.647059,0.917355
2.594,0.000000,0.450382,0.671141,0.000000,0.000000,0.000000,0.703488,0.176471,0.950413
2.644,0.000000,0.801527,0.872483,0.000000,0.000000,0.000000,0.744186,0.352941,0.958678
2.694,0.000000,0.442748,0.657718,0.000000,0.000000,0.000000,0.651163,0.235294,0.966942
2.744,0.000000,0.992366,0.899329,0.000000,0.000000,0.000000,0.662791,0.882353,0.876033
2.794,0.122951,0.526718,0.704698,0.000000,0.000000,0.000000,0.593023,0.411765,0.884298
2.844,0.221311,0.786260,0.812081,0.000000,0.083333,0.000000,0.587209,0.294118,0.834711
2.894,0.049180,0.412214,0.711409,0.000000,0.000000,0.224719,0.441860,0.352941,0.876033
2.944,0.000000,0.755725,0.885906,0.000000,0.000000,0.000000,0.395349,0.352941,0.851240
2.994,0.000000,0.343511,0.691275,0.000000,0.014706,0.000000,0.302326,0.764706,0.917355
3.044,0.000000,0.694656,0.953020,0.000000,0.906863,0.000000,0.459302,0.294118,0.933884
