time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974370,0.894434,0.981508
0.000,0.016117,0.007326,0.546066,0.000000,0.000000,0.000000,0.198089,0.026871,0.543860
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954387,0.849008,0.930299
0.000,0.000000,0.000000,0.548913,0.000000,0.000000,0.000000,0.191573,0.015355,0.532480
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948740,0.861164,0.972973
0.000,0.000000,0.000000,0.565994,0.030281,0.013919,0.006838,0.192007,0.042226,0.578473
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993050,0.944338,0.991939
0.000,0.000000,0.000000,0.557971,0.000000,0.000000,0.000000,0.186794,0.022393,0.541489
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.951347,0.846449,0.931247
0.000,0.000000,0.000000,0.557971,0.000000,0.000000,0.000000,0.191138,0.043506,0.446183
0.000,1.000000,0.983394,1.000000,1.000000,1.000000,0.987057,0.968288,0.925144,0.950688
0.000,0.000000,0.020269,0.562112,0.000000,0.000000,0.000000,0.200261,0.046065,0.550024
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989574,0.964171,0.965861
0.000,0.000000,0.000000,0.550983,0.000000,0.000000,0.000000,0.189401,0.034549,0.573257
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960035,0.885477,0.974395
0.000,0.000000,0.000000,0.550207,0.006838,0.000000,0.000000,0.179844,0.024312,0.567093
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.991312,0.955854,1.000000
0.000,0.000000,0.398779,0.589286,0.000000,0.000000,0.005861,0.198523,0.053743,0.548601
0.000,0.000000,0.301099,0.525362,0.000000,0.000000,0.000000,0.156820,0.037748,0.449502
0.000,0.000000,0.057875,0.116460,0.000000,0.000000,0.044689,0.019114,0.006398,0.015173
0.000,0.003907,0.107937,0.061335,0.024420,0.021734,0.025885,0.101651,0.036468,0.117117
0.000,0.000000,0.082784,0.037526,0.000000,0.000000,0.000000,0.056473,0.015355,0.063063
0.000,0.065201,0.121368,0.063147,0.080098,0.073016,0.126984,0.126412,0.051184,0.120910
0.000,0.000000,0.052747,0.001553,0.000000,0.000977,0.000000,0.000000,0.000000,0.009957
0.000,0.140171,0.135043,0.068323,0.147497,0.137485,0.140659,0.158992,0.047985,0.120910
0.000,0.000000,0.049084,0.000000,0.000000,0.015873,0.000000,0.000000,0.001919,0.009009
0.000,1.000000,0.811233,0.840321,1.000000,1.000000,1.000000,0.971329,0.904671,0.935040
0.000,0.012943,0.411722,0.587992,0.000000,0.000000,0.000000,0.195482,0.026871,0.542437
0.000,1.000000,0.949695,1.000000,1.000000,1.000000,1.000000,0.995656,1.000000,0.993836
0.000,0.000000,0.421245,0.592133,0.008547,0.000000,0.000000,0.211990,0.029431,0.578473
0.000,1.000000,0.905250,1.000000,1.000000,1.000000,1.000000,0.991312,0.923225,0.935989
0.000,0.001465,0.202442,0.455487,0.000000,0.000000,0.000000,0.095569,0.022393,0.274064
0.000,1.000000,0.823687,1.000000,1.000000,1.000000,1.000000,1.000000,0.940499,0.955429
0.000,0.000000,0.187057,0.340580,0.000000,0.000000,0.000000,0.077324,0.024312,0.101944
0.000,0.000000,0.146764,0.178313,0.011477,0.001465,0.000000,0.133797,0.043506,0.131342
0.000,0.000000,0.060317,0.000259,0.000000,0.000000,0.000000,0.002172,0.001280,0.000000
0.000,0.064225,0.129426,0.064441,0.004884,0.008059,0.005128,0.105126,0.052463,0.122807
0.000,0.000000,0.072039,0.008540,0.000000,0.000000,0.000000,0.017376,0.003839,0.009009
0.000,0.154090,0.146276,0.075052,0.160195,0.161416,0.170940,0.170287,0.055662,0.118065
0.000,0.000000,0.064713,0.001294,0.000000,0.000000,0.000000,0.022589,0.003839,0.005216
0.000,0.000000,0.123810,0.063147,0.000000,0.014408,0.000000,0.096003,0.033909,0.106686
0.000,0.000000,0.095971,0.035973,0.000000,0.000000,0.000000,0.051260,0.017274,0.053106
0.000,0.009524,0.135775,0.078934,0.006105,0.009035,0.005128,0.114683,0.039667,0.123755
0.000,0.000000,0.088645,0.030280,0.000000,0.000000,0.000000,0.039965,0.012156,0.042200
0.000,0.000000,0.121123,0.057971,0.011722,0.009035,0.048840,0.099913,0.037748,0.109056
0.000,0.000000,0.082051,0.018634,0.000000,0.000000,0.000000,0.033884,0.007038,0.026553
0.000,0.150183,0.144811,0.079193,0.147253,0.151160,0.158486,0.175934,0.063980,0.119962
0.000,0.000000,0.326740,0.350932,0.000000,0.000000,0.000000,0.170287,0.020473,0.464201
0.000,1.000000,0.916239,1.000000,1.000000,1.000000,1.000000,0.981321,0.944978,0.966809
0.000,0.000000,0.427106,0.609213,0.000000,0.001465,0.000000,0.228497,0.057582,0.545756
0.000,0.068132,0.310867,0.523292,0.068864,0.061294,0.069353,0.201564,0.037748,0.396396
0.000,0.000000,0.135043,0.320911,0.000000,0.000000,0.004396,0.162033,0.053103,0.182551
0.000,0.000000,0.150672,0.223861,0.000000,0.000000,0.000000,0.179409,0.051184,0.177809
0.000,0.000000,0.147497,0.154762,0.000000,0.000000,0.000000,0.185925,0.052463,0.176387
0.000,0.000000,0.157509,0.134058,0.000000,0.000000,0.000000,0.187663,0.044786,0.179706
0.000,0.000000,0.148474,0.118530,0.010745,0.000000,0.000000,0.183753,0.040947,0.178758
0.000,0.000000,0.157509,0.125259,0.000000,0.000000,0.000000,0.193310,0.051184,0.177809
0.000,0.000000,0.113553,0.069099,0.000000,0.000000,0.000000,0.106429,0.024312,0.080133
0.000,0.000000,0.155556,0.115942,0.000000,0.000000,0.000000,0.186794,0.042226,0.178758
0.000,0.000000,0.146032,0.112836,0.000000,0.000000,0.000000,0.185056,0.040947,0.176387
