time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.013079,0.016545,0.001954,0.000000,0.000000,0.028340,0.006394,0.022886
0.000,0.013675,0.002997,0.000000,0.035165,0.027839,0.024420,0.040936,0.029412,0.006965
0.000,0.000000,0.000000,0.013832,0.000000,0.000000,0.000000,0.041386,0.010230,0.015920
0.000,0.017827,0.005450,0.001356,0.045177,0.042979,0.042735,0.053981,0.028133,0.005970
0.000,0.000000,0.002180,0.011663,0.000000,0.000000,0.000000,0.033738,0.005115,0.016418
0.000,0.062271,0.004360,0.000814,0.052503,0.072527,0.066667,0.056230,0.031969,0.004478
0.000,0.000000,0.002725,0.010306,0.000000,0.000000,0.000000,0.013945,0.005754,0.014428
0.000,0.048596,0.001362,0.004340,0.042979,0.043712,0.036630,0.051732,0.030691,0.008955
0.000,0.000000,0.011444,0.011663,0.000000,0.000000,0.005861,0.026091,0.004476,0.010448
0.000,0.029060,0.006267,0.007052,0.063248,0.040293,0.042979,0.066127,0.026215,0.011443
0.000,0.000000,0.003270,0.012205,0.000000,0.000488,0.000000,0.017544,0.003836,0.012438
0.000,0.045177,0.006540,0.005696,0.053480,0.034432,0.021490,0.056680,0.028772,0.009950
0.000,0.000000,0.001907,0.008950,0.000000,0.000000,0.006105,0.013045,0.005754,0.010945
0.000,0.075702,0.004905,0.004611,0.041270,0.035897,0.037363,0.053531,0.030051,0.010448
0.000,0.000000,0.006267,0.013832,0.000000,0.000000,0.000000,0.042735,0.005754,0.012438
0.000,0.018559,0.008174,0.009493,0.022466,0.026618,0.018803,0.049033,0.028133,0.016418
0.000,0.000000,0.000000,0.005424,0.000488,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.044200,0.010899,0.005967,0.036386,0.039316,0.055922,0.054881,0.030691,0.012438
0.000,0.002930,0.003270,0.014104,0.000000,0.000000,0.000000,0.030139,0.010230,0.010945
0.000,0.000000,0.009264,0.008137,0.029060,0.030037,0.016117,0.052632,0.031969,0.013930
0.000,0.000000,0.007084,0.019528,0.000000,0.000000,0.000000,0.010346,0.016624,0.017910
0.000,0.000488,0.012534,0.017630,0.013919,0.005372,0.000000,0.051732,0.024936,0.017910
0.000,0.000000,0.008719,0.020342,0.000000,0.000000,0.000000,0.039136,0.015345,0.019900
0.000,0.020513,0.011989,0.019799,0.002198,0.006838,0.029304,0.062528,0.042199,0.020398
0.000,0.000000,0.004360,0.013290,0.000000,0.000000,0.000000,0.039136,0.007033,0.008955
0.000,0.007570,0.010354,0.013019,0.012943,0.017827,0.021734,0.048583,0.024297,0.017910
0.000,0.000000,0.004087,0.016273,0.000000,0.000000,0.000000,0.035538,0.008951,0.010945
0.000,0.027106,0.015804,0.019528,0.036386,0.022711,0.016361,0.046784,0.033248,0.024876
0.000,0.000000,0.014441,0.030106,0.000000,0.000000,0.071306,0.051732,0.014066,0.034826
0.000,0.066911,0.013624,0.008137,0.089133,0.060073,0.075946,0.066127,0.035806,0.009453
0.000,0.042735,0.209264,0.237320,0.020757,0.017094,0.014408,0.123707,0.005115,0.215423
0.000,0.000000,0.049864,0.093030,0.000000,0.000000,0.000000,0.121008,0.031330,0.102488
0.000,0.000000,0.052316,0.081638,0.008059,0.000000,0.000000,0.134503,0.026215,0.104975
0.000,0.000000,0.052044,0.075129,0.000000,0.000000,0.000000,0.159694,0.041560,0.104975
0.000,0.054457,0.053406,0.074315,0.000000,0.000000,0.000000,0.181287,0.028772,0.100000
0.000,0.964347,0.437875,0.452129,1.000000,0.989255,0.999512,0.597841,0.092072,0.358706
0.000,0.054945,0.568392,0.656360,0.050549,0.033455,0.032479,0.332434,0.241049,0.540796
0.000,0.970696,0.597003,0.673447,1.000000,1.000000,0.937485,0.576248,0.090153,0.408955
0.000,0.048596,0.566485,0.652292,0.013187,0.015629,0.017338,0.301844,0.176471,0.692537
0.000,1.000000,0.601090,0.682669,1.000000,1.000000,1.000000,0.587944,0.098465,0.448259
0.000,0.024176,0.562125,0.649580,0.000000,0.000000,0.000000,0.308142,0.181586,0.695522
0.000,1.000000,0.615259,0.682669,1.000000,1.000000,1.000000,0.591993,0.110614,0.440796
0.000,0.000000,0.559128,0.643613,0.000000,0.000000,0.000000,0.277103,0.175831,0.693532
0.000,1.000000,0.616621,0.685924,1.000000,1.000000,1.000000,0.593342,0.140665,0.483582
0.000,0.000000,0.556676,0.639002,0.000000,0.000000,0.000000,0.271255,0.166880,0.680597
0.000,1.000000,0.624523,0.691348,1.000000,1.000000,0.894750,0.617634,0.170077,0.490547
0.000,0.000000,0.548774,0.640358,0.000000,0.000000,0.000000,0.273054,0.161125,0.687065
0.000,1.000000,0.637875,0.711961,1.000000,1.000000,1.000000,0.644175,0.205243,0.526368
0.000,0.000000,0.545504,0.634391,0.000000,0.000000,0.000000,0.241116,0.163683,0.677612
0.000,1.000000,0.644687,0.714673,1.000000,1.000000,1.000000,0.658120,0.227621,0.535323
0.000,0.000000,0.550409,0.632493,0.000000,0.000000,0.000000,0.226721,0.181586,0.629851
0.000,1.000000,0.626158,0.720640,1.000000,1.000000,1.000000,0.674314,0.260870,0.494030
0.000,0.000000,0.545504,0.632764,0.000000,0.000000,0.000000,0.215924,0.152174,0.619900
0.000,1.000000,0.655858,0.739083,1.000000,1.000000,1.000000,0.696806,0.300512,0.526368
0.000,0.000000,0.543324,0.631408,0.000000,0.000000,0.014896,0.214575,0.130435,0.616915
0.000,1.000000,0.676294,0.768375,1.000000,1.000000,1.000000,0.705353,0.308824,0.558209
0.000,0.000000,0.544414,0.634934,0.000000,0.000000,0.000000,0.221772,0.140665,0.620896
