time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.013919,0.475302,0.566111,0.000000,0.002442,0.000000,0.088368,0.009346,0.482108
0.000,0.983883,0.985812,1.000000,1.000000,0.896703,0.926740,0.975203,0.914019,0.990812
0.000,0.000000,0.472149,0.573399,0.000000,0.000000,0.004151,0.086114,0.003115,0.513540
0.000,1.000000,0.980557,1.000000,1.000000,1.000000,0.997070,0.984220,0.973832,0.941006
0.000,0.000000,0.466894,0.570276,0.006105,0.010745,0.002686,0.090171,0.004984,0.482108
0.000,1.000000,0.993169,1.000000,1.000000,1.000000,0.934554,1.000000,1.000000,1.000000
0.000,0.007814,0.470047,0.562988,0.006349,0.004151,0.002442,0.095582,0.006231,0.476306
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947253,0.991434,0.991277,0.944874
0.000,0.000000,0.477404,0.574180,0.007570,0.000000,0.007570,0.098738,0.013707,0.476789
0.000,1.000000,0.985024,1.000000,1.000000,1.000000,0.962882,0.975654,0.961371,0.937621
0.000,0.000000,0.473726,0.573660,0.019780,0.000000,0.006105,0.089270,0.013084,0.478240
0.000,1.000000,0.989490,1.000000,1.000000,1.000000,0.929670,0.970243,0.958879,0.932785
0.000,0.013675,0.469259,0.566372,0.000000,0.005861,0.006838,0.091975,0.003738,0.501451
0.000,1.000000,0.978192,1.000000,1.000000,1.000000,0.931868,0.953111,0.940810,0.981625
0.000,0.000000,0.459275,0.564810,0.014652,0.008547,0.011722,0.094680,0.006854,0.398936
0.000,1.000000,0.986075,1.000000,1.000000,1.000000,0.945299,0.967538,0.971340,0.934236
0.000,0.012454,0.469785,0.572618,0.020757,0.014652,0.014408,0.097385,0.012461,0.504352
0.000,1.000000,0.981871,1.000000,1.000000,1.000000,0.987546,0.974752,0.918380,0.980658
0.000,0.000000,0.473988,0.572098,0.011966,0.000000,0.016361,0.089270,0.003115,0.472437
0.000,1.000000,0.966894,1.000000,0.991697,1.000000,0.989988,0.991434,0.890343,0.975822
0.000,0.000000,0.475039,0.571057,0.009035,0.017338,0.012454,0.102795,0.012461,0.506770
0.000,1.000000,0.969259,1.000000,1.000000,1.000000,0.954579,0.964833,0.899065,0.975338
0.000,0.030037,0.467683,0.573399,0.010256,0.021245,0.019292,0.093778,0.014330,0.475822
0.000,1.000000,0.972149,0.994014,1.000000,1.000000,0.970208,0.945897,0.876636,0.970986
0.000,0.039805,0.457698,0.553878,0.010989,0.010012,0.010745,0.082958,0.007477,0.472437
0.000,1.000000,0.962165,0.991150,1.000000,0.994383,0.997070,0.940036,0.856698,0.909574
0.000,0.006349,0.461377,0.559604,0.011477,0.012698,0.017338,0.098287,0.010592,0.481625
0.000,0.990965,0.959538,0.988287,0.988767,0.964835,0.983394,0.949955,0.940810,0.966151
0.000,0.012698,0.441934,0.545029,0.010989,0.000000,0.003907,0.061317,0.001869,0.444874
0.000,1.000000,0.951655,0.991411,0.985836,0.984615,0.998046,0.929666,0.845483,0.951644
0.000,0.000244,0.409879,0.543727,0.000977,0.000000,0.000000,0.170424,0.020561,0.452611
0.000,0.339194,0.431424,0.571057,0.348962,0.324054,0.340171,0.475654,0.242368,0.425532
0.000,0.000000,0.434577,0.542426,0.006105,0.008547,0.008059,0.123986,0.003115,0.407157
0.000,1.000000,0.965318,1.000000,1.000000,0.987302,0.964835,0.950406,0.897819,0.918762
0.000,0.000000,0.435102,0.540864,0.006105,0.003907,0.000000,0.122633,0.006854,0.406190
0.000,1.000000,0.942722,0.983602,0.990720,0.991697,0.979976,0.944545,0.856698,0.855899
0.000,0.013431,0.440883,0.548152,0.004640,0.004884,0.003663,0.122633,0.009969,0.456480
0.000,0.989988,0.947189,0.975794,0.975580,0.950183,1.000000,0.920649,0.826168,0.894101
0.000,0.017338,0.439306,0.548152,0.010989,0.017338,0.010256,0.142471,0.013707,0.439555
0.000,1.000000,0.942197,0.984383,0.955556,0.974115,0.963858,0.929666,0.917757,0.889749
0.000,0.014896,0.140830,0.348256,0.016361,0.002442,0.051526,0.018936,0.013084,0.070116
0.000,0.010012,0.052023,0.113222,0.014408,0.015629,0.113553,0.098738,0.015576,0.091876
0.000,0.017338,0.150289,0.225403,0.013675,0.014896,0.146032,0.137060,0.012461,0.270793
0.000,0.165324,0.419338,0.615305,0.165324,0.145788,0.309890,0.320108,0.039252,0.537718
0.000,0.000000,0.005518,0.119729,0.000000,0.003907,0.001465,0.004509,0.009346,0.004836
0.000,0.089377,0.071992,0.079125,0.063736,0.070330,0.068620,0.118575,0.019315,0.093810
0.000,0.010745,0.001051,0.005726,0.017827,0.018315,0.000000,0.011722,0.015576,0.001934
0.000,0.062027,0.070941,0.062467,0.060317,0.069109,0.073993,0.117223,0.022430,0.092360
0.000,0.008547,0.000525,0.000000,0.000977,0.000000,0.004396,0.003156,0.014953,0.000000
0.000,0.105250,0.073043,0.062467,0.105739,0.074481,0.073504,0.121731,0.014330,0.093327
0.000,0.000000,0.003153,0.003123,0.014408,0.017827,0.022222,0.002705,0.009969,0.000967
0.000,0.080342,0.071729,0.061166,0.074725,0.082784,0.069597,0.112714,0.021807,0.093810
0.000,0.030281,0.002627,0.000000,0.000733,0.000000,0.001709,0.037421,0.017445,0.000000
0.000,0.123810,0.074356,0.062467,0.083272,0.100366,0.080342,0.123535,0.014330,0.093810
0.000,0.009524,0.002890,0.002082,0.001221,0.010012,0.008059,0.000000,0.016199,0.000484
