time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.085213,0.110581,0.000000,0.000000,0.000000,0.182478,0.035499,0.162376
0.000,0.000000,0.099694,0.124901,0.000000,0.000000,0.000000,0.191675,0.042197,0.166337
0.000,0.000000,0.085213,0.110050,0.000000,0.000000,0.000000,0.183930,0.034159,0.163861
0.000,0.000000,0.097187,0.122249,0.000000,0.000000,0.000000,0.196515,0.039518,0.162871
0.000,0.000000,0.082707,0.110316,0.000000,0.000000,0.000000,0.186350,0.027461,0.163366
0.000,0.000000,0.100251,0.121984,0.000000,0.000000,0.000000,0.188287,0.030141,0.162871
0.000,0.001465,0.086327,0.109255,0.000000,0.000000,0.000000,0.193611,0.037508,0.162376
0.000,0.000000,0.099694,0.122779,0.000000,0.002270,0.000000,0.190223,0.028801,0.164356
0.000,0.000000,0.083542,0.109520,0.000000,0.000000,0.000000,0.186834,0.026792,0.161386
0.000,0.000000,0.100251,0.122779,0.000000,0.000000,0.000000,0.186834,0.031480,0.164356
0.000,0.000000,0.083542,0.109520,0.000000,0.005045,0.000000,0.182962,0.026792,0.163366
0.000,0.000000,0.099972,0.123840,0.000000,0.000000,0.000000,0.191191,0.040188,0.164356
0.000,0.000000,0.089112,0.109255,0.000000,0.000000,0.000000,0.181994,0.030141,0.162871
0.000,0.002198,0.096909,0.123044,0.000000,0.000000,0.000000,0.187803,0.040857,0.162871
0.000,0.000000,0.084378,0.110050,0.000000,0.000000,0.000000,0.184898,0.031480,0.164356
0.000,0.000000,0.098023,0.121984,0.000000,0.000000,0.000493,0.189739,0.031480,0.160891
0.000,0.000000,0.085492,0.110050,0.000000,0.000000,0.000000,0.181994,0.044876,0.162376
0.000,0.000000,0.099972,0.121718,0.000000,0.000000,0.000000,0.191675,0.040857,0.166337
0.000,0.005861,0.083542,0.108990,0.000000,0.000000,0.000000,0.176186,0.030141,0.165347
0.000,0.000000,0.099972,0.122249,0.000000,0.000000,0.000000,0.192159,0.027461,0.164356
0.000,0.000000,0.086048,0.109520,0.000000,0.000000,0.000000,0.187803,0.037508,0.162871
0.000,0.000000,0.099972,0.122249,0.000000,0.000000,0.000000,0.199419,0.043537,0.163366
0.000,0.000000,0.086327,0.110050,0.000000,0.000000,0.003942,0.188287,0.027461,0.162376
0.000,0.000000,0.100808,0.123044,0.000000,0.000000,0.000000,0.193611,0.041527,0.163366
0.000,0.000000,0.086884,0.110050,0.000000,0.000000,0.000000,0.185866,0.035499,0.163861
0.000,0.000000,0.103314,0.123044,0.001775,0.000000,0.000000,0.194095,0.034159,0.160396
0.000,0.000000,0.087441,0.109520,0.000000,0.000000,0.000000,0.182962,0.030141,0.164356
0.000,0.000000,0.101086,0.122779,0.000000,0.000000,0.000000,0.190223,0.034159,0.160891
0.000,0.000000,0.088555,0.113233,0.000000,0.000000,0.000000,0.174734,0.034159,0.162376
0.000,0.000000,0.103035,0.123309,0.005072,0.000000,0.000000,0.191675,0.032820,0.162871
0.000,0.000000,0.086327,0.109520,0.000000,0.000000,0.000000,0.163601,0.036169,0.154950
0.000,0.000000,0.096352,0.111641,0.000000,0.000000,0.000000,0.160697,0.027461,0.141584
0.000,0.000000,0.082150,0.093609,0.000000,0.000000,0.000739,0.169409,0.027461,0.158911
0.000,0.000000,0.100251,0.118536,0.000000,0.000000,0.000000,0.195547,0.027461,0.161386
0.000,0.000000,0.074631,0.094670,0.006340,0.000000,0.000000,0.134560,0.018084,0.119802
0.000,0.000000,0.258981,0.331742,0.022064,0.004289,0.001971,0.166989,0.029471,0.259406
0.000,0.010501,0.000000,0.019358,0.011920,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.139927,0.403787,0.543357,0.137712,0.125883,0.132299,0.239109,0.035499,0.411881
0.000,0.014896,0.015595,0.088571,0.007101,0.004793,0.000000,0.014521,0.008707,0.009901
0.000,0.257143,0.114731,0.086714,0.253614,0.282543,0.253511,0.234753,0.022103,0.113861
0.000,0.006105,0.038429,0.032087,0.000000,0.002018,0.000000,0.048403,0.008038,0.054455
